shouter,n. 高呼者；喊叫者
gamma ray,"na. 光(量)子；γ 射线
 伽玛射线；伽马射线；加马射线"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
observatory,n. 天文台；气象台；瞭望台
princess,n. 公主；王妃；女巨头
optimistic,adj. 乐观的；乐观主义的
imply,vt. 意味；暗示；隐含
stellar,adj. 星的；星球的；主要的；一流的
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集"
spectacular,adj. 壮观的，惊人的；公开展示的
respectability,n. 体面；可尊敬；有社会地位
Viking,找不到解释
Mars,n. 战神； 火星
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
manifestation,n. 表现；显示；示威运动
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
interstellar,adj.  星际的
spacecraft,n.  宇宙飞船，航天器
ply,"n. 厚度；板层；褶
vt. 使用，不住地使用；折，弯；从事
vi. 辛勤工作；定期地来往（船、车等）"
colony,n. 殖民地；移民队；种群；动物栖息地
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
detect,vt. 察觉；发现；探测
incompletely,adv. 不完全地
modulation,n.  调制；调整
pulsar,n. 脉冲星
quasar,n.  类星体；恒星状球体
galactic,adj. 银河的；乳汁的
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
noninterference,n. 不干扰; 不干涉
immortality,n. 不朽；不朽的声名；不灭
gallivant,vi. 闲逛；与异性闲荡
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
verification,n. 确认，查证；核实
organism,n. 有机体；生物体；微生物
if any,"na. 若有；即使有也(极少)
 若有的话；如果有的话；如有"
cast light on, 映照；阐明；使明白
throw light on,"na. 弄明白
 阐明；解释；说明"
shed light on,"na. 阐明；解释；将…弄明白；照亮
 说明；阐明某事；使某事清楚"
might very well,找不到解释
to date,"na. 至今
 到目前为止；迄今；迄今为止"
hand in hand with,找不到解释
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
depend on,"v. 依靠
 依赖；取决于；视……而定"
in a position to,"adj. 能够
 能够做；可以；有能力做"
brim over with,"na. (精神等)饱满；(才华等)横溢；漫出
 充满；满溢；有丰富的"
cry out for,"v. 急需
 迫切需要；哭着要；叫喊要某物"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
bizarre,adj. 奇异的（指态度，容貌，款式等）
explosion,n. 爆炸；爆发；激增
remnant,"n. 剩余
adj. 剩余的"
relic,n. 遗迹，遗物；废墟；纪念物
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
seemingly,adv. 看来似乎；表面上看来
trait,n. 特性，特点；品质；少许
successor,n. 继承者；后续的事物
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
regarding,prep. 关于，至于
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
undertake,vt. 承担，保证；从事；同意；试图
exploration,n. 探测；探究；踏勘
metallic,adj. 金属的，含金属的
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
frequency,n. 频率；频繁
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
porter,n. 门房；服务员；行李搬运工；守门人
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
editor,n. 编者，编辑；社论撰写人；编辑装置
denunciation,n. 谴责，斥责；告发
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
denounce,vt. 谴责；告发；公然抨击；通告废除
castigate,vt. 严惩；苛评；矫正；修订
riverfront,n. 河边陆地；河边地区
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
insecure,adj. 不安全的；不稳定的；不牢靠的
offhand,"adj. 随便的；即时的；无准备的；即席的
adv. 随便地；即席地；即时地"
banter,n. 无恶意的玩笑
contempt,n. 轻视，蔑视；耻辱
solidarity,n. 团结，团结一致
Baptist,n. 浸信会教友；施洗者约翰，施洗者
Kluxer, 三K党成员
sympathizer,n. 同情者；支持者；交感患病的眼睛（等于sympathiser）
anti,"n. 反对者，反对论者
adj. 反对的"
category,n. 种类，分类； 范畴
pope,n. 教皇，罗马教皇；权威，大师
lover,"n. 爱人，恋人；爱好者
n. 小三；第三者"
southerner,n. 南方人
imponderable,"adj. 无重量的；无法计算的
n. 无法衡量的事物"
suspiciously,adv. 怀疑地；猜疑地
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
foolproof,"n. 极简单；安全自锁装置
adj. 十分简单的；十分安全的；不会错的"
nigger,n. 黑鬼（蔑称）；社会地位低下的人
errand,n. 使命；差事；差使
doff,vt. 脱（衣，帽等）；丢弃，废除；落纱
unbookish, 不想读书的
patron,n. 赞助人；保护人；主顾
optical,adj. 光学的；眼睛的，视觉的
suspicious,adj. 可疑的；怀疑的；多疑的
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
pointedly,adv. 尖锐地；指向地
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
demon,n. 恶魔；魔鬼；精力充沛的人；邪恶的事物
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
extol,vt. 颂扬；赞美；赞颂
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
weapon,n. 武器，兵器
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
revel,"n. 狂欢；闹饮；喜庆狂欢活动
vi. 狂欢；陶醉"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
disbelieve,"vt. 不信；怀疑
vi. 不信；怀疑"
lug,"n. 支托；接线片；耳状物
vt. 用力拉或拖
vi. 用力拉或拖"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
mythical,adj. 神话的；虚构的
myth,n. 神话；虚构的人，虚构的事
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
naturalism,n. 自然主义；本能行动；自然论
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
mood,n. 情绪，语气；心境；气氛
ream,"n. 令（纸张的计数单位）；大量
vt. 榨取（果汁等）；扩展；挖"
sufficiently,adv. 充分地；足够地
sufficient,adj. 足够的；充分的
Jim Crow,找不到解释
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
call down,"na. 祈求；招惹(灾祸等)；申斥
 责骂；祈求到；招来"
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
address oneself to,"na. 专心(工作)；和…通信；(在演说时)述及
 向...讲话；致力于；从事于"
on errands,找不到解释
slip up,"na. 滑一跤；弄错；失败
 失误；出差错；跌倒"
be clear of,"na. 无(债,忧)
 摆脱；还清债务；没有"
under one's breath,"na. 小声
 低声；小声地；低声地"
be through,"v. 结束
 做完；完成；通过"
be consumed with,"na. (因嫉妒,热病,野心)而憔悴
 被…吞噬；消费；如果是"
run across,"na. “Come across”的变体
 偶然碰见；穿过；不期而遇"
surge up, 同本义；汹涌澎湃；涌起
hunger for,"v. 渴望；渴求
 渴望得到；得到某事物的渴望；亟待"
nothing less than,"na. 不外；完全一样；正好是
 完全是；不亚于；简直是"
beyond one's reach,找不到解释
anyhow,adv. 总之；无论如何；不管怎样
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
disadvantage,n. 缺点；不利条件；损失
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
lawn,n. 草地；草坪
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
brood,"n. 一窝；一伙
vt. 孵；沉思"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
smack,"n. 滋味；少量；海洛因；风味
vt. 掴；用掌击
vi. 用掌击；带有…风味
adv. 猛然；直接地"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
overreaching,v. 手伸得过远；过度延伸（overreach的现在分词形式）
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paradoxical,adj. 矛盾的；诡论的；似非而是的
discontented,"adj. 不满的；不满意的
v. 不满意（discontent的过去式及过去分词）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
expectation,n. 期待；预期；指望
liability,n. 责任；债务；倾向；可能性；不利因素
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
anymore,adv. 再也不，不再
yarn,"n. 纱线；奇谈，故事
vt. 用纱线缠
vi. 讲故事"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
functional,adj. 功能的
affectional,adj. 情感上的；爱情的
affection,n. 喜爱，感情；影响；感染
desertion,n. 遗弃；开小差；逃亡
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
intimacy,n. 性行为；亲密；亲昵行为；隐私
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
dissatisfaction,n. 不满；令人不满的事物
improvement,n. 改进，改善；提高
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
familiarity,n. 熟悉，精通；亲密；随便
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
incidence,n. 发生率；影响； 入射；影响范围
participative,adj. 分担的；由多人一起参加的
layman,n. 外行；门外汉；俗人；一般信徒
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
changer,n. 转换开关装置；改变者（change的名词形式）
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
mass media,"n. 大众传媒
 大众媒体；大众传播媒介；大众传播媒体"
segment,"n. 段；部分
vt. 分割
vi. 分割"
activism,n. 行动主义；激进主义
rebellion,n. 叛乱；反抗；谋反；不服从
engender,"vt. 使产生；造成
vi. 产生；引起"
assess,vt. 评定；估价；对…征税
increment,n.  增量；增加；增额；盈余
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
organizational,adj. 组织的；编制的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
e.g.,adv. 举例来说（等于for example）
arrangement,n. 布置；整理；准备
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
victimize,vt. 使受害；使牺牲；欺骗
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
exploration,n. 探测；探究；踏勘
seemingly,adv. 看来似乎；表面上看来
limitless,adj. 无限制的；无界限的
when it comes to, 一谈到；当提到；当谈到
for that matter,"na. 就此而言
 关于那一点；就那件事而论；而且"
the other way round, 相反；反过来；颠倒
in every respect,"na. 无论从哪方面来看；在各方面
 在各个方面；在每一方面；在每一个方面"
in some respects,"adv. 在某些方面
 就某些方面而言；在有些方面；从另一方面来说"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
can't help but,不得不; 不能不; 必须; 只好
take pains,"na. 费苦心；尽力
 煞费苦心；下苦功；操心"
take great pains with,找不到解释
take great pains to do,找不到解释
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
ideological,adj. 思想的；意识形态的
ideology,n. 意识形态；思想意识；观念学
alienate,vt. 使疏远，离间；让与
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
continuous,adj. 连续的，持续的；继续的；连绵不断的
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
enterprise,n. 企业；事业；进取心；事业心
bureaucracy,n. 官僚主义；官僚机构；官僚政治
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
ventilate,vt. 使通风；给…装通风设备；宣布
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automation,n. 自动化；自动操作
installment,n. 安装；分期付款；部分；就职
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
commodity,n. 商品，货物；日用品
organic,adj.  有机的；组织的；器官的；根本的
destruction,n. 破坏，毁灭；摧毁
consumer,n. 消费者；用户，顾客
transformation,n.  转化；转换；改革；变形
differentiate,"vt. 区分，区别
vi. 区分，区别"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
undersized,adj. 较一般为小的
sickly,"adj. 有病的，苍白的；疾病流行的；令人作呕的
adv. 病态地
vt. 使苍白，使现病容"
agony,n. 苦恼；极大的痛苦；临死的挣扎
coarse,adj. 粗糙的；粗俗的；下等的
delusion,n. 迷惑，欺骗；错觉；幻想
grandeur,n. 壮丽；庄严；宏伟
delusion of grandeur,"un. 夸大妄想
 幻想；自我感觉良好；夸大的妄想"
dramatist,n. 剧作家，剧本作者
conversationalist,n. 健谈的人
monologue,n. 独白
maddeningly,adv. 使人恼火地；令人发狂地
tiresome,adj. 烦人的，无聊的；令人讨厌的
mania,n. 狂热；狂躁；热衷
trivial,adj. 不重要的，琐碎的；琐细的
volubility,n. 流利；健谈
deafen,"vt. 使聋；淹没
vi. 变聋"
vegetarianism,n. 素食主义
pamphlet,n. 小册子
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
