affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
aged,"v. 老化（age的过去式）；成熟；变老
adj. 年老的；…岁的；老年人特有的"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
constrained,"v. 驱使；强迫；勉强（constrain的过去分词）
adj. 拘泥的；被强迫的；不舒服的"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
demographic,adj. 人口统计学的；人口学的
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
enterprise,n. 企业；事业；进取心；事业心
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
incapable,adj. 不能的；无能力的；不能胜任的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incompetence,n. 无资格，不胜任；无能力；不适当；不熟练
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
retirement,n. 退休，退役
statutory,adj. 法定的；法令的；可依法惩处的
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
burglarproof,"a. 防盗的, 避盗的"
camera,n. 照相机；摄影机
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
deter,vt. 制止，阻止；使打消念头
felony,n. 重罪
scabrous,adj. 粗糙的；难解决的；猥亵的
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
intrusion,n. 侵入；闯入
invasion,n. 入侵，侵略；侵袭；侵犯
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
privacy,n. 隐私；秘密；隐居；隐居处
restrain,vt. 抑制，控制；约束；制止
violate,vt. 违反；侵犯，妨碍；亵渎
whereabouts,"n. 下落；行踪；去向；所在之处
adv. 在何处；靠近什么地方"
begrudge,vt. 羡慕，嫉妒；吝惜，舍不得给
vocation,n. 职业；天职；天命；神召
distorted,"v. 扭曲（distort的过去式和过去分词）
adj. 歪曲的；受到曲解的"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
enrich,vt. 使充实；使肥沃；使富足
enthusiasm,n. 热心，热忱，热情
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
income,n. 收入，收益；所得
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
money-oriented, 一切向钱看
moonlight,"adj. 月夜的；有月光的
n. 月光
v. 兼职，夜袭"
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
candidate,n. 候选人，候补者；应试者
responsibility,n. 责任，职责；义务
devotion,n. 献身，奉献；忠诚；热爱
diverse,adj. 不同的；多种多样的；变化多的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
expertise,n. 专门知识；专门技术；专家的意见
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
originality,n. 创意；独创性，创造力；原始；新奇
imbue,vt. 灌输；使感染；使渗透
instability,n. 不稳定（性）；基础薄弱；不安定
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
variety,n. 多样；种类；杂耍；变化，多样化
untrustworthy,adj. 靠不住的；不能信赖的
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
autonomous,adj. 自治的；自主的；自发的
assistance,n. 援助，帮助；辅助设备
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
civilization,n. 文明；文化
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
creativity,n. 创造力；创造性
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cultural,adj. 文化的；教养的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
heritage,n. 遗产；传统；继承物；继承权
infrastructure,n. 基础设施；公共建设；下部构造
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
legacy,n. 遗赠，遗产
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
talented,adj. 有才能的；多才的
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
censorship,n. 审查制度；审查机构
encroach,vi. 蚕食，侵占
enforce,vt. 实施，执行；强迫，强制
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
misinform,vt. 误传；提供错误消息
obscene,adj. 淫秽的；猥亵的；可憎的
obliterate,vt. 消灭；涂去；冲刷；忘掉
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
repressive,adj. 镇压的；压抑的；抑制的
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
restrict,vt. 限制；约束；限定
suppression,n. 抑制；镇压； 压抑
unjustifiable,adj. 不合道理的；不能分辩的；辩护不了的；不能认为是正当的
ageing population, 人口老化；人口老龄化；老化人口
baby boom,"n. 婴儿潮；生育高峰
 战后婴儿潮；我家四个宝；人口增长的高峰期"
birth rate,"n. 出生率
 人口出生率；生育率；再生速度"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
conservative,找不到解释
retiree,n. （美）退休人员；歇业者
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
longevity,n. 长寿，长命；寿命
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
curriculum,"n. 课程
总课程"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
exceeding,"v. 超过；占优势（exceed的ing形式）
adj. 超越的；非常的；过度的"
pursuit,n. 追赶，追求；职业，工作
on-the-job,adj. 在职的
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
remunerate,vt. 酬劳；给与报酬；赔偿
vacancy,n. 空缺；空位；空白；空虚
vocational guidance,"na. 业务辅导
 职业指导；就业指导；事业指导"
adequate,adj. 充足的；适当的；胜任的
afford,vt. 给予，提供；买得起
apartment,n. 公寓；房间
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
indissolubly,adv. 不能溶解地；不可分解地
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
ownership,n. 所有权；物主身份
plight,"n. 困境；境况；誓约
vt. 保证；约定"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
profiteering,"n. 暴利；不正当利益
v. 获暴利（profiteer的ing形式）
adj. 牟取暴利的"
tenement,n. 房屋；住户，租户；租房子
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
biological,adj. 生物的；生物学的
competent,adj. 胜任的；有能力的；能干的；足够的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
deep-seated,adj. 深层的；根深蒂固的；深位的
discrimination,n. 歧视；区别，辨别；识别力
discourage,vt. 阻止；使气馁
emotional,adj. 情绪的；易激动的；感动人的
endurable,adj. 能忍耐的；可忍受的；能持久的
frailty,n. 虚弱；弱点；意志薄弱
leader,n. 领导者；首领；指挥者
amiable,adj. 和蔼可亲的，亲切的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
acquire,vt. 获得；取得；学到；捕获
assessment,n. 评定；估价
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
capacity,n. 能力；容量；资格，地位；生产力
creative,adj. 创造性的
cultivate,vt. 培养；陶冶；耕作
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
distinguish right from wrong,找不到解释
endowment,n. 捐赠；捐助；捐款；天资
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
impractical,adj. 不切实际的，不现实的；不能实行的
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
inquisitive,adj. 好奇的；好问的，爱打听的
scholarship,n. 奖学金；学识，学问
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
insight,n. 洞察力；洞悉
instructive,adj. 有益的；教育性的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
judgment,n. 判断；裁判；判决书；辨别力
literacy,n. 读写能力；精通文学
mentality,n. 心态； 智力；精神力；头脑作用
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
ridiculous,adj. 可笑的；荒谬的
utilitarian,"n. 功利主义者
adj. 功利的；功利主义的；实利的"
wisdom,n. 智慧，才智；明智；学识；至理名言
achievement,n. 成就；完成；达到；成绩
adversity,n. 逆境；不幸；灾难；灾祸
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
tradition,n. 惯例，传统；传说
collaborate,vi. 合作；勾结，通敌
compassion,n. 同情；怜悯
effort,n. 努力；成就
emotion,n. 情感；情绪
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
hardship,n. 困苦；苦难；艰难险阻
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
optimistic,adj. 乐观的；乐观主义的
pessimistic,adj. 悲观的，厌世的；悲观主义的
self-access,"n. 自选资料自学
adj. 可自行选用的；自行选择学习资料的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
bookworm,n. 书呆子；蠹鱼，蛀书虫
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
campus,n. （大学）校园；大学，大学生活；校园内的草地
extracurricular,adj. 课外的；业余的；婚外的
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
home environment,"un. 家庭环境
 家居环境；居家环境；本地环境"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
lax,"n. 松元音；泻肚
adj. 松的；松懈的；腹泻的
adj. 不严格的；不严谨的"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
 取决于；是…的责任；苟合"
oral,"n. 口试
adj. 口头的，口述的"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
righteous,adj. 正义的；正直的；公正的
motivate,vt. 刺激；使有动机；激发…的积极性
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
well-educated,adj. 受过良好教育的
nervous,adj. 神经的；紧张不安的；强健有力的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
beneficial,adj. 有益的，有利的；可享利益的
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
carefree,adj. 无忧无虑的；不负责的
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
cope with,"v. 对付；应付
 处理；应对；解决"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
paternal,adj. 父亲的；得自父亲的；父亲般的
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
suppress,vt. 抑制；镇压；废止
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
aptitude,n. 天资；自然倾向；适宜
attitude,n. 态度；看法；意见；姿势
authentic,adj. 真正的，真实的；可信的
communicative,adj. 交际的；爱说话的，健谈的；无隐讳交谈的
cooperative,"n. 合作社
adj. 合作的；合作社的"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
instrument,n. 仪器；工具；乐器；手段；器械
integrative,adj. 综合的
interactive,adj. 交互式的；相互作用的
native speaker,"n. 说本族语的人；母语使用者
 说母语的人；母语人士；以某种语言为母语的人"
preference,n. 偏爱，倾向；优先权
production,n. 成果；产品；生产；作品
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
ancestor,n. 始祖，祖先；被继承人
ancestry,n. 祖先；血统
archaeologist,n. 考古学家
artistic value, 艺术价值；艺术值；艺术性
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
bilingual,"n. 通两种语言的人
adj. 双语的"
calligraphy,n. 书法；笔迹
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
diverse,adj. 不同的；多种多样的；变化多的
inheritance,n. 继承；遗传；遗产
language,n. 语言；语言文字；表达能力
linguistic,adj. 语言的；语言学的
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
endanger,vt. 危及；使遭到危险
forebear,n. 祖先；祖宗
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
preservation,n. 保存，保留
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
variety,n. 多样；种类；杂耍；变化，多样化
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
construction,n. 建设；建筑物；解释；造句
genuine,adj. 真实的，真正的；诚恳的
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
commemorate,vt. 庆祝，纪念；成为…的纪念
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
devastate,vt. 毁灭；毁坏
disappearance,n. 消失；不见
ethnic,adj. 种族的；人种的
folk art,"n. 民间艺术
 民间艺术之都；民俗艺术；民间美术"
invaluable,adj. 无价的；非常贵重的
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
proficiency,n. 精通，熟练
national identity,"na. 民族面貌
 国家认同；民族认同；国族认同"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
relic,n. 遗迹，遗物；废墟；纪念物
renovation,n. 革新；修理；恢复活力
reservation,n. 预约，预订；保留
residence,n. 住宅，住处；居住
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
temple,n. 庙宇；寺院；神殿；太阳穴
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
amusement,n. 消遣，娱乐；乐趣
athletic,adj. 运动的，运动员的；体格健壮的
aggravate,vt. 加重；使恶化；激怒
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bonding,"n. 粘合； 压焊
v. 结合（bond的现在分词）；联系
adj. 结合的；黏结的"
commercialize,vt. 使商业化；使商品化
conducive,adj. 有益的；有助于…的
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
contradiction,n. 矛盾；否认；反驳
diplomatic,adj. 外交的；外交上的；老练的
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
essence,n. 本质，实质；精华；香精
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
hooliganism,n. 流氓行为
hostility,n. 敌意；战争行动
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
politicize,"vt. 使具有政治性
vi. 参与政治"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
provoke,vt. 驱使；激怒；煽动；惹起
rivalry,n. 竞争；对抗；竞赛
slogan,n. 标语；呐喊声
tournament,n. 锦标赛，联赛；比赛
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
accustom,vt. 使习惯于
antagonism,n. 对抗，敌对；对立；敌意
avid,adj. 渴望的，贪婪的；热心的
cross-cultural,adj. 跨文化的；交叉文化的
destination,n. 目的地，终点
disruption,n. 破坏，毁坏；分裂，瓦解
congestion,n. 拥挤；拥塞；淤血
currency,n. 货币；通货
ecotourism,n. 生态旅游，生态旅行（前往生态资源未被破坏的地方旅行）
heritage,n. 遗产；传统；继承物；继承权
hospitable,adj. 热情友好的；（环境）舒适的
hospitality,n. 好客；殷勤
horizon,n.  地平线；视野；眼界；范围
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
relic,n. 遗迹，遗物；废墟；纪念物
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
revenue,n. 税收，国家的收入；收益
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
tourism,n. 旅游业；游览
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
complicated,adj. 难懂的，复杂的
diversity,n. 多样性；差异
enrichment,n. 丰富；改进；肥沃；发财致富
erroneous,adj. 错误的；不正确的
identity,n. 身份；同一性，一致；特性；恒等式
ideology,n. 意识形态；思想意识；观念学
modernization,n. 现代化
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
superpower,n. 超级大国；超级强权
suppress,vt. 抑制；镇压；废止
unification,n. 统一；一致；联合
annoyance,n. 烦恼；可厌之事；打扰
atmosphere,n. 气氛；大气；空气
cognizant,adj. 审理的；已认知的
combustion,n. 燃烧，氧化；骚动
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
expediency,n. 方便，权宜；私利
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
furnish,vt. 提供；供应；装备
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hub,n. 中心；毂；木片
allergic,adj. 对…过敏的；对…极讨厌的
aggravate,vt. 加重；使恶化；激怒
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
mobility,n. 移动性；机动性； 迁移率
akin,adj. 类似的；同类的；同族的
escapade,n. 越轨行为；恶作剧
escapologist,n. 表演脱身术的人
globe-trotter,n. 环球旅行者，周游世界者，环球游览者
hair-raising,adj. 令人恐惧的；令人毛骨悚然的
inveterate,adj. 根深的；积习的；成癖的
toxic,adj. 有毒的；中毒的
under-served, 缺乏服务；零售商业面积最不足
qui vive,n. （口令）谁，哪个
realm,n. 领域，范围；王国
baby boomer,"n. 在生育高峰期中出生的人
 婴儿潮；婴儿潮世代；战后婴儿潮"
unfrequented,adj. 人迹罕到的; 冷; 冷落
actuate,vt. 开动（机器等）；促使，驱使；激励（人等）
commoner,n. 平民；自费学生；下议院议员
destination,n. 目的地，终点
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
urbanism,n. 都市生活；都市集中
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
thruway,n. 高速公路
spectacular,adj. 壮观的，惊人的；公开展示的
flexible,adj. 灵活的；柔韧的；易弯曲的
inure,"vt. 使…习惯；使…适应
vi. 适用；起作用；有助于"
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
lurch,"n. 突然倾斜；蹒跚；挫折
vi. 倾斜；蹒跚
vt. 击败"
alienation,n. 异化；疏远；转让； 精神错乱；间离效果（alienation effect）
unaffordable,adj. 买不起的
deprive,vt. 使丧失，剥夺
mislead,vt. 误导；带错
ubiquitous,adj. 普遍存在的；无所不在的
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
intimacy,n. 性行为；亲密；亲昵行为；隐私
fall into a flat spin,找不到解释
abnegation,n. 拒绝；放弃；克制
backdrop,n. 背景；背景幕；交流声
eternal,adj. 永恒的；不朽的
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
humanity,n. 人类；人道；仁慈；人文学科
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
methodology,n. 方法学，方法论
morality,n. 道德；品行，美德
panorama,n. 全景，全貌；全景画；概论
perception,n. 知觉； 感觉；看法；洞察力；获取
self-identity,n. 认同
specious,adj. 似是而非的；外表美观的；华而不实的；徒有其表的
anticlimax,n. 突降法；虎头蛇尾；令人扫兴的结尾
antithetical,adj. 对立的，正相反的
apotheosis,n. 神化；崇拜，颂扬；尊奉为神
benighted,"adj. 愚昧的；赶路到天黑的
v. 使处于夜色包围之中；使愚昧无知（benight的过去分词）"
bewildering,"adj. 使人困惑的；令人产生混乱的
v. 使迷惑（bewilder的ing形式）"
blood-shot,adj. 充血的
calculated,"v. 计算；估计；打算（calculate的过去式和过去分词）
adj. 计算出的；适合的；有计划的"
calamity,n. 灾难；不幸事件
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
envisage,vt. 正视，面对；想像
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
gnawing,"n. 咬；不断的苦痛
adj. 令人痛苦的；折磨人的
v. 咬；侵蚀（gnaw的ing形式）"
go-getter,n. 老手；能干的人
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
alter,"vt. 改变，更改
vi. 改变；修改"
accessibility,n. 易接近；可亲；可以得到
ascendant,"n. 优势；运星；支配地位
adj. 上升的；优越的"
availability,n. 可用性；有效性；实用性
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
prototype,n. 原型；标准，模范
prerequisite,"n. 先决条件
adj. 首要必备的"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
theory,n. 理论；原理；学说；推测
foundation,n. 基础；地基；基金会；根据；创立
transformation,n.  转化；转换；改革；变形
confinement,n. 限制；监禁；分娩
ambience,n. 气氛，布景；周围环境
accessible,adj. 易接近的；可进入的；可理解的
accommodation,n. 住处，膳宿；调节；和解；预订铺位
barometer,n.  气压计；晴雨表；显示变化的事物
