abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
airborne,adj.  空运的；空气传播的；风媒的
aisle,n. 通道，走道；侧廊
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alienate,vt. 使疏远，离间；让与
allege,vt. 宣称，断言；提出…作为理由
allegedly,adv. 依其申述；据说，据称
alleviate,vt. 减轻，缓和
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allotment,n. 分配；分配物；养家费；命运
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
ambiguous,adj. 模糊不清的；引起歧义的
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
ample,adj. 丰富的；足够的；宽敞的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
analogy,n. 类比；类推；类似
analytical,adj. 分析的；解析的；善于分析的
anew,adv. 重新；再
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
annoyance,n. 烦恼；可厌之事；打扰
anonymous,adj. 匿名的，无名的；无个性特征的
apparatus,n. 装置，设备；仪器；器官
appease,vt. 使平息；使满足；使和缓；对…让步
appendix,n. 附录；阑尾；附加物
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
appraise,vt. 评价，鉴定；估价
appropriation,n. 拨款；挪用
apt,adj. 恰当的；有…倾向的；灵敏的
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
armor,"n.  装甲；盔甲
vt. 为…装甲"
armour,n. 盔甲；装甲；护面
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
arrogance,n. 自大；傲慢态度
arrogant,adj. 自大的，傲慢的
artful,adj. 巧妙的；狡猾的；有技巧的；欺诈的
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
artifact,n. 人工制品；手工艺品
artwork,n. 艺术品；插图；美术品
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
ascertain,vt. 确定；查明；探知
ascribe,vt. 归因于；归咎于
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
assertive,adj. 肯定的；独断的；坚定而自信的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
attributable,adj. 可归于…的；可归属的
authenticity,n. 真实性，确实性；可靠性
authoritative,adj. 有权威的；命令式的；当局的
authorize,vt. 批准，认可；授权给；委托代替
automation,n. 自动化；自动操作
autonomous,adj. 自治的；自主的；自发的
autonomy,n. 自治，自治权
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
availability,n. 可用性；有效性；实用性
avert,vt. 避免，防止；转移
aviation,n. 航空；飞行术；飞机制造业
avoidance,n. 逃避；废止；职位空缺
axis,n. 轴；轴线；轴心国
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
bankruptcy,n. 破产
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
battalion,n. 营，军营；军队，部队
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
behavioral,adj. 行为的
behavioural,adj. 行为的；动作的
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
bewilder,vt. 使迷惑，使不知所措
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bilingual,"n. 通两种语言的人
adj. 双语的"
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
bless,vt. 祝福；保佑；赞美
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
boastful,adj. 自夸的；自负的；喜夸耀的
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
brewery,n. 啤酒厂
briefing,"n. 简报；作战指示
v. 概述；作…的摘要（brief的现在分词）"
brighten,"vt. 使闪亮；使生辉；使快乐高兴
vi. 明亮；变亮；活跃；快乐高兴"
brink,n. （峭壁的）边缘
brood,"n. 一窝；一伙
vt. 孵；沉思"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
bureaucrat,n. 官僚；官僚主义者
bureaucratic,adj. 官僚的；官僚政治的
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
cape,n.  海角，岬；披肩
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
casualty,n. 意外事故；伤亡人员；急诊室
cater,vt. 投合，迎合；满足需要；提供饮食及服务
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cavity,n. 腔；洞，凹处
certification,n. 证明，保证；检定
certify,v. 证明；保证
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
chord,n. 弦；和弦；香水的基调
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
chronic,adj. 慢性的；长期的；习惯性的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
circulation,n. 流通，传播；循环；发行量
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clarification,n. 澄清，说明；净化
clarity,n. 清楚，明晰；透明
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
classified,"n. 分类广告
v. 把…分类（classify的过去分词）
adj. 分类的；类别的；机密的"
clearance,n. 清除；空隙
clear-cut,adj. 清晰的；轮廓鲜明的
climax,n. 高潮；顶点；层进法；极点
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
coalition,n. 联合；结合，合并
cognitive,adj. 认知的，认识的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesion,n. 凝聚；结合； 内聚力
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
collaboration,n. 合作；勾结；通敌
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
commemorate,vt. 庆祝，纪念；成为…的纪念
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
commentary,n. 评论；注释；评注；说明
commodity,n. 商品，货物；日用品
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commonwealth,n. 联邦；共和国；国民整体
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
compile,vt. 编译；编制；编辑； 汇编
complement,"n. 补语；余角；补足物
vt. 补足，补助"
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
complexity,n. 复杂，复杂性；复杂错综的事物
complication,n. 并发症；复杂；复杂化；混乱
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
comply,vi. 遵守；顺从，遵从；答应
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
conceited,adj. 自负的；狂想的；逞能的
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conception,n. 怀孕；概念；设想；开始
concise,adj. 简明的，简洁的
concurrently,adv. 兼；同时发生地
condemnation,n. 谴责；定罪；非难的理由；征用
confer,"vt. 授予；给予
vi. 协商"
confidential,adj. 机密的；表示信任的；获信任的
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conformity,n. 一致，适合；符合；相似
confrontation,n. 对抗；面对；对质
congressman,n. 国会议员；众议院议员
conqueror,n. 征服者；胜利者
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
consecutive,adj. 连贯的；连续不断的
consequent,"n. 结果
adj. 随之发生的；作为结果的"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
conspicuous,adj. 显著的；显而易见的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constrain,vt. 驱使；强迫；束缚
constrict,vt. 压缩；束紧
consultancy,n. 咨询公司；顾问工作
consultative,adj. 咨询的
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contempt,n. 轻视，蔑视；耻辱
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contention,n. 争论，争辩；争夺；论点
continuance,n. 持续；停留；续篇；诉讼延期
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
conversion,n. 转换；变换； 兑换；改变信仰
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
cooperative,"n. 合作社
adj. 合作的；合作社的"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correlation,n.  相关，关联；相互关系
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
councilor,n. 顾问；评议员；参赞
counterclockwise,"adj. 反时针方向的
adv. 反时针方向"
counterpart,n. 副本；配对物；极相似的人或物
courageous,adj. 有胆量的，勇敢的
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
coverage,n. 覆盖，覆盖范围；新闻报道
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
credible,adj. 可靠的，可信的
criterion,n. （批评判断的）标准；准则；规范；准据
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
cultivation,n. 培养；耕作；耕种；教化；文雅
cumulative,adj. 累积的
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
decimal,"n. 小数
adj. 小数的；十进位的"
decisive,adj. 决定性的；果断的，坚定的
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
dedicate,vt. 致力；献身；题献
dedication,n. 奉献；献身；赠言
deduce,vt. 推论，推断；演绎出
deduction,n. 扣除，减除；推论；减除额
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
defection,n. 背叛；缺点；变节；脱党
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
defiance,n. 蔑视；挑战；反抗
deficient,adj. 不足的；有缺陷的；不充分的
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
denote,vt. 表示，指示
denounce,vt. 谴责；告发；公然抨击；通告废除
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
deport,vt. 驱逐出境；举止；放逐
deprive,vt. 使丧失，剥夺
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
desirability,n. 愿望；有利条件；值得向往的事物；合意
desirous,adj. 渴望的；想要的
despatch,"n. 派遣；发送（等于dispatch）
vt. 派遣；发送；匆匆吃下
vi. 匆匆离开"
despise,vt. 轻视，鄙视
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
destiny,n. 命运，定数，天命
detach,vt. 分离；派遣；使超然
detain,vt. 拘留；留住；耽搁
detention,n. 拘留；延迟；挽留
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deterioration,n. 恶化；退化；堕落
deviate,"vi. 脱离；越轨
vt. 使偏离"
diagnosis,n. 诊断
dictator,n. 独裁者；命令者
differentiate,"vt. 区分，区别
vi. 区分，区别"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
disable,vt. 使失去能力；使残废；使无资格
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
disciplinary,adj. 规律的；训练的；训诫的
disciplined,"adj. 遵守纪律的；受过训练的
v. 使有纪律（discipline的过去分词）；训导"
disclose,vt. 公开；揭露
disclosure,n.  披露；揭发；被揭发出来的事情
discreet,adj. 谨慎的；小心的
discrepancy,n. 不符；矛盾；相差
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
dismissal,n. 解雇；免职
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
displace,vt. 取代；置换；转移；把…免职；排水
disposition,n. 处置； 性情； 部署；倾向
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
distinguishable,adj. 可区别的；辨认得出的；可辨识的
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distracted,"adj. 心烦意乱的；思想不集中的
v. 分心（distract的过去式）"
diversion,n. 转移；消遣；分散注意力
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
dividend,n. 红利；股息； 被除数；奖金
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
domain,n. 领域；域名；产业；地产
dominance,n. 优势；统治；支配
domination,n. 控制；支配
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
drought,n. 干旱；缺乏
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
dwell,vi. 居住；存在于；细想某事
dweller,n. 居民，居住者
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
eject,vt. 喷射；驱逐，逐出
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
elasticity,n. 弹性；弹力；灵活性
electrician,n. 电工；电气技师
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elicit,vt. 抽出，引出；引起
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
emancipate,vt. 解放；释放
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embody,vt. 体现，使具体化；具体表达
emigrant,"n. 移民；侨民
adj. 移民的；移居的"
emission,n. （光、热等的）发射，散发；喷射；发行
enclosure,n. 附件；围墙；围场
endanger,vt. 危及；使遭到危险
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
endorse,vt. 背书；认可；签署；赞同；在背面签名
endow,vt. 赋予；捐赠；天生具有
enforcement,n. 执行，实施；强制
enrolment,n. 登记，注册；入学
enrollment,n. 登记；入伍
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
entrust,vt. 委托，信托
envisage,vt. 正视，面对；想像
equator,n. 赤道
eradicate,vt. 根除，根绝；消灭
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
essence,n. 本质，实质；精华；香精
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evoke,vt. 引起，唤起；博得
exceptional,"n. 超常的学生
adj. 异常的，例外的"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
execution,n. 执行，实行；完成；死刑
exemplary,adj. 典范的；惩戒性的；可仿效的
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exhaustion,n. 枯竭；耗尽；精疲力竭
expend,vt. 花费；消耗；用光；耗尽
expenditure,n. 支出，花费；经费，消费额
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
exposition,n. 博览会；阐述；展览会
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fabricate,vt. 制造；伪造；装配
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
facet,"n. 面；方面；小平面
vt. 在…上琢面"
falsehood,n. 说谎；假话；不真实；错误的信仰
fatality,n. 死亡；宿命；致命性；不幸；灾祸
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
fellowship,n. 团体；友谊；奖学金；研究员职位
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
finite,"n. 有限之物
adj. 有限的；限定的"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
flatter,vt. 奉承；谄媚；使高兴
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
foresight,n. 先见，远见；预见；深谋远虑
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
formulate,vt. 规划；用公式表示；明确地表达
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
forthcoming,"n. 来临
adj. 即将来临的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fragile,adj. 脆的；易碎的
fright,"n. 惊吓；惊骇
vt. 使惊恐"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
fury,n. 狂怒；暴怒；激怒者
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
