highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
enforce,vt. 实施，执行；强迫，强制
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
reluctant,adj. 不情愿的；勉强的；顽抗的
reputation,n. 名声，名誉；声望
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
abolish,vt. 废除，废止；取消，革除
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
conjunction,n. 结合； 连接词；同时发生
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
commentator,n. 评论员，解说员；实况播音员；时事评论者
induce,vt. 诱导；引起；引诱；感应
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
expressway,n. （美）高速公路
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
naval,adj. 海军的；军舰的
duration,"n. 持续，持续的时间，期间
音长，音延"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
spine,n. 脊柱，脊椎；刺；书脊
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
assembly,n. 装配；集会，集合
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
gene,n.  基因，遗传因子
lavatory,n. 厕所，盥洗室
concede,"vi. 让步
vt. 承认；退让；给予，容许"
confusion,n. 混淆，混乱；困惑
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
warfare,n. 战争；冲突
aptitude,n. 天资；自然倾向；适宜
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
cell-phone,手机（等于cellular phone）
hyphen,"n. 连字号
vt. 以连字号连接"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
digit,n. 数字；手指或足趾；一指宽
heartfelt,adj. 衷心的；真诚的；真心真意的
motel,n. 汽车旅馆
commodity,n. 商品，货物；日用品
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
mistress,n. 情妇；女主人；主妇；女教师；女能人
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
elite,n. 精英；精华；中坚分子
bless,vt. 祝福；保佑；赞美
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
typical,adj. 典型的；特有的；象征性的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
applause,n. 欢呼，喝采；鼓掌欢迎
nervous,adj. 神经的；紧张不安的；强健有力的
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
consideration,n. 考虑；原因；关心；报酬
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
optical,adj. 光学的；眼睛的，视觉的
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
distract,vt. 转移；分心
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
fabric,n. 织物；布；组织；构造；建筑物
attractive,adj. 吸引人的；有魅力的；引人注目的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
adequate,adj. 充足的；适当的；胜任的
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
manner,n. 方式；习惯；种类；规矩；风俗
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
sake,n. 目的；利益；理由；日本米酒
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
psychological,adj. 心理的；心理学的；精神上的
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
denial,n. 否认；拒绝；节制；背弃
evident,adj. 明显的；明白的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
aspect,n. 方面；方向；形势；外貌
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
applicant,n. 申请人，申请者；请求者
incomplete,adj. 不完全的； 不完备的
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
valley,n. 山谷；流域；溪谷
eternal,adj. 永恒的；不朽的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
authority,n. 权威；权力；当局
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
deceive,v. 欺骗；行骗
recession,n. 衰退；不景气；后退；凹处
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
enclose,vt. 围绕；装入；放入封套
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
astonish,vt. 使惊讶
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
insight,n. 洞察力；洞悉
thermometer,n. 温度计；体温计
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
clause,n. 条款； 子句
preposition,n. 介词；前置词
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
amid,prep. 在其中，在其间
butcher,"n. 屠夫
vt. 屠杀"
coarse,adj. 粗糙的；粗俗的；下等的
condemn,vt. 谴责；判刑，定罪；声讨
sausage,n. 香肠；腊肠；装香肠的碎肉
disgraceful,adj. 不名誉的，可耻的
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
penalty,n. 罚款，罚金；处罚
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
fashionable,adj. 流行的；时髦的；上流社会的
geometry,"n. 几何学
几何结构"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
removal,n. 免职；移动；排除；搬迁
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
intact,adj. 完整的；原封不动的；未受损伤的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
cottage,n. 小屋；村舍；（农舍式的）小别墅
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
badminton,n. 羽毛球
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
Celsius,找不到解释
transcript,n. 成绩单；抄本，副本；文字记录
customs,n. 海关；风俗（custom的复数）；习惯；关税
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
dynasty,n. 王朝，朝代
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
underestimate,"n. 低估
vt. 低估；看轻"
apparatus,n. 装置，设备；仪器；器官
guilt,n. 犯罪，过失；内疚
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
terrific,adj. 极好的；极其的，非常的；可怕的
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
situate,"adj. 位于…的
vt. 使位于；使处于"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
federation,n. 联合；联邦；联盟；联邦政府
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
meanwhile,"adv. 同时，其间
n. 其间，其时"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
grateful,adj. 感谢的；令人愉快的，宜人的
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
guilty,adj. 有罪的；内疚的
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
responsible,adj. 负责的，可靠的；有责任的
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
depict,vt. 描述；描画
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
devote,vt. 致力于；奉献
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
maintain,vt. 维持；继续；维修；主张；供养
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
cooperate,vi. 合作，配合；协力
feedback,n. 反馈；成果，资料；回复
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
status,n. 地位；状态；情形；重要身份
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
conquest,n. 征服，战胜；战利品
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
equality,n. 平等；相等； 等式
correspond,vi. 符合，一致；相应；通信
capable,adj. 能干的，能胜任的；有才华的
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
ridiculous,adj. 可笑的；荒谬的
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
request,"n. 请求；需要
vt. 要求，请求"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
appreciation,n. 欣赏，鉴别；增值；感谢
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
virus,n.  病毒；恶毒；毒害
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
involve,vt. 包含；牵涉；使陷于；潜心于
construct,"n. 构想，概念
vt. 建造，构造；创立"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
intelligent,adj. 智能的；聪明的；理解力强的
democratic,adj. 民主的；民主政治的；大众的
pave,vt. 铺设；安排；作铺设之用
deduct,vt. 扣除，减去；演绎
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
theoretical,adj. 理论的；理论上的；假设的；推理的
amusement,n. 消遣，娱乐；乐趣
marginal,adj. 边缘的；临界的；末端的
endurance,n. 忍耐力；忍耐；持久；耐久
string,n. 线，弦，细绳；一串，一行
utilise,vt. 使用（等于utilize）；利用
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
justification,n. 理由；辩护；认为有理，认为正当；释罪
presumably,adv. 大概；推测起来；可假定
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
disgusting,"adj. 令人厌恶的
令人极不能接受的"
checkpoint,n. 检查站，关卡
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
heroism,n. 英勇，英雄气概；英雄行为；勇敢的事迹
facilitate,vt. 促进；帮助；使容易
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
dine,"vi. 进餐，用餐
vt. 宴请"
opt,vi. 选择
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
plumbing,"n. 铅工业；铅管品制造
v. 探究；垂直悬挂；用铅锤测量；灌铅以增重（plumb的现在分词）"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
renovate,vt. 更新；修复；革新；刷新
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
literal,adj. 文字的；逐字的；无夸张的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
anew,adv. 重新；再
mechanise,vt. 使……用机械装置；使……机械化
clarity,n. 清楚，明晰；透明
peanut,n. 花生
essence,n. 本质，实质；精华；香精
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
solution,n. 解决方案；溶液；溶解；解答
worthless,adj. 无价值的；不值钱的；卑微的
complicated,adj. 难懂的，复杂的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
definition,n. 定义； 清晰度；解说
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
rely,vi. 依靠；信赖
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
acknowledge,vt. 承认；答谢；报偿；告知已收到
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
publication,n. 出版；出版物；发表
restrain,vt. 抑制，控制；约束；制止
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
faulty,adj. 有错误的；有缺点的
furnish,vt. 提供；供应；装备
endless,adj. 无止境的；连续的；环状的；漫无目的的
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
victim,n. 受害人；牺牲品；牺牲者
expose,vt. 揭露，揭发；使曝光；显示
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
define,vt. 定义；使明确；规定
