advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
likewise,adv. 同样地；也
mysterious,adj. 神秘的；不可思议的；难解的
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
normally,adv. 正常地；通常地，一般地
obstacle,n. 障碍，干扰；妨害物
originality,n. 创意；独创性，创造力；原始；新奇
recommendation,n. 推荐；建议；推荐信
strive,vi. 努力；奋斗；抗争
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
courageous,adj. 有胆量的，勇敢的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
disposal,n. 处理；支配；清理；安排
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
luminous,adj. 发光的；明亮的；清楚的
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
preside,"vi. 主持，担任会议主席
vt. 管理"
restrict,vt. 限制；约束；限定
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
underestimate,"n. 低估
vt. 低估；看轻"
unsettled,adj. 未决定的；怀疑的；未处理的；不整齐的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
compatible,adj. 兼容的；能共处的；可并立的
complaint,n. 抱怨；诉苦；疾病；委屈
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
correspondence,n. 通信；一致；相当
deceive,v. 欺骗；行骗
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
distinctive,adj. 有特色的，与众不同的
economical,adj. 经济的；节约的；合算的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
fairly,adv. 相当地；公平地；简直
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
mutual,adj. 共同的；相互的，彼此的
notify,vt. 通告，通知；公布
omit,vt. 省略；遗漏；删除；疏忽
prosperous,adj. 繁荣的；兴旺的
publicity,n. 宣传，宣扬；公开；广告；注意
restraint,n. 抑制，克制；约束
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
spouse,"n. 配偶
vt. 和…结婚"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
transaction,n. 交易；事务；办理；会报，学报
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
decidedly,adv. 果断地；断然地；明显；毫无疑问
denote,vt. 表示，指示
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
entrust,vt. 委托，信托
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
undermine,vt. 破坏，渐渐破坏；挖掘地基
workplace,n. 工作场所；车间
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
democracy,n. 民主，民主主义；民主政治
destiny,n. 命运，定数，天命
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
make amends,"na. 赔偿(损失)；道歉；赎罪
 赔罪；补偿；弥补"
observation,n. 观察；监视；观察报告
onset,n. 开始，着手；发作；攻击，进攻
petty,adj. 琐碎的；小气的；小规模的
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
selection,n. 选择，挑选；选集；精选品
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
surpass,vt. 超越；胜过，优于；非…所能办到或理解
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
timber,n. 木材；木料
tolerant,adj. 宽容的；容忍的；有耐药力的
appliance,n. 器具；器械；装置
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
birthright,n. 与生俱来的权利；长子继承权
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
coarse,adj. 粗糙的；粗俗的；下等的
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
crossroad,n. 十字路口；交叉路；岔道；重大的抉择关头
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
device,n. 装置；策略；图案
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
furnish,vt. 提供；供应；装备
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
graceful,adj. 优雅的；优美的
hatred,n. 憎恨；怨恨；敌意
headquarters,n. 总部；指挥部；司令部
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
immense,adj. 巨大的，广大的；无边无际的；非常好的
incredible,adj. 难以置信的，惊人的
industrialize,"vt. 使工业化
vi. 实现工业化"
install,vt. 安装；任命；安顿
intact,adj. 完整的；原封不动的；未受损伤的
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
resent,vt. 怨恨；愤恨；厌恶
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
civic,adj. 市的；公民的，市民的
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
criticism,n. 批评；考证；苛求
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
faculty,n. 科，系；能力；全体教员
gigantic,adj. 巨大的，庞大的
imply,vt. 意味；暗示；隐含
indignant,adj. 愤愤不平的；义愤的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
layout,n. 布局；设计；安排；陈列
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
lofty,adj. 高的；崇高的；高级的；高傲的
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
presumably,adv. 大概；推测起来；可假定
prosperity,n. 繁荣，成功
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
transcend,vt. 胜过，超越
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
allegedly,adv. 依其申述；据说，据称
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
disgraceful,adj. 不名誉的，可耻的
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
eliminate,vt. 消除；排除
elite,n. 精英；精华；中坚分子
epoch,n.  世；新纪元；新时代；时间上的一点
journal,n. 日报，杂志；日记；分类账
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
proficiency,n. 精通，熟练
refute,vt. 反驳，驳斥；驳倒
representation,n. 代表；表现；表示法；陈述
retain,vt. 保持；雇；记住
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
scarcely,adv. 几乎不，简直不；简直没有
statesman,n. 政治家；国务活动家
sufficient,adj. 足够的；充分的
unity,n. 团结；一致；联合；个体
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
discrepancy,n. 不符；矛盾；相差
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
hurricane,n. 飓风，暴风
intervene,vi. 干涉；调停；插入
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
muscular,adj. 肌肉的；肌肉发达的；强健的
predecessor,n. 前任，前辈
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
terrific,adj. 极好的；极其的，非常的；可怕的
tropical,adj. 热带的；热情的；酷热的
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
