phantom,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
Nevada,n. 内华达（美国州名）
in the air,"na. (计划等)悬着；在空中；(谣言等)流传；无掩护的
 在流行中；在传播中；悬而未决"
gardening,n. 园艺；园林工人的工作
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
jasmine,n. 茉莉；淡黄色
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
sweet-smelling, 芬芳；芳；香；香喷喷
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
ignore,vt. 驳回诉讼；忽视；不理睬
Yulan magnolia,找不到解释
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
golden,adj. 金色的，黄金般的；珍贵的；金制的
cactus,n.  仙人掌
tolerate,vt. 忍受；默许；宽恕
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
creature,n. 动物，生物；人；创造物
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
emerge,vi. 浮现；摆脱；暴露
pest,n. 害虫；有害之物；讨厌的人
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
property,n. 性质，性能；财产；所有权
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
bulletproof,adj. 防弹的
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
rarely,adv. 很少地；难得；罕有地
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
get one's point,抓住某人话中要点
have in common,找不到解释
have something in common, 有共同之处；彼此有着共通点；有一些共同之处
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
occur,vi. 发生；出现；存在
continuously,adv. 连续不断地
absence,n. 没有；缺乏；缺席；不注意
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
den,"n. 贼窝，私室；兽穴，窝巢；小房间
vt. 把……赶进洞穴
vi. 藏到洞里；住在肮脏简陋的小房间里"
accidentally,adv. 意外地；偶然地
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
temporarily,adv. 临时地，临时
guilty,adj. 有罪的；内疚的
conscience,n. 道德心，良心
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
behaviour,n. 行为；习性；运行状况（=behavior）
at this point,"un. 在…处；在…地方；在这时
 此时；至此；在这一点上"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
violence,n. 暴力；侵犯；激烈；歪曲
checkout,n. 检验；签出；结账台；检出
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
grumble,"n. 怨言
adv. 抱怨地表示；嘟囔地说
vi. 抱怨；嘟囔
vt. 喃喃地说出"
error,n. 误差；错误；过失
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
mean to,"un. 对某人重要；对某人有价值:
 故意；打算；想要"
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
counsellor,n. 顾问；参赞；辅导员（等于counselor）；律师；法律顾问
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
watch for,"v. 期待；等待
 监视；注意；守候"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
consumer,n. 消费者；用户，顾客
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
typical,adj. 典型的；特有的；象征性的
actor,n. 男演员；行动者；作用物
identify with,"v. 相同于
 认同；认为…等同于；与…认同"
advertiser,n. 广告客户；刊登广告的人
educator,n. 教育家；教育工作者；教师
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
possessions,n.  财产；所有物（possession的复数形式）
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
with reference to,"na. 关于
 有关；参考；参照"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
furthermore,adv. 此外；而且
best-selling,"n. 畅销品
adj. 最畅销的；畅销作品的"
association,n. 协会，联盟，社团；联合；联想
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
management,n. 管理；管理人员；管理部门；操纵；经营手段
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
expenses,"n. 费用（expense的复数形式）； 开支
v. 向…收取费用；被花掉（expense的第三人称单数形式）"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
