hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
racial,adj. 种族的；人种的
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
embarrass,vt. 使局促不安；使困窘；阻碍
backwards,adv. 倒；向后；逆
conclusion,n. 结论；结局；推论
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
mistaken,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
appearance,n. 外貌，外观；出现，露面
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
simplify,vt. 简化；使单纯；使简易
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
indicate,vt. 表明；指出；预示；象征
shortcoming,n. 缺点；短处
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
eyesight,n. 视力；目力
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
convenient,adj. 方便的；适当的；近便的；实用的
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
practical,adj. 实际的；实用性的
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
typewriter,n. 打字机
version,n. 版本；译文；倒转术
civilization,n. 文明；文化
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
BC,abbr. 公元前（Before Christ）
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
take over,"na. 接管；继承
 接收；接任；接替"
volcano,n. 火山
AD,找不到解释
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
lava,n. 火山岩浆；火山所喷出的熔岩
ash,n. 灰；灰烬
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
researcher,n. 研究员
true-to-life,逼真的
disaster,n. 灾难，灾祸；不幸
destroy,vt. 破坏；消灭；毁坏
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
gradually,adv. 逐步地；渐渐地
sandstorm,n.  沙暴；大风沙
scholar,n. 学者；奖学金获得者
cultural,adj. 文化的；教养的
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
remains,n. 残余；遗骸
beneath,"prep. 在…之下
adv. 在下方"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
workshop,n. 车间；研讨会；工场；讲习班
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
wooden,adj. 木制的；僵硬的，呆板的
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
historical,adj. 历史的；史学的；基于史实的
solution,n. 解决方案；溶液；溶解；解答
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
audience,n. 观众；听众；读者；接见；正式会见；拜会
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
republic,n. 共和国；共和政体
chairman,n. 主席，会长；董事长
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
navy,"n. 海军
深蓝色的"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
airfield,n. 飞机场
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
sailor,n. 水手，海员；乘船者
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
aircraft,n. 飞机，航空器
carrier,n.  载体；运送者；带菌者；货架
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
in memory of,"na. 纪念…
 为纪念；为了纪念；以纪念"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
rise up against,找不到解释
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
stand in one's path,找不到解释
march,n. 三月
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
come down with,"na. 生病；得(病)
 病倒；染上；患"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
philosophy,n. 哲学；哲理；人生观
salary,"n. 薪水
vt. 给...加薪；给...薪水"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
basis,n. 基础；底部；主要成分；基本原则或原理
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
god,找不到解释
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
