a collection of,"un. 收藏的
 集…为一体的；一批；的收藏"
be amazed at,"na. 对…大为惊异
 对……感到惊讶；对某事感到惊讶；对……感到惊奇"
be applicable to,"v. 适用于；能应用
 应用于；适应于；适当的"
based on,找不到解释
be based on,"v. 以…为基础
 根据；基于；以……为根据"
be beneficial to,"v. 有益于
 对…有益；有利于；对…有利"
be biased against,"na. 对…抱有偏见
 对……有偏见"
be bound to,"v. 一定要；决心
 必定；注定；一定会"
cautious about, 谨慎于；小心谨慎的；对…谨慎
be cautious about,找不到解释
be composed of,"na. 由…组成
 由…构成；由…组成的；强调由什么成分所构成"
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
be confined to, 局限于；限制在；限制在，局限于
confronted with, 面对；遭遇到
be confronted with,"na. 碰到(困难)
 面临；面对；面临着"
conscious of, 意识到；察觉到；察觉到，意识到
be conscious of,"na. 意识到
 察觉；知道；觉察"
be considered as,"v. 被认为是
 被看作；被看做；被认为是一个独立的学科"
be contented with,找不到解释
be dependent on,"na. 依靠
 依赖；依赖于；取决于"
be deprived of,"na. 失却
 被剥夺；剥夺某人的；丧失"
be discriminated against,找不到解释
be doubtful about,对…感到怀疑
be eager to,"v. 渴望
 热切想做；渴望要做；渴望做"
eligible for, 合格；对……合格；够资格
be eligible for, 有资格；对•••有资格；合格的
be equal to,"na. 等于；胜任；赶得上；忍耐得住
 与……相等；相当；能胜任"
be equipped with,"na. 安置着；身上穿着
 装备有；装有；配备"
be essential for, 对……至关重要；对……很必要；对…很重要
be exposed to, 暴露于；面临；暴露在
be faced with,"v. 面临
 面对；面临着；遇到"
be famous for,"v. 因…出名
 因…而出名；因……而著名；因……而闻名"
be fed up with,"na. 吃…吃得过饱；厌倦
 厌烦；受够了；讨厌"
be fit to do sth.,找不到解释
be good at sth.,找不到解释
be good at doing sth.,找不到解释
be helpful to,"v. 有助于；对…有
 对……有益处；对…有帮助；对……是有帮助的"
be hesitant about,找不到解释
be impressed with,"na. 深感；为…所感动
 对……印象深刻；留下深刻印象；留下深刻的印象"
incorporate into, 并入；把什么并入；纳入
incorporated into,找不到解释
be incorporated into, 并入；被编织成
be indifferent to,"na. 对…不关心
 不在乎；对…漠不关心；对……感到无所谓"
be inferior to, 劣于；不如；低于
be interested in sth.,找不到解释
be interested in doing sth.,找不到解释
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
get involved in,"un. 患病；参加
 卷入；参与；涉及"
be keen on,"na. 喜爱
 渴望；喜欢；热衷于"
be known as,"na. 通称
 被称为；被称作；被认为是"
be known for,"un. 公认；闻名；以…著称
 因…而出名；因为…而出名；以……著称"
be likely to do sth.,找不到解释
be meant to do sth.,找不到解释
be obliged to do sth.,找不到解释
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
 沉迷于；痴迷于；对…着迷"
be opposed to sth.,找不到解释
be peculiar to,"v. 限于
 是……所特有的；相关词组；特别的"
be ready to do sth.,找不到解释
related to,"prep. 关于
 与…有关；与…有关系；与……相关"
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
be related with, 与…有关系；与…相关
be reluctant to do sth.,找不到解释
be resistant to sth.,找不到解释
be responsible to, 对某人负责；向……负责；对…负责
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
be dissatisfied with,"na. 不满于
 对……不满；对……不满意"
be short of, 缺少；缺乏；短缺
be similar to,"na. 像
 与…相似；和……相似；类似"
be skeptical of,找不到解释
be skeptical about,找不到解释
be strict with sb.,找不到解释
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
be suitable for,"v. 合适
 适合于；对……合适；对…适合"
be superior to,"na. 比…好；超然于
 优于；比……优越；胜过"
be susceptible to,"na. 对…敏感
 易受影响的；容易受到；易患"
be tolerant of,"na. 对…能容忍
 对…容忍；对……的容忍；对……宽容"
be unlikely to do sth.,找不到解释
be up to sb.,找不到解释
be up to sth.,找不到解释
be used to doing sth.,找不到解释
be vital to sth.,找不到解释
be vulnerable to, 易于患上；易受；对…无能为力
be willing to do sth.,找不到解释
worth doing sth.,找不到解释
be worth doing sth.,找不到解释
be better off doing sth.,找不到解释
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring down,"na. 降低；击落；削减；使落下
 打倒；使下降；使倒下"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
in contrast,"adv. 相反
 相比之下；对比；成对比"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
care about,"v. 在意
 关心；在乎；担心"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
catch up with,"v. 赶上
 追上；赶上某人；跟上"
cling to,"v. 依附；坚持
 墨守；紧紧抓住；附着"
combine A with B,找不到解释
come to terms with ...,找不到解释
come up against,"na. 遭到(反对)；与…矛盾
 碰到；遇到；与...矛盾"
come up to,"na. 到达；不亚于；不负(期待)
 达到；符合；达到，符合"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
compare with,"na. 和…比较
 与…相比；与…相比较；与…比较"
compete against,"v. 竞争
 展开竞争；与……竞争；与某人竞争"
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
complain about,"v. 埋怨
 抱怨；抱怨某事；抱怨某人或事情"
conform to,"na. 遵照；顺应；遵守
 符合；遵从；适合，符合"
conform with,"v. 符合
 合乎；与一致；与某事物相符或相一致"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
contribute to sth.,找不到解释
cope with,"v. 对付；应付
 处理；应对；解决"
cover for, 掩护；代替；顶替
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
 掩盖；掩饰；掩饰，掩盖"
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
deal in,"na. 买卖(货物)；办理；经营
 经销；参与；做……买卖，出售"
depend on,"v. 依靠
 依赖；取决于；视……而定"
depend upon,"v. 依靠
 依赖；取决于；靠……决定"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
die of,"na. 因…而死
 死于；因……而死；因……病而死"
die from,"na. 因伤致死
 死于；由于…而死；因某事而死"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
discourage sb. from doing sth.,找不到解释
distinguish A from B, 区别A和B；辨别；显示A和B的差别
do away with,"na. 废除；干掉
 去掉；除去；消灭"
do harm to,"v. 损害
 对…有害；伤害；对……造成伤害"
draw a conclusion from, 从……得出结论；从……中得出结论
earn a living, 谋生；谋生或维持生活；赚钱谋生
equip ... with ...,找不到解释
exert an influence on,"un. 对…发生影响
 产生影响；对……施加影响；对……产生影响"
fail to do, 未能做某事；做某事失败；没能做成某事
fall short of,"na. “come short”的变体；“fall short”的变体
 达不到；缺乏；不符合"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
for a while,"adv. 片刻
 暂时；一会儿；一时"
for example,"na. 例如
 举例；比如；比如说"
for free, 免费地；免费的；为了免费
for instance,"na. 例如
 比如；举例说；举例来说"
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
get over,"na. 同“get across”
 克服；恢复；越过"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
go for,"na. 去喊；拥护；被认为；袭击
 适用于；为……去；支持"
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
go wrong,"na. 走错路；失败
 出毛病；出错；发生故障"
have a knowledge of,找不到解释
have an influence on, 影响；对…有影响；影响例句
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
hold on to,"na. 赖着不走
 坚持；紧紧抓住；抓住不放"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
impose ... on,"v. 强迫；欺骗
 把…强加于；施加影响于；利用"
in addition,"na. 加之
 另外；此外；又"
in addition to,"na. 加之
 除…之外；除了；除…外"
in detail,"na. 详细
 详细地；详细的；详尽"
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in fear of,"un. 为-而担心
 害怕；在…恐惧中；为…提心吊胆"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
in place of,"na. 代替
 取代；替代；取代，交换"
in public,"na. 公然
 当众；公开地；在公共场合"
in pursuit of,"na. 寻求
 追求；为追求；追赶"
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
in turn,"na. 挨次
 依次；轮流；反过来"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
inform sb. of,"v. 通知关于
 告诉；将…告知；报告"
in fashion,"na. 时新的
 流行；时兴；正流行"
out of fashion,"adj. 过时
 不流行；不合时尚；过时的"
insist on doing sth.,找不到解释
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
isolate from ...,找不到解释
keep away from,"v. 远离
 避开；使远离；别靠近"
keep a promise,"na. 遵守诺言；守约
 信守诺言；践约；遵守承诺"
break a promise,"na. 违反诺言；不守诺言；违约
 违背诺言；失信；食言"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
lack of,"v. 缺乏
 缺少；不足；不够"
later on,"na. 过后；后来
 以后；随后；稍后"
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
lead to,"na. 通向
 导致；引起；通往"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
look at,"na. 看；考虑
 看着；注视；瞧"
look down upon,"v. 轻视
 看不起；瞧不起；蔑视"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
look forward to sth.,找不到解释
look forward to doing sth.,找不到解释
look into,"na. 窥视；调查；过问
 研究；检查；了解"
make a bargain,"un. 信守自己的承诺；讲条件
 达成协议；做成交易；达成一致"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
make a fuss,"na. 小题大做
 大惊小怪；大声吵闹；无事自扰"
make an effort to do sth.,找不到解释
make for,"na. 有利于；对…有益；倾向于；支持
 走向；向…前进；有助于"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
mark down,"na. 记下；减价；记清(禽兽逃往处)
 降价；写下；标价降低数"
mistake ... for ...,找不到解释
mix up,"na. 调匀；混淆；使结交坏朋友；猛烈互击
 混合；搞糊涂；混合在一起"
no longer,"na. 不再
 已不；再也；再也不"
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
not any more,"adv. 不再
 不再痛了；不再有更多的；不会再"
not only ... but ...,找不到解释
not only ... but also ...,找不到解释
on average, 平均；平均起来；通常
on the contrary,"na. 反之
 正相反；相反地；相反的"
on the one hand ...,找不到解释
on the other hand ...,找不到解释
on time,"na. 按时；及时
 准时；正点；准时地"
once in a while,偶尔；有时（等于every once in a while）
only if,"conj. 只有当
 只要；除非；只要…就"
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
owe ... to,"v. 由于；把…归功于
 应该把…归功于；欠；因为"
pass on,"na. “pass away”的变体；递；传达；通过
 传递；传授；把…传给别人"
pay attention to,"na. 注意
 重视；对……注意；关心"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
play a role in ...,找不到解释
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
point out,"na. 指出
 指明；说明；指示"
pose a challenge to ...,找不到解释
prefer to do sth.,找不到解释
prefer A to B, 更喜欢A；比起B来更喜欢A；相比B更喜欢A
prevent sb. from doing sth.,找不到解释
protect sb. from ...,找不到解释
protect sb. against ...,找不到解释
protect sth. from ...,找不到解释
protect sth. against ...,找不到解释
provide sb. with sth.,找不到解释
provide sth. for ...,找不到解释
put on,"na. 假话
 穿上；上演；戴上"
put up with,"na. 忍住
 忍受；容忍；忍耐"
put emphasis on,"na. 着重在；强调
 重视；加强；强调某事"
place emphasis on,"na. 着重在；加强(语气)
 强调；重视；以…为重心"
lay emphasis on,"na. 着重在；加强(语气)
 强调；注重；重视"
rather than,"na. 而不
 而不是；宁愿；与其"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
refrain from doing sth.,找不到解释
regard ... as,找不到解释
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
remind sb. of,"v. 提醒
 使记起；想起；使想起"
resort to,"na. 使用(武力)
 诉诸于；求助于；采取"
result from ...,找不到解释
run into,"na. 冲进；(河)注入(海)；撞上；到达
 偶遇；跑进；陷入"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
 贯穿；浏览；跑着穿过"
see ... as,找不到解释
see through,"na. 看穿；看透；识破；办好某事
 看破；看穿某人；帮助渡过难关"
serve as,"v. 用作；充当
 作为；担任；当作"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
so that,"conj. 因此；以便
 为了；以致；以便于"
sooner or later,"na. 迟早；早晚
 迟早会的；或迟或早；迟早有一天"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
square ... with ...,找不到解释
stick to,"na. 忠于
 坚持；粘住；遵守"
stress sb. out, 压力过大；经历极大压力；压力大
struggle with, 与…斗争；与…作斗争；和…斗争
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
take ... apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
take part,"na. 参与；参加
 参加课后俱乐部；参加运动会等；有参加"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take over,"na. 接管；继承
 接收；接任；接替"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
tend to do sth.,找不到解释
tend to sb.,找不到解释
tend to sth.,找不到解释
the same as ...,找不到解释
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
think of sb.,找不到解释
think of sth.,找不到解释
think about sb.,找不到解释
think about sth.,找不到解释
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
tidy up,"v. 整理干净
 收拾；收拾干净；拾掇"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn into,"v. 变成
 成为；把……变成；变为"
turn off,"v. 关掉
 关上；关闭；解雇"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
turn to sth.,找不到解释
turn to sb.,找不到解释
turn to sth.,找不到解释
turn up,"v. 朝上翻；出现
 开大；找到；露面"
under no circumstances,"na. 无论如何不
 决不；在任何情况下都不；无论在什么情况下都不要"
up to date,"adj. 现代的；最新的；时髦的；新式的
 时新的；现代化的；切合目前情况的"
use up,"na. 用完；耗尽
 用光；用尽；消耗"
view ... as,找不到解释
warn sb. about,找不到解释
warn sb. of,"na. 警告(某人)有危险
 发出关于…的警告；警告某人某事；警告可能会出现某事"
warn against doing sth.,找不到解释
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
wrap ... up,"na. 包起来；包好；穿暖和些；完成
 结束；包裹；总结"
Mid-Autumn Festival,找不到解释
Mid-Autumn Day,找不到解释
mooncake,n. 月饼
lunar month,"n. 朔望月；太阴月；会合月
 农历月；阴历月份；阳历一个月"
to worship the moon,找不到解释
family reunion, 家庭团聚；团圆；家人团聚
family gathering,找不到解释
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
Chinese cultural heritage,找不到解释
Tang Dynasty,找不到解释
Song Dynasty,找不到解释
Han Dynasty,找不到解释
Ming Dynasty,找不到解释
Chinese character,"n. 汉字
 中文汉字；汉字字符；中国的汉字"
calligraphy,n. 书法；笔迹
precious artwork,找不到解释
the Four Great Classic Novels in Chinese literature,找不到解释
the Four Great Inventions of ancient China,找不到解释
papermaking,n. 造纸，造纸业，造纸学
gunpowder,n. 火药；有烟火药
compass,"n. 指南针，罗盘；圆规
vt. 包围"
printing,n. 印刷；印刷术
movable type printing, 活字印刷术；活版印刷
handicraft industry,"n. 手工业
 手工艺行业；手工业的概念；中国手工业"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
water clock,"n. 水钟
 漏壶；滴漏；刻漏"
sundial,n. 日晷，日规；羽扇豆（产于美国东部）
an instrument used to detect earthquakes,找不到解释
longevity,n. 长寿，长命；寿命
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
harmony,n. 协调；和睦；融洽；调和
landlord,n. 房东，老板；地主
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
Chinese civilization,找不到解释
Confucianism,n. 孔子学说；儒家思想
Taoism,n. 道家的学说；道教
Daoism,n. 道教
scholar,n. 学者；奖学金获得者
to chant poems,找不到解释
to collect medicinal herbs,找不到解释
to gather medicinal herbs,找不到解释
to weave or sew clothes,找不到解释
to cut firewood,找不到解释
to play chess,找不到解释
to farm and harvest,找不到解释
rural life,"na. 农村生活
 田园生活；乡村生活；田园花器"
the traditional hospitality,找不到解释
cold dishes, 冷菜类；冷盘；凉菜
hot dishes, 热菜；热菜类；热盘
western specialties,找不到解释
traditional Chinese dishes,找不到解释
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
Manchu ethnic group,找不到解释
national costume,"n. （某一国家的）民族服装
 民族服饰；国服；某种民族服装"
cultural exchanges, 对外交流；演出交流；中西文化交流
patriotic poets,找不到解释
dragon boat racing,找不到解释
dragon boat race, 赛龙舟；龙舟赛；龙舟竞赛
the State of Chu,找不到解释
Silk Road,"n. 丝绸之路
 丝路；北京丝绸之路；丝路餐厅"
to meet Chinese market demands,找不到解释
to satisfy Chinese market demands,找不到解释
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
commodity,n. 商品，货物；日用品
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
product,n. 产品；结果； 乘积；作品
the reform and opening-up policy,找不到解释
planned economy,"n. 计划经济
 计画经济；计划经济体制；商量经济"
market-based economy,找不到解释
socialist market economy, 社会主义市场经济；社会主义市场经济体制；社会主义市场经济体系
an average GDP growth rate of 10% per year,找不到解释
to lift ... out of poverty,找不到解释
to eliminate extreme poverty,找不到解释
the UN Millennium Development Goals,找不到解释
annual economic growth target,找不到解释
health care,"n. 医疗保健；医疗卫生
 卫生保健；健康护理；健康照护"
social security,"n. 社会保障金（政府定期向贫穷、失业、患病等人发放）
 社会保险；社会安全；社会安全福利"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
urban population,"un. 城市人口
 城镇人口；都市人口；市区人口"
urbanization process,找不到解释
historical moments,找不到解释
be both a challenge and an opportunity,找不到解释
people-oriented developing concepts,找不到解释
resource-saving and environment-friendly society,找不到解释
international communities,找不到解释
newly-developed, 新发展的；新近发展起来的
special economic zone,"un. 经济特区
 特别经济区；经济自由特区；个特别经济区"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
comprehensive economic strength,找不到解释
entrepreneurs at home and abroad,找不到解释
domestic and foreign entrepreneurs,找不到解释
with the improvement of living standards,找不到解释
to make a living,找不到解释
economic boom,"un. 经济繁荣
 经济腾飞；经济大爆炸时期；常见银行英语词汇经济繁荣"
outbound tourism,出国观光；出国旅游
tourism consumption,找不到解释
expenditure,n. 支出，花费；经费，消费额
food security,"n. 粮食安全；粮食保障
 食品安全；食物保障；食物安全"
public health,"na. 公共卫生
 公共健康；公共卫生学；公众健康"
output,"n. 输出，输出量；产量；出产
vt. 输出"
to upgrade industry,找不到解释
high speed train, 高速列车；高铁；高速火车
ocean vessel,"un. 运洋船舶
 船名；海运船只；远洋船舶"
high speed rail,找不到解释
to sign a contract,找不到解释
to facilitate market economy and urbanization,找不到解释
municipal government,"na. 市政府
 自治政府；市政政府；城市政府"
migrant workers,"un. 农业季节工人
 农民工；外出打工人员；流动工人"
rural and underdeveloped,找不到解释
less developed areas,找不到解释
service industry,"na. 服务性行业
 服务业；服务行业；服务产业"
commercialize,vt. 使商业化；使商品化
consumer market,"un. 消费者市场
 消费市场；用户市场；个体消费"
to promote the development of organic farming,找不到解释
to promote the development of organic agriculture,找不到解释
sustainable development strategy,找不到解释
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
well-off middle class,找不到解释
international rank,找不到解释
metropolis,n. 大都市；首府；重要中心
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
orderly government,找不到解释
social stability, 社会稳定；社会安定；社会稳定性
foreign trade,"na. 对外贸易
 国际贸易；外贸原单；外贸实务"
to start businesses,找不到解释
to issue paper money,找不到解释
environmental and social imbalances,找不到解释
to reduce pollution,找不到解释
to tackle pollution,找不到解释
to improve energy efficiency,找不到解释
urban transport,"un. 市内交通
 城市交通；都市运输"
motor vehicles,"na. 汽车；机动车
 机动车辆；汽车的；汽车货车车身拖车"
private cars, 私家车；私人汽车；私人小汽车
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
clean and economical traffic system,找不到解释
PM2.5 emissions,找不到解释
pollution sources, 污染源；非放射性污染源；环境污染源类
exhaust emissions, 废气排放；废汽排放；排气排放物
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
sandstorm and construction dust,找不到解释
treatment of urban garbage and sewage,找不到解释
forestation,n. 造林
water recycling factory,找不到解释
unauthorized buildings,找不到解释
illegal buildings,找不到解释
to violate the regulations of emission limitation,找不到解释
with population increasing rapidly,找不到解释
sign sb. up,找不到解释
extracurricular classes,找不到解释
to increase the odds of being enrolled,找不到解释
key schools,找不到解释
to enter the labor market,找不到解释
to acquire a college diploma,找不到解释
to increase the student enrollments,找不到解释
vocational colleges, 高职院校；职业院校；高职英语
the Ministry of Education,找不到解释
to study abroad, 留学；出国学习；留学生
overseas students, 留学生；海外留学生；外国留学生
classical Chinese garden,中国古典园林
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
scenery,n. 风景；景色；舞台布景
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
