realm,n. 领域，范围；王国
close to,"na. 接近于；在附近
 靠近；亲近；离…近"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
phenomenon,n. 现象；奇迹；杰出的人才
indistinguishable,adj. 不能区别的，不能辨别的；不易察觉的
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
frustrating,"v. 使沮丧（frustrate的ing形式）
adj. 令人沮丧的"
assimilation,n. 同化；吸收； 同化作用
make no difference,"un. 在意；没关系；没有差别；无动于衷
 没有影响；没有区别；没影响"
for good or ill,"na. 好歹
 不论好歹；不管怎样；孰好孰坏"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
telemarketing,n. 电话推销，电话销售
theft,n. 盗窃；偷；赃物
come to mind, 想到；出现在脑海中；想起
critique,"n. 批评；评论文章
vt. 批判；评论"
fragile,adj. 脆的；易碎的
database,n. 数据库，资料库
keystroke,"n. 击键；按键
vt. 用键盘输入；击打…的键
vi. 击键"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
mainstream,n. 主流
prominence,n. 突出；显著；突出物；卓越
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
isolation,n. 隔离；孤立； 绝缘； 离析
similarly,adv. 同样地；类似于
supposedly,adv. 可能；按照推测；恐怕
for certain,"na. 的确
 肯定地；确凿地；确切地"
be stuck with, 无法摆脱；遇到困难无法进行下去；解脱不了
build ... into,找不到解释
acquisition,n. 获得物，获得；收购
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
health care,"n. 医疗保健；医疗卫生
 卫生保健；健康护理；健康照护"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
uninsured,adj. 未保过险的
longevity,n. 长寿，长命；寿命
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
publicity,n. 宣传，宣扬；公开；广告；注意
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
performer,n. 演出者；执行者；演奏者
popularity,n. 普及，流行；名气；受大众欢迎
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
painter,n. 画家；油漆匠
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
repeatedly,adv. 反复地；再三地；屡次地
audience,n. 观众；听众；读者；接见；正式会见；拜会
turn away,"v. 转变方向
 转过脸去；避开；走开"
momentary,adj. 瞬间的；短暂的；随时会发生的
and so on,"na. “And so forth”的变体
 等等；诸如此类；如此等等"
celebrity,n. 名人；名声
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
privacy,n. 隐私；秘密；隐居；隐居处
sufficiently,adv. 充分地；足够地
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
grudging,adj. 勉强的；吝啬的
throw out,"na. 投出；拒绝；否决(议案)；派出
 扔掉；赶走；扔出"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
for dear life,"na. “for one's life”的变体
 拼命；拼命地；为了逃命"
in the strict sense,"adv. 按严格的意义来说
 在严格的意义上；严格说来；在严格意义上"
abolish,vt. 废除，废止；取消，革除
laborer,n. 劳动者；工人
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
necessity,n. 需要；必然性；必需品
earn a living, 谋生；谋生或维持生活；赚钱谋生
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
classify,vt. 分类；分等
gardener,n. 园丁；花匠；园艺家
cobbler,n. 补鞋匠；工匠；冷饮料；脆皮水果馅饼
compulsion,n. 强制；强迫；强制力
at a guess,"na. 照估计
 凭猜测；依猜测；推测"
division,n.  除法；部门；分配；分割；师（军队）；赛区
formerly,adv. 以前；原来
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
boredom,n. 厌倦；令人厌烦的事物
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
mass society,"n. 一般社会,大众社会"
ritualize,vt. 使仪式化；奉行仪式主义
grouse,"n. 松鸡；雷鸟科的猎鸟；怨言
vi. 埋怨"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
go in for,"na. 赞成；寻求；参加
 从事；追求；爱好"
hunting,"n. 打猎；追逐；搜索
v. 狩猎；寻找（hunt的ing形式）；追捕
adj. 打猎的；振荡的"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
aristocratic,adj. 贵族的；贵族政治的；有贵族气派的
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
duel,"n. 决斗；斗争，抗争
vi. 决斗"
warfare,n. 战争；冲突
only too,"na. 极；实在；可惜；“all/only too”的变体
 非常；太；极其，非常"
senseless,adj. 愚蠢的；无知觉的；无意识的
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
aggression,n. 侵略；进攻；侵犯；侵害
smith,n. 史密斯（男子姓氏）
aptly,adv. 适宜地；适当地
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
get one's teeth into, 死死咬住；认真对待，全神贯注于；紧紧抓住
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
strip down to sth.,找不到解释
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
simplification,n. 简单化；单纯化
deprivation,n. 剥夺；损失；免职；匮乏；贫困
take an interest in,"na. 对…感兴趣
 对……感兴趣；对…产生兴趣；过问"
simplicity,n. 朴素；简易；天真；愚蠢
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
it turns out, 事实证明；原来是；结果是
it turns out that, 结果证明是；知道是；结果是
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
curtail,vt. 缩减；剪短；剥夺…特权等
consumption,n. 消费；消耗；肺痨
be of a piece,(与…)同一性质的；(与…)一致的
be all of a piece,找不到解释
wasteful,adj. 浪费的，不经济的；奢侈的
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
furnish,vt. 提供；供应；装备
maintain,vt. 维持；继续；维修；主张；供养
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
greenhouse,"n. 温室
造成温室效应的"
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
over-the-counter,adj. 不通过交易所而直接售给顾客的；不需处方可以出售的
wardrobe,n. 衣柜；行头；全部戏装
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
keep track of sth.,找不到解释
dishwasher,n. 洗碗工；洗碟机
pottery,n. 陶器；陶器厂；陶器制造术
dryer,n. 烘干机； 干燥剂
clothes dryer, 乾衣机；干衣机；烘干机
humidifier,n. 增湿器， 加湿器
hairdryer,n. 吹风机
curler,n. 卷发的人；卷发夹子
electric curler,找不到解释
curling iron,"n. 烫发钳；卷发钳
 卷发机；卷发棒；卷发器"
clippers,n. 钳子；轧刀；修剪工具（clipper的复数）
electric clippers,电动剪毛刀;电剪刀
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
temptation,n. 引诱；诱惑物
babysit,vi. （临时代人）照看婴孩
first-run,"n. 首轮
adj. 首轮的"
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
thrift,n. 节俭；节约； 海石竹
thrift shop,"n. 慈善商店（通过出售捐赠的衣物等募集慈善资金）
 旧货店；二手店；二手货商店"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
simplify,vt. 简化；使单纯；使简易
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
inexpensive,adj. 便宜的
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
merry-go-round,n. 旋转木马
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
dismount,"n. 下马；下车
vt. 下车；使下马；使掉下
vi. 下马；下车"
live by,"na. 靠…为生；住在…附近
 以……为生；靠……为生；靠……生活"
hold fast to,"v. 坚持
 紧紧抓住；牢牢抓住；持守"
all too,"na. 总是太；“all/only too”的变体
 实在太；过于；可惜"
hospitalize,vt. 就医；送…进医院治疗
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intensive care,"n. （医院里的）特别护理；重症监护；重症监护治疗病房；特别护理病房
 重病特别护理；特护；神蹟妙算"
additional,adj. 附加的，额外的
sunlight,n. 日光
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
to and fro,"na. 前前后后
 来来回回；来回地；往复地"
grandeur,n. 壮丽；庄严；宏伟
preoccupied,"v. 抢先占有；使…全神贯注（preoccupy的过去式）
adj. 全神贯注的；心事重重的；被先占的"
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
paradoxical,adj. 矛盾的；诡论的；似非而是的
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
move along,"v. 往前移动
 沿着；继续向前或后移动；走开"
spouse,"n. 配偶
vt. 和…结婚"
inevitability,n. 必然性；不可逃避
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
finite,"n. 有限之物
adj. 有限的；限定的"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
timeless,adj. 永恒的；不受时间影响的；不合时宜的
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
becoming,"n. （变化过程的）形成，发生
adj. 合适的，适当的"
relentless,adj. 无情的；残酷的；不间断的
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
invest sth. with, 授予；授于
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
righteousness,n. 正义；正直；公正；正当
far-flung,adj. 遥远的；广泛的；广布的
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
imperfection,n. 不完美；瑕疵；缺点
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
privilege,"n. 特权；优待
vt. 给与…特权；特免"
imprison,vt. 监禁；关押；使…下狱
immediate,adj. 立即的；直接的；最接近的
fall into,"na. 开始；分解(成几部分)；陷入(网等)中；变成
 落入；分成；陷于"
put in touch with,找不到解释
unburden,vt. 吐露；卸去...的负担
communion,找不到解释
carry away,"na. 带去；冲走；获得(印象)；使冲昏头脑
 运走；使入迷；使失去自制力"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
detached,"v. 分离
adj. 分离的，分开的；超然的"
contemplative,adj. 沉思的；冥想的；默想的
obligation,n. 义务；职责；债务
cultivation,n. 培养；耕作；耕种；教化；文雅
admissible,adj. 可容许的；可采纳的；可接受的
hence,adv. 因此；今后
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
hygienic,adj. 卫生的，保健的；卫生学的
digestion,n. 消化；领悟
sap,"n.  树液；精力，元气；活力；坑道
vt. 使衰竭，使伤元气；挖掘以破坏基础
vi. 挖坑道"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
cliff,n. 悬崖；绝壁
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
rapids,n.  急流；湍流
matrimony,n. 结婚，婚礼；婚姻生活
masterpiece,n. 杰作；绝无仅有的人
palate,n. 味觉；上颚；趣味
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
affinity,n. 密切关系；吸引力；姻亲关系；类同
akin,adj. 类似的；同类的；同族的
plea,n. 恳求，请求；辩解，辩护；借口，托辞
inclusive,adj. 包括的，包含的
predecessor,n. 前任，前辈
liberalization,n. 自由化；自由主义化；放宽限制
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
bear out,"na. 证明
 证实；支持；证实是正确的"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
schism,n. 分裂；分裂教会罪
grievance,n. 不满，不平；委屈；冤情
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
backlash,"n. 反冲；强烈抵制
vt. 强烈反对；发生后冲"
unattended,adj. 无侍从的；没人照顾的，未被注意的；（会议等）无人出席的；（疾病）未治疗的；无伴的
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
haves,n. 富人；富国
have-nots,n. 穷国；贫民（等于the have nots）
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
impermeable,adj. 不渗透性的；（对水等）不能渗透的
liberty,n. 自由；许可；冒失
inherent,adj. 固有的；内在的；与生俱来的，遗传的
Arabic,"n. 阿拉伯语
adj. 阿拉伯的；阿拉伯人的"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
manifestation,n. 表现；显示；示威运动
inequity,n. 不公平，不公正
ensure,vt. 保证，确保；使安全
sustain,vt. 维持；支撑，承担；忍受；供养；证实
expansive,adj. 广阔的；扩张的；豪爽的
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
Muslim,"n. 穆斯林；穆罕默德信徒
adj. 伊斯兰教的"
untold,adj. 数不清的；未说过的；未透露的；无限的
interdependence,n. 互相依赖
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
NGO,找不到解释
non-governmental organization, 非政府组织
labour union,"na. 工会
 劳动工会；职工会；工会园地"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
make a case that ...,找不到解释
make out a case that ...,找不到解释
exclude,vt. 排除；排斥；拒绝接纳；逐出
disenfranchise,vt. 剥夺…的公民权（等于disfranchise）
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
act on,"na. “Act upon”的变体
 按照…而行动；对…起作用；按照…行动"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
transparent,adj. 透明的；显然的；坦率的；易懂的
governance,n. 管理；统治；支配
asylum,n. 庇护；收容所，救济院
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
pluralism,n. 多元主义；多元论；兼任
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
base ... on,"v. 根据
 基于；以……为基础；以…为根据"
rooted,"v. 生根（root的过去式）
adj. 根深蒂固的；生根的"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
peril,"n. 危险；冒险
vt. 危及；置…于险境"
at one's peril,"na. (若有…)咎由自取
 自担风险；自己担风险；由某人自担风险"
strength,n. 力量；力气；兵力；长处
heritage,n. 遗产；传统；继承物；继承权
in the name of,"na. 凭…的名；为…的缘故；作…的代表
 以…的名义；以……名义；以…为借口"
indivisible,"n. 不可分割之事物；极微小物
adj. 不能分割的； 除不尽的"
insecurity,n. 不安全；不牢靠；无把握；心神不定
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
shackle,"n. 束缚；桎梏；脚镣
vt. 束缚；加枷锁"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
tolerance,n. 公差；宽容；容忍；公差
casualty,n. 意外事故；伤亡人员；急诊室
fabric,n. 织物；布；组织；构造；建筑物
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
