globalisation,n. 全球化，=globalization
drop in,"(使)落进；(使)往里坍塌：
偶然(或顺便)走访(或访问)(on)；逐渐进入：
(有选择地)加入；愿意(或决心)参加：
放下(吊幕)，吊装布景："
sneeze,"n. 喷嚏
vi. 打喷嚏"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
context,n. 环境；上下文；来龙去脉
infuriate,"vt. 激怒；使大怒
adj. 狂怒的"
dispenser,n. 药剂师；施与者；分配者；自动售货机
device,n. 装置；策略；图案
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
uneasy,adj. 不舒服的；心神不安的；不稳定的
aural,adj. 听觉的；耳的；气味的；先兆的
confusion,n. 混淆，混乱；困惑
standardisation,n. 标准化
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
awkwardness,n. 尴尬；笨拙
overdue,adj. 过期的；迟到的；未兑的
liar,n. 说谎的人
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
spinach,n. 菠菜
excessive,adj. 过多的，极度的；过分的
undivided,"adj. 专心的；专一的；未分开的；完整的
v. 未分开（undivide的过去式和过去分词）"
go into details,"na. 详述
 逐一细说；详细说明；详细叙述"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
put sb. down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
make light of,"na. 轻视
 藐视；轻描淡写；小看"
dumbness,n. 无言，沉默
get one's mind off,找不到解释
tactful,adj. 机智的；圆滑的；老练的
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
opinionated,adj. 固执己见的；武断的
obligation,n. 义务；职责；债务
necessity,n. 需要；必然性；必需品
inappropriate,adj. 不适当的；不相称的
voice mail,"n. 语音信箱
 语音邮件；语音留言；声音邮件"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
punctual,adj. 准时的，守时的；精确的
the other night,"na. 前几天的一个晚上
 前两天的夜里；那天晚上；不久前的某个夜里"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
socialise,"vt. 使社会化；使社会主义化
vi. 参加社交活动；发生社交往来（等于socialize）"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
 枯竭；干透；乾涸"
be unsure of,找不到解释
status,n. 地位；状态；情形；重要身份
interrogation,n. 讯问；审问； 疑问句
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
unclear,adj. 不清楚的；不易了解的
summarise,vt. 总结，概述
restate,vt. 重申；重新叙述；重讲
look sb. in the eye, 直视；正视
distract,vt. 转移；分心
over-emotional, 过度情绪化
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
unconsciously,adv. 不知不觉；无意识地
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
resent,vt. 怨恨；愤恨；厌恶
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
washed out,"adj. （洗后）退色的；苍白无力的；疲惫的
 被冲蚀的；筋疲力尽的；褪色的，洗旧了的"
flatmate,n. 合住一套公寓的人；合租者
protective,adj. 防护的；关切保护的；保护贸易的
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
drop a hint,"na. 暗示；给人暗示
 给个暗示；给暗示"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
fly off the handle,"na. 死去；发脾气；自制不住
 发火；失控制；生气"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
conversational,adj. 对话的；健谈的
concise,adj. 简明的，简洁的
courteous,adj. 有礼貌的；谦恭的
overuse,"n. 过度使用
vt. 把…使用过度"
cliché,找不到解释
punctuation,n. 标点；标点符号
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
sign-off,n. 广播完毕；签署同意
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
annoyance,n. 烦恼；可厌之事；打扰
abbreviation,n. 缩写；缩写词
as far as,"na. 远到；就；尽；至于
 远至；直到；就…而言"
overdo,"vt. 把…做得过分；使过于疲劳；对…表演过火；夸张
vi. 做得过分；表演过火"
oblivious,adj. 遗忘的；健忘的；不注意的；不知道的
dispatch,"n. 派遣；急件
vt. 派遣；分派"
in accordance, with
herewith,adv. 因此；同此；用此方法
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
out of print,"na. (书等)已脱销；已绝版
 已绝版的；已售完的"
dinosaur,n. 恐龙；过时、落伍的人或事物
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
uncooperative,adj. 不合作的；不配合的
reluctant,adj. 不情愿的；勉强的；顽抗的
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
aisle,n. 通道，走道；侧廊
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
ineffective,adj. 无效的，失效的；不起作用的
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
numerous,adj. 许多的，很多的
tailor-made,adj. 特制的；裁缝制的
place an order,"un. 订购；定货
 下订单；订货；下单"
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
litterbug,n. （在公共场所）乱扔垃圾的人
efficiency,n. 效率；效能；功效
pothole,"n. 壶穴
vi. 探索洞穴"
install,vt. 安装；任命；安顿
payoff,"adj. 支付的；决定性的；产生结果的
n. 报酬；结果；发工资；结算"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
auction,"n. 拍卖
vt. 拍卖；竞卖"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
outnumber,vt. 数目超过；比…多
sling-shots,n. 弹弓
violation,n. 违反；妨碍，侵害；违背；强奸
chime,"n. 钟声；一套发谐音的钟；和谐
vi. 鸣响；和谐
vt. 打钟报时；敲出和谐的声音"
back up,"na. 支持；堵塞；抢救后方；把(文件等备份)
 倒退；后退；援助"
publicity,n. 宣传，宣扬；公开；广告；注意
slogan,n. 标语；呐喊声
antispit,找不到解释
distribution,n. 分布；分配
pamphlet,n. 小册子
poster,n. 海报，广告；招贴
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
liveable,adj. 适于居住的；可住的
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
enact,vt. 颁布；制定法律；扮演；发生
inspector,n. 检查员；巡视员
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
consciousness,n. 意识；知觉；觉悟；感觉
norm,n. 标准，规范
Tom Sawyer, 汤姆历险记；汤姆·索亚；汤姆·索亚历险记
Polly,找不到解释
Dubai,找不到解释
Afghanistan,n. 阿富汗（国家名称，位于亚洲）
Brixton,布里克斯顿（英国地名）
Geneva,n. 日内瓦（瑞士西南部城市）
the Strait Times,找不到解释
Singapore,n. 新加坡
the Middle East,"na. 中东
 中东地区；中东国家；中东探索"
Thailand,n. 泰国（东南亚国家名）
Uttar Pradesh,"北方邦（印度北部的邦, 旧称 United Provinces）"
Seattle,n. 西雅图（美国一港市）
Peru,n. 秘鲁（拉丁美洲国家名）
