thirsty,adj. 口渴的，口干的；渴望的，热望的
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
at first,"na. 首先
 起先；最初；起初"
keep doing sth.,找不到解释
keep on doing sth.,找不到解释
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
lunchtime,n. 午餐时间
physics,n. 物理学；物理现象
badminton,n. 羽毛球
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
ourselves,pron. 我们自己；我们亲自
enjoy oneself,"na. 过得快乐
 玩得愉快；玩得开心；过得愉快"
Australia,n. 澳大利亚，澳洲
take care,"v. 当心；留心
 保重；小心；注意"
coffee,n. 咖啡；咖啡豆；咖啡色
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
president,n. 总统；董事长；校长；主席
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
ton,n. 吨；很多，大量
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
journey,"n. 旅行；行程
vi. 旅行"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
finally,adv. 最后；终于；决定性地
arrive,vi. 到达；成功；达成；出生
arrive at,"v. 到达；得出
 抵达；达成；达到"
arrive in,"v. 到达；达到
 抵达；可以说到达；到达大地点"
can't wait, 等不及；迫不及待；不能等了
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
place of interest,"na. 名胜
 名胜古迹；旅游胜地；景点"
not believe one's eyes,找不到解释
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
sights,"n. 风景，名胜；视野（sight的复数）
v. 瞄准（sight的第三人称单数）；仔细观看"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
Internet,找不到解释
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
home page,"n. 主页；首页
 网站首页；官方主页；返回首页"
yourselves,pron. 你们自己；你们本人（yourself的复数）
themselves,pron. 他们自己；他们亲自
by oneself,"na. 单独；独自；独力
 自行；独自地；单独地"
itself,pron. 它自己；它本身
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
luckily,adv. 幸好，侥幸；幸运地
climber,n. 登山者；攀缘植物；尽力改善自己社会地位的人
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
half-time,n. 中场休息时间；半工半薪
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
helpless,adj. 无助的；无能的；没用的
useful,adj. 有用的，有益的；有帮助的
useless,adj. 无用的；无效的
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
cheerful,adj. 快乐的；愉快的；高兴的
colourful,adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
ticket,vt. 加标签于；指派；对…开出交通违规罚单
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
instruction,n. 指令，命令；指示；教导；用法说明
had better,"na. 最好；最好…
 应该；最好还是；还是…好"
'd better, 最好是；其后加不带；更好的
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
DIY,abbr. 自己动手做（Do It Yourself）
exactly,adv. 恰好地；正是；精确地；正确地
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
instead,adv. 代替；反而；相反
of,prep. 关于；属于；…的；由…组成的
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
crazy,adj. 疯狂的；狂热的，着迷的
be crazy about,"v. 迷上
 为之疯狂；迷恋；对…着迷"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
put in,"v. 探进；放进；输入；纳入
 插嘴；放入；提出"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
make a mistake,"na. 犯错误
 出错；弄错；犯了一个错误"
power cut,"n. 供电中断；停电（的一段时间）
 切断电源；停电时；停电了"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
fill ... with ...,找不到解释
not only ... but,找不到解释
ceiling,n. 天花板；上限
shelf,n. 架子；搁板；搁板状物；暗礁
shelves,"n. 架子（shelf 的复数）
v. 装架（shelve的第三人称单数形式）"
whoops,int. 哎呀！
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
already,adv. 已经，早已；先前
instead,adv. 代替；反而；相反
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
strawberry,n. 草莓；草莓色
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
salad,n. 色拉；尤指莴苣
cream,n. 奶油，乳脂；精华；面霜；乳酪
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
for example,"na. 例如
 举例；比如；比如说"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
finished,"v. 完成；结束；毁掉（finish的过去分词形式）
adj. 完结的，完成的；精巧的"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
tidy up,"v. 整理干净
 收拾；收拾干净；拾掇"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
keep it secret,找不到解释
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
go wrong,"na. 走错路；失败
 出毛病；出错；发生故障"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
furniture,n. 家具；设备；储藏物
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
no way,"na. 无论如何不
 不行；不可能；没门"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
have pity on,"na. 因可怜…
 同情；怜悯；大发慈悲"
take pity on,"na. 因可怜…
 怜悯；怜惜；好生怜惜"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
in fact,"na. 事实上；总之
 实际上；其实；实则"
dolphin,n. 海豚
giant panda,"na. 大熊猫
 大猫熊；熊猫和中国一级保护动物；发现大熊猫"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
zebra,"n.  斑马
adj. 有斑纹的"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
be born,"v. 出生
 出生于；出世；诞生"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
in the beginning,"na. 当初
 起初；开始；一开始"
sadly,adv. 悲哀地；悲痛地
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
mainly,adv. 主要地，大体上
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
as a result,"adv. 结果
 因此；结果是；作为结果"
danger,n. 危险；危险物，威胁
in danger,"na. 在危险中
 垂危；处于危险中；处于危险之中"
action,n. 行动；活动；功能；战斗；情节
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
right away,"na. 立刻
 马上；立即；立即，马上"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
at birth, 在出生时；刚出生；生下来时
closed,"v. 关；结束；接近（close的过去分词）
adj. 关着的；不公开的"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
bee,n. 蜜蜂，蜂；勤劳的人
lost,"adj. 失去的；丧失的；迷惑的
v. 遗失（lose的过去分词）；失败"
get lost,"int. 滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
 走开；走失；失踪"
the same ... as,找不到解释
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
hunter,n. 猎人；猎犬；搜寻者
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
wolves,"n. 狼；贪婪者；色狼（wolf的复数）
v. 大口地快吃；狼吞虎咽（wolf的单三形式）"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
human,"n. 人；人类
adj. 人的；人类的"
yours sincerely,"na. 谨启；“Sincerely yours”的变体
 你真诚的；您忠诚的；此致"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
illness,n. 病；疾病
because of,"na. 因
 因为；由于；由于，因为"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
insect,n. 昆虫；卑鄙的人
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
slowly,adv. 缓慢地，慢慢地
daytime,n. 日间，白天
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
birdwatching, 观鸟
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
yeah,"adv. 是
int. 是"
hen,n. 母鸡；女人；雌禽
yummy,"n. 美味的东西；令人喜爱的东西
adj. 好吃的；美味的；愉快的"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
sparrow,n. 麻雀；矮小的人
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
eagle,n. 鹰；鹰状标饰
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
nature,n. 自然；性质；本性；种类
wetland,n. 湿地；沼泽地
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
wildlife,"n. 野生动植物
adj. 野生动植物的"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
all year round, 全年；一年到头；终年
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
easily,adv. 容易地；无疑地
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
per cent,"adj. 每一百中
n. 百分之…
 百分数；百分率；百分比"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
