wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
a wide range of,"un. 许多
 广泛的；范围广泛的；很大的范围"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
extensively,adv. 广阔地；广大地
incredible,adj. 难以置信的，惊人的
tendency,n. 倾向，趋势；癖好
Niagara Falls,找不到解释
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
derive,"vt. 源于；得自；获得
vi. 起源"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
companionship,n. 友谊；陪伴；交谊
bitterness,n. 苦味；苦难；怨恨
instruction,n. 指令，命令；指示；教导；用法说明
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
intellectual ability, 智力；心理能力；智能
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
contentment,n. 满足；满意
advent,n. 到来；出现；基督降临；基督降临节
cheerful,adj. 快乐的；愉快的；高兴的
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
laboratory test,"un. 实验室信号插座箱；室内实验
 实验室试验；实验室测试；化验"
depict,vt. 描述；描画
live trial,找不到解释
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
discover,"vi. 发现
vt. 发现；发觉"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
in addition,"na. 加之
 另外；此外；又"
precious,adj. 宝贵的；珍贵的；矫揉造作的
be attributed to,"na. 被认为是…所为
 归于；归因于；被归因于"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
personally,adv. 亲自地；当面；个别地；就自己而言
indicate,vt. 表明；指出；预示；象征
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
innovation,n. 创新，革新；新方法
business model, 商业模式；经营模式；营运模式
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
entrepreneur,n. 企业家；承包人；主办者
stick to old ways,找不到解释
chairman,n. 主席，会长；董事长
regression,n. 回归；退化；逆行；复原
Internet,找不到解释
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
to sum up, 总之；概括地说；总之，总而言之
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
creativity,n. 创造力；创造性
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
begin with,"na. 从…开始
 以…开始；开始于；以…为起点"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
watchword,n. 口号；标语；口令；暗号
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
motto,n. 座右铭，格言；箴言
put great emphasis on,找不到解释
scientific experiment,"un. 科学实验；科学仪器设备；科学试验
 科学实验一本通；科学实验法；科学班"
achieve success,"un. 取得成功
 获得成功；取得功效；奏功"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
prevalent,adj. 流行的；普遍的，广传的
efficiency,n. 效率；效能；功效
subtly,adv. 精细地；巧妙地；敏锐地
generate,vt. 使形成；发生；生殖；产生物理反应
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
potentially,adv. 可能地，潜在地
connect with,"na. 和…有关系
 与……相连；连接；与…联系"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
consequence,n. 结果；重要性；推论
entertainment center, 娱乐中心；片场分娱乐中心；电视架
for instance,"na. 例如
 比如；举例说；举例来说"
transaction,n. 交易；事务；办理；会报，学报
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
hermit-like,像隐士般的
train schedule,列车明细表(列车运行时刻表内规定的列车等级、方向、车次和运行办法)
especially,adv. 特别；尤其；格外
discount-price goods,找不到解释
become addicted to,找不到解释
enable,vt. 使能够，使成为可能；授予权利或方法
be exposed to, 暴露于；面临；暴露在
worldwide,"adj. 全世界的
adv. 在世界各地"
social interaction,"un. 社会交互作用；社会相互作用
 社会互动；社交互动；社会交往"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
unquestionably,adv. 无可非议地；确凿地
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
thrive,vi. 繁荣，兴旺；茁壮成长
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
civilization,n. 文明；文化
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
pleasantly,adv. 愉快地；和蔼地，亲切地；友好地
preservation,n. 保存，保留
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
commercialization,n. 商品化，商业化
traditional,adj. 传统的；惯例的
on the part of, 就…而言，在…一边，由…表现出来的，由…所经历的，由…所作出的
vase,n. 瓶；花瓶
widespread,adj. 普遍的，广泛的；分布广的
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
age-old,adj. 古老的；由来已久的
destine,vt. 注定；命定；预定
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
immeasurable,adj. 无限的； 不可计量的；不能测量的
modernization,n. 现代化
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
tai chi, 太极；太极拳；中国太极
fortunately,adv. 幸运地
kung fu,"n. 功夫（中国拳术）
v. 用功夫击打(对手)
 中国功夫；功夫片；徒手功夫"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
Peking Opera,找不到解释
unwavering,adj. 坚定的；不动摇的
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
tragedy,n. 悲剧；灾难；惨案
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
population,n. 人口； 种群， 群体；全体居民
migration,n. 迁移；移民；移动
natural environment,"na. 自然环境
 自然生态环境；自然环境篇；自然环境优异"
urbanization,n. 都市化；文雅化
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
symbol,n. 象征；符号；标志
ecosystem,n. 生态系统
civilization,n. 文明；文化
a huge amount of,找不到解释
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
convenience,n. 便利；厕所；便利的事物
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
urban,adj. 城市的；住在都市的
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
environmental pollution,"na. 环境污染
 公害；污染环境；环境的污染"
outskirt,n. 郊区，市郊
a case in point,"na. 范例
 恰当的例子；一个恰当的例子；例证"
to begin with,"na. 首先；本来
 第一；一开始；起初"
explosion,n. 爆炸；爆发；激增
hundreds of,"na. 好几百
 数以百计的；成百上千；成百上千的"
waste water,"na. 废水
 污水；浪费水；治理废水"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
contaminate,vt. 污染，弄脏
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
day and night, 夜以继日地， 日夜; 不舍昼夜; 日日夜夜; 白天黑夜
emergence,n. 出现，浮现；发生；露头
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
worse still,"adj. 更糟的是
 更糟糕的是；更为糟糕的是；更坏地"
accordingly,adv. 因此，于是；相应地；照著
untreated,adj. 未经处理的；未经治疗的
