barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
exit,"n. 出口，通道；退场
vi. 退出；离去"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
vigor,n.  活力，精力
heir,n.  继承人；后嗣；嗣子
heiress,n. 女继承人
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
plump,"n. 扑通声
adj. 圆胖的，丰满的；鼓起的
vt. 使丰满；使鼓起；突然放下
adv. 沉重地；突然地
vi. 变丰满；鼓起"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
forget,"vi. 忘记
vt. 忘记；忽略"
shun,vt. 避开，避免；回避
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
sneer,"vi. 嘲笑，冷笑
vt. 嘲笑，冷笑
n. 嘲笑，冷笑"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
adjoining,"adj. 邻接的；毗连的
v. 邻接（adjoin的ing形式）"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alliance,n. 联盟，联合；联姻
chaste,adj. 纯洁的；贞洁的；有道德的；朴素的
chastity,n. 贞洁；纯洁；简洁
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
defiance,n. 蔑视；挑战；反抗
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
disruptive,adj. 破坏的；分裂性的；制造混乱的
enable,vt. 使能够，使成为可能；授予权利或方法
ability,n. 能力，能耐；才能
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impactive, 冲击的，有不良影响的
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
visual,adj. 视觉的，视力的；栩栩如生的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
appliance,n. 器具；器械；装置
brood,"n. 一窝；一伙
vt. 孵；沉思"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
twig,"n. 小枝；嫩枝；末梢
vt. 理解
vi. 理解"
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
alter,"vt. 改变，更改
vi. 改变；修改"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
fate,"n. 命运
vt. 注定"
fragile,adj. 脆的；易碎的
breakable,"n. 易碎的东西，易破的东西
adj. 易碎的"
fruitful,adj. 富有成效的；多产的；果实结得多的
profitable,adj. 有利可图的；赚钱的；有益的
garrison,"n. 要塞；卫戍部队
vt. 驻防；守卫"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
pursuit,n. 追赶，追求；职业，工作
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
abstain,vi. 自制；放弃；避免
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
urgent,adj. 紧急的；急迫的
imminent,adj. 即将来临的；迫近的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
heedless,adj. 不注意的；不留心的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
nun,n. 修女，尼姑
monk,n. 僧侣，修道士；和尚
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
steadfast,adj. 坚定的；不变的
inconstant,adj. 变化无常的；易变的；多变的
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
thrift,n. 节俭；节约； 海石竹
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
pleasing,"v. 取悦（please的现在分词）
adj. 令人愉快的；讨人喜欢的；合意的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
bulgy,adj. 膨胀的，凸出的
congratulate,vt. 祝贺；恭喜；庆贺
congratulation,n. 祝贺；贺辞
contradiction,n. 矛盾；否认；反驳
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
detect,vt. 察觉；发现；探测
detection,n. 侦查，探测；发觉，发现；察觉
execute,vt. 实行；执行；处死
execution,n. 执行，实行；完成；死刑
intervene,vi. 干涉；调停；插入
intervention,n. 介入；调停；妨碍
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
paralyze,vt. 使麻痹；使瘫痪
paralysis,n. 麻痹；无力；停顿
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
staggering,adj. 惊人的，令人震惊的
subsequent,adj. 后来的，随后的
subsequence,n. 后继；随后发生的事情
cling,vi. 坚持，墨守；紧贴；附着
countenance,"n. 面容，表情；支持
vt. 支持，赞同"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
growl,"n. 咆哮声；吠声；不平
vt. 咆哮；（雷电，炮等）轰鸣
vi. 咆哮着说"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
postage,n. 邮资，邮费
poultry,"n. 家禽
家禽肉"
prick,"n. 刺，扎；刺痛，刺伤；阴茎；锥
vt. 刺，戳；刺伤，刺痛；竖起
vi. 刺；竖起
adj. 竖起的"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
undergo,vt. 经历，经受；忍受
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
bellow,"n. 吼叫声；轰鸣声
vi. 吼叫；怒吼；咆哮
vt. 大声喊叫；大声发出"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
beverage,n. 饮料
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
equipment,n. 设备，装备；器材
rascal,"n. 流氓，无赖；淘气鬼，捣蛋鬼
adj. 不诚实的；下贱的，卑鄙的"
rogue,"n. 流氓；小淘气；凶猛的离群兽；（尤指植物的）劣种
adj. （野兽）凶猛的
vt. 欺诈；去劣
vi. 游手好闲；去劣；流浪"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
protection,n. 保护；防卫；护照
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
timetable,n. 时间表；时刻表；课程表
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
thong,"n. 皮带；皮鞭；人字拖鞋
vt. 鞭打；给…装上皮带"
tomb,"n. 坟墓；死亡
vt. 埋葬"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
convey,vt. 传达；运输；让与
wrath,n. 愤怒；激怒
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
baggy,adj. 袋状的，膨胀的；宽松而下垂的
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
beneficial,adj. 有益的，有利的；可享利益的
harmful,adj. 有害的；能造成损害的
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
drought,n. 干旱；缺乏
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
eliminate,vt. 消除；排除
include,vt. 包含，包括
gorgeous,adj. 华丽的，灿烂的；极好的
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
lawful,adj. 合法的；法定的；法律许可的
lad,n. 少年，小伙子；家伙
lass,n. 小姑娘；情侣；（苏格兰）女佣
retain,vt. 保持；雇；记住
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
approval,n. 批准；认可；赞成
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abbreviation,n. 缩写；缩写词
available,adj. 可获得的；可购得的；可找到的；有空的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
bribery,n.  贿赂；受贿；行贿
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
chatty,adj. 饶舌的；爱讲闲话的；非正式的
contempt,n. 轻视，蔑视；耻辱
contemptible,adj. 可鄙的；卑劣的；可轻视的
fraction,n. 分数；部分；小部分；稍微
fractional,adj. 部分的； 分数的，小数的
idol,n. 偶像，崇拜物；幻象；谬论
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inheritance,n. 继承；遗传；遗产
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reproductive,adj. 生殖的；再生的；复制的
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shrinkage,n. 收缩；减低
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
temptation,n. 引诱；诱惑物
vital,adj. 至关重要的；生死攸关的；有活力的
vitalize,vt. 赋予…生命；激发；使有生气
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
corridor,走廊
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
imply,vt. 意味；暗示；隐含
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
preside,"vi. 主持，担任会议主席
vt. 管理"
procure,"vt. 获得，取得；导致
vi. 取得"
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
aspire,vi. 渴望；立志；追求
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
attorney,n. 律师；代理人；检查官
lawyer,n. 律师；法学家
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
advice,n. 建议；忠告；劝告；通知
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
ghastly,"adj. 可怕的；惨白的；惊人的；极坏的
adv. 恐怖地；惨白地"
ghostlike,"adj. 恐怖的；灵魂似的
adv. 幽灵似地"
gratitude,n. 感谢（的心情）；感激
thankfulness,n. 感激
plume,"n. 羽毛
vt. 用羽毛装饰
vi. 骚首弄姿"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
terrific,adj. 极好的；极其的，非常的；可怕的
awful,adj. 可怕的；极坏的；使人敬畏的
villain,n. 坏人，恶棍；戏剧、小说中的反派角色；顽童；罪犯
rogue,"n. 流氓；小淘气；凶猛的离群兽；（尤指植物的）劣种
adj. （野兽）凶猛的
vt. 欺诈；去劣
vi. 游手好闲；去劣；流浪"
absent-minded,adj. 心不在焉的；健忘的；出神的
attentive,adj. 留意的，注意的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
exit,"n. 出口，通道；退场
vi. 退出；离去"
immigrate,"vi. 移入
vt. 使移居入境"
emigrate,"vi. 移居；移居外国
vt. 移民"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
inconstant,adj. 变化无常的；易变的；多变的
latitude,n. 纬度；界限；活动范围
longitude,n.  经度；经线
