agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
brevity,n. 简洁，简短；短暂，短促
breviary,n. 每日祈祷书，摘要，缩略
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
briefness,n. 简单；短促
breve,n. （罗马教皇的）谕令；二全音符，短弱音符
precedent,"n. 先例；前例
adj. 在前的；在先的"
precedented,adj. 有先例的
unprecedented,adj. 空前的；无前例的
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
procedure,n. 程序，手续；步骤
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
antecessor,n. 前任者，前辈
antecede,vt. 在...之前；胜过；居前
successor,n. 继承者；后续的事物
succession,n. 连续；继位；继承权； 演替
successive,adj. 连续的；继承的；依次的；接替的
recession,n. 衰退；不景气；后退；凹处
recede,"vi. 后退；减弱
vt. 撤回"
retrocede,v. 交还，归还
retrocession,"n. 交还, 后退
 后退, 后移, 退行, 外消内攻"
intercede,vi. 调解，调停；求情，说项
intercession,n. 调解；说情；仲裁
intercessor,n. 调解人；仲裁者
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exception,n. 例外；异议
exceptional,"n. 超常的学生
adj. 异常的，例外的"
exceptive,adj. 例外的，特殊的；优越的；吹毛求疵的
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptance,n. 接纳；赞同；容忍
acceptable,adj. 可接受的；合意的；可忍受的
intercept,"n. 拦截； 截距；截获的情报
vt. 拦截；截断；窃听"
interception,n. 拦截，截住；截断，截取；侦听，窃听
intercepter, 扼流板
incept,"vt. 开始；摄取；接收
vi. 获得学位；就职"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decidable,adj. 可决定的
undecided,adj. 未定的；未决定的；不稳定的
decision,n. 决定，决心；决议
indecision,n. 优柔寡断；犹豫不决
decisive,adj. 决定性的；果断的，坚定的
indecisive,adj. 犹豫不决的；非决定性的
concise,adj. 简明的，简洁的
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
incise,vt. 切；切割；雕刻
incision,n. 切口；雕刻，切割；切开
incisive,adj. 深刻的；敏锐的；锋利的
incisor,n.  切牙；门牙
excide,vt. 切开
excision,n. 删除，切除；切除之物
circumcise,vt. 割包皮；割除阴蒂；除去邪念
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
homicide,n. 过失杀人；杀人犯
patricide,n. 杀父；杀父者；杀父罪
insecticide,n. 杀虫剂
parasiticide,n. 驱虫剂
bactericide,n. 杀菌剂
circus,n. 马戏；马戏团
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
encircle,vt. 包围；围绕；环绕
semicircle,n. 半圆，半圆形
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circularity,n. 圆； 环状；圈状
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
circulative,"a. 循环性的, 促进循环的, 具有流通性的"
circulatory,adj. 循环的
circlet,n. 小圈；戒指，饰环
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circuitous,adj. 迂曲的；绕行的；迂回线路的
circuity,n. 迂回，绕行
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
exclamation,n. 感叹；惊叫；惊叹词
exclamatory,adj. 感叹的；惊叫的
proclaim,vt. 宣告，公布；声明；表明；赞扬
proclamation,n. 公告；宣布；宣告；公布
proclamatory,"a. 公告的, 宣言的, 布告的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
acclamation,n. 欢呼，喝彩；鼓掌欢呼表示通过
acclamatory,"a. 欢呼的, 喝彩的"
clamour,"n. 喧闹
vt. 吵闹；大声地要求
vi. 叫喊；大声地要求"
clamorous,adj. 吵闹的；大声要求的
clamant,adj. 吵闹的，喧嚣的，急迫的
declaim,"vt. 演讲；慷慨激昂地发表
vi. 慷慨陈词；演讲；朗读"
declamation,n. 雄辩；朗诵
declamatory,adj. 朗读式的；雄辩家式的；慷慨激昂的
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
declarer,n. 宣言者，申报者
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
declarative,adj. 宣言的；陈述的，说明的
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarification,n. 澄清，说明；净化
clarity,n. 清楚，明晰；透明
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
exclusionism,n. 排外主义；排他主义
include,vt. 包含，包括
inclusion,n. 包含；内含物
inclusive,adj. 包括的，包含的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
conclusive,adj. 决定性的；最后的；确实的；确定性的
seclude,vt. 使隔离，使隔绝
seclusion,n. 隔离；隐退；隐蔽的地方
seclusive,adj. 喜隐居的；爱孤独的；隐退性的
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
recluse,"n. 隐士；隐居者
adj. 隐居的"
reclusive,adj. 隐居的；隐遁的
occlude,"vt. 使闭塞；封闭；挡住
vi. 咬合"
occlusion,n. 闭塞；吸收；锢囚锋
occlusive,"adj. 咬合的；闭塞的
n. 闭塞音"
preclude,vt. 排除；妨碍；阻止
preclusion,n. 排除；阻止；妨碍；预防
preclusive,"a. 预防的, 消除性的, 消除的, 排除性的, 排除的, 预防性的, 阻止的, 妨碍的"
cognition,n. 认识；知识；认识能力
cognitive,adj. 认知的，认识的
cognize,vt. 认识，认知
cognizable,adj. 可认识的；可辨识的；可以审理的
incognizable,adj. 难觉察的，不可知的
cognizance,n. 审理，审判管辖权；认知；标志
cognizant,adj. 审理的；已认知的
incognizant,adj. 没意识到的，没察觉到的
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognizable,adj. 可辨认的；可认识的；可承认的
irrecognizable,adj. 不能认识的
recognition,n. 识别；承认，认出；重视；赞誉；公认
precognition,n. 预知；先知
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
cordially,adv. 诚挚地，诚恳地；友善地
cordiality,n. 热诚；真挚
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
recorder,n. 录音机；记录器；记录员；八孔直笛
recordable,adj. 可记录的；值得记录的
recordation,n. 记载，记录
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
recordist,n. 录音员，录音师
concord,n. 和谐；和睦；一致；协调
concordance,n. 调和，一致；用语索引；著作或作家全集的重要用字索引
concordant,adj. 和谐的；协调的；一致的；和声的
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discordance,n. 不一致；不调和；冲突；（声音的）不和谐
discordant,adj. 不和谐的，刺耳的；不一致的
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
accordant,adj. 一致的；调和的
cordate,adj. 心脏形的
core,找不到解释
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corporator,n. 法人团体的一员
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
incorporation,n. 公司；合并，编入；团体组织
incorporator,n. 合并者，法人创立者
agricorporation,n. 农业综合公司
corporal,"n. 下士
adj. 肉体的，身体的"
corporeal,adj. 物质的，有形的；肉体的
incorporeal,adj. 灵魂的；无实体的；非物质的
corporealize,vt. 使具有形体，使形体化，使物质化
corporeality,"n. 肉体的存在；物质性
adj. 有形的"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
corpse,n. 尸体
corpulent,adj. 肥胖的
credible,adj. 可靠的，可信的
credibility,n. 可信性；确实性
incredible,adj. 难以置信的，惊人的
incredibility,n. 不能相信
credulous,adj. 轻信的；因轻信而产生的
incredulous,adj. 怀疑的；不轻信的
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
creditable,adj. 可信的；声誉好的；值得称赞的
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
accredit,vt. 授权；信任；委派；归因于
credence,n. 信任；凭证；祭器台（等于credence table，credenza）
credential,n. 证书；凭据；国书
creed,n. 信条，教义
crucial,adj. 重要的；决定性的；定局的；决断的
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
crusader,n. 改革者；十字军战士
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
cruiser,n. 巡洋舰；巡航飞机，警察巡逻车
cruisette,找不到解释
crucifix,n. 十字架，耶稣受难像
crucifixion,n. 刑罚；苦难
crucify,vt. 折磨；十字架上钉死；克制
crucifier,n. crucify的变形
cruciform,"n. 十字形
adj. 十字形的；十字架状的"
excruciate,vt. 使苦恼；施酷刑；折磨
excruciation,n. 酷刑，拷问；苦恼
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
insecure,adj. 不安全的；不稳定的；不牢靠的
insecurity,n. 不安全；不牢靠；无把握；心神不定
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
curio,n. 古董；珍品
incurious,adj. 不关心的；无好奇心的；不感兴趣的
incuriosity,n. 无好奇心；无关心
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
curable,adj. 可治愈的；可医治的；可矫正的
incurable,"n. 患不治之症者，不能治愈的人
adj. 不能治愈的；无可救药的"
curative,"n. 药品；治疗法
adj. 有疗效的；治病的"
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
occurrent,adj. 正在发生的，偶然发生的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
undercurrent,n. 暗流；潜流
currency,n. 货币；通货
excurse,vi. 远足；游览，短程旅行
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
excursionist,n. 旅行者
excursive,adj. 离题的；散漫的
excursus,n. 补说；附记
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
intercourse,n. 性交；交往；交流
concourse,n. 广场；集合；合流；群众
courser,n. 骏马；打猎者；猎狗
courier,n. 导游；情报员，通讯员；送快信的人
succour,"n. 救援物品
vt. 救助"
cursory,adj. 粗略的；草率的；匆忙的
cursorial,adj. 适于行走的
cursive,"adj. 草书的；草书体的
n. 草书；手写体（一种印刷字体）"
incursion,n. 入侵；侵犯
incursive,adj. 侵入的；流入的；侵略的
precursor,n. 先驱，前导
precursory,adj. 前兆的（等于precursive）；先驱的
antecursor, 前驱者；先行者
concur,vi. 同意；一致；互助
concurrence,n. 同时发生；赞同；合作
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
recur,vi. 复发；重现；采用；再来；循环；递归
recurrence,n. 再发生；循环；重现；重新提起
transcurrent,adj. 横亘的，横贯的，横推的
corridor,走廊
curriculum,"n. 课程
总课程"
dentist,"n. 牙科医生
牙医诊所"
dentistry,n. 牙科学；牙医业
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
denture,n. 齿列，托牙；一副假牙
dentiform,adj. 齿形的；齿状的
dentate,"n. 配位基
adj. 齿状的；有齿的；锯齿状的"
dentoid,adj. 齿状的
bident,n. 两尖器，两叉矛，双齿工具
trident,找不到解释
indent,"n. 缩进；订货单；凹痕；契约
vi. 切割成锯齿状
vt. 定货；缩排；印凹痕"
multidentate,adj. 多齿的，多齿状突起的
interdental,adj. 牙齿之间的，舌头放在上下牙齿间发音的
denticle,n. 小齿，齿状装饰; 髓石; 齿饰; 小牙
edentate,"n.  贫齿类动物
adj. 无齿的；贫齿目的，贫齿类的"
diary,n. 日志，日记；日记簿
diarist,n. 日记作者；记日记者
diarize,v. 记（写）日记
diarial,adj. 日记的
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
meridian,"adj. 子午线的；最高点的
n.  子午线， 经线；顶点"
antemeridian,adj. 上午的
postmeridian,adj. 午后的；午后发生的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dictation,n. 听写；口述；命令
dictator,n. 独裁者；命令者
dictatorial,adj. 独裁的，专政的；专横傲慢的
dictatorship,n. 专政；独裁权；独裁者职位
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
predictable,adj. 可预言的
malediction,n. 坏话，诅咒
maledictory,"a. 诅咒的, 坏话的"
benediction,n. 祝福；赐福；恩赐；祈求上帝赐福的仪式
benedictory,adj. 祝福的，感谢的
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicator,n. 指示器； 指示剂； 指示符；压力计
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
dictionary,n. 字典；词典
diction,n. 用语；措词
dictum,n. 格言；声明；法官的附带意见
edict,n. 法令；布告
dictaphone,n. 录音机；口授留声机；录音电话机
indict,vt. 控告，起诉； 揭发
indictment,n. 起诉书；控告
indictor,"n. 原告
 原告"
indictee,n. 被告
interdict,"n. 禁令；禁止
vt. 阻断，封锁；禁止"
interdiction,n. 禁止，制止；封锁
interdictory,"a. 禁止的, 停止的, 禁令的
 禁止的, 停止的, 禁令的"
verdict,n. 结论；裁定
tradition,n. 惯例，传统；传说
traditional,adj. 传统的；惯例的
traditionalism,n. 传统主义
edit,"vt. 编辑；校订
n. 编辑工作"
editor,n. 编者，编辑；社论撰写人；编辑装置
editorial,"n. 社论
adj. 编辑的；社论的"
editorship,n. 编辑；校订；编辑或主笔地位
subeditor,n. 副主编；副编辑；助理编辑
edition,"n. 版本
版次
集"
extradite,vt. 引渡；获取…的引渡
extradition,n. 引渡；亡命者送还本国
extraditable,adj. 可引渡的；该引渡的
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
pardoner,n. 宽恕的人，卖赦罪符者
pardonable,adj. 难怪的；可原谅的
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
donee,n. 受赠者
condone,vt. 宽恕；赦免
condonation,"n. 宽恕, 赎罪"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
donator,n. 捐赠者; 供体; 给予体
donative,"adj. 捐赠的，赠与的
n. 捐赠物，捐款"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
dotal,a. 嫁妆的
anecdote,n. 轶事；奇闻；秘史
anecdotist,n. 讲轶事的人
anecdotical,adj. 轶事的
dual,"n. 双数；双数词
adj. 双的；双重的"
dualism,n. 二元论；双重性；二神教
dualist,n. 二元论者
dualistic,adj. 二元的；二元论的
duality,n. 二元性； 二象性
dualize,vt. 使二元化，使具有二重性
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
duplication,n. 复制；副本；成倍
duplicity,n. 口是心非；表里不一；不诚实
duplex,"n. 双工；占两层楼的公寓套房
adj. 二倍的，双重的"
duel,"n. 决斗；斗争，抗争
vi. 决斗"
duelist,n. 决斗者
duet,n. 二重奏；二重唱
duettist,n. 二重奏者
educate,"vt. 教育；培养；训练
vi. 教育；训练"
education,n. 教育；培养；教育学
educable,adj. 可教育的，可培养的
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
introductory,adj. 引导的，介绍的；开端的
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
condutor,找不到解释
semiconductor,n.  半导体
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
product,n. 产品；结果； 乘积；作品
production,n. 成果；产品；生产；作品
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
abduct,vt. 绑架；诱拐；使外展
abduction,n. 诱拐，绑架；诱导
abductor,n. 诱拐者
seduce,vt. 引诱；诱惑；诱奸；怂恿
seducer,n. 诱惑者；骗子；玩弄女性的人
seduction,n. 诱惑；魅力；（复数）诱惑物
aqueduct,n.  渡槽；导水管；沟渠
viaduct,n. 高架桥；高架铁路
ventiduct,n.  通风管
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
reductor,n. 还原器，减速器，减压器
induce,vt. 诱导；引起；引诱；感应
inducer,n.  诱导物；引诱者；导流片；电感器
inducement,n. 诱因，刺激物
educe,vt. 引出；演绎；使显出
educible,"a. 可引出的, 可推断的, 可演绎的"
edible,"n. 食品；食物
adj. 可食用的"
edibility,n. 可食性；适食性
inedible,adj. 不能吃的
inedibility,n. 不适于食用
edacious,adj. 贪吃的，贪婪的；狼吞虎咽的
edacity,n. 贪吃；狼吞虎咽
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equality,n. 平等；相等； 等式
equalitarian,"adj. 平等主义的
n. 平等主义者"
equalitarianism,n. 平均主义
equalize,"vt. 补偿；使相等
vi. 成为相等；打成平局"
adequate,adj. 充足的；适当的；胜任的
adequacy,n. 足够；适当；妥善性
inadequate,adj. 不充分的，不适当的
inadequacy,n. 不适当，不充分；不完全；不十分
equable,adj. 平静的；变动小的
equability,n. 平静，无变动
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
equivalence,n. 等值；相等
equate,"vt. 使相等；视为平等
vi. 等同"
equation,n. 方程式，等式；相等； 反应式
equator,n. 赤道
equatorial,"n. 赤道仪
adj. 赤道的，近赤道的；中纬线的"
equivocal,adj. 模棱两可的；可疑的
equivocate,vi. 说模棱两可的话；支吾， 躲闪；推诿；含糊其词
equiangular,adj. 等角的
equilateral,"n. 等边形
adj. 等边的；等面的"
equidistance,n. 等距离
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
equanimity,n. 平静；镇定
longevity,n. 长寿，长命；寿命
longevous,a. 长命的
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
medievalism,n. 中世纪精神；中世纪性质
medievalist,n. 中世纪研究家；中古史学家
primeval,adj. 原始的；初期的（等于primaeval）
coeval,"n. 同时代的人
adj. 同时代的"
coevality,n. 同年龄，同时代
factory,n. 工厂；制造厂；代理店
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturer,n. 制造商； 厂商
manufactory,n. 制造厂，工厂
benefactor,n. 恩人；捐助者；施主
benefaction,n. 善行；捐赠；恩惠
malefactor,n. 作恶者；罪犯；坏人
malefaction,n. 罪行；罪恶；犯罪行为
factitious,adj. 人为的，人工的；不自然的；虚假的
facsimile,"n. 传真；复写
adj. 复制的
vt. 传真；临摹"
facile,"adj. （言语或理论）轻率的，未经深思熟虑的
adj. 温和的；灵巧的；易做到的"
facility,n. 设施；设备；容易；灵巧
facilitate,vt. 促进；帮助；使容易
fact,n. 事实；实际；真相
factual,adj. 事实的；真实的
facture,n. 制作；发票；制作法
confer,"vt. 授予；给予
vi. 协商"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
difference,n. 差异；不同；争执
different,adj. 不同的；个别的，与众不同的
differential,"n. 微分；差别
adj. 微分的；差别的；特异的"
differentiate,"vt. 区分，区别
vi. 区分，区别"
differentiation,n. 变异， 分化；区别
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
offering,"n. 提供；祭品；奉献物；牲礼
v. 提供（offer的ing形式）"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
preferential,adj. 优先的；选择的；特惠的；先取的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transference,n. 转移；转让；调任
floriferous,adj. 多花的；开花的；有花的
aquiferous,adj. 含水的； 蓄水的
cruciferous,adj. 十字花科的
florist,n. 花商，种花人；花卉研究者
floral,adj. 花的；植物的，植物群的；花似的
florid,adj. 绚丽的；气色好的
floridity,"n. 鲜丽, 脸色好"
floriculture,n. 花卉栽培；花卉园艺学
floriculturist,"n. 花匠, 花草栽培家"
defloration,n. 摘花；蹂躏处女；夺美；玷污
uniflorous,adj. 开单花的，有单花的
multiflorous,adj. 多花的
floret,n. 小花；绢丝（等于florette）；菜茎
floriferous,adj. 多花的；开花的；有花的
effloresce,vi. 开花，风化
efflorescence,n. 风化；开花；粉化
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
flourishing,"adj. 繁荣的；繁茂的；盛行的
v. 茂盛（flourish的ing形式）"
reflourish,"v. 复活, 再开花"
noctiflorous,a. 夜间开花的
fluent,adj. 流畅的，流利的；液态的；畅流的
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
uninfluential,adj. 没有影响的
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
confluent,"n. 支流
adj. 汇合的；融合性的"
confluence,n. （河流的）汇合、汇流点；（人或物的）聚集
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
fluidity,n.  流动性；流质；易变性
refluent,adj. 退潮的；倒流的，逆流的
refluence,"n. 逆流, 回流, 退潮"
defluent,"adj. 向下流的
n. 向下流的部分"
circumfluent,"a. 围绕的, 环流的"
effluent,"n. 污水；流出物；废气
adj. 流出的，发出的"
superfluous,adj. 多余的；不必要的；奢侈的
superfluity,n. 奢侈品；额外；过剩
superfluid,"n. 超流体
adj. 超流体性的"
interfluent,adj. 流入中间的，合流的
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
fluxion,n. 流动; 不断的变化; 转变; 飞跑
fluxional,"a. 流动的, 变动的"
afflux,n. 流入，汇集，充注
reflux,n. 逆流；退潮
influx,n. 流入；汇集；河流的汇集处
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
refusal,n. 拒绝；优先取舍权；推却；取舍权
confuse,vt. 使混乱；使困惑
confusion,n. 混淆，混乱；困惑
transfuse,vt. 输血；灌输；注入
transfusion,n.  输血； 输液；倾注；灌输
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
infuser,n. 鼓吹者
infusion,n. 灌输；浸泡；注入物；激励
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
diffusion,n. 扩散，传播； 漫射
interfuse,v. （使）混入，（使）混合
interfusion,"n. 混入, 混合"
