apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
infinitesimal,"adj. 无穷小的；无限小的；极小的
n. 无限小；极微量；极小量"
inordinate,adj. 过度的；无节制的；紊乱的
picayune,"n. 无价值之物；西班牙小币
adj. 不值钱的；眼光狭小的；微不足道的"
puny,adj. 弱小的；微不足道的；微小的
infirmity,n. 虚弱；疾病；衰弱；缺点
debilitate,vt. 使衰弱；使虚弱
enervate,"adj. 衰弱的，无力的
vt. 使衰弱，使失去活力"
incapacitate,vt. 使无能力；使不能；使不适于
decadent,"adj. 颓废的；衰微的
n. 颓废者"
decrepit,adj. 衰老的；破旧的
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
flimsy,"n. 薄纸；复写纸；打字纸
adj. 脆弱的；浅薄的；易损坏的；不周密的"
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
bulwark,"n. 壁垒；保障；防波堤
vt. 保护；筑垒保卫"
citadel,n. 城堡；大本营；避难处
forte,"n. 长处；特长
adj. 强音的；响的
adv. 响亮地"
vigor,n.  活力，精力
invigorate,vt. 鼓舞；使精力充沛
cogent,adj. 强有力的；使人信服的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
impregnable,adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
robust,adj. 强健的；健康的；粗野的；粗鲁的
tenacious,adj. 顽强的；坚韧的；固执的；紧握的；黏着力强的
vehement,adj. 激烈的，猛烈的；热烈的
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
ignore,vt. 驳回诉讼；忽视；不理睬
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
heedless,adj. 不注意的；不留心的
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
remiss,adj. 怠慢的；迟缓的；不小心的
slovenly,"adj. 懒散的；不整洁的；马虎的
adv. 邋遢地；马虎地；不整洁地"
solicitude,n. 焦虑；渴望；担心
vigilance,n. 警戒，警觉；警醒症
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
discreet,adj. 谨慎的；小心的
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
scrupulous,adj. 细心的；小心谨慎的；一丝不苟的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
denizen,"n. 居民；外来语；外籍居民
vt. 给…居住权；移植"
domicile,"n. 住宅；永久居住地；期票支付场所
vt. 使定居；使在指定的场所支付（期票等）
vi. 居住"
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
sojourn,"n. 逗留；旅居
vi. 逗留；旅居"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
nomadic,adj. 游牧的；流浪的；游动的
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
defiance,n. 蔑视；挑战；反抗
infraction,n. 违反
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
insurrection,n. 暴动；叛乱
malcontent,"adj. 不满的；不服的
n. 不满现状的人；反抗者"
sedition,n. 暴动；煽动性的言论或行为；妨害治安
transgress,"vt. 违反；侵犯；犯罪
vi. 违反；违法；越界"
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
insubordinate,adj. 不听话的；不顺从的
perverse,adj. 堕落的，不正当的；倔强的；违反常情的
allegiance,n. 效忠，忠诚；忠贞
acquiesce,vi. 默许；勉强同意
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
docile,adj. 温顺的，驯服的；容易教的
meek,adj. 温顺的；谦恭的；驯服的
pliable,adj. 柔韧的；柔软的；圆滑的；易曲折的
tractable,adj. 易于管教的；易驾驭的；易处理的；驯良的
dawdle,"vt. 混日子；游手好闲；浪费时间
vi. 混日子；游手好闲；偷懒"
procrastinate,"vi. 耽搁，延迟
vt. 耽搁，延迟"
protract,vt. 绘制；延长；伸展
chronic,adj. 慢性的；长期的；习惯性的
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
imminent,adj. 即将来临的；迫近的
incipient,adj. 初期的；初始的；起初的；发端的
intermittent,adj. 间歇的；断断续续的；间歇性
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
sporadic,adj. 零星的；分散的；不定时发生的
essence,n. 本质，实质；精华；香精
prerequisite,"n. 先决条件
adj. 首要必备的"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
necessitate,vt. 使成为必需，需要；迫使
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obviate,vt. 排除；避免；消除
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
gratuitous,adj. 无理由的，无端的；免费的
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
superfluous,adj. 多余的；不必要的；奢侈的
autobiography,n. 自传；自传文学
autocrat,n. 独裁者，专制君主；独断独行的人
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
automation,n. 自动化；自动操作
automaton,n. 自动机；机器人；自动机器
autonomy,n. 自治，自治权
autopsy,n. 验尸； 尸体解剖； 尸体剖检
authentic,adj. 真正的，真实的；可信的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
autonomous,adj. 自治的；自主的；自发的
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
autocracy,n. 独裁政治；专制政治；独裁政府；独裁统治的国家
bureaucracy,n. 官僚主义；官僚机构；官僚政治
democracy,n. 民主，民主主义；民主政治
plutocracy,n. 富豪统治，富豪统治集团
technocracy,n. 专家管理；专家政治论，技术统治论
aristocrat,n. 贵族
Democrat,找不到解释
demagogue,n. 煽动者；煽动家；煽动政治家
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
democratize,"vt. 使民主化；使大众化
vi. 民主化；大众化"
democratic,adj. 民主的；民主政治的；大众的
panacea,n. 灵丹妙药；万能药
pandemonium,n. 一片混乱；闹哄哄的场所
panoply,n. 华丽服饰；全套甲胄，全副盔甲
panorama,n. 全景，全貌；全景画；概论
pantomime,"n. 哑剧；舞剧；手势
vi. 打手势；演哑剧
vt. 打手势；演哑剧"
Pan-American,adj. 泛美的；全美洲的
anachronism,n. 时代错误；不合潮流的人或物
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
chronology,n. 年表；年代学
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
synchronize,"vt. 使……合拍；使……同步
vi. 同步；同时发生"
kleptomania,n. 盗窃癖
mania,n. 狂热；狂躁；热衷
maniac,"n. 疯子，躁狂者
adj. 发狂的；狂热的；癫狂的"
pyromania,n. 放火狂；纵火癖
maniacal,adj. 疯狂的，狂热的；躁狂的
encyclopedia,n. 百科全书（亦是encyclopaedia）
orthopedic,adj. 整形外科的（等于orthopaedic）
pedagogue,n. 教师，教员；卖弄学问者
pedagogy,n. 教育；教育学；教授法
pediatrician,n. 儿科医师（等于pediatrist）
pediatrics,n. 小儿科
orthodontist,n. 正牙医生；牙齿矫正医师
orthography,n. 正确拼字；正字法；正字学
orthopedist,n. 整形外科医师（等于 orthopaedist）
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
unorthodox,adj. 非正统的；异端的；异教的
genealogy,n. 宗谱；血统；家系；系谱学
genesis,n. 发生；起源
homogenize,"vt. 使均匀；使类同
vi. 变均匀"
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
barometer,n.  气压计；晴雨表；显示变化的事物
chronometer,n.  精密记时表；高度精确的钟表；航海经线仪
diameter,n. 直径
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
odometer,n. （汽车的）里程表， 里程计
photometer,n. 光度计；测光表
speedometer,n. 速度计；里程计
symmetry,n. 对称（性）；整齐，匀称
antagonist,n. 敌手； 对抗肌； 拮抗物；反协同试剂
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antibody,n.  抗体
antidote,n.  解毒剂；解药；矫正方法
antipathy,n. 反感；厌恶；憎恶；不相容
antiseptic,"n. 防腐剂，抗菌剂
adj. 防腐的，抗菌的；非常整洁的"
antitoxin,n. 抗毒素；抗毒素血清
antonym,n.  反义词
acronym,n. 首字母缩略词
homonym,n. 同音异义词；同形异义词；同形同音异义词；同名异物
onomatopoeia,n. 拟声；声喻法
pseudonym,n. 笔名；假名
synonym,n. 同义词；同义字
anonymous,adj. 匿名的，无名的；无个性特征的
dermatologist,n. 皮肤科医生；皮肤学者
dermis,n. 皮肤，真皮
epidermis,n. 上皮，表皮
taxidermist,n. 动物标本剥制者；剥制师
hypodermic,"n. 皮下注射；皮下注射器
adj. 皮下的"
agronomy,n. 农学；农艺学；农业经济学
gastronome,n. 爱吃的人；美食家；讲究饮食的人
nemesis,"n. 报应；给与惩罚的人；天罚
n. 主要敌人，强硬对手"
astronomical,adj. 天文的，天文学的；极大的
economic,adj. 经济的，经济上的；经济学的
economical,adj. 经济的；节约的；合算的
cellophane,n. 玻璃纸
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
phantom,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
phenomenon,n. 现象；奇迹；杰出的人才
phenomenal,adj. 现象的；显著的；异常的；能知觉的；惊人的，非凡的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
diathermy,n. 透热疗法
thermometer,n. 温度计；体温计
thermostat,"n. 恒温器；自动调温器
vt. 为…配备恒温器；用恒温器控制"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermonuclear,adj.  热核的；高热原子核反应的
protagonist,n. 主角，主演；主要人物，领导者
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
protoplasm,n. 原生质；原浆；细胞质
prototype,n. 原型；标准，模范
protozoan,"n. 原生动物
adj. 原生动物的"
antithesis,n. 对立面；对照；对仗
epithet,n. 绰号；浑名
hypothesis,n. 假设
synthesis,n. 综合， 合成；综合体
thesis,n. 论文；论点
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
aster,n.  紫菀属植物；星状体
asterisk,"n. 星号
vt. 注上星号；用星号标出"
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
astrologer,n. 占星家
astronaut,n. 宇航员，航天员；太空旅行者
astronomer,n. 天文学家
disaster,n. 灾难，灾祸；不幸
anagram,n. 相同字母异序词，易位构词，变位词
cartographer,n. 制图师；地图制作者
cryptogram,n. 密码
electrocardiogram,n.  心电图
epigram,n. 警句；讽刺短诗；隽语
graphite,"n. 石墨；黑铅
n. 用石墨涂（或掺入等）"
monogram,"n. 交织文字；将姓名的首字母组成的组合图案
vt. 把交织字母印绣刻于"
monograph,"n. 专题著作，专题论文
vt. 写关于…的专著"
stenographer,n. 速记员
graphic,adj. 形象的；图表的；绘画似的
typographical,adj. 印刷上的；排字上的
abrasion,n. 磨损；磨耗；擦伤
avocation,n. 副业；业余爱好；嗜好
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abduct,vt. 绑架；诱拐；使外展
abhor,vt. 痛恨，憎恶
abscond,vi. 逃匿，潜逃；避债
absolve,vt. 免除；赦免；宣告…无罪
abstain,vi. 自制；放弃；避免
avert,vt. 避免，防止；转移
abnormal,adj. 反常的，不规则的；变态的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absorbing,"v. 吸收（absorb的ing形式）
adj. 吸引人的；极有趣的"
averse,adj. 反对的；不愿意的
adherent,"n. 信徒；追随者
adj. 附着的；粘着的"
advent,n. 到来；出现；基督降临；基督降临节
adversary,n. 对手；敌手
adapt,"vi. 适应
vt. 使适应；改编"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
adjourn,"vt. 推迟；使…中止；使…延期
vi. 休会；延期；换地方"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
adequate,adj. 充足的；适当的；胜任的
adjacent,adj. 邻近的，毗连的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
antecedents,n. 经历；祖先；先行词；前身（antecedent的复数形式）
anteroom,n. 前厅；接待室；候见室
postmortem,"n. 验尸；检视；尸体检查
adj. 死后的；死后发生的"
postscript,n. 附言；又及
antedate,"n. 比实际提前的日期
vt. 先于；前于"
postdate,"n. 事后日期；推迟日期
vt. 填迟……的日期；把……的日期填迟；继……之后"
ante meridiem,"na. 上午
 午前；拉丁语；早上"
post meridiem,"na. 午后
 下午；拉丁语"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
bicentennial,"n. 二百周年纪念
adj. 二百周年的"
semicircle,n. 半圆，半圆形
bisect,"vt. 平分；二等分
vi. 横贯；一分为二"
bicameral,adj. 两院制的；有两个议院的
biennial,"n.  二年生植物
adj. 两年一次的"
bimonthly,"n. 双月刊
adj. 两月一次的；每月两次的
adv. 隔月地；一月两次地"
semiannual,adj. 一年两次的；半年一次的
semimonthly,"n. 半月刊
adj. 每半个月一次的
adv. 每半月一次"
bilateral,adj. 双边的；有两边的
bilingual,"n. 通两种语言的人
adj. 双语的"
bipartisan,adj. 两党连立的；代表两党的
semiconscious,adj. 半意识的
semidetached,adj. 半离的，只有一边相衔接的
semiskilled,adj. 半熟练的
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
erosion,n. 侵蚀，腐蚀
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrate,"vi. 移入
vt. 使移居入境"
evoke,vt. 引起，唤起；博得
invoke,vt. 调用；祈求；引起；恳求
excise,"n. 消费税；货物税
vt. 切除；收税"
incise,vt. 切；切割；雕刻
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
inhibit,vt. 抑制；禁止
expel,vt. 驱逐；开除
impel,vt. 推动；驱使；激励
enervate,"adj. 衰弱的，无力的
vt. 使衰弱，使失去活力"
implicate,vt. 使卷入；涉及；暗指；影响
impugn,vt. 指责，非难；抨击；反驳；对…表示怀疑
incarcerate,"adj. 监禁的；禁闭的
vt. 监禁；下狱；禁闭"
inscribe,vt. 题写；题献；铭记；雕
eminent,adj. 杰出的；有名的；明显的
imminent,adj. 即将来临的；迫近的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
inclusive,adj. 包括的，包含的
extracurricular,adj. 课外的；业余的；婚外的
extraneous,adj. 外来的；没有关联的；来自体外的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
intramural,adj. 校内的；内部的；城市内的
intraparty,adj. 政党内的
intrastate,adj. 州内的
intravenous,adj. 静脉内的
con,"n. 反对票；反对论
vt. 精读；默记
adv. 反面地
adj. 欺诈的
prep. 以…"
contraband,"n. 走私；走私货；战时禁运品（等于contraband of war）
adj. 禁运的；非法买卖的"
controversy,n. 争论；论战；辩论
contravene,vt. 抵触；违反；反驳；否认
countermand,"vt. 取消，撤消；下反对命令召回
n. 取消；反对命令"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
incontrovertible,adj. 无可争议的；无疑的；明白的
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
intermission,n. 幕间休息；暂停；中断
intercede,vi. 调解，调停；求情，说项
intercept,"n. 拦截； 截距；截获的情报
vt. 拦截；截断；窃听"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
intervene,vi. 干涉；调停；插入
interlinear,adj. 写在行间的
interurban,"n. 市间铁路
adj. 都市间的"
impunity,n. 不受惩罚；无患； 免罚
ingratitude,n. 忘恩负义
illegible,adj. 难辨认的；字迹模糊的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
illogical,adj. 不合逻辑的；不合常理的
immaculate,adj. 完美的；洁净的；无瑕疵的
immature,adj. 不成熟的；未成熟的；粗糙的
inaccessible,adj. 难达到的；难接近的；难见到的
incessant,adj. 不断的；不停的；连续的
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
inhospitable,adj. 荒凉的；冷淡的，不好客的；不适居留的
insoluble,adj. 不能解决的； 不能溶解的；难以解释的
irreconcilable,adj. 矛盾的；不能和解的；不能协调的
irrelevant,adj. 不相干的；不切题的
irrevocable,adj. 不可改变的；不能取消的；不能挽回的
benediction,n. 祝福；赐福；恩赐；祈求上帝赐福的仪式
malediction,n. 坏话，诅咒
benefactor,n. 恩人；捐助者；施主
malefactor,n. 作恶者；罪犯；坏人
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
malice,n. 恶意；怨恨；预谋
malnutrition,n. 营养失调，营养不良
maltreat,vt. 虐待；滥用；粗暴对待
beneficial,adj. 有益的，有利的；可享利益的
benevolent,adj. 仁慈的；慈善的；亲切的
malevolent,adj. 恶毒的；有恶意的；坏心肠的
maladjusted,adj. 失调的；不适应环境的
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
demote,vt. 使降级；使降职
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
despise,vt. 轻视，鄙视
deviate,"vi. 脱离；越轨
vt. 使偏离"
devour,v. 吞食；毁灭
decadent,"adj. 颓废的；衰微的
n. 颓废者"
deciduous,adj. 落叶性的，脱落性的；非永久性的
demented,"adj. 发狂的，疯狂的；精神错乱的
v. 精神错乱；变得痴呆（dement的过去分词）"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
discrepancy,n. 不符；矛盾；相差
disrepair,n. 失修，塌毁；破损
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
distract,vt. 转移；分心
discontent,"n. 不满
adj. 不满的
vt. 使不满"
dispassionate,adj. 不带感情的；平心静气的；公平的
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
secession,n. 脱离；分离
sedition,n. 暴动；煽动性的言论或行为；妨害治安
secede,"vt. 从…中脱离；割让
vi. 脱离；退出"
seclude,vt. 使隔离，使隔绝
segregate,vt. 使隔离；使分离；在…实行种族隔离
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
circumference,n. 圆周；周长；胸围
circumlocution,n. 婉转曲折的说法，累赘的陈述；遁辞
circumnavigate,vt. 环航
circumscribe,vt. 外切，外接；限制；在…周围画线
circumvent,v. 包围；智取；绕行，规避
circumspect,adj. 细心的，周到的；慎重的
collusion,n. 勾结；共谋
concord,n. 和谐；和睦；一致；协调
coalesce,"vt. 使…联合；使…合并
vi. 合并；结合；联合"
collaborate,vi. 合作；勾结，通敌
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
correspond,vi. 符合，一致；相应；通信
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
congenital,adj. 先天的，天生的；天赋的
obstacle,n. 障碍，干扰；妨害物
obliterate,vt. 消灭；涂去；冲刷；忘掉
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
obtrude,"vt. 逼使；强迫；冲出
vi. 打扰；闯入；强加于人"
obviate,vt. 排除；避免；消除
perforate,"vt. 穿孔于，打孔穿透；在…上打齿孔
vi. 穿过，贯穿；穿孔"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
perplex,vt. 使困惑，使为难；使复杂化
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
perturb,vt. 扰乱；使…混乱；使…心绪不宁
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
pertinent,adj. 相关的，相干的；中肯的；切题的
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
preclude,vt. 排除；妨碍；阻止
preconceive,vt. 预想，使成先入之见；对…事先加以考虑
prefabricate,vt. 预先制造；预先构思；预制构件
premeditate,"vt. 预谋；预先考虑
vi. 预谋；预先考虑"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
precocious,adj. 早熟的；过早发育的
proponent,n. 支持者；建议者；提出认证遗嘱者
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
procrastinate,"vi. 耽搁，延迟
vt. 耽搁，延迟"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
propel,vt. 推进；驱使；激励；驱策
protract,vt. 绘制；延长；伸展
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
