ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountable,adj. 有责任的；有解释义务的；可解释的
accountability,n. 有义务；有责任；可说明性
accountant,n. 会计师；会计人员
accountancy,n. 会计工作；会计学；会计师之职
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
countdown,n. 倒数计秒
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
recount,"n. 重算
vt. 叙述；重新计算"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
county,n. 郡，县
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
counterpart,n. 副本；配对物；极相似的人或物
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
critic,n. 批评家，评论家；爱挑剔的人
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
criticism,n. 批评；考证；苛求
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
criterion,n. （批评判断的）标准；准则；规范；准据
depend,vi. 依赖，依靠；取决于；相信，信赖
depend,vi. 依赖，依靠；取决于；相信，信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
dependence,n. 依赖；依靠；信任；信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independently,adv. 独立地；自立地
independence,n. 独立性，自立性；自主
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparison,n. 比较；对照；比喻；比较关系
comparable,adj. 可比较的；比得上的
comparative,"n. 比较级；对手
adj. 比较的；相当的"
compete,vi. 竞争；比赛；对抗
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
competitor,n. 竞争者，对手
appetite,n. 食欲；嗜好
impetus,n. 动力；促进；冲力
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conformity,n. 一致，适合；符合；相似
deform,"adj. 畸形的；丑陋的
vi. 变形；变畸形
vt. 使变形；使成畸形"
deformation,n. 变形
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
formation,n. 形成；构造；编队
formula,n.  公式，准则；配方；婴儿食品
formulate,vt. 规划；用公式表示；明确地表达
forum,n. 论坛，讨论会；法庭；公开讨论的广场
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transformer,n.  变压器；促使变化的人
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composer,n. 作曲家；作家，著作者；设计者
composition,n. 作文，作曲，作品； 构成；合成物；成分
composure,n. 镇静；沉着
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
deposition,n. 沉积物；矿床；革职；（在法庭上的）宣誓作证，证词
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
disposition,n. 处置； 性情； 部署；倾向
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
exposition,n. 博览会；阐述；展览会
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
preposition,n. 介词；前置词
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposal,n. 提议，建议；求婚
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
supposition,n. 假定；推测；想像；见解
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
characterise,vt. 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
committee,n. 委员会
committee,n. 委员会
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commitment,n. 承诺，保证；委托；承担义务；献身
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
action,n. 行动；活动；功能；战斗；情节
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
activity,n. 活动；行动；活跃
transact,"vt. 办理；处理
vi. 交易；谈判"
transaction,n. 交易；事务；办理；会报，学报
action,n. 行动；活动；功能；战斗；情节
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
interactive,adj. 交互式的；相互作用的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
reaction,n. 反应，感应；反动，复古；反作用
agency,n. 代理，中介；代理处，经销处
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agenda,n. 议程；日常工作事项；日程表
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
dignity,n. 尊严；高贵
dignity,n. 尊严；高贵
indignant,adj. 愤愤不平的；义愤的
indignation,n. 愤慨；愤怒；义愤
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensation,n. 感觉；轰动；感动
sentiment,n. 感情，情绪；情操；观点；多愁善感
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
assent,"n. 同意；赞成
vi. 同意；赞成"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consensus,n. 一致；舆论；合意
resent,vt. 怨恨；愤恨；厌恶
resentment,n. 愤恨，怨恨
senseless,adj. 愚蠢的；无知觉的；无意识的
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fantastical,adj. 空想的；捕风捉影的
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
superiority,n. 优越，优势；优越性
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
supervisor,n. 监督人， 管理人；检查员
superstition,n. 迷信
superstitious,adj. 迷信的；由迷信引起的
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
incidentally,adv. 顺便；偶然地；附带地
incidence,n. 发生率；影响； 入射；影响范围
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
limit,"n. 限制；限度；界线
vt. 限制；限定"
limit,"n. 限制；限度；界线
vt. 限制；限定"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
limited,"adj. 有限的
n. 高级快车"
unlimited,adj. 无限制的；无限量的；无条件的
eliminate,vt. 消除；排除
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnitude,n. 大小；量级； 震级；重要；光度
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
massive,adj. 大量的；巨大的，厚重的；魁伟的
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equally,adv. 同样地；相等地，平等地；公平地
equality,n. 平等；相等； 等式
inequality,n. 不平等；不同；不平均
unequal,"n. 不等同的事物
adj. 不平等的；不规则的；不胜任的"
equation,n. 方程式，等式；相等； 反应式
equator,n. 赤道
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
adequate,adj. 充足的；适当的；胜任的
adequacy,n. 足够；适当；妥善性
inadequate,adj. 不充分的，不适当的
inadequacy,n. 不适当，不充分；不完全；不十分
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privacy,n. 隐私；秘密；隐居；隐居处
deprive,vt. 使丧失，剥夺
privilege,"n. 特权；优待
vt. 给与…特权；特免"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
across,"prep. 穿过；横穿
adv. 横过；在对面"
cut across,"na. 对直穿过；同“cut”
 抄近路；抄近路穿过；走捷径"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
 解释；表达；使人接受"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
come around,"na. 赶上；达到；袭击
 苏醒；顺便过来；拜访"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
 到来；再来；回心转意"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
get round,"na. 使敌对各方坐下谈判；同“get around ”
 传开；说服；消息传开"
get around to,"v. 找时间做
 开始考虑；抽时间做；抽出时间来做"
get round to,"v. 找时间做
 腾出时间来做；花时间和精力去做；开始考虑"
go around,"na. 扑过去；兴冲冲开始干
 足够分配；重飞；复飞"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
 顺便去；绕道走；足够分配"
show around,"v. 带…参观
 带……参观；四处参观；领…参观"
show round,带(某人)参观；= show around
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
lay aside,"na. 保存；放在一边；丢弃；留着
 储蓄；搁置；把…放在一边"
put aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
novel,"adj. 新奇的；异常的
n. 小说"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
nourish,vt. 滋养；怀有；使健壮
cultivate,vt. 培养；陶冶；耕作
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
tolerance,n. 公差；宽容；容忍；公差
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
context,n. 环境；上下文；来龙去脉
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
theory,n. 理论；原理；学说；推测
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
machinery,n. 机械；机器；机构；机械装置
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
literature,n. 文学；文献；文艺；著作
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
society,n. 社会；交往；社团；社交界
society,n. 社会；交往；社团；社交界
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
socialism,n. 社会主义
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
socialise,"vt. 使社会化；使社会主义化
vi. 参加社交活动；发生社交往来（等于socialize）"
socially,adv. 在社会上；在社交方面；善于交际地
sociology,n. 社会学；群体生态学
sociologist,n. 社会学家
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognise,vt. 认出；承认，认可；识别
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognise,vt. 认出；承认，认可；识别
recognition,n. 识别；承认，认出；重视；赞誉；公认
cognitive,adj. 认知的，认识的
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
diagnosis,n. 诊断
ignore,vt. 驳回诉讼；忽视；不理睬
ignorant,adj. 无知的；愚昧的
ignorance,n. 无知，愚昧；不知，不懂
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
contribution,n. 贡献；捐献；投稿
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
attribute,"n. 属性；特质
vt. 归属；把…归于"
distribute,vt. 分配；散布；分开；把…分类
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
undoubtedly,adv. 确实地，毋庸置疑的
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
suspicious,adj. 可疑的；怀疑的；多疑的
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imaginable,adj. 可能的；可想像的
imaginary,adj. 虚构的，假想的；想像的；虚数的
imaginative,adj. 富于想象的；有创造力的
imagination,n.  想象力；空想；幻想物
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imitate,vt. 模仿，仿效；仿造，仿制
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
judgement,n. 意见；判断力； 审判；评价
judicial,adj. 公正的，明断的；法庭的；审判上的
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
jury,"n.  陪审团；评判委员会
adj. 应急的"
injure,vt. 伤害，损害
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
partial,adj. 局部的；偏爱的；不公平的
impartial,adj. 公平的，公正的；不偏不倚的
partially,adv. 部分地；偏袒地
partly,adv. 部分地；在一定程度上
particle,n. 颗粒； 质点；极小量；小品词
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
counterpart,n. 副本；配对物；极相似的人或物
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
proportional,"n.  比例项
adj. 比例的，成比例的；相称的，均衡的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
colleague,n. 同事，同僚
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liability,n. 责任；债务；倾向；可能性；不利因素
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
exit,"n. 出口，通道；退场
vi. 退出；离去"
exit,"n. 出口，通道；退场
vi. 退出；离去"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
