acceptance,n. 接纳；赞同；容忍
membership,n. 资格；成员资格；会员身份
prevail over,"v. 胜过
 压倒；战胜；占优势"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
ascribe,vt. 归因于；归咎于
chaotic,adj. 混沌的；混乱的，无秩序的
column,n. 纵队，列；专栏；圆柱，柱形物
correspondent,n. 通讯记者；客户；通信者；代理商行
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
decent,adj. 正派的；得体的；相当好的
delegate,"n. 代表
vt. 委派…为代表"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
extinguish,vt. 熄灭；压制；偿清
genius,n. 天才，天赋；精神
gratitude,n. 感谢（的心情）；感激
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
heroism,n. 英勇，英雄气概；英雄行为；勇敢的事迹
leadership,n. 领导能力；领导阶层
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
massive,adj. 大量的；巨大的，厚重的；魁伟的
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
tragedy,n. 悲剧；灾难；惨案
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
adjacent,adj. 邻近的，毗连的
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
duration,"n. 持续，持续的时间，期间
音长，音延"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
frequency,n. 频率；频繁
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
functional,adj. 功能的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
mathematical,adj. 数学的，数学上的；精确的
misfortune,n. 不幸；灾祸，灾难
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
route,"n. 路线；航线；通道
vt. 按某路线发送"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
scanner,n.  扫描仪；扫描器；光电子扫描装置
subsequent,adj. 后来的，随后的
subtract,vt. 减去；扣掉
sustain,vt. 维持；支撑，承担；忍受；供养；证实
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
advisable,adj. 明智的，可取的，适当的
at one with, 一致；与…意见一致
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
 撞上；碰见；撞见"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
fill up with,"v. 装满
 用……装满；用…把…装满；充满"
fury,n. 狂怒；暴怒；激怒者
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
indigenous,adj. 本土的；土著的；国产的；固有的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
oriental,"adj. 东方的；东方人的
n. 东方人"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
sincere,adj. 真诚的；诚挚的；真实的
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
stick around,"v. 粘在旁
 逗留；在附近逗留或等待；在附近等着"
undergo,vt. 经历，经受；忍受
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
youngster,n. 年轻人；少年
zeal,n. 热情；热心；热诚
administrative,adj. 管理的，行政的
aspire,vi. 渴望；立志；追求
comprise,vt. 包含；由…组成
conquest,n. 征服，战胜；战利品
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
exceedingly,adv. 非常；极其；极度地；极端
heir,n.  继承人；后嗣；嗣子
historic,adj. 有历史意义的；历史上著名的
inclined,"v. 使…倾向（incline的过去分词）
adj. 趋向于…的"
invasion,n. 入侵，侵略；侵袭；侵犯
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
necessity,n. 需要；必然性；必需品
noticeable,adj. 显而易见的，显著的；值得注意的
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
prior to,"adj. 前于
 此前；在…之前；先于"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
successive,adj. 连续的；继承的；依次的；接替的
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
brink,n. （峭壁的）边缘
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
cliff,n. 悬崖；绝壁
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
creation,n. 创造，创作；创作物，产物
deliberately,adv. 故意地；谨慎地；慎重地
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
durable,"n. 耐用品
adj. 耐用的，持久的"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
footstep,n. 脚步；脚步声；足迹
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
morality,n. 道德；品行，美德
myth,n. 神话；虚构的人，虚构的事
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
rumour,"n. 谣言
vt. 传闻"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
