mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
journal,n. 日报，杂志；日记；分类账
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
recreation,n. 娱乐；消遣；休养
futurology,n. 未来学
latter,adj. 后者的；近来的；后面的；较后的
futurologist,n. 未来学家
seminar,n. 讨论会，研讨班
enterprise,n. 企业；事业；进取心；事业心
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
shortly,adv. 立刻；简短地；唐突地
download,vt.  下载
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
starvation,n. 饿死；挨饿；绝食
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
discrimination,n. 歧视；区别，辨别；识别力
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
equality,n. 平等；相等； 等式
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
assess,vt. 评定；估价；对…征税
database,n. 数据库，资料库
electronic,"adj. 电子的
n. 电子电路；电子器件"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
digital,"n. 数字；键
adj. 数字的；手指的"
source,n. 来源；水源；原始资料
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
category,n. 种类，分类； 范畴
autonomous,adj. 自治的；自主的；自发的
programmer,n.  程序设计员
in advance,"na. 预先；在先头
 事先；提前；事前"
creator,找不到解释
premiere,"n. 初次的演出；女主角
vi. 初次公演；首次露面
vt. 初次公演；初次上演
adj. 首位的；初次的；女主角的"
caveman,n. （史前石器时代的）穴居人；野人
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
take over,"na. 接管；继承
 接收；接任；接替"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
colleague,n. 同事，同僚
hibernation,n. 冬眠；过冬；避寒
rescue,"n. 营救；援救；解救
vt. 营救；援救"
exit,"n. 出口，通道；退场
vi. 退出；离去"
disconnect,"vt. 拆开，使分离
vi. 断开"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
operational,adj. 操作的；运作的
instructor,n. 指导书；教员；指导者
dilemma,n. 困境；进退两难；两刀论法
microscope,n. 显微镜
procedure,n. 程序，手续；步骤
organ,n.  器官；机构；风琴；管风琴；嗓音
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
correspond,vi. 符合，一致；相应；通信
meanwhile,"adv. 同时，其间
n. 其间，其时"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
premier,"n. 总理，首相
adj. 第一的；最初的"
outspoken,adj. 坦率的，直言不讳的
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
penicillin,n. 盘尼西林（青霉素）
outcome,n. 结果，结局；成果
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
navy,"n. 海军
深蓝色的"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
wrestle with something, 努力解决难以处理的事
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
microwave,n. 微波
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机"
exploration,n. 探测；探究；踏勘
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
ancestor,n. 始祖，祖先；被继承人
outwards,adv. 向外地
boundary,n. 边界；范围；分界线
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
phenomenon,n. 现象；奇迹；杰出的人才
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
sneeze,"n. 喷嚏
vi. 打喷嚏"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
porridge,"n. 粥，糊；麦片粥
vt. 服刑"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
ripen,"vt. 使成熟
vi. 成熟"
walnut,"n. 胡桃；胡桃木
adj. 胡桃科植物的"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
shaver,n. 理发师；电动剃刀
Mars,n. 战神； 火星
Venus,n.  金星；维纳斯（爱与美的女神）
poisonous,adj. 有毒的；恶毒的；讨厌的
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
settler,n. 移居者；殖民者
kidney,n.  肾脏；腰子；个性
liver,n. 肝脏；生活者，居民
interval,n. 间隔；间距；幕间休息
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
track and field,"n. 田径运动
 田径赛；田径场；田径类"
enhance,vt. 提高；加强；增加
performance-enhancing,增强性能的
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
doping,"n. 使用(或服用)兴奋剂；(在半导体材料中)掺杂(质)；上涂料
v. （dope的ing形式）给…服用毒品; 强迫…吸毒"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
tolerate,vt. 忍受；默许；宽恕
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
at random,"na. 碰运气地；无目标地
 随便地；随机地；随意地"
gene-therapy, 基因疗法
threat,n. 威胁，恐吓；凶兆
controversial,adj. 有争议的；有争论的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
violate,vt. 违反；侵犯，妨碍；亵渎
at all costs,"na. 无论如何
 不惜任何代价；不惜一切代价；不惜代价"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
complicated,adj. 难懂的，复杂的
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
soundtrack,n. 声带；声道；声迹；电影配音
interpret,"vi. 解释；翻译
vt. 说明；口译"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
emotion,n. 情感；情绪
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
ample,adj. 丰富的；足够的；宽敞的
herb,n. 香草，药草
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
storage,n. 存储；仓库；贮藏所
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
straight away,"adv. 马上
 立刻；立刻地；毫不犹豫地"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
cancer, 巨蟹座
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
urban,adj. 城市的；住在都市的
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
empire,n. 帝国；帝王统治，君权
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
prohibit,vt. 阻止，禁止
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
statistics,n. 统计；统计学； 统计资料
symptom,n.  症状；征兆
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
adaptation,n. 适应；改编；改编本，改写本
foresee,vt. 预见；预知
mourn,v. 哀悼；忧伤；服丧
carrier,n.  载体；运送者；带菌者；货架
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
thorough,adj. 彻底的；十分的；周密的
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
teamwork,n. 团队合作；协力
faith,n. 信仰；信念；信任；忠实
stop sth. in its tracks, 停在路上不走了
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
coma,n.  昏迷； 彗形像差
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
sacred,adj. 神的；神圣的；宗教的；庄严的
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
helmet,n. 钢盔，头盔
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
unconditionally,adv. 无条件地
tentatively,adv. 暂时地；试验性地
equip,vt. 装备，配备
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
at any rate,"na. 无论如何；至少；总而言之
 不管怎样；反正；总之"
enquiry,n.  询问， 询盘
deadline,n. 截止期限，最后期限
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
appendix,n. 附录；阑尾；附加物
extension,n. 延长；延期；扩大；伸展；电话分机
tractor,n. 拖拉机；牵引机
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
aluminium,"n. 铝
adj. 铝的"
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
circumstance,n. 环境，情况；事件；境遇
