amongst,prep. 在…之中；在…当中（等于among）
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fresher,n. 新鲜人；大学一年级新生
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
hackery,n. <印>两轮牛车
highly,adv. 高度地；非常；非常赞许地
immerse,vt. 沉浸；使陷入
inevitable,adj. 必然的，不可避免的
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
literature,n. 文学；文献；文艺；著作
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
proctor,"n. 代理人；学监
vt. 监督"
region,n. 地区；范围；部位
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
religion,n. 宗教；宗教信仰
sci-fi,n. 科幻小说（等于science fiction）
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
thrive,vi. 繁荣，兴旺；茁壮成长
union,n. 联盟，协会；工会；联合
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
immerse oneself in, 沉浸于；沉浸于……之中；埋头
put one's finger on, 点明；确切地指出；指出问题的症结所在
throw oneself into,"na. 开始热心做(某事)
 投入；投身于；积极从事"
capacity,n. 能力；容量；资格，地位；生产力
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
humanity,n. 人类；人道；仁慈；人文学科
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
philosopher,n. 哲学家；哲人
philosophy,n. 哲学；哲理；人生观
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
pompous,adj. 自大的；浮夸的；华而不实的；爱炫耀的
skepticism,n. 怀疑论；怀疑的态度
smirk,"n. 傻笑；假笑；得意的笑
vt. 以假笑表示；以傻笑表示
vi. 傻笑；假笑"
source,n. 来源；水源；原始资料
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
syllabus,n. 教学大纲，摘要；课程表
undermine,vt. 破坏，渐渐破坏；挖掘地基
well-rounded,adj. 丰满的；面面俱到的；多才多艺的；（语句）有表达力的
the point of, 精髓
a couple of,"det. 一对
 几个；两个；两三个"
inflict ... on,"un. 遭受
 使承受负担；使遭受；施加"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
a side effect,找不到解释
astrophysicist,n. 天体物理学家
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
cultivate,vt. 培养；陶冶；耕作
curiosity,n. 好奇，好奇心；珍品，古董，古玩
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
device,n. 装置；策略；图案
empathize,vt. 移情；神会
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
fascination,n. 魅力；魔力；入迷
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
innovation,n. 创新，革新；新方法
insight,n. 洞察力；洞悉
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
motivate,vt. 刺激；使有动机；激发…的积极性
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
passion,n. 激情；热情；酷爱；盛怒
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
strategic,adj. 战略上的，战略的
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
trump,"n. 王牌；法宝；喇叭
vt. 胜过；打出王牌赢
vi. 出王牌；吹喇叭"
get the most out of, 最有效的使用；充分利用……的机会；最充分理解
place importance on,重视…
a body of,"adj. 一批
det. 一团
 大量；一片"
get by,"na. 走过；勉强混过去
 通过；过得去；勉强生存"
a host of,"det. 很多
 大量；许多；一大群"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
commencement,n. 开始，发端；毕业典礼
community,n. 社区； 群落；共同体；团体
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
detention,n. 拘留；延迟；挽留
disconnected,"v. 分离（disconnect的过去分词）
adj. 分离的；不连贯的；无系统的"
faculty,n. 科，系；能力；全体教员
frayed,"adj. 散口的
v. 磨损（fray的过去分词）；受磨损"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
imposter,n. 骗子；冒名顶替者
instinctively,adv. 本能地
janitor,"n. 看门人；守卫；门警
n. 清洁工"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
membership,n. 资格；成员资格；会员身份
millennial,adj. 一千年的；千禧年的
opioid,n.  阿片样物质；类鸦片
renewed,"v. 更新；恢复（renew的过去分词）
adj. 更新的；复兴的；重建的"
resource,n. 资源，财力；办法；智谋
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
come down to,"v. 降至；归结起来；变为；归结为
 可归结为；到达；归根结底"
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
occur to, 想到；被想起；被想到
tear apart,"v. 弄乱；撕破
 使心碎；扯开；撕开"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
algebra,n. 代数学
aneurism,n. 动脉瘤
assert,vt. 维护，坚持；断言；主张；声称
asshole,"n. 屁眼儿，肛门；令人讨厌的人
adj. 愚蠢的；窝囊的；可恶的"
await,vt. 等候，等待；期待
awestruck,adj. 敬畏的；惊奇不已的（等于awestricken）
countless,adj. 无数的；数不尽的
courtyard,n. 庭院，院子；天井
coveted,"adj. 垂涎的；梦寐以求的
v. 垂涎；渴望（covet的过去分词形式）；贪图"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
distinctive,adj. 有特色的，与众不同的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
exceptionally,adv. 异常地；特殊地；例外地
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
extracurricular,adj. 课外的；业余的；婚外的
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
internship,n. 实习生；（美）实习期；实习医师职位
interpersonal,adj. 人际的；人与人之间的
linear,adj. 线的，线型的；直线的，线状的；长度的
mutual,adj. 共同的；相互的，彼此的
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
ogle,"vt. 向…抛媚眼；注视
vi. 做媚眼
n. 眉目传情；媚眼"
plaque,n. 匾；血小板；饰板
prefrosh, 前置
prestigious,adj. 有名望的；享有声望的
proximate,adj. 近似的；最近的
recalibrate, 重新刻度，再校准
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
sideline,"n. 副业；球场边线；局外人的观点
adj. 倾斜的
vt. 迫使退出"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
strained,"v. 使紧张（动词strain的过去式和过去分词）
adj. 紧张的；勉强的；牵强附会的；滤过的"
transcript,n. 成绩单；抄本，副本；文字记录
trivial,adj. 不重要的，琐碎的；琐细的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
wistful,adj. 渴望的；沉思的，默想的；引起怀念的；不满足似的
assert oneself,"na. 坚持自己的权利；表现自己
 显示自己的权威；坚持自己的权力；维护自己"
be caught up in, 对…特别感兴趣；被卷入；被卷入某事
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
embark on,"un. 着手
 从事；开始；开始着手做某事"
flip through,"un. 匆匆查看；草草翻阅:；挑传过人；将一翻而过
 浏览；以指头轻触搜寻；很快地浏览"
get over,"na. 同“get across”
 克服；恢复；越过"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
astute,adj. 机敏的；狡猾的，诡计多端的
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
ability,n. 能力，能耐；才能
accomplish,vt. 完成；实现；达到
action,n. 行动；活动；功能；战斗；情节
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
clarity,n. 清楚，明晰；透明
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
conformity,n. 一致，适合；符合；相似
confront,vt. 面对；遭遇；比较
criticism,n. 批评；考证；苛求
dwell,vi. 居住；存在于；细想某事
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
evident,adj. 明显的；明白的
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
genius,n. 天才，天赋；精神
genuine,adj. 真实的，真正的；诚恳的
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
judgment,n. 判断；裁判；判决书；辨别力
overcome,"vt. 克服；胜过
vi. 克服；得胜"
persistence,n. 持续；固执；存留；坚持不懈；毅力
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
prevail,vi. 盛行，流行；战胜，获胜
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
realistically,adv. 现实地；实际地；逼真地
utilize,vt. 利用
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
viewpoint,n. 观点，看法；视角
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
depend on,"v. 依靠
 依赖；取决于；视……而定"
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
 详细讲述；凝思；老是想着"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
think of,"na. 想起
 考虑；认为；想到"
trust in,"v. 信任；相信
 对……的信赖；对…的信任；信靠"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
 担心；烦恼；为……担心"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
aspect,n. 方面；方向；形势；外貌
economical,adj. 经济的；节约的；合算的
employment,n. 使用；职业；雇用
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
fax,找不到解释
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
inquiry,n. 探究；调查；质询
insurance,n. 保险；保险费；保险契约；赔偿金
intend,"vi. 有打算
vt. 打算；想要；意指"
internationalize,vt. 使国际化；置于国际管理下
investigate,v. 调查；研究
opportunity,n. 时机，机会
orientation,n. 方向；定向；适应；情况介绍；向东方
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
paycheck,n. 付薪水的支票，薪水
precisely,adv. 精确地；恰恰
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
truly,adv. 真实地，不假；真诚地
undertake,vt. 承担，保证；从事；同意；试图
visa,"n. 签证
vt. 签发签证"
workforce,n. 劳动力；工人总数，职工总数
as a result,"adv. 结果
 因此；结果是；作为结果"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
run low,"na. 减少；消耗尽；缺乏
 快用完了；几乎耗尽；短缺"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
anticipation,n. 希望；预感；先发制人；预支
anticipatory,adj. 预期的；提早发生的；期待着的
coauthor,"n. 共同执笔者，合著者
vt. 合著"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
concept,n. 观念，概念
conscious,adj. 意识到的；故意的；神志清醒的
continuity,n. 连续性；一连串；分镜头剧本
costly,adj. 昂贵的；代价高的
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
enhance,vt. 提高；加强；增加
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
extroverted,adj. 性格外向的；外向性的；喜社交的
fulfilled,"v. 实现（fulfill的过去分词）；履行；满足
adj. 满足的；十分愉快的"
identity,n. 身份；同一性，一致；特性；恒等式
introverted,"adj. 内向的
v. 使...内向（introvert的过去分词形式）；使内翻"
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
nostalgia,n. 乡愁；怀旧之情；怀乡病
optimistic,adj. 乐观的；乐观主义的
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
perception,n. 知觉； 感觉；看法；洞察力；获取
personality,n. 个性；品格；名人
pleasurable,adj. 快乐的；心情舒畅的；令人愉快的
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
psychology,n. 心理学；心理状态
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
texture,n. 质地；纹理；结构；本质，实质
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
yearning,"n. 渴望；怀念；同情
v. 渴望；向往；想念（yearn的ing形式）
adj. 向往的；渴望的；怀念的"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
engage in,"na. 从事；参加
 参与；从事于；忙于"
engage in something, 搞点东西
hold together,"na. (使)团结在一起
 团结一致；维系；连在一起"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
look back on something,找不到解释
reach out to somebody, 固定搭配
tend to do something,找不到解释
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
crushing,"v. 压破，征服，冲入（crush的过去式和过去分词形式）
adj. 压倒的；决定性的；不能站起来；支离破碎的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
downer,n. 镇定剂；令人沮丧的人
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
eventually,adv. 最后，终于
expectation,n. 期待；预期；指望
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
horrendous,adj. 可怕的；惊人的
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
loneliness,n. 寂寞，孤独
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
passable,adj. 尚可的；可通行的；（钱币等）可流通的
permanently,adv. 永久地，长期不变地
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
rarely,adv. 很少地；难得；罕有地
revel,"n. 狂欢；闹饮；喜庆狂欢活动
vi. 狂欢；陶醉"
societal,adj. 社会的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
stigma,n.  柱头；耻辱；污名；烙印；特征
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
transition,n. 过渡；转变； 转换；变调
unspoken,adj. 无言的；未说出口的；不言而喻的
a bunch of,"det. 一束
 一群；一堆；一串"
at best,"na. 充其量也不过
 至多；最多；最好也只是"
back up,"na. 支持；堵塞；抢救后方；把(文件等备份)
 倒退；后退；援助"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
feel like,"na. 想要…；愿意…；感觉像是…
 觉得；感到想要做；想做"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
revel in, 纵情于；陶醉；酷爱
stressing out,找不到解释
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
beanie,n. 无檐小便帽；（有花饰或羽饰的）小圆女帽
blessed,"v. 祝福（bless的过去分词）
adj. 幸福的；受祝福的；神圣的"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
dedicated,"adj. 专用的；专注的；献身的
v. 以…奉献；把…用于（dedicate的过去式和过去分词）"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
hand-knit,"n. 手织品
adj. 手工编织的
vt. 手工编织"
longevity,n. 长寿，长命；寿命
maternity,"n. 母性，母道； 妇产科医院
adj. 产科的；产妇的，孕妇的"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
newborn,"adj. 新生的；再生的
n. 婴儿"
occasional,adj. 偶然的；临时的；特殊场合的
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
rekindle,"vt. 重新点燃；再点火
vi. 重新点燃"
remaining,adj. 剩下的，剩余的
sedan,n. 轿车；轿子
selfless,adj. 无私的；不考虑自己的
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
stuffed,已经喂饱了的；塞满了的
toiletries,n. 化妆品；化妆用具；旅行洗漱包
valet,"n. 贴身男仆；用车的人；伺候客人停车
vt. 为...管理衣物；替...洗熨衣服
vi. 清洗汽车；服侍"
a glimmer of,det. 一线
attribute sth. to sb.,找不到解释
attribute sth. to sth.,找不到解释
devote sth. to sth.,找不到解释
devote sth. to sb.,找不到解释
fall in love,"v. 坠入情网
 坠入爱河；相爱；爱上"
have no intention of ...,找不到解释
heart and soul,"na. 全心全意地
 一心一意；全心全意的；今生惟一"
in addition,"na. 加之
 另外；此外；又"
