abandon,"n. 放任；狂热
vt. 遗弃；放弃"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affirm,"vt. 肯定；断言
vi. 确认；断言"
afflict,vt. 折磨；使痛苦；使苦恼
agency,n. 代理，中介；代理处，经销处
agenda,n. 议程；日常工作事项；日程表
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
aggravate,vt. 加重；使恶化；激怒
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agony,n. 苦恼；极大的痛苦；临死的挣扎
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
air-conditioning,n. 空调系统；空气调节
aisle,n. 通道，走道；侧廊
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
album,n. 相簿；唱片集；集邮簿；签名纪念册
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alienate,vt. 使疏远，离间；让与
allege,vt. 宣称，断言；提出…作为理由
alleviate,vt. 减轻，缓和
alliance,n. 联盟，联合；联姻
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
ambiguous,adj. 模糊不清的；引起歧义的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambulance,n.  救护车；战时流动医院
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
ample,adj. 丰富的；足够的；宽敞的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
analogy,n. 类比；类推；类似
analytic,adj. 分析的；解析的；善于分析的
analytical,adj. 分析的；解析的；善于分析的
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
angel,"n. 天使；守护神；善人
vt. 出钱支持"
anniversary,n. 周年纪念日
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
anonymous,adj. 匿名的，无名的；无个性特征的
anticipate,vt. 预期，期望；占先，抢先；提前使用
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
apologise,vi. 道歉（等于apologize）
apparatus,n. 装置，设备；仪器；器官
apparent,adj. 显然的；表面上的
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appease,vt. 使平息；使满足；使和缓；对…让步
appendix,n. 附录；阑尾；附加物
appetite,n. 食欲；嗜好
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applause,n. 欢呼，喝采；鼓掌欢迎
appliance,n. 器具；器械；装置
applicable,adj. 可适用的；可应用的；合适的
applicant,n. 申请人，申请者；请求者
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
approval,n. 批准；认可；赞成
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
apt,adj. 恰当的；有…倾向的；灵敏的
arbitrary,adj.  任意的；武断的；专制的
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
architect,"n. 建筑师
缔造者"
architecture,n. 建筑学；建筑风格；建筑式样；架构
arena,n. 舞台；竞技场
armor,"n.  装甲；盔甲
vt. 为…装甲"
armour,n. 盔甲；装甲；护面
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
arrogant,adj. 自大的，傲慢的
artery,n. 动脉；干道；主流
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artillery,n. 火炮；大炮；炮队；炮术
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
ascertain,vt. 确定；查明；探知
ascribe,vt. 归因于；归咎于
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
aspect,n. 方面；方向；形势；外貌
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assassination,n. 暗杀，行刺
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
assert,vt. 维护，坚持；断言；主张；声称
assess,vt. 评定；估价；对…征税
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
assure,vt. 保证；担保；使确信；弄清楚
astonish,vt. 使惊讶
astronomy,n. 天文学
atlas,n. 地图集；寰椎
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attendance,n. 出席；到场；出席人数；考勤
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
attorney,n. 律师；代理人；检查官
attraction,n. 吸引，吸引力；引力；吸引人的事物
attribute,"n. 属性；特质
vt. 归属；把…归于"
auction,"n. 拍卖
vt. 拍卖；竞卖"
authentic,adj. 真正的，真实的；可信的
authoritative,adj. 有权威的；命令式的；当局的
authority,n. 权威；权力；当局
authorize,vt. 批准，认可；授权给；委托代替
authorise,vt. 授权；批准；允许；委任（等于authorize）
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automation,n. 自动化；自动操作
autonomous,adj. 自治的；自主的；自发的
autonomy,n. 自治，自治权
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
avert,vt. 避免，防止；转移
aviation,n. 航空；飞行术；飞机制造业
award,"n. 奖品；判决
vt. 授予；判定"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
awful,adj. 可怕的；极坏的；使人敬畏的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
axe,"n. 斧
vt. 削减；用斧砍"
axis,n. 轴；轴线；轴心国
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
bacon,n. 咸肉；腌肉；熏猪肉
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
balcony,n. 阳台；包厢；戏院楼厅
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
bandage,"n. 绷带
vt. 用绷带包扎"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
behalf,n. 代表；利益
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bewilder,vt. 使迷惑，使不知所措
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bibliography,n. 参考书目；文献目录
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
bingo,n. 宾戈游戏
biochemistry,"n. 生物化学
生物化学过程"
biography,n. 传记；档案；个人简介
bishop,n. （基督教的）主教；（国际象棋的）象
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
bizarre,adj. 奇异的（指态度，容貌，款式等）
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bless,vt. 祝福；保佑；赞美
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bonus,n. 奖金；红利；额外津贴
booklet,n. 小册子
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
booth,n. 货摊；公用电话亭
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
botanical,"n. 植物性药材
adj. 植物学的"
botany,n. 植物学；地区植物总称
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
boundary,n. 边界；范围；分界线
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakthrough,n. 突破；突破性进展
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
briefcase,n. 公文包
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
brink,n. （峭壁的）边缘
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
brochure,n. 手册，小册子
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brood,"n. 一窝；一伙
vt. 孵；沉思"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
brutal,adj. 残忍的；野蛮的，不讲理的
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
bulletin,"n. 公告，公报
vt. 公布，公告"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
bureau,n. 局，处；衣柜；办公桌
bureaucracy,n. 官僚主义；官僚机构；官僚政治
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cafeteria,n. 自助餐厅
calcium,n.  钙
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calculator,n. 计算器；计算者
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
calorie,n. 卡路里（热量单位）
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
candidate,n. 候选人，候补者；应试者
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
capacity,n. 能力；容量；资格，地位；生产力
cape,n.  海角，岬；披肩
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carriage,n. 运输；运费；四轮马车；举止；客车厢
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
casualty,n. 意外事故；伤亡人员；急诊室
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
catastrophe,n. 大灾难；大祸；惨败
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
category,n. 种类，分类； 范畴
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cathedral,n. 大教堂
Catholic,找不到解释
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cautious,adj. 谨慎的；十分小心的
cavity,n. 腔；洞，凹处
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cemetery,n. 墓地；公墓
census,"n. 人口普查，人口调查
vt. 实施统计调查"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
certainty,n. 必然；确实；确实的事情
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certify,v. 证明；保证
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champagne,n. 香槟酒；香槟酒色
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
chaos,n. 混沌，混乱
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
characterise,vt. 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
cholesterol,n.  胆固醇
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
chord,n. 弦；和弦；香水的基调
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
chronic,adj. 慢性的；长期的；习惯性的
chronical,adj. 慢性的；延续很长的
chunk,n. 大块；矮胖的人或物
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
circumstance,n. 环境，情况；事件；境遇
circus,n. 马戏；马戏团
cite,vt. 引用；传讯；想起；表彰
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
civilise,"vt. 教化；文明化；使开化
vi. 变成文明社会（等于civilize）"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clan,n. 宗族；部落；集团
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarity,n. 清楚，明晰；透明
