and,conj. 和，与；就；而且；但是；然后
wow,"n. 极大的成功；一鸣惊人之举；魔兽世界(World of Warcraft)；失真
int. （表示极大的惊奇或钦佩）哇，呀"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
eraser,n. 橡皮；擦除器； 清除器
hooray,"n. 万岁
vt. 呼万岁
int. 万岁
vi. 呼万岁"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
pencil case,"n. 铅笔盒；铅笔袋
 文具盒；笔会用到笔袋；笔筒"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
ruler,n. 尺；统治者； 划线板，划线的人
schoolbag,n. 书包
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
skipping rope,"n. 跳绳
 跳绳用绳子；求购跳绳；跳绳用的绳子"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
TV,abbr. 电视（television）
abracadabra,n. 咒语；胡言乱语
banana,n. 香蕉；喜剧演员；大鹰钩鼻
birthday,n. 生日，诞辰；诞生的日子
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
Christmas,n. 圣诞节；圣诞节期间
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
happy,adj. 幸福的；高兴的；巧妙的
Happy birthday!,找不到解释
Happy New Year!,新年快乐!恭贺新喜!
have,"aux. 已经
vt. 有；让；拿；从事；允许"
"hip, hip, hooray!", 小学英文；朗文英语；少儿英语培训教材
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
New Year's Day,找不到解释
old,"adj. 陈旧的，古老的；年老的
n. 古时"
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
thirsty,adj. 口渴的，口干的；渴望的，热望的
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
UFO,abbr. 不明飞行物（Unidentified Flying Object）
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
wham,"n. 重打声
vt. 重打
vi. 重打"
X-ray,找不到解释
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
yoyo,n. 摇摇乐；溜溜球；悠悠球
yummy,"n. 美味的东西；令人喜爱的东西
adj. 好吃的；美味的；愉快的"
zebra,"n.  斑马
adj. 有斑纹的"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
 好吧；好的；行"
blackboard,n. 黑板
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
classroom,n. 教室
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
next time,"adv. 下一次
 下次；下次见；下次吧"
whiteboard,n. 白色书写板
window,n. 窗；窗口；窗户
with,prep. 用；随着；支持；和…在一起
won't,厌恶；不能容忍；= will not
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
Argentina,n. 阿根廷（位于拉丁美洲）
Brazil,n. 巴西（拉丁美洲国家）
cardboard,"n.  硬纸板；纸板箱；卡纸板
adj. 不真实的；硬纸板制的"
croak,"n. 呱呱叫声；低沉沙哑的说话声
vt. 用嘶哑的声音说；死亡
vi. 呱呱地叫；发牢骚；死"
dotted line,"n. 虚线；点线
 点画线；以点构成的断续的线；虑线"
Father Christmas,"na. 圣诞老人
 圣诞老爸；宗教里对圣诞老人的称法；圣诞老公公"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
from,prep. 来自，从；由于；今后
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
Great Britain,"n. 大不列颠（包括英格兰、苏格兰和威尔士）
 英国；大不列颠岛；大英帝国"
Italy,n. 意大利（欧洲南部国家）
lots of,"adj. 许多；很多
 大量；大量的；许多的"
Merry Christmas,"na. 圣诞快乐
 圣诞节快乐；祝你圣诞快乐；耶诞快乐"
photo,n. 照片
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stocking,n. 长袜
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
that's,那是（等于That is）
that is,"na. 即；用于纠正之前说过的内容
 也就是说；那是；那就是说"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
wrapping paper,"n. （包装礼品的）彩色包装纸
 包装用纸；礼物纸；黑色包装纸"
