progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
foresee,vt. 预见；预知
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
headache,n. 头痛；麻烦；令人头痛之事
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
capable,adj. 能干的，能胜任的；有才华的
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
instruct,vt. 指导；通知；命令；教授
instrument,n. 仪器；工具；乐器；手段；器械
destruction,n. 破坏，毁灭；摧毁
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
eyesight,n. 视力；目力
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
beneficial,adj. 有益的，有利的；可享利益的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visual,adj. 视觉的，视力的；栩栩如生的
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
division,n.  除法；部门；分配；分割；师（军队）；赛区
digital,"n. 数字；键
adj. 数字的；手指的"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
device,n. 装置；策略；图案
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
semiconductor,n.  半导体
semicircle,n. 半圆，半圆形
educate,"vt. 教育；培养；训练
vi. 教育；训练"
introduce,vt. 介绍；引进；提出；采用
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
passport,n. 护照，通行证；手段
via,prep. 渠道，通过；经由
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
virtue,n. 美德；优点；贞操；功效
victory,n. 胜利；成功；克服
victim,n. 受害人；牺牲品；牺牲者
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
speech,n. 演讲；讲话； 语音；演说
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
greed,n. 贪婪，贪心
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
vital,adj. 至关重要的；生死攸关的；有活力的
vivid,adj. 生动的；鲜明的；鲜艳的
invitation,n. 邀请；引诱；请帖；邀请函
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
zebra,"n.  斑马
adj. 有斑纹的"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
library,n. 图书馆，藏书室；文库
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
handkerchief,n. 手帕；头巾，围巾
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
manual,"adj. 手工的；体力的
n. 手册，指南"
chairman,n. 主席，会长；董事长
statesman,n. 政治家；国务活动家
manner,n. 方式；习惯；种类；规矩；风俗
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
forever,adv. 永远；不断地；常常
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instance,"n. 实例；情况；建议
vt. 举...为例"
error,n. 误差；错误；过失
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
latter,adj. 后者的；近来的；后面的；较后的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
platform,n. 平台；月台，站台；坛；讲台
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
unit,n. 单位，单元；装置； 部队；部件
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
union,n. 联盟，协会；工会；联合
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
community,n. 社区； 群落；共同体；团体
communism,n. 共产主义
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
opportunity,n. 时机，机会
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
valid,adj. 有效的；有根据的；合法的；正当的
valley,n. 山谷；流域；溪谷
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
vain,adj. 徒劳的；自负的；无结果的；无用的
compass,"n. 指南针，罗盘；圆规
vt. 包围"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
occur,vi. 发生；出现；存在
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
accurate,adj. 精确的
precise,adj. 精确的；明确的；严格的
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
accident,n. 事故；意外； 意外事件；机遇
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
core,找不到解释
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
dozen,"n. 十二个，一打
adj. 一打的"
decade,n. 十年，十年期；十
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
presently,adv. （美）目前；不久
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
aggress,"vt. 侵犯；挑衅
vi. 攻击；侵略"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
journey,"n. 旅行；行程
vi. 旅行"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circus,n. 马戏；马戏团
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
novel,"adj. 新奇的；异常的
n. 小说"
event,n. 事件，大事；项目；结果
eventually,adv. 最后，终于
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
business,n. 商业； 生意； 交易；事情
invent,vt. 发明；创造；虚构
convention,n. 大会； 惯例； 约定； 协定；习俗
tradition,n. 惯例，传统；传说
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
mountain,n. 山；山脉
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
fountain,n. 喷泉，泉水；源泉
maintain,vt. 维持；继续；维修；主张；供养
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
obtain,"vi. 获得；流行
vt. 获得"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
acquire,vt. 获得；取得；学到；捕获
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
require,vt. 需要；要求；命令
request,"n. 请求；需要
vt. 要求，请求"
academy,n. 学院；研究院；学会；专科院校
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
accomplish,vt. 完成；实现；达到
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
acre,n. 土地，地产；英亩
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
