acolyte,n. 侍僧；助手（指教士的）
apprise,vt. 通知；报告
beatific,adj. 幸福的；祝福的；快乐的
cogent,adj. 强有力的；使人信服的
colloquy,n. 以对话体写的文章；谈话，会话
deprave,vt. 使堕落；使腐败
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
efface,vt. 抹去，抹掉；使自己不受人注意
elucidate,vt. 阐明；说明
inferno,n. 阴间，地狱
lachrymose,adj. 爱哭的，易流泪的；悲哀的
morbid,adj. 病态的；由病引起的；恐怖的；病变部位的
omniscient,"adj. 全知的；无所不知的
n. 上帝；无所不知者"
palliative,"n. 辩解；缓和剂；暂时姑息的手段
adj. 缓和的；掩饰的；可斟酌的"
preternatural,adj. 超自然的；异常的，不可思议的
salutary,adj. 有益的，有用的；有益健康的
abut,"vt. 邻接；毗邻；紧靠
vi. 邻接；毗邻；紧靠"
adjure,vt. 恳请，恳求；起誓；（以起誓或诅咒等形式）命令
descry,vt. 看见；发现；察看
desecrate,vt. 亵渎；污辱；把（神物）供俗用
dilettante,"n. 业余爱好者；一知半解者
adj. 浅薄的；业余艺术爱好的
vi. （在艺术、科学等方面）浅尝辄止"
equivocal,adj. 模棱两可的；可疑的
exhume,vt. 发掘；掘出
extirpate,vt. 使连根拔起；灭绝，破除
foible,n. 弱点；小缺点；癖好
insolvent,"n. 破产者；无力偿还者
adj. 破产的；无力偿还的"
jocose,adj. 诙谐的；开玩笑的
portal,n. 大门，入口
progenitor,n. 祖先；原著；起源
propitiate,vt. 抚慰，安抚；与…和解
restitution,n. 恢复；赔偿；归还
acerbic,adj. 尖刻的（等于acerb）；酸的；辛辣的
canard,n. 误传，谬传；谣言
debonair,adj. 高兴的，快活的；温文尔雅的；殷勤的
deign,"vt. 赐予
vi. 屈尊"
dotage,n. 溺爱；老耄；老迷糊
foist,vt. 偷偷插入；混入；蒙骗；硬卖给；采用欺骗手段出售；把…强加于
insipid,adj. 清淡的；无趣的
misconstrue,vt. 误解，曲解；误会
narcissism,n.  自恋，自我陶醉
overweening,adj. 自负的，过于自信的；过分的
paean,n. 赞美歌，欢乐歌
repartee,n. 机敏的应答；妙语；巧辩
repine,vi. 抱怨；不满
sartorial,adj. 裁缝的；缝纫的；裁缝匠的
svelte,adj. 苗条的；线条清晰的；和蔼的
anachronism,n. 时代错误；不合潮流的人或物
apiary,n. 蜂房；养蜂场
archetype,n. 原型
carcinogen,n. 致癌物质
checkered,"adj. 多变的；有方格的；多波折的
v. 使交错；使交替变化（checker的过去分词）"
cornucopia,n. 哺乳宙斯的羊角；装满花果及谷穗表丰饶的羊角状物；丰饶的象征
devolve,"vt. 转移；移交；使滚下；衰落
vi. 被移交；转让"
equitable,adj. 公平的，公正的；平衡法的
fatalism,n. 宿命论
gustatory,adj. 味的，味觉的
minutiae,n. 微小；不重要的细节（minutia的复数）
motley,"adj. 杂色的；混杂的；五颜六色的
n. 混杂；杂色衣服；小丑"
prospectus,n. 内容说明书；样张；创办计划书；学校的入学简介
vernal,adj. 春天的；和煦的；青春的
apocalyptic,adj. 启示录的；天启的
concatenation,n. 串联，连结
convulse,vt. 震撼；使剧烈震动；使抽搐
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
expatriate,"n. 被流放者；移居国外者
adj. 移居国外的；被流放的
vt. 使移居国外；流放，放逐；使放弃国籍
vi. 移居国外；放弃原国籍"
fetid,adj. 臭的；恶臭的；腐臭的
holocaust,n. 大屠杀；毁灭
infraction,n. 违反
insouciance,n. 无忧无虑；漫不经心；满不在乎
minion,小黄人（卡通角色）
sanguinary,adj. 血腥的；流血的；残暴的
staccato,"n. 断奏，断音
adj. 断奏的，断音的
adv. 不连贯地"
sybaritic,adj. 奢侈逸乐的；柔弱的
thespian,找不到解释
verisimilitude,n. 逼真，貌似真实；逼真的事物
abnegate,vt. 放弃；舍弃；禁忌
ancillary,"n. 助手；附件
adj. 辅助的；副的；从属的"
badinage,"n. 开玩笑；嘲弄，揶揄
vt. 打趣"
bedizen,vt. 俗丽地穿着或装饰；过分地打扮
celerity,n. 快速；敏捷
cynosure,n. 指针；众人瞩目的焦点
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
lissome,adj. 柔软的；敏捷的
milieu,n. 环境；周围；出身背景
obstreperous,adj. 吵闹的，喧嚣的；难驾驭的
paragon,"n. 模范；完美之物；优秀之人
adj. 完美的"
perquisite,n. 额外补贴；临时津贴；特权
staid,adj. 固定的；沉着的；沉静的；古板的，保守的
symbiotic,adj.  共生的；共栖的
tyro,n. 新手，生手；初学者
abortive,adj. 失败的；流产的；堕胎的
arrogate,vt. 冒称；霸占；没来由地将…归属于
cadaver,n.  尸体；死尸
cerebral,adj. 大脑的，脑的
coma,n.  昏迷； 彗形像差
consanguinity,n. 血亲，同族；亲密关系
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
lassitude,n. 疲乏；懒散；厌倦
nadir,n. 最低点，最底点； 天底
nuptials,n. 婚礼（nuptial的复数）
onus,n. 责任，义务；负担
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
refractory,"n. 倔强的人；耐火物质
adj. 难治的；难熔的；不听话的"
sanguine,"n. 血红色
adj. 乐观的；满怀希望的；面色红润的
vt. 血染；以血沾污"
appellation,n. 称呼；名称；名目
conjugal,adj. 婚姻的；结婚的；夫妻之间的
didactic,adj. 说教的；教诲的
efflorescence,n. 风化；开花；粉化
effulgence,n. 灿烂；光辉
exegesis,n. 注释，解释
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
limn,vt. 描写；描绘
miscreant,"adj. 异端的；邪道的；极恶的
n. 异端；恶棍；罪大恶极之人"
mordant,"adj. 有腐蚀性的；尖酸的；辛辣的
n.  媒染剂；金属腐蚀剂；金属箔粘着剂
vt. 媒染；用媒染剂处理"
mores,n. 习惯，习俗；风俗；道德观念
nemesis,"n. 报应；给与惩罚的人；天罚
n. 主要敌人，强硬对手"
peccadillo,n. 轻罪；小过失；小瑕疵
prolix,adj. 冗长的；说话啰嗦的
taciturn,adj. 沉默寡言的；无言的，不太说话的
despoil,vt. 掠夺，剥夺；夺取
educe,vt. 引出；演绎；使显出
equable,adj. 平静的；变动小的
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
parlous,"adj. 危险的；狡猾的；不易对付的
adv. 非常地；极度地"
pellucid,adj. 透明的；清晰的；明了的
preclude,vt. 排除；妨碍；阻止
propinquity,n. 接近；邻近；近亲关系
rapacious,adj. 贪婪的；掠夺的
schism,n. 分裂；分裂教会罪
sublimate,"n. 升华物
vt. 使升华；使高尚
vi. 升华；纯化
adj. 纯净化的；理想化的；高尚的"
talisman,n. 护身符；法宝
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
