nice,adj. 精密的；美好的；细微的；和蔼的
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
seventeen,"n. 十七，十七个
num. 十七
adj. 十七岁的；十七的，十七个的"
nineteen,num. 十九
afraid,adj. 害怕的；恐怕；担心的
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
 好吧；好的；行"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
Monday,n. 星期一
why,"int. 哎呀！什么？
adv. 为什么"
Why not?,找不到解释
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
week,n. 周，星期
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
computer,n. 计算机；电脑；电子计算机
shall,aux. 应；会；将；必须
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
forty,"n. 四十
adj. 四十的；四十个的"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
thirty,"num. 三十
n. 三十年代
adj. 三十个的"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
parent,n. 父亲（或母亲）；父母亲；根源
Parents' Day,找不到解释
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
with,prep. 用；随着；支持；和…在一起
quite,adv. 很；相当；完全
good at,"un. 擅长；一清二楚；拿手的；精明的
 擅长于；善于；你擅长的技能"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
PE,abbr. 体育课，体能训练（physical education）
physical education,"n. 体育教学
 体育教育；体育课；物理教育"
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
were,v. 是，在（are的过去式）
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
was,be的第一和第三人称单数过去式
also,"conj. 并且；另外
adv. 也；而且；同样"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
who,pron. 谁；什么人
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
old,"adj. 陈旧的，古老的；年老的
n. 古时"
yesterday,"n. 昨天；往昔
adv. 昨天"
weren't,"没有（were not 的简写，were是be的第二人称单数过去式）
不是（were not 的简写，were是be的第二人称单数过去式）"
were not,找不到解释
wasn't,prep. 不是（等于was not）
was not,找不到解释
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
worried,adj. 担心的
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
Mother's Day,"na. (美国和加拿大的)母亲节
 第二个星期日母亲节；月的第二个星期日；月第二个星期日"
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
