palace,n. 宫殿；宅邸；豪华住宅
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
waiter,n. 服务员，侍者
neighbourhood,n. 邻近；周围；邻居关系；附近一带
neighborhood,n. 附近；街坊；接近；街区
helpful,adj. 有帮助的；有益的
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
community,n. 社区； 群落；共同体；团体
skill,n. 技能，技巧；本领，技术
help sb. with sth.,找不到解释
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
someone,pron. 有人，某人
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
anyone,pron. 任何人；任何一个
college,n. 大学；学院；学会
do some shopping, 购物；买东西；买些东西
lucky,adj. 幸运的；侥幸的
shall,aux. 应；会；将；必须
the day after tomorrow,"na. 后天
 明天过后；明日之后；末日浩劫"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
make a fire,"na. 生火
 生一堆火"
manager,n. 经理；管理人员
office,n. 办公室；政府机关；官职；营业处
office worker,"n. （公司、企业的）办事人员；公司职员；上班族
 办公室工作人员；办公室职员；上班一族"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
policemen,n. 警察（policeman的复数形式）
postman,n. 邮递员；邮差
postmen,n. 邮差; 邮递员，邮差( postman的名词复数 )
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
police station,"n. 警察局；派出所
 警局；公安局；警察分局"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
person,n. 人；身体；容貌，外表；人称
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
by train,"na. 坐火车
 乘火车；搭火车；乘坐火车"
by bus,"na. 乘公共汽车
 巴士；乘公交车；乘坐公共汽车"
by ship, 乘船；乘轮船；坐轮船
by bike, 骑自行车；骑车；骑单车
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
artist,n. 艺术家；美术家（尤指画家）；大师
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
information,n. 信息，资料；知识；情报；通知
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
anything,pron. 任何事
worry about,"v. 发愁；担忧；为…发愁；替…担忧
 担心；烦恼；为……担心"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
wait a minute,"na. “wait a minute/second”的变体
 等一下；等一会；等一会儿"
yuan,n. 元（中国货币单位）
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
exchange student,"n. 交换生
 交换学生；交换留学生；交换的留学生"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
famous,adj. 著名的；极好的，非常令人满意的
Western,找不到解释
opera,n. 歌剧；歌剧院；歌剧团
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
theater,n. 电影院，戏院，剧场；戏剧；手术室
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
look forward to,"na. 盼望
 期待；期望；期盼"
soon,adv. 快；不久，一会儿；立刻；宁愿
postcard,n. 明信片
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
key ring,"n. 钥匙圈；钥匙环
 钥匙链；钥匙扣；密钥环"
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
ours,pron. 我们的
theirs,pron. 他们的；她们的；它们的
hers,pron. 她的（所有格）
all over,"adj. 满
n. 全花织物
 到处；遍及；结束"
pencil case,"n. 铅笔盒；铅笔袋
 文具盒；笔会用到笔袋；笔筒"
golden throne,找不到解释
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
work of art,"n. 艺术品；（绘画、雕塑等）艺术作品；令人赏心悦目的东西；精致的物品
 创造艺术；美术作品；艺术珍品"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
hometown,n. 家乡；故乡
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
wheat,n. 小麦；小麦色
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
path,n. 道路；小路；轨道
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
 只好；必须得；表示客观上不得不做某事"
north,找不到解释
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
kilometre,n.  公里； 千米
km,abbr.  公里（kilometer）；千米
kilometer,n.  公里； 千米（等于kilometre）
everybody,pron. 每个人；人人
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
all day long,"na. “all day”的变体
 整天；一整天；终日"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
dangerous,"adj. 危险的
危险地"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
forest,"n. 森林
vt. 植树于，使成为森林"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
giraffe,n. 长颈鹿
quite,adv. 很；相当；完全
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaves,"n. 树叶；花瓣（leaf的复数）
v. 离开（leave的第三人称单数）"
north-east,n. 东北方
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
across,"prep. 穿过；横穿
adv. 横过；在对面"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
turning,"n. 转向；旋转；回转；转弯处
v. 旋转（turn的ing形式）"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
traffic lights,"n. 交通信号灯；红绿灯
 交通灯；交通指挥灯；交通指示灯"
should,aux. 应该；就；可能；将要
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
prepare ... for ...,找不到解释
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plenty of,"na. 很多的
 许多；大量的；充足的"
exit,"n. 出口，通道；退场
vi. 退出；离去"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
birth,n. 出生；血统，出身；起源
stop doing sth.,找不到解释
times,"n. 时代（time的复数）； 次数
prep. 乘以
v. 使…相乘（time的第三人称单数）"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
fact,n. 事实；实际；真相
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
usual,adj. 通常的，惯例的；平常的
as usual,"adv. 照常；照例
 像往常一样；像平常一样；和往常一样"
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
suddenly,adv. 突然地；忽然
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
anybody,"n. 重要人物
pron. 任何人"
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
no one,"pron. 没有人；没有任何人
 没人；无人；没有一个人"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
quickly,adv. 迅速地；很快地
on one's way,"un. 无法；在路上；快要出头了
 在途中；在去……的路上；在……的路上"
on the way,"na. 在路上；在旅行中；“on/along the way”的变体
 在途中；在去……路上；行车途中"
happen,vi. 发生；碰巧；偶然遇到
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
carefully,adv. 小心地
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
himself,pron. 他自己；他亲自，他本人
say to oneself,心里想到
weak,adj.  疲软的；虚弱的；无力的；不牢固的
miaow,"vi. 猫叫
n. 猫叫声"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
somebody,"n. 大人物；重要人物
pron. 有人；某人"
ago,"adj. 以前的；过去的
adv. 以前，以往"
the day before yesterday,"na. 前天
 前日；昨天；昨天之前的那一天"
centimetre,n. 厘米；公分
cm,找不到解释
centimeter,n.  厘米； 公分
dodo,n. 古代巨鸟；过时的东西；迟钝的人
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
ant,n. 蚂蚁
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
be afraid of,"na. 怕
 害怕；害怕某物；害怕某事"
not ... any more,找不到解释
hear of,"na. 听说；获悉；收到…的消息；知道
 听到；听说过；得悉"
the other day,"na. 上回
 前几天；几天前；几天以前"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
3-D,abbr. 三维的（three dimensional）
three-D,"n. 三维, 立体电影"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
all over the world,"adv. 遍及全世界
 世界各地；遍及世界；犹如全世界所知"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
per,prep. 每；经；按照；每一
at least,"na. 至少
 最低限度；起码；最少"
as ... as,找不到解释
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
camping,"n. 露营；野营
v. 露营；扎营；临时安顿（camp的ing形式）"
cycling,n. 骑脚踏车消遣；骑脚踏车兜风
riding,"n. 骑马；骑术
v. 骑；乘坐（ride的现在分词）"
horse riding,"n. 骑马
 马术；骑马活动；海滩骑马"
skating,"n. 溜冰，滑冰
v. 滑冰（skate的ing形式）"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
get away,"na. 逃脱；出发；把…送出
 离开；逃离；逃跑"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
herself,pron. 她自己（she的反身代词）；她亲自
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
locked,"adj. 上锁的；不灵活的；下定决心的
v. 锁上；紧闭；紧抱住（lock的过去分词）"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
dynasty,n. 王朝，朝代
century,n. 世纪，百年；（板球）一百分
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
become,"vt. 适合；相称
vi. 成为；变得；变成"
province,n. 省；领域；职权
from then on,"na. 从那时起
 从那以后；从那时开始；从此以后"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
a little,"n. 一点
 一些；少许；有点"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
towards,prep. 朝，向；对于；有助于
toward,"prep. 向；对于；为了；接近
adj. 即将来到的，进行中的"
forget,"vi. 忘记
vt. 忘记；忽略"
