apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
subsidy,n. 补贴；津贴；补助金
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
bonus,n. 奖金；红利；额外津贴
insurance,n. 保险；保险费；保险契约；赔偿金
deduct,vt. 扣除，减去；演绎
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
eject,vt. 喷射；驱逐，逐出
suspension,n. 悬浮；暂停；停职
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
unemployment,n. 失业；失业率；失业人数
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
briefcase,n. 公文包
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
automation,n. 自动化；自动操作
processor,n.  处理器；处理程序；加工者
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
periodic,adj. 周期的；定期的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
concise,adj. 简明的，简洁的
bulletin,"n. 公告，公报
vt. 公布，公告"
editorial,"n. 社论
adj. 编辑的；社论的"
coverage,n. 覆盖，覆盖范围；新闻报道
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
questionnaire,n. 问卷；调查表
pamphlet,n. 小册子
tract,n. 束；大片土地，地带；小册子
leaflet,n. 小叶；传单
propaganda,n. 宣传；传道总会
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
royalty,n. 皇室；版税；王权；专利税
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
recreation,n. 娱乐；消遣；休养
entertainment,n. 娱乐；消遣；款待
pastime,n. 娱乐，消遣
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
series,n. 系列，连续； 串联；级数；丛书
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
championship,n. 锦标赛；冠军称号；冠军的地位
commentary,n. 评论；注释；评注；说明
forum,n. 论坛，讨论会；法庭；公开讨论的广场
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
climax,n. 高潮；顶点；层进法；极点
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
rehearsal,n. 排演；预演；练习；训练；叙述
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
spectator,n. 观众；旁观者
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
symphony,n. 交响乐；谐声，和声
orchestra,n. 管弦乐队；乐队演奏处
melody,n. 旋律；歌曲；美妙的音乐
tempo,n. 速度，发展速度；拍子
chord,n. 弦；和弦；香水的基调
rhythm,n. 节奏；韵律
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
notation,n. 符号；乐谱；注释；记号法
album,n. 相簿；唱片集；集邮簿；签名纪念册
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
stylish,adj. 时髦的；现代风格的；潇洒的
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
mall,n. 购物商场；林荫路；铁圈球场
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
coupon,n. 息票；赠券；联票； 配给券
consumer,n. 消费者；用户，顾客
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
cape,n.  海角，岬；披肩
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
wallet,n. 钱包，皮夹
nutrition,n. 营养，营养学；营养品
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
calcium,n.  钙
edible,"n. 食品；食物
adj. 可食用的"
calorie,n. 卡路里（热量单位）
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
dine,"vi. 进餐，用餐
vt. 宴请"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
recipe,n. 食谱； 处方；秘诀；烹饪法
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
peel,"n. 皮
v. 剥，剥落；削"
segment,"n. 段；部分
vt. 分割
vi. 分割"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
refreshment,n. 点心；起提神作用的东西；精力恢复
chunk,n. 大块；矮胖的人或物
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
crumb,"n. 面包屑，碎屑；少许
vt. 弄碎；捏碎"
cucumber,n. 黄瓜；胡瓜
pastry,n. 油酥点心；面粉糕饼
peanut,n. 花生
poultry,"n. 家禽
家禽肉"
pudding,n. 布丁
pumpkin,n. 南瓜
tart,"n. 果馅饼；妓女
adj. 酸的；锋利的；尖刻的
vt. 打扮"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
champagne,n. 香槟酒；香槟酒色
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
alcohol,n. 酒精，乙醇
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
undue,adj. 过度的，过分的；不适当的；未到期的
activity,n. 活动；行动；活跃
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
enthusiasm,n. 热心，热忱，热情
arena,n. 舞台；竞技场
circus,n. 马戏；马戏团
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
performance,n. 性能；绩效；表演；执行；表现
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
Thanksgiving,找不到解释
Easter,n. 复活节
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
expedition,n. 远征；探险队；迅速
visa,"n. 签证
vt. 签发签证"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
luggage,n. 行李；皮箱
handbook,n. 手册；指南
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
motel,n. 汽车旅馆
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
reunion,n. 重聚；（班级或学校的）同学会，同窗会
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
commemorate,vt. 庆祝，纪念；成为…的纪念
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
reception,n. 接待；接收；招待会；感受；反应
presentation,n. 展示；描述，陈述；介绍；赠送
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
fellowship,n. 团体；友谊；奖学金；研究员职位
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
alienate,vt. 使疏远，离间；让与
clinch,"n. 拥吻；钉牢
v. 扭住；敲弯；最终确定或解决"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
hospitality,n. 好客；殷勤
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
available,adj. 可获得的；可购得的；可找到的；有空的
existence,n. 存在，实在；生存，生活；存在物，实在物
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
community,n. 社区； 群落；共同体；团体
inhabitant,n. 居民；居住者
reside,vi. 住，居住；属于
resident,"n. 居民；住院医生
adj. 居住的；定居的"
dwell,vi. 居住；存在于；细想某事
occupancy,n. 居住；占有；占用
solitude,n. 孤独；隐居；荒僻的地方
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
apartment,n. 公寓；房间
adjacent,adj. 邻近的，毗连的
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
furnish,vt. 提供；供应；装备
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
alter,"vt. 改变，更改
vi. 改变；修改"
renovate,vt. 更新；修复；革新；刷新
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
privacy,n. 隐私；秘密；隐居；隐居处
sustain,vt. 维持；支撑，承担；忍受；供养；证实
marital,adj. 婚姻的；夫妇间的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
nourish,vt. 滋养；怀有；使健壮
offspring,n. 后代，子孙；产物
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
hostess,n. 女主人，女老板；女服务员；舞女；女房东
mistress,n. 情妇；女主人；主妇；女教师；女能人
clan,n. 宗族；部落；集团
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
cemetery,n. 墓地；公墓
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
wardrobe,n. 衣柜；行头；全部戏装
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
shampoo,"n. 洗发；洗发精
vt. 洗发"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
manual,"adj. 手工的；体力的
n. 手册，指南"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
string,n. 线，弦，细绳；一串，一行
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
junk,n. 垃圾，废物；舢板
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
air-conditioning,n. 空调系统；空气调节
tanker,n. 油轮；运油飞机；油槽车；坦克手
liner,n. 班轮，班机；衬垫；画线者
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
shipment,n. 装货；装载的货物
navigation,n. 航行；航海
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transition,n. 过渡；转变； 转换；变调
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
