ankle,n. 踝关节，踝
facilitate,vt. 促进；帮助；使容易
global,adj. 全球的；总体的；球形的
head-on,"adj. 正面的；直接的；头朝前的
adv. 迎头；头朝前地；正面针对地"
hence,adv. 因此；今后
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
intercultural,adj. 不同文化间的
involve,vt. 包含；牵涉；使陷于；潜心于
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
longing,"n. 渴望，热望；憧憬
adj. 渴望的，极想得到的
v. 渴望（long的ing形式）"
mentality,n. 心态； 智力；精神力；头脑作用
messaging,"n. 消息传送；通知；信息传送
v. 发送；报信（message的ing形式）"
misgiving,"n. 担忧；疑虑；不安
v. 担忧；使…疑虑；害怕（misgive的ing形式）"
mockingly,adv. 取笑地；愚弄地
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
profound,adj. 深厚的；意义深远的；渊博的
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
regarding,prep. 关于，至于
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
significantly,adv. 显著地；相当数量地
spectrum,n. 光谱；频谱；范围；余象
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
unsurmountable,"a. 不能克服的, 不能超越的"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
at one's peril,"na. (若有…)咎由自取
 自担风险；自己担风险；由某人自担风险"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
cut down on,"un. 削减；节省；减轻
 减少；继续，保持；振作"
enter into,"na. 入；动手；参加；缔结(协约等)
 进入；开始；开始从事"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
admonition,n. 警告
afflict,vt. 折磨；使痛苦；使苦恼
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
blowout,n. 爆裂；喷出； 保险丝烧断；井中喷水或油等
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
clank,"n. 叮当声；当啷声
vt. 使铿然作响
vi. 发叮当声；发铿锵声"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
driveway,n. （从建筑物，住房，车库等通往大路的）私人车道
enormity,n. 巨大；暴行；极恶
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
fumble,"n. 摸索；笨拙的处理；漏球
vi. 摸索；笨拙地行动；漏球
vt. 摸索；笨拙地做；漏接"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
gusty,adj. 阵风的；突发的；阵阵猛急的
hobble,"n. 跛行步态
vt. 使跛行
vi. 蹒跚；跛行"
honk,"n. 雁叫声；汽车喇叭声
vi. 发雁鸣或汽车喇叭声
vt. 按汽车喇叭"
horn,"n. 喇叭，号角；角
vt. 装角于"
indifference,n. 漠不关心；冷淡；不重视；中立
install,vt. 安装；任命；安顿
interval,n. 间隔；间距；幕间休息
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
paralyze,vt. 使麻痹；使瘫痪
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
peninsula,n. 半岛
prophet,n. 先知；预言者；提倡者
the Prophets,找不到解释
Scriptural,找不到解释
slacken,"vi. 松劲，懈怠；变松弛；变缓慢
vt. 使缓慢；使松弛"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
spent,"v. 花费（spend的过去分词）；浪费；耗费
adj. 耗尽了的；精疲力尽的"
split-level,adj. 错层式的；房内有不同高度平面的
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
thump,"n. 重打；重击声
vi. 重击；狠打；砰然地响
vt. 重击；用拳头打；砰地撞到"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
whatsoever,pron. 无论什么
yardstick,n. 码尺
be all set, 准备就绪；全副武装
be filled to overflowing with,找不到解释
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
dirt road,"n. 土路
 垃圾之路；天然土路；土路图片"
flat tire,"na. 已爆破的车胎；不中用的人
 轮胎没气；爆胎；车胎爆了"
hold on to,"na. 赖着不走
 坚持；紧紧抓住；抓住不放"
jack up, <俚>用千斤顶顶起; <口>提高，增加; <口>把凌乱的东西安排好
motor nerve, 运动神经
peer at, 凝视；仔细看；眯眼看
aftermath,n. 后果；余波
aglow,"n. 发红光
adj. 发红的；通红的
adv. 发光地"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
bombard,"n. 射石炮
vt. 轰炸；炮击"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
corpse,n. 尸体
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
engulf,vt. 吞没；吞食，狼吞虎咽
enrage,vt. 激怒；使暴怒
err,vi. 犯错；做错；犯罪；走上歧途
fiery,adj. 热烈的，炽烈的；暴躁的；燃烧般的
footstep,n. 脚步；脚步声；足迹
grim,adj. 冷酷的；糟糕的；残忍的
hatred,n. 憎恨；怨恨；敌意
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
ignorant,adj. 无知的；愚昧的
infantryman,n. 步兵
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
odds,n. 几率；胜算；不平等；差别
platoon,n. 排，团；一组
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
ragtag,"n. 贱民；乌合之众；下层社会
adj. 贱民的；衣衫褴褛的"
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
rubble,n. 碎石，碎砖；粗石堆
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
strew,vt. 散播；撒满
task,"n. 工作，作业；任务
vt. 分派任务"
tattered,"adj. 破烂的，衣衫褴褛的
v. 变破烂（tatter的过去分词）"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
turmoil,n. 混乱，骚动
valid,adj. 有效的；有根据的；合法的；正当的
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
warfare,n. 战争；冲突
wartime,n. 战时
be dedicated to,"v. 专注于
 致力于；献身于；专注的"
cope with,"v. 对付；应付
 处理；应对；解决"
frozen stiff, 冻僵；冻硬
out of the blue,"un. 难得到的；突然；突如其来；出人意料
 出乎意料；突然地；一日狂徒"
piles of, 一大堆；成堆的；一大批
scoop up,"v. 舀出
 铲起；用铲子取；舀上来"
shed blood,"na. 流血；杀；杀人
 洒热血；残杀；引流血"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
with an air of, 闷闷不乐的神情；带着…的神情
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
assumption,n. 假定；设想；担任；采取
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
coercive,adj. 强制的；胁迫的；高压的
colonel,n. 陆军上校
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
corporal,"n. 下士
adj. 肉体的，身体的"
curriculum,"n. 课程
总课程"
define,vt. 定义；使明确；规定
eligibility,n. 适任，合格；被选举资格
essence,n. 本质，实质；精华；香精
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
fuzzy,adj. 模糊的；失真的；有绒毛的
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
inadequacy,n. 不适当，不充分；不完全；不十分
indicate,vt. 表明；指出；预示；象征
irrelevant,adj. 不相干的；不切题的
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
lieutenant,n. 中尉；副官；助理人员
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
norm,n. 标准，规范
oddly,adv. 古怪地；奇妙地；单数地
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
permanently,adv. 永久地，长期不变地
perspective,"n. 观点；远景；透视图
adj. 透视的"
proficiency,n. 精通，熟练
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
resent,vt. 怨恨；愤恨；厌恶
retain,vt. 保持；雇；记住
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
semester,n. 学期；半年
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
species,"n.  物种；种类
adj. 物种上的"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
transcript,n. 成绩单；抄本，副本；文字记录
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
be apt to,"v. 易于；善于
 倾向于；有……倾向的；易于……的"
correspond to,"v. 符合
 相当于；相应；对应"
go broke,"na. 破产
 身无分文；钱都没有了；一文不名"
go under,"na. 沉没；没落；失败；屈服
 破产；倒闭；死"
put ... in perspective,找不到解释
shrug ... away,找不到解释
take ... at face value, 根据外表判断；从表面上看问题；以貌取人
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abundant,adj. 丰富的；充裕的；盛产
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
awash,adj. 被浪冲打的；与水面齐平的；充斥的
belch,"n. 打嗝；喷出物
vt. 打嗝；喷出
vi. 打嗝；喷出"
blurb,"n. 大肆宣传；吹捧性广告；商品信息
vt. 夸大；大肆宣传"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
coastline,n. 海岸线
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
consciousness,n. 意识；知觉；觉悟；感觉
consumption,n. 消费；消耗；肺痨
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
decade,n. 十年，十年期；十
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
deforestation,n. 采伐森林；森林开伐
drought,n. 干旱；缺乏
emission,n. （光、热等的）发射，散发；喷射；发行
esoteric,adj. 秘传的；限于圈内人的；难懂的
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
fend,"vi. 照料；供养；力争
vt. 谋生；保护；挡开；供养"
fertilizer,n.  肥料；受精媒介物；促进发展者
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
gasoline,n. 汽油
geopolitical,adj. 地理政治学的
greenhouse,"n. 温室
造成温室效应的"
harbinger,"n. 先驱；前兆；预告者
vt. 预告；充做…的前驱"
hardcore,"n. 硬核；硬底层；碎砖垫层
adj. 赤裸裸描写性行为的"
heatstroke,n.  中暑
hemisphere,n. 半球
hurricane,n. 飓风，暴风
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
journal,n. 日报，杂志；日记；分类账
landfill,n. 垃圾填埋地；垃圾堆
latitude,n. 纬度；界限；活动范围
low-lying,adj. 低洼的
malaria,n.  疟疾；瘴气
Maldives,n. 马尔代夫（亚洲群岛国家名）
methane,n.  甲烷； 沼气
microwave,n. 微波
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
nitrogen,n.  氮
ozone,n.  臭氧；新鲜的空气
paleoclimate,n. 古气候，地质气候
particle,n. 颗粒； 质点；极小量；小品词
perilous,adj. 危险的，冒险的
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
peruse,vt. 详细考察；精读
primarily,adv. 首先；主要地，根本上
radiation,n. 辐射；发光；放射物
recession,n. 衰退；不景气；后退；凹处
region,n. 地区；范围；部位
respiratory,adj. 呼吸的
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
speculate,"vi. 推测；投机；思索
vt. 推断"
spew,"vt. 喷出；呕吐
vi. 喷涌；呕吐"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
vector,"n. 矢量；带菌者；航线
vt. 用无线电导航"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
windshield,n. 挡风玻璃
spit out,"na. 同“spit”
 吐出；吐出来；中吐出"
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
nitrogen oxide,"na. 氧化氮
 氮氧化物；一氧化氮；氮的氧化物"
automobile,"n. 汽车
vt. 驾驶汽车
"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
