playground,n. 运动场，操场；游乐场
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
juice,n. （水果）汁，液；果汁
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
would,"aux. 将，将要；愿意
v. will的过去式"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
carrot,"n. 胡萝卜
诱饵"
would like,"v. 想要
 愿意；希望；想要某东西"
a cup of, 一杯；一茶怀；一茶杯
a bottle of, 一瓶；一盒；一瓶是
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
potato,n.  土豆， 马铃薯
tomato,n. 番茄，西红柿
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
could,"aux. 能够
v. 能（can的过去式）"
money,n. 钱；货币；财富
ticket,vt. 加标签于；指派；对…开出交通违规罚单
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
clever,"adj. 聪明的；机灵的；熟练的
"
anything,pron. 任何事
else,"adj. 别的；其他的
adv. 其他；否则；另外"
kilo,n. 千克
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
how much,"conj. 多少
 多少钱；做多少；有多少"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
food,n. 食物；养料
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
its,pron. 它的
forest,"n. 森林
vt. 植树于，使成为森林"
village,n. 村庄；村民；（动物的）群落
other,"adj. 其他的，另外的
pron. 另外一个"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
say goodbye to, 告别；和……说再见；向……道别
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
fridge,n. 电冰箱
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
hometown,n. 家乡；故乡
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
sea,n. 海；海洋；许多；大量
piano,n. 钢琴
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
everywhere,"n. 每个地方
adv. 到处"
go shopping,"na. 去买东西
 去购物；逛街；逛商店"
lots of,"adj. 许多；很多
 大量；大量的；许多的"
ice cream,"n. 冰淇淋
 冰激凌；雪糕；冰激淋"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
thief,n. 小偷，贼
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
