code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
exemplify,vt. 例证；例示
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
expectation,n. 期待；预期；指望
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
equation,n. 方程式，等式；相等； 反应式
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
instructive,adj. 有益的；教育性的
redesign,"n. 重新设计；新设计
vt. 重新设计"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
herbivore,n.  食草动物
sidewalk,n. 人行道
infer,"vi. 推断；作出推论
vt. 推断；推论"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
apparent,adj. 显然的；表面上的
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
territory,n. 领土，领域；范围；地域；版图
recapture,"vt. 夺回；拿回；再体验；政府征收再经历
n. 夺回；取回；政府对公司超额收益或利润的征收"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
enthusiasm,n. 热心，热忱，热情
courtyard,n. 庭院，院子；天井
ideally,adv. 理想地；观念上地
drainage,n. 排水；排水系统；污水；排水面积
geographic,adj. 地理的；地理学的
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
property,n. 性质，性能；财产；所有权
architect,"n. 建筑师
缔造者"
psychological,adj. 心理的；心理学的；精神上的
shrub,n. 灌木；灌木丛
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
version,n. 版本；译文；倒转术
involve,vt. 包含；牵涉；使陷于；潜心于
technique,n. 技巧，技术；手法
conscious,adj. 意识到的；故意的；神志清醒的
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
fulfil,vt. 履行；完成；实践；满足
deceive,v. 欺骗；行骗
administrator,n. 管理人；行政官
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
recipe,n. 食谱； 处方；秘诀；烹饪法
realistic,adj. 现实的；现实主义的；逼真的；实在论的
sensitivity,n. 敏感；敏感性；过敏
peasant,n. 农民；乡下人
publicize,vt. 宣传；公布
poverty,n. 贫困；困难；缺少；低劣
popularize,"vt. 普及；使通俗化
vi. 通俗化"
qualification,n. 资格；条件；限制；赋予资格
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
intelligent,adj. 智能的；聪明的；理解力强的
unreliable,adj. 不可靠的；靠不住的
urban,adj. 城市的；住在都市的
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
formula,n.  公式，准则；配方；婴儿食品
customize,vt. 定做，按客户具体要求制造
classify,vt. 分类；分等
bravery,n. 勇敢；勇气
irrigation,n. 灌溉； 冲洗；冲洗法
abundant,adj. 丰富的；充裕的；盛产
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
nursery,n. 苗圃；托儿所；温床
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
insight,n. 洞察力；洞悉
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
volcano,n. 火山
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
administration,n. 管理；行政；实施；行政机构
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
standardize,vt. 使标准化；用标准检验
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
incredible,adj. 难以置信的，惊人的
reintroduce,vt. 再引入；再提出；再介绍
complaint,n. 抱怨；诉苦；疾病；委屈
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
committee,n. 委员会
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
achievement,n. 成就；完成；达到；成绩
residential,adj. 住宅的；与居住有关的
faraway,adj. 遥远的；恍惚的
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
application,n. 应用；申请；应用程序；敷用
colony,n. 殖民地；移民队；种群；动物栖息地
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
organ,n.  器官；机构；风琴；管风琴；嗓音
informant,n. 被调查者；告密者；提供消息者
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
masterpiece,n. 杰作；绝无仅有的人
exception,n. 例外；异议
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
curly,adj. 卷曲的；卷毛的；（木材）有皱状纹理的；蜷缩的
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
emperor,n. 皇帝，君主
reliability,n. 可靠性
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
thoughtful,adj. 深思的；体贴的；关切的
cooperate,vi. 合作，配合；协力
talented,adj. 有才能的；多才的
coastal,adj. 沿海的；海岸的
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
disaster,n. 灾难，灾祸；不幸
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
recognition,n. 识别；承认，认出；重视；赞誉；公认
community,n. 社区； 群落；共同体；团体
straighten,"vt. 整顿；使…改正；使…挺直；使…好转
vi. 变直；好转"
literature,n. 文学；文献；文艺；著作
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
technological,adj. 技术的；工艺的
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
warfare,n. 战争；冲突
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
employee,n. 雇员；从业员工
amuse,vt. 娱乐；消遣；使发笑；使愉快
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
athlete,n. 运动员，体育家；身强力壮的人
emerge,vi. 浮现；摆脱；暴露
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
immediate,adj. 立即的；直接的；最接近的
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
tropic,"n. 热带；回归线
adj. 热带的"
presentation,n. 展示；描述，陈述；介绍；赠送
operator,n. 经营者；操作员；话务员；行家
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
commerce,n. 贸易；商业；商务
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
comedy,n. 喜剧；喜剧性；有趣的事情
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
occupy,vt. 占据，占领；居住；使忙碌
criticism,n. 批评；考证；苛求
assert,vt. 维护，坚持；断言；主张；声称
calorie,n. 卡路里（热量单位）
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
shellfish,n. 甲壳类动物；贝类等有壳的水生动物
harmony,n. 协调；和睦；融洽；调和
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
technician,n. 技师，技术员；技巧纯熟的人
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
efficient,adj. 有效率的；有能力的；生效的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
adaptation,n. 适应；改编；改编本，改写本
realist,n. 现实主义者；实在论者
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
comprise,vt. 包含；由…组成
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
vivid,adj. 生动的；鲜明的；鲜艳的
quantity,n. 量，数量；大量；总量
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
separately,adv. 分别地；分离地；个别地
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
province,n. 省；领域；职权
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
inefficient,adj. 无效率的，效率低的；无能的
measurable,adj. 可测量的；重要的；重大的
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
occur,vi. 发生；出现；存在
glacial,adj. 冰的；冰冷的；冰河时代的
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
platform,n. 平台；月台，站台；坛；讲台
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
foodstuff,n. 食品，食物；粮食，食料
zone,  地带、地区（德语）
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
adapt,"vi. 适应
vt. 使适应；改编"
columnist,n. 专栏作家
misbehave,"vi. 作弊；行为不礼貌
vt. 使举止失礼；使行为不端"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
evolution,n. 演变；进化论；进展
immature,adj. 不成熟的；未成熟的；粗糙的
distraction,n. 注意力分散；消遣；心烦意乱
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
undisturbed,adj. 安静的；镇定的；未被扰乱的；泰然自若的
mixture,n. 混合；混合物；混合剂
greedy,adj. 贪婪的；贪吃的；渴望的
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
investigator,n. 研究者；调查者；侦查员
distribute,vt. 分配；散布；分开；把…分类
generation,n. 一代；产生；一代人；生殖
volcanic,"n. 火山岩
adj. 火山的；猛烈的；易突然发作的"
academy,n. 学院；研究院；学会；专科院校
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
reside,vi. 住，居住；属于
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
unused,adj. 不用的；从未用过的
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
motivate,vt. 刺激；使有动机；激发…的积极性
ugly,adj. 丑陋的；邪恶的；令人厌恶的
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
livestock,n. 牲畜；家畜
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
beetle,"n. 甲虫；大槌
vt. 用槌打
vi. 急忙来回；突出"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
device,n. 装置；策略；图案
profession,n. 职业，专业；声明，宣布，表白
tribe,n. 部落；族；宗族；一伙
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
execute,vt. 实行；执行；处死
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
violent,adj. 暴力的；猛烈的
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
gravity,n. 重力，地心引力；严重性；庄严
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
restriction,n. 限制；约束；束缚
absence,n. 没有；缺乏；缺席；不注意
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
confront,vt. 面对；遭遇；比较
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
architecture,n. 建筑学；建筑风格；建筑式样；架构
unsatisfactory,adj. 不令人满意的；不满足的；不符合要求的
scholar,n. 学者；奖学金获得者
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
union,n. 联盟，协会；工会；联合
modify,"vt. 修改，修饰；更改
vi. 修改"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
predictable,adj. 可预言的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
adjustment,n. 调整，调节；调节器
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
sculpt,"n. 雕刻品
vt. 造型；雕刻
vi. 造型；雕刻"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
reaction,n. 反应，感应；反动，复古；反作用
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
entire,adj. 全部的，整个的；全体的
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
mammal,n.  哺乳动物
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
interpret,"vi. 解释；翻译
vt. 说明；口译"
