emperor,n. 皇帝，君主
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
receptionist,n. 接待员；传达员
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
apace,adv. 飞快地，迅速地；急速地
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
regional,adj. 地区的；局部的；整个地区的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
effort,n. 努力；成就
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
fabrication,n. 制造，建造；装配；伪造物
series,n. 系列，连续； 串联；级数；丛书
variation,n. 变化； 变异，变种
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
distraction,n. 注意力分散；消遣；心烦意乱
complicate,vt. 使复杂化；使恶化；使卷入
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
maturity,n. 成熟；到期；完备
download,vt.  下载
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
extent,n. 程度；范围；长度
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
stint,"n. 节约；定额，定量
vt. 节省；限制
vi. 紧缩，节省"
embankment,n. 路堤；堤防
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
federation,n. 联合；联邦；联盟；联邦政府
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
migration,n. 迁移；移民；移动
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
cooperation,n. 合作，协作； 协力
zoological,"adj. 动物的，动物学的
n. 动物园"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
detective,"n. 侦探
adj. 侦探的"
occupy,vt. 占据，占领；居住；使忙碌
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
denote,vt. 表示，指示
chink,"n. 裂缝；叮当声；裂口
vt. 使叮当响
vi. 叮当响"
iris,"n.  虹膜；鸢尾属植物
adj. 鸢尾属植物的"
resource,n. 资源，财力；办法；智谋
entire,adj. 全部的，整个的；全体的
epitomise,vt. 象征；体现；代表（等于epitomize）
crocodile,n. 鳄鱼
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
ensure,vt. 保证，确保；使安全
odour,n. 气味；声誉
accurate,adj. 精确的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
ambassador,n. 大使；代表；使节
delinquency,n. 行为不良，违法犯罪；失职，怠工
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
decisive,adj. 决定性的；果断的，坚定的
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
questionnaire,n. 问卷；调查表
viewpoint,n. 观点，看法；视角
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
genetic,adj. 遗传的；基因的；起源的
similarly,adv. 同样地；类似于
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
literature,n. 文学；文献；文艺；著作
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
impede,vt. 阻碍；妨碍；阻止
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
biological,adj. 生物的；生物学的
deduce,vt. 推论，推断；演绎出
doctorate,n. 博士学位；博士头衔
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
theoretical,adj. 理论的；理论上的；假设的；推理的
internship,n. 实习生；（美）实习期；实习医师职位
slender,adj. 细长的；苗条的；微薄的
respondent,"n.  被告；应答者
adj. 回答的；应答的"
surroundings,n. 环境；周围的事物
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
notion,n. 概念；见解；打算
lavatory,n. 厕所，盥洗室
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
actual,adj. 真实的，实际的；现行的，目前的
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
instrument,n. 仪器；工具；乐器；手段；器械
simplify,vt. 简化；使单纯；使简易
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
induce,vt. 诱导；引起；引诱；感应
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
disharmony,n. 不一致；不调和；不融洽
cosset,"n. 宠儿；爱畜；供玩赏的小动物
vt. 宠爱；溺爱；纵容"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
atomic,adj. 原子的，原子能的；微粒子的
disagree,vi. 不同意；不一致；争执；不适宜
check-up,n. 检查，核对；体格检查
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
inclusive,adj. 包括的，包含的
reservation,n. 预约，预订；保留
transcript,n. 成绩单；抄本，副本；文字记录
include,vt. 包含，包括
reasonable,adj. 合理的，公道的；通情达理的
abode,"n. 住处；营业所
v. 遵守；停留；忍受（abide的过去分词）"
gadget,n. 小玩意；小器具；小配件；诡计
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
legacy,n. 遗赠，遗产
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
counterpart,n. 副本；配对物；极相似的人或物
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
ambiguous,adj. 模糊不清的；引起歧义的
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
furniture,n. 家具；设备；储藏物
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
typical,adj. 典型的；特有的；象征性的
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
erosion,n. 侵蚀，腐蚀
exclusively,adv. 唯一地；专有地；排外地
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
pronounceable,adj. 可发音的，可断言的
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
luggage,n. 行李；皮箱
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
ion,n.  离子
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
illusion,n. 幻觉，错觉；错误的观念或信仰
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
incredible,adj. 难以置信的，惊人的
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
industrious,adj. 勤勉的
intestine,"n. 肠
adj. 内部的；国内的"
outpost,n. 前哨；警戒部队；边区村落
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
consignment,n. 委托；运送；托付物
administrator,n. 管理人；行政官
convention,n. 大会； 惯例； 约定； 协定；习俗
organic,adj.  有机的；组织的；器官的；根本的
trapeze,n. 秋千；吊架
intersection,n. 交叉；十字路口；交集；交叉点
concept,n. 观念，概念
cardiovascular,adj.  心血管的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
fauna,n. 动物群； 动物区系
expel,vt. 驱逐；开除
equator,n. 赤道
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
dedicate,vt. 致力；献身；题献
astrology,n. 占星术；占星学；星座
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
divisional,adj. 分区的；分割的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
counsellor,n. 顾问；参赞；辅导员（等于counselor）；律师；法律顾问
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
wastage,n. 损耗；消瘦；衰老
earthquake,n. 地震；大动荡
device,n. 装置；策略；图案
regulate,vt. 调节，规定；控制；校准；有系统的管理
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
dorm,n. 宿舍（等于dormitory）
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
refrigerator,n. 冰箱，冷藏库
minimise,vt. 使缩到最小；成极小；求最小值
imaginative,adj. 富于想象的；有创造力的
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
decrepit,adj. 衰老的；破旧的
ignorant,adj. 无知的；愚昧的
leopard,n. 豹；美洲豹
mastery,n. 掌握；精通；优势；征服；统治权
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
gloss,"n. 光彩；注释；假象
vt. 使光彩；掩盖；注释"
committee,n. 委员会
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
preparation,n. 预备；准备
eyesight,n. 视力；目力
thrive,vi. 繁荣，兴旺；茁壮成长
judgment,n. 判断；裁判；判决书；辨别力
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
consequently,adv. 因此；结果；所以
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
anthropologist,n. 人类学家；人类学者
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
suitably,adv. 适当地；相配地；适宜地
pulley,"n. 滑轮；皮带轮；滑车
vt. 用滑轮升起"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
infrastructure,n. 基础设施；公共建设；下部构造
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
qualification,n. 资格；条件；限制；赋予资格
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
intern,"n. 实习生，实习医师
vt. 拘留，软禁
vi. 作实习医师"
repaint,"n. 重新油漆的东西；重画的画
vt. 重画；重新绘制；重漆"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
migratory,adj. 迁移的；流浪的
nutrition,n. 营养，营养学；营养品
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
widespread,adj. 普遍的，广泛的；分布广的
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
shareholder,n. 股东；股票持有人
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
world-wide,adj. 遍及全世界的
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
improvement,n. 改进，改善；提高
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
truant,"n. 旷课者；懒惰的人
adj. 旷课的；偷懒的
vi. 逃学；偷懒，逃避责任"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
latent,adj. 潜在的；潜伏的；隐藏的
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
psychiatric,adj. 精神病学的；精神病治疗的
campfire,n. 营火；营火会
bolster,"n. 支持；长枕
vt. 支持；支撑"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
ecosystem,n. 生态系统
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
exotic,adj. 异国的；外来的；异国情调的
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
destiny,n. 命运，定数，天命
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
awful,adj. 可怕的；极坏的；使人敬畏的
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
virtually,adv. 事实上，几乎；实质上
tangibly,adv. 可触知地；明白地
windscreen,n. 汽车挡风玻璃
decent,adj. 正派的；得体的；相当好的
alluvial,adj. 冲积的
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
economical,adj. 经济的；节约的；合算的
fate,"n. 命运
vt. 注定"
medication,n. 药物；药物治疗；药物处理
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
headmaster,n. 校长
wean,"n. （苏格兰）幼儿
vt. 使断奶；使断念；使放弃"
comprise,vt. 包含；由…组成
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
disappointing,"adj. 令人失望的；令人扫兴的
v. 令人失望（disappoint的ing形式）；辜负…的期望"
delta,n. （河流的）三角洲；德耳塔（希腊字母的第四个字）
urban,adj. 城市的；住在都市的
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
execution,n. 执行，实行；完成；死刑
heritage,n. 遗产；传统；继承物；继承权
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
depict,vt. 描述；描画
literacy,n. 读写能力；精通文学
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
dormancy,n.  休眠，冬眠； 蛰伏
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
subscription,n. 捐献；订阅；订金；签署
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
durable,"n. 耐用品
adj. 耐用的，持久的"
cope,"n. 长袍
vi. 处理；对付；竞争"
circulation,n. 流通，传播；循环；发行量
tradition,n. 惯例，传统；传说
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
distribution,n. 分布；分配
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
statistics,n. 统计；统计学； 统计资料
stuffy,adj. 闷热的；古板的；不通气的
approximately,adv. 大约，近似地；近于
excusable,adj. 可原谅的；可辩解的；可免除的
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
