brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
coronary thrombosis,"n. 冠状动脉血栓形成
 冠状动脉血栓症；冠状动脉血栓病；冠状动脉栓塞症"
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
lineup,n. 阵容；一组人；电视节目时间表
obituary,"adj. 讣告的；死亡的
n. 讣告"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
anew,adv. 重新；再
calorie,n. 卡路里（热量单位）
cappuccino,n. 热牛奶咖啡；（意）卡普齐诺咖啡
contortion,n. 扭弯；扭歪
coo,"n. 咕咕声；鸽子的叫声
vt. 咕咕地叫；轻轻地说
int. 唔（表示惊讶或者高兴等）
vi. 咕咕地叫；柔声地说"
debonair,adj. 高兴的，快活的；温文尔雅的；殷勤的
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
esthetically,adv. esthetical的变形
exasperating,adj. 激怒人的；气死人的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
geranium,n. 天竺葵
habituate,"vt. 使习惯于，使熟悉于
vi. 上瘾"
ludicrous,adj. 滑稽的；荒唐的
motel,n. 汽车旅馆
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
sedate,"adj. 安静的；沉着的
vt. 给…服镇静剂"
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
treadmill,n. 踏车，跑步机；单调的工作
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
unfurl,"vt. 展开；使…临风招展
vi. 展开；公开"
venerable,adj. 庄严的，值得尊敬的；珍贵的
pull up,"v. 拔起；使…停下
 停车；上拉；阻止"
blaspheme,"vt. 亵渎；咒骂，辱骂
vi. 说亵渎的话；口出恶言"
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
damper,n.  阻尼器； 减震器；气闸
epitome,n. 缩影；摘要；象征
fetish,n. 恋物（等于fetich）；迷信；偶像
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
licentiousness,n. 放荡；放肆
mirth,n. 欢笑；欢乐；高兴
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
puritan,"n. 清教徒
adj. 清教徒的"
reverently,adv. 虔诚地，恭敬地
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
swill,"n. 泔水；冲洗；痛饮；涮
vt. 冲洗；痛饮；涮；倒出
vi. 大口地喝；发激荡声"
traipse,"n. 闲荡；漫步；无精打采者
vt. 在…游荡；走过
vi. 疲惫地走；闲荡；拖曳"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
astound,vt. 使惊骇；使震惊
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
confound,vt. 使混淆；挫败；讨厌；使混乱
consultant,n. 顾问；咨询者；会诊医生
cynicism,n. 玩世不恭，愤世嫉俗；犬儒主义；冷嘲热讽
deceit,n. 欺骗；谎言；欺诈手段
distinction,n. 区别；差别；特性；荣誉、勋章
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
feign,"vt. 假装；装作；捏造；想象
vi. 假装；装作；作假；佯作"
fib,"n. 无伤大雅的谎言，小谎；一击
vi. 撒小谎"
invariably,adv. 总是；不变地；一定地
lubricant,"n. 润滑剂；润滑油
adj. 润滑的"
perception,n. 知觉； 感觉；看法；洞察力；获取
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
prevarication,n. 搪塞；支吾
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
proliferation,n. 增殖，扩散；分芽繁殖
pundit,n. 专家；博学者；梵文学者
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
undermine,vt. 破坏，渐渐破坏；挖掘地基
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
warp,"n. 弯曲，歪曲；偏见；乖戾
vt. 使变形；使有偏见；曲解
vi. 变歪，变弯；曲解"
blurt out,"n. 漏嘴说出的话
v. 突然说出
 脱口而出；不假思索说出；冲口"
wear down,"na. 使衰弱；挫败；慢慢破坏；消蚀
 磨损；磨损，损耗；磨损耗磨磨损量"
aroma,n. 芳香
aura,n. 光环；气氛；（中风等的）预兆；气味
bard,n. 吟游诗人
cuddle,"n. 搂抱，拥抱
vt. 拥抱；亲热地搂住；抚爱地拥抱
vi. 拥抱；偎依；舒服地贴著身睡"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
imponderable,"adj. 无重量的；无法计算的
n. 无法衡量的事物"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
mediocre,adj. 普通的；平凡的；中等的
prosaic,adj. 平凡的，乏味的；散文体的
squalid,adj. 肮脏的；污秽的；卑劣的
veritable,adj. 真正的，名副其实的
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
conjure up,"na. 念咒召来；使现出
 用魔法召唤；想像出；唤起"
apprehensively,adv. 担心地
autopsy,n. 验尸； 尸体解剖； 尸体剖检
bountifully,adv. 慷慨地；丰富地
buff,"n. 浅黄色；软皮；爱好者； 健康的身体
vt. 有软皮摩擦；缓冲；擦亮，抛光某物"
chaser,n. 驱逐舰；猎人；饮烈酒后喝的饮料； 螺纹梳刀
confidential,adj. 机密的；表示信任的；获信任的
creaky,adj. 发辗的；老朽的；叽叽嘎嘎的
draught,"n. 气流；汇票；草稿（等于draft）
vt. 起草；征兵；选派（等于draft）
adj. 汲出的；拖拉的（等于draft）"
fervently,adv. 热心地；热诚地
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
imperceptible,adj. 感觉不到的；极细微的
laxative,"n. 泻药； 缓泻药
adj. 通便的"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
phial,n. 小药瓶；小玻璃瓶；管形瓶
potion,n. 一剂；一服；饮剂
rapture,"n. 兴高采烈
vt. 使…狂喜"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
make sb's acquaintance,结识某人
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
admixture,n. 混合；添加物；掺和剂
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
atom,n. 原子
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
confer,"vt. 授予；给予
vi. 协商"
correlative,"adj. 相关的；有相互关系的
n. 关联词；相关物"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
egoism,n. 利己主义，自我主义
elixir,n. 不老长寿药；万能药；炼金药
eminent,adj. 杰出的；有名的；明显的
horizon,n.  地平线；视野；眼界；范围
impartiality,n. 公正，公平；不偏不倚
inculcate,vt. 教育；谆谆教诲；教授；反覆灌输
lunatic,"adj. 疯狂的；精神错乱的；愚蠢的
n. 疯子；疯人"
populous,adj. 人口稠密的；人口多的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
spectacular,adj. 壮观的，惊人的；公开展示的
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
aubergine,"n. （英）茄子；紫红色
adj. 紫红色的"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
bedeck,vt. 装饰；修饰
braise,"n. 文火炖熟的肉；赤鲷
vt. 炖；蒸"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
cuisine,n. 烹饪，烹调法
ecstasy,n. 狂喜；入迷；忘形
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
enterprise,n. 企业；事业；进取心；事业心
exotica,n. 新奇事物，异族事物
fastidiously,adv. 非常讲究地；挑剔地
fowl,"n. 家禽；鸟；飞禽
vi. 打鸟；捕野禽"
glutton,n. 酷爱…的人；贪吃的人
gourmet,"n. 美食家
菜肴精美的"
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
palate,n. 味觉；上颚；趣味
piquant,adj. 辛辣的；活泼的；痛快的；顽皮的；刺激的
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
sensuality,n. 好色；淫荡；喜爱感官享受
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
texture,n. 质地；纹理；结构；本质，实质
attend to,"na. 照料(工作)
 照顾；注意；处理"
part and parcel,"na. 重要部分；(…的)重要部分
 主要部分；重要的部分；不可或缺"
arduous,adj. 努力的；费力的；险峻的
bewildered,"v. 使困惑（bewilder的过去分词）
adj. 困惑的；眩"
bohemian,"n. 波希米亚人；波希米亚语；放浪者
adj. 波希米亚的；放荡不羁的；波希米亚语的"
chic,"n. 时髦；别致的款式
adj. 别致的"
drudge,"n. 做苦工的人
vt. 强迫做苦工
vi. 做苦工，干苦力"
fiddle,"n. 小提琴
vt. 虚度时光；拉小提琴
vi. 瞎搞；拉小提琴"
gusto,n. 爱好；由衷的高兴；嗜好
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
transaction,n. 交易；事务；办理；会报，学报
acquisition,n. 获得物，获得；收购
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
complacency,n. 自满；满足；自鸣得意
correspondence,n. 通信；一致；相当
cumulative,adj. 累积的
demon,n. 恶魔；魔鬼；精力充沛的人；邪恶的事物
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
embody,vt. 体现，使具体化；具体表达
formulate,vt. 规划；用公式表示；明确地表达
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
livelihood,n. 生计，生活；营生
mundane,adj. 世俗的，平凡的；世界的，宇宙的
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
partake,"vi. 吃，喝；分享；参与；分担；带有某种性质
vt. 分担；分享"
pertinent,adj. 相关的，相干的；中肯的；切题的
pitfall,n. 陷阱，圈套；缺陷；诱惑
precedence,n. 优先；居先
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
proportional,"n.  比例项
adj. 比例的，成比例的；相称的，均衡的"
receptivity,n. 接受能力； 感受性
relinquish,vt. 放弃；放手；让渡
repository,n. 贮藏室，仓库；知识库；智囊团
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
scathing,"adj. 严厉的；损伤的
v. 损伤；伤害（scathe的ing形式）"
stigma,n.  柱头；耻辱；污名；烙印；特征
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
unethical,adj. 不道德的；缺乏职业道德的
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
go out of one's way,"na. 绕弯儿走；不怕麻烦；特地；故意
 特别费心；特地做；想尽办法"
go out of one's way to do sth.,找不到解释
adrift,"adj. 漂泊的；漂浮着的
adv. 随波逐流地；漂浮着"
canteen,n. 食堂，小卖部；水壶
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
growl,"n. 咆哮声；吠声；不平
vt. 咆哮；（雷电，炮等）轰鸣
vi. 咆哮着说"
gunwale,n. 舷缘；船舷上缘
guts,"n. 内脏；飞碟游戏（比赛双方每组5人，相距15码，互相掷接飞碟）；狭道；贪食者（gut的复数）
v. 取出…的内脏；毁坏…的内部；贪婪地吃（gut的第三人称单数）
n. （俚语）勇气；决心"
heft,"n. 重量；重要性
vt. 举起；举起试重量
vi. 称重量"
mirage,n. 海市蜃楼；幻想，妄想
paralysis,n. 麻痹；无力；停顿
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
scorch,"n. 烧焦；焦痕
vt. 烧焦；使枯萎；挖苦
vi. 烧焦；枯萎"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
sunken,"adj. 沉没的；凹陷的；比周围低的
v. 沉没（sink的过去分词）；下沉"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
doze off,"v. 打瞌睡
 打盹；打盹儿；打磕睡"
keel over,"na. 倾覆；突然昏倒
 翻身；翻身昏倒；颠倒"
academia,n. 学术界；学术生涯
balmy,adj. 芳香的；温和的；止痛的
cello,n. 大提琴
clout,"n. 破布；敲打；影响力；势力
vt. 给…打补钉；猛击"
corral,"n. 畜栏；环形车阵
vt. 把…关进畜栏；捕捉；把…布成车阵"
culprit,n. 犯人，罪犯；被控犯罪的人
fundraiser,n. 资金筹集人；资金筹集活动
grueling,"n. 惩罚；劳累
adj. 累垮人的；折磨人的
v. 使极度疲劳；累垮（gruel的ing形式）"
instantaneous,adj. 瞬间的；即时的；猝发的
onerous,adj. 繁重的；麻烦的；负有义务的；负有法律责任的
onslaught,n. 猛攻；突击
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
preordain,vt. 注定；预先决定
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
recourse,n. 求援，求助； 追索权；依赖；救生索
rollerblade,"n. 直排轮滑；滚轴溜冰；滑旱冰
vi. 滑旱冰"
roster,n. 花名册；执勤人员表；逐项登记表
sabbatical,"n. 休假（美国某些大学给大学教师每七年一次的）
adj. 安息日的"
savor,"n. 滋味；气味；食欲
vt. 尽情享受；使有风味；加调味品于；品尝，欣赏
vi. 有…的滋味；带有…的性质"
scoot,"n. 疾走；轻便摩托车
vt. 迅速跑开；猛冲
vi. 溜走；快走；骑轻便摩托车"
seminar,n. 讨论会，研讨班
serendipity,n. 意外发现珍奇事物的本领；有意外发现珍宝的运气
shuck,"n. 壳；外皮；荚；毫无价值的东西
vt. 剥去
vi. 剥去"
smorgasbord,n. 瑞典式自助餐（餐前冷菜及冷菜宴会）；大杂烩
spontaneous,adj. 自发的；自然的；无意识的
tango,"n. 探戈舞；探戈舞曲
vi. 跳探戈舞"
blow off,"v. 发泄；放出
 吹掉；取消约会；吹走"
hem in,"un. 结结巴巴地说起话来；限制；太狭窄；围住
 围困；包围；环抱"
ratchet up, 逐渐升高；增加；渐进
aluminum,n. 铝
anonymous,adj. 匿名的，无名的；无个性特征的
bureau,n. 局，处；衣柜；办公桌
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
cot,n. 简易床；小屋；轻便小床
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
cross-stitch,"n. 十字绣；十字针脚
vt. 用十字形针迹缝制
vi. 以十字针法缝"
crux,n. 关键；难题；十字架形，坩埚
enfeeble,vt. 使衰弱；使无力
ferocity,n. 凶猛；残忍；暴行
flashbulb,n. 闪光灯泡（等于flash bulb）
grime,"n. 尘垢；污点；煤尘
vt. 使污秽；使…弄脏"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
oatmeal,n. 燕麦粥；燕麦片
sampler,n.  采样器；取样器；样品检查员
French knot,法国结；法兰西结；法式花芯结
tote bag,"na. (布制或草编的)大手提包
 托特包；大手提袋；购物包"
