deviate,"vi. 脱离；越轨
vt. 使偏离"
robust,adj. 强健的；健康的；粗野的；粗鲁的
maintain,vt. 维持；继续；维修；主张；供养
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
transcend,vt. 胜过，超越
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
remove sth. from sth.,找不到解释
remove sb. from sth.,找不到解释
deviate from sth.,找不到解释
preclude sb. from doing sth.,找不到解释
write sb. off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
 勾销；取消；冲销"
write sth. off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
 勾销；取消；冲销"
fail in sth.,找不到解释
triumph over,"un. 击败；克服；战胜:
 成功；得胜；获胜"
in pursuit of sth.,找不到解释
in the pursuit of sth.,找不到解释
work one's way to,找不到解释
work one's way through, 费劲地完成；靠做工读完；从头到尾做
work one's way into,兢兢业业地达成
act as,"na. 做(向导)
 充当；担任；担当"
fall down,"na. (向下游)流下；失败；跌倒；同“fall”
 倒下；摔倒；倒塌"
stricken,adj. 患病的；受挫折的；受…侵袭的；遭殃的
prospective,"n. 预期；展望
adj. 未来的；预期的"
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
celebrity,n. 名人；名声
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
masterpiece,n. 杰作；绝无仅有的人
aggravate,vt. 加重；使恶化；激怒
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
nonetheless,adv. 尽管如此，但是
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
enterprise,n. 企业；事业；进取心；事业心
layout,n. 布局；设计；安排；陈列
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
dubiously,adv. 怀疑地；可疑地
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
expertise,n. 专门知识；专门技术；专家的意见
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
bluntly,adv. 坦率地，直率地；迟钝地
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
persuasive,adj. 有说服力的；劝诱的，劝说的
cater,vt. 投合，迎合；满足需要；提供饮食及服务
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
disciplined,"adj. 遵守纪律的；受过训练的
v. 使有纪律（discipline的过去分词）；训导"
alleviate,vt. 减轻，缓和
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
frantic,adj. 狂乱的，疯狂的
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
eloquently,adv. 善辩地；富于表现力地
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
applause,n. 欢呼，喝采；鼓掌欢迎
propel,vt. 推进；驱使；激励；驱策
icon,n. 图标；偶像；肖像，画像；圣像
destined to do sth.,找不到解释
serve as,"v. 用作；充当
 作为；担任；当作"
be wrapped up in sth.,找不到解释
take sb. on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
work overtime,"un. 加班加点
 超时工作；是指加班；加班工作"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
hang out with, 与…出去玩；和…闲逛；与…闲逛
soak sth. up,"v. 吸取
 吸收；摄取；吸收摄取"
in anticipation of sth.,找不到解释
on air,"adj. 不通过电缆传输的
 爱情正在直播；电视剧；广告播出"
on the air,"na. 广播中；(正在)广播；哭着；闹着
 正在播出的；播送；在广播"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
jetty,"n. 码头；防波堤
adj. 乌黑发亮的，煤玉似的
vi. 伸出"
notorious,adj. 声名狼藉的，臭名昭著的
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
oust,vt. 驱逐；剥夺；取代
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
recede,"vi. 后退；减弱
vt. 撤回"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
catastrophe,n. 大灾难；大祸；惨败
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
intervene,vi. 干涉；调停；插入
appraise,vt. 评价，鉴定；估价
symptom,n.  症状；征兆
underestimate,"n. 低估
vt. 低估；看轻"
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
paralyze,vt. 使麻痹；使瘫痪
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
athletic,adj. 运动的，运动员的；体格健壮的
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
clarity,n. 清楚，明晰；透明
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
forcibly,adv. 用力地；强制地；有说服力地
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
practicable,adj. 可用的；行得通的；可实行的
brink,n. （峭壁的）边缘
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
salvation,n. 拯救；救助
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
pull to a stop,"阻止
停下"
sick to one's stomach, 作呕的
black out,"na. 用墨涂掉；使停刊；封锁(新闻)；使舞台转暗
 停电；灯火管制；大停电"
pop up,"v. 突然出现
 弹出式；弹出窗口；弹出式调查"
stop short,"na. 猛然停止；使(谈话等)停止；挡住
 突然停止；突然中止；中途停下"
plow through sth.,找不到解释
throw oneself into,"na. 开始热心做(某事)
 投入；投身于；积极从事"
throw oneself at, 冲向；拼命讨好；猛扑向
throw oneself on,"na. 依靠；求助于；完全依赖于；猛扑
 扑到在……上；使身体迅速地伏在物体上；扑倒在…上"
throw oneself down,"na. 躺下
 倒下"
make one's way,"na. 前往；发迹
 前进；行进；走去"
let oneself go,"na. 尽情(做某事)；忘乎所以；发脾气
 任情；放；情不自禁"
grab for sth.,找不到解释
grab at sth.,找不到解释
transcontinental,adj. 横贯大陆的；大陆那边的
briefcase,n. 公文包
lofty,adj. 高的；崇高的；高级的；高傲的
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
vertically,adv. 垂直地
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
turbulence,n. 骚乱，动荡； 湍流；狂暴
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
regarding,prep. 关于，至于
necessitate,vt. 使成为必需，需要；迫使
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
sobering,"adj. 使清醒的；使冷静的；严重的
vt. 使清醒（sober的ing形式）"
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
instantaneous,adj. 瞬间的；即时的；猝发的
instantaneously,adv. 即刻；突如其来地
hysterical,adj. 歇斯底里的；异常兴奋的
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
grim,adj. 冷酷的；糟糕的；残忍的
proximity,n. 接近，邻近；接近；接近度，距离；亲近
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
underlie,vt. 成为……的基础；位于……之下
evoke,vt. 引起，唤起；博得
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
invaluable,adj. 无价的；非常贵重的
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
destiny,n. 命运，定数，天命
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
settle back, 靠背而坐；又跌落；舒舒服服坐下来
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
in the event of sth.,找不到解释
in position,"adv. 在适当的位置
 就位；有位置；在原位"
into position, 就位
be stunned by,找不到解释
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
no earthly reason, 毫无理由
no earthly use,完全没有用
hint of,找不到解释
noteworthy,adj. 值得注意的；显著的
domain,n. 领域；域名；产业；地产
portray,vt. 描绘；扮演
exemplary,adj. 典范的；惩戒性的；可仿效的
ambassador,n. 大使；代表；使节
brutality,n. 无情；残忍；暴行（需用复数形式）
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
anonymous,adj. 匿名的，无名的；无个性特征的
refugee,n. 难民，避难者；流亡者，逃亡者
fragile,adj. 脆的；易碎的
fragility,n. 脆弱； 易碎性；虚弱
afflict,vt. 折磨；使痛苦；使苦恼
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
rigorous,adj. 严格的，严厉的；严密的；严酷的
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
jeopardize,vt. 危害；使陷危地；使受危困
paradise,"n. 天堂
至福境地"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
drought,n. 干旱；缺乏
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
deprive,vt. 使丧失，剥夺
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
ideology,n. 意识形态；思想意识；观念学
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
sacred,adj. 神的；神圣的；宗教的；庄严的
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
serene,"n. 平静；晴朗
adj. 平静的；安详的；清澈的；晴朗的
vt. 使平静"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
perpetually,adv. 永恒地，持久地
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
majesty,n. 威严；最高权威，王权；雄伟；权威
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
take sb. captive,找不到解释
hold sb. captive,找不到解释
turn sb. down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn sth. down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
embark on sth.,找不到解释
embark upon sth.,找不到解释
share in sth.,找不到解释
lead by example, 以身作则；榜样；垂范后世
be stricken by,找不到解释
be stricken with,找不到解释
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
immerse,vt. 沉浸；使陷入
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
footage,n. 英尺长度；连续镜头；以尺计算长度
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
spacecraft,n.  宇宙飞船，航天器
populate,vt. 居住于；构成人口；移民于；殖民于
terrific,adj. 极好的；极其的，非常的；可怕的
premiere,"n. 初次的演出；女主角
vi. 初次公演；首次露面
vt. 初次公演；初次上演
adj. 首位的；初次的；女主角的"
intuition,n. 直觉；直觉力；直觉的知识
setback,n. 挫折；退步；逆流
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
carefree,adj. 无忧无虑的；不负责的
conspicuous,adj. 显著的；显而易见的
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
shun,vt. 避开，避免；回避
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
temperament,n. 气质，性情，性格；急躁
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
furiously,adv. 猛烈地；狂暴地
infect,vt. 感染，传染
strive,vi. 努力；奋斗；抗争
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
endorse,vt. 背书；认可；签署；赞同；在背面签名
academician,n. 院士；大学生；学会会员；大学教师
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
rectify,vt. 改正；精馏；整流
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
discreet,adj. 谨慎的；小心的
discreetly,adv. 谨慎地；小心地；不显眼地
pretext,"n. 借口；托辞
vt. 以…为借口"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discretely,adv. 离散地，分离地
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
debut,"n. 初次登台；开张
vi. 初次登台"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
coincidence,n. 巧合；一致；同时发生
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skepticism,n. 怀疑论；怀疑的态度
onward,"adj. 向前的；前进的
adv. 向前；在前面"
establish oneself,定居，安顿，安置:；从事:
establish oneself as,"确立自己为…,决定当…"
establish oneself in, 定居于；在…落户；在…安居下来
be related to sth.,找不到解释
be related to sb.,找不到解释
put effort into sth.,找不到解释
put effort into doing sth.,找不到解释
end with sth.,找不到解释
end sth. with sth.,找不到解释
all on one's own,找不到解释
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
stand fast,"na. 不后退；不让步；固守；“stand fast/firm”的变体
 屹立不动；坚守；站立得住"
drive sb. to do sth.,找不到解释
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
consolation,n. 安慰；慰问；起安慰作用的人或事物
burdensome,adj. 繁重的；累赘的；恼人的
airborne,adj.  空运的；空气传播的；风媒的
dense,adj. 稠密的；浓厚的；愚钝的
mall,n. 购物商场；林荫路；铁圈球场
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
globalize,vt. 使全球化
globalized,vt. 使全球化
luncheon,n. 午宴；正式的午餐会
anniversary,n. 周年纪念日
decidedly,adv. 果断地；断然地；明显；毫无疑问
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
tropical,adj. 热带的；热情的；酷热的
aviation,n. 航空；飞行术；飞机制造业
hemisphere,n. 半球
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
stubborn,adj. 顽固的；顽强的；难处理的
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
saturated,"v. 使渗透，使饱和（saturate的过去式）
adj. 饱和的；渗透的；深颜色的"
finite,"n. 有限之物
adj. 有限的；限定的"
literal,adj. 文字的；逐字的；无夸张的
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
cognitive,adj. 认知的，认识的
imprison,vt. 监禁；关押；使…下狱
mundane,adj. 世俗的，平凡的；世界的，宇宙的
exotic,adj. 异国的；外来的；异国情调的
endow,vt. 赋予；捐赠；天生具有
trivial,adj. 不重要的，琐碎的；琐细的
multicultural,adj. 多种文化的；融合或具有多种文化的
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
circumference,n. 圆周；周长；胸围
latitude,n. 纬度；界限；活动范围
longitude,n.  经度；经线
renaissance,n. 文艺复兴（欧洲14至17世纪）
facet,"n. 面；方面；小平面
vt. 在…上琢面"
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
drawback,n. 缺点，不利条件；退税
jet lag,"n. 时差反应；时差综合症
 飞行时差反应；时差失调；缘来有转机"
cornerstone,n. 基础；柱石；地基
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
 减价；打折；大减价"
trade ... for ...,找不到解释
mingle ... with,找不到解释
be open to sth.,找不到解释
more often than not,"na. 通常
 多半；时常；往往"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
aesthetics,n. 美学；美的哲学
fragrant,adj. 芳香的；愉快的
venerable,adj. 庄严的，值得尊敬的；珍贵的
chunk,n. 大块；矮胖的人或物
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
notation,n. 符号；乐谱；注释；记号法
onset,n. 开始，着手；发作；攻击，进攻
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
isolation,n. 隔离；孤立； 绝缘； 离析
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
booklet,n. 小册子
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
bilingual,"n. 通两种语言的人
adj. 双语的"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
illicit,adj. 违法的；不正当的
illicitly,adv. 违法地；不正当地；禁止地
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
snore,"n. 鼾声
vt. 打鼾
vi. 打呼噜；打着鼾声渡过"
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
lawnmower,n.  剪草机
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
irritated,"v. 激怒；使…无效；使…兴奋（irritate的过去分词）
adj. 恼怒的，生气的"
perplex,vt. 使困惑，使为难；使复杂化
perplexed,adj. 困惑的；不知所措的
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
suppress,vt. 抑制；镇压；废止
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
ethnic,adj. 种族的；人种的
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
ample,adj. 丰富的；足够的；宽敞的
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
folklore,n. 民俗学；民间传说；民间风俗
credible,adj. 可靠的，可信的
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
endanger,vt. 危及；使遭到危险
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
bureaucrat,n. 官僚；官僚主义者
despise,vt. 轻视，鄙视
constrain,vt. 驱使；强迫；束缚
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
take sth. off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
smuggle ... into,找不到解释
