considerable,adj. 相当大的；重要的，值得考虑的
organic,adj.  有机的；组织的；器官的；根本的
planetary,adj. 行星的
primitive microbe,找不到解释
reside in, 居住；存在于；居住于
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
space probe,"na. 航天探测器
 空间探测器；宇宙探测器；太空探测器"
spacecraft,n.  宇宙飞船，航天器
ultraviolet radiation,"un. 紫外线照射；紫外线辐射；紫外辐射；紫外射线
 紫外光；紫外线幅射；紫外光辐射"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
underground water,"na. 地下水
 潜水；地下水的影响；讲地下水"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
ferret,"n. 雪貂；白鼬；侦探
vi. 搜索，侦破
vt. 搜出，查获；驱出；用雪貂猎取"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
world war,"n. 世界大战
 第二次世界大战；二战；第一次世界大战"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
interruption,n. 中断；干扰；中断之事
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
industry,n. 产业；工业；勤勉
aggressiveness,n. 攻击性；进取精神；霸气
aggressively,adv. 侵略地；攻击地；有闯劲地
air war, 空战；空中大战
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
battle field,"n. 战场；沙场；斗争的领域；容易引发冲突的情况
 战地；战地风云；战斗场地"
besiege,vt. 围困；包围；烦扰
blockade,"n. 阻塞
vt. 封锁"
bombing,"n.  轰炸， 投弹
v. 轰击；引爆炸弹（bomb的ing形式）"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
classified,"n. 分类广告
v. 把…分类（classify的过去分词）
adj. 分类的；类别的；机密的"
cold war,"n. 冷战（通常指第二次世界大战后美国与苏联之间的对峙局面）
 寒战；冷战时期；美苏冷战"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combative,adj. 好战的；好事的
confidential,adj. 机密的；表示信任的；获信任的
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conqueror,n. 征服者；胜利者
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
diplomacy,n. 外交；外交手腕；交际手段
diplomatic,adj. 外交的；外交上的；老练的
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
disarmament,n. 裁军
encircle,vt. 包围；围绕；环绕
encroach,vi. 蚕食，侵占
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
exterminate,vt. 消灭；根除
insurrection,n. 暴动；叛乱
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invasion,n. 入侵，侵略；侵袭；侵犯
invader,n. 侵略者；侵入物
martial,adj. 军事的；战争的；尚武的
onslaught,n. 猛攻；突击
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
rebellion,n. 叛乱；反抗；谋反；不服从
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellious,adj. 反抗的；造反的；难控制的
repulse,"n. 拒绝；击退
vt. 拒绝；驱逐；憎恶"
repel,vt. 击退；抵制；使厌恶；使不愉快
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
warfare,n. 战争；冲突
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
wrecking,n. 失事，遇难； 遇难船；营救难船
airfield,n. 飞机场
armament,n. 武器；军备
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
fortress,"n. 堡垒；要塞
vt. 筑要塞；以要塞防守"
radar,n.  雷达，无线电探测器
weapon,n. 武器，兵器
armada,n. （西班牙的）无敌舰队
bellicose,adj. 好战的；好斗的
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
flotilla,n. 小型船队；小舰队
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
morale,n. 士气，斗志
mutiny,"n. 兵变；叛乱；暴动
vi. 反叛；暴动；参加叛乱"
navy,"n. 海军
深蓝色的"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
migration,n. 迁移；移民；移动
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
biologist,n. 生物学家
biology,n. （一个地区全部的）生物；生物学
biological,adj. 生物的；生物学的
microbiology,n. 微生物学
define,vt. 定义；使明确；规定
definition,n. 定义； 清晰度；解说
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
beast,n. 野兽；畜生，人面兽心的人
beaver,n. 海狸；海狸皮毛
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
chimpanzee,n.  黑猩猩
donkey,n. 驴子；傻瓜；顽固的人
fauna,n. 动物群； 动物区系
genus,n. 类，种； 属
gibbon,n.  长臂猿
giraffe,n. 长颈鹿
gorilla,n. 大猩猩
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
herdsman,n. 牧人
hippo,n. 河马；吐根
horde,n. 一大群，群；游牧部落
horn,"n. 喇叭，号角；角
vt. 装角于"
koala,n. 树袋熊，无尾熊（产于澳大利亚，又名考拉）
marmot,n.  旱獭， 土拨鼠
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
ox,n. 牛；公牛
pony,"n. 矮种马；小型马
adj. 小型的；每日摘要的
vt. 付清
vi. 付清"
reindeer,n.  驯鹿
rhinoceros,n.  犀牛
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
sloth,n. 怠惰，懒惰； 树懒
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
woodpecker,n.  啄木鸟
yak,"n. 牦牛
喋喋不休"
zebra,"n.  斑马
adj. 有斑纹的"
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
carnivore,n.  食肉动物；食虫植物
carnivorous,adj. 食肉的；肉食性的
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
coelenterate,"n. 腔肠动物
adj.  腔肠动物的"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
habitat,n.  栖息地，产地
herbivorous,adj.  食草的
homotherm,n. 恒温动物
invertebrate,"n. 无脊椎动物；无骨气的人
adj. 无脊椎的；无骨气的"
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
omnivorous,adj. 杂食的；什么都读的；无所不吃的
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
poikilotherm,n. 变温动物，冷血动物
predator,n.  捕食者； 食肉动物；掠夺者
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
quarry,"n. 采石场；猎物；来源
vt. 挖出；努力挖掘
vi. 费力地找"
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
scavenger,n. 食腐动物；清道夫； 清除剂；拾荒者
suborder,n. 亚目
chirp,"n. 唧唧声；喳喳声； 啁啾声
vi. 吱喳而鸣；尖声地说；咂嘴打招呼
vt. 吱喳而鸣；尖声地说；咂嘴向…打招呼"
dormancy,n.  休眠，冬眠； 蛰伏
estivation,n. 夏眠; 夏蛰
hibernation,n. 冬眠；过冬；避寒
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
overgraze,"vi. 过度放牧
vt. 在…上过度放牧"
gregarious,adj. 社交的；群居的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrate,"vi. 移入
vt. 使移居入境"
migratory,adj. 迁移的；流浪的
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
peck,"n. 许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻
vt. 啄食；扔
vi. 啄食；扔石头；吹毛求疵"
pregnant,adj. 怀孕的；富有意义的
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reproduction,n. 繁殖，生殖；复制；复制品
reproductive,adj. 生殖的；再生的；复制的
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
backstage,adv. 在后台；向后台
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
show round,带(某人)参观；= show around
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operation,n. 操作；经营； 手术； 运算
operational,adj. 操作的；运作的
a tragic ending,找不到解释
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
main plot,"un. 整区
 主要情节；主情节；主区"
monologue,n. 独白
offstage,"n. 舞台后面；舞台内部
adj. 舞台内部的
adv. 在舞台内部；私生活里"
playwright,n. 剧作家
puppet,n. 木偶；傀儡；受他人操纵的人
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
thespian,找不到解释
black comedy,"na. 黑色喜剧
 荒诞喜剧；黑色幽默；黑色戏剧"
dance drama, 舞剧；舞蹈剧；戏剧
farce,n. 闹剧；胡闹；笑剧
modern drama, 现代戏剧；话剧；文明戏
music drama,n. 音乐剧
musical comedy,"na. 音乐(喜)剧
 音乐喜剧；音乐剧；歌舞喜剧"
opera,n. 歌剧；歌剧院；歌剧团
pantomime,"n. 哑剧；舞剧；手势
vi. 打手势；演哑剧
vt. 打手势；演哑剧"
pantomimic,a. 哑剧的
puppet show, 木偶戏；木偶剧；木偶表演
satirical comedy,找不到解释
sentimental comedy, 情感喜剧
situation comedy,"n. 情景喜剧
 情境喜剧；最佳情景喜剧；处境喜剧"
sitcom,abbr. 情景喜剧（situation comedy）
tragedy,n. 悲剧；灾难；惨案
tragic,adj. 悲剧的；悲痛的，不幸的
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
comedian,n. 喜剧演员；滑稽人物
curtain call,"n. （演员的）谢幕
 大锣大鼓；要求演员谢幕的掌声和呼声；死亡谢幕"
funnyman,n. （美）滑稽演员；幽默作家
hero,n. 英雄；男主角，男主人公
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
heroine,n. 女主角；女英雄；女杰出人物
impersonate,vt. 扮演；模仿；拟人，人格化
interval,n. 间隔；间距；幕间休息
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
stagehand,n. 舞台工作人员；舞台管理
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
solution,n. 解决方案；溶液；溶解；解答
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
indirect,adj. 间接的；迂回的；非直截了当的
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fashionable,adj. 流行的；时髦的；上流社会的
forthright,"n. 直路
adj. 直率的；直截了当的
adv. 直率地；马上；立即"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
mode,n. 模式；方式；风格；时尚
pathway,n. 路，道；途径，路径
procedure,n. 程序，手续；步骤
recipe,n. 食谱； 处方；秘诀；烹饪法
knack,n. 诀窍；本领；熟练技术；巧妙手法
shortcut,n. 捷径；被切短的东西
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
via,prep. 渠道，通过；经由
afraid,adj. 害怕的；恐怕；担心的
happen,vi. 发生；碰巧；偶然遇到
magazine,n. 杂志；弹药库；胶卷盒
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
uneasy,adj. 不舒服的；心神不安的；不稳定的
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evaporation,n. 蒸发；消失
vaporize,"vt. 使…蒸发
vi. 蒸发"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
fade-in,n. （电影、电视中画面的）淡入，渐现; 渐强
fade-out,n. （电影， 电视中画面的） 渐隐；消失；淡没
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanished,n. 销声匿迹，无影无踪（美国电视连续剧剧名）
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
anthology,n. （诗、文、曲、画等的）选集
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
big news, 头条新闻；大新闻；重大新闻
bimonthly,"n. 双月刊
adj. 两月一次的；每月两次的
adv. 隔月地；一月两次地"
biweekly,"n. 双周刊
adj. 两周一次的；每周两次的
adv. 两周一次地；每周两次地"
business magazine, 经贸杂志；商业性杂志；商业杂志
circulation,n. 流通，传播；循环；发行量
column,n. 纵队，列；专栏；圆柱，柱形物
columnist,n. 专栏作家
consumer magazine, 消费者杂志；消费类杂志；消费者类杂志
contributor,n. 贡献者；投稿者；捐助者
distribution,n. 分布；分配
editor,n. 编者，编辑；社论撰写人；编辑装置
editor-in-chief,n. 总编辑；总主笔
encyclopedia,n. 百科全书（亦是encyclopaedia）
evening edition, 晚报；经第一线
fortnightly,"n. 双周刊
adj. 隔周发行的；每两周的
adv. 隔周地；每两星期一次地"
fortnight,n. 两星期
full-page,adj. 全页的；满版的
government organ, 官报；机关；政府机关
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
journal,n. 日报，杂志；日记；分类账
literary magazine,"n. 文学杂志
 文艺杂志；文学杂志社"
low-cost,adj. 廉价的；价格便宜的
magazine cover,找不到解释
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
morning edition, 晨报；早间节目；早间报道
news magazine, 新闻杂志；时事全方位；时事刊物
newsboy,n. 报童，报贩；送报人
newspaper,"n. 报纸
报社
旧报纸"
newsprint,n. 新闻用纸（等于newspaper）
newssheet, 单张报纸
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
popular paper,n. 大众报纸
publication,n. 出版；出版物；发表
publisher,n. 出版者，出版商；发行人
quality paper, 高级报纸；严肃报纸；好纸
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
science magazine,找不到解释
trade paper,"n. 商业新闻
 商界报纸；商业票据；专业性报纸"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
psychological,adj. 心理的；心理学的；精神上的
psychologically,adv. 心理上地；心理学地
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
legitimacy,n. 合法；合理；正统
evoke,vt. 引起，唤起；博得
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
counselor,n. 顾问；法律顾问；参事（等于counsellor）
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
illegality,n. 违法； 非法行为；犯规
illegally,adv. 非法地
lawful,adj. 合法的；法定的；法律许可的
legal,adj. 法律的；合法的；法定的；依照法律的
legislation,n. 立法；法律
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legitimately,adv. 合理地；正当地
legitimise,vt. 使合法，给…以合法地位
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
vested,"v. （财产、权利等）授予（vest的过去式和过去分词）；使穿衣服
adj. 既定的；穿着衣服（尤指祭服）的；（美）带背心的（指西服套装）"
abnormal psychology,"n. 变态心理学
 异常心理学；变态心里；变态心理学范畴"
criminal psychology,"na. 犯罪心理学
 犯罪心理学定义；犯罪心理学的定义；犯罪人心理"
educational psychology,"un. 教育心理学
 教育心理学专业；教育心理学系；教育心理学专业排名"
group psychology,集体心理学
individual psychology,"un. 个性心理学；个体心理学；个别心理学
 个人心理学；个体谘商学派；阿德勒个体心理学"
personality psychology,人格心理学
social psychology,"n. 社会心理学
 社会心理学研究；本科硕士博士社会心理学；社会心理学专业"
acrophobia,n. 恐高症，高处恐怖症
affective,adj. 情感的；表达感情的
affection,n. 喜爱，感情；影响；感染
allergy,n. 过敏症；反感；厌恶
apathy,n. 冷漠，无兴趣，漠不关心；无感情
assertive,adj. 肯定的；独断的；坚定而自信的
attributable,adj. 可归于…的；可归属的
claustrophobia,n.  幽闭恐怖症
congenital,adj. 先天的，天生的；天赋的
delusion,n. 迷惑，欺骗；错觉；幻想
deviance,n. 异常；异常行为
deviant,"n. 不正常者；偏移值；变异物
adj. 不正常的；离经叛道的"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
disorderly,"adj. 混乱的，无秩序的；骚乱的；无法无天的
adv. 杂乱地，无秩序地"
emotional,adj. 情绪的；易激动的；感动人的
illusion,n. 幻觉，错觉；错误的观念或信仰
mirage,n. 海市蜃楼；幻想，妄想
innate,adj. 先天的；固有的；与生俱来的
insane,adj. 疯狂的；精神病的；极愚蠢的
sane,adj. 健全的；理智的； 神志正常的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
multiple personality,"un. 多重人格
 心理学名词；多种人格；多重性格"
pathology,n. 病理（学）; 异常状态
phobia,n. 恐怖，憎恶；恐惧症
psychiatry,n. 精神病学；精神病治疗法
psychic,"n. 灵媒；巫师
adj. 精神的；心灵的；灵魂的；超自然的"
rational,"n. 有理数
adj. 合理的；理性的"
retrospection,n. 回顾；反省；追忆
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
sympathy,n. 同情；慰问；赞同
symptom,n.  症状；征兆
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
abolish,vt. 废除，废止；取消，革除
accomplice,n. 同谋者， 共犯
acquittal,n. 赦免；无罪开释；履行；尽职；（债务等的）清偿
annul,vt. 取消；废除；宣告无效
annulment,n. 取消；废除
arbitration,n. 公断，仲裁
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
cancellation,n. 取消；删除
captivity,n. 囚禁；被关
codification,n. 编纂，整理；法典编纂；法律汇编
condone,vt. 宽恕；赦免
confirmation,n. 确认；证实；证明；批准
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
culprit,n. 犯人，罪犯；被控犯罪的人
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
denounce,vt. 谴责；告发；公然抨击；通告废除
deposition,n. 沉积物；矿床；革职；（在法庭上的）宣誓作证，证词
detain,vt. 拘留；留住；耽搁
domineering,"adj. 跋扈的；专横的；盛气凌人的
v. 实行暴政；高耸；流行（domineer的ing形式）"
enforcement,n. 执行，实施；强制
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
extradition,n. 引渡；亡命者送还本国
eyewitness,n. 目击者；见证人
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
impeach,"n. 控告，检举；弹劾；怀疑
vt. 弹劾；归咎；怀疑"
imprison,vt. 监禁；关押；使…下狱
imprisonment,n. 监禁，关押；坐牢；下狱
incriminate,vt. 控告；暗示...有罪
indemnity,n. 补偿，赔偿；保障；赔偿物
indemnification,n. 赔偿；保护；赦免；补偿金
interrogatory,"n. 质问；疑问
adj. 质问的；疑问的"
jurisprudence,n. 法律体系；法学及其分支；法律知识；法院审判规程
legality,n. 合法；合法性；墨守法规
