alliance,n. 联盟，联合；联姻
honorable,adj. 光荣的；可敬的；高贵的
imitate,vt. 模仿，仿效；仿造，仿制
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
mostly,adv. 主要地；通常；多半地
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
commerce,n. 贸易；商业；商务
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
deception,n. 欺骗，欺诈；骗术
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
fraud,n. 欺骗；骗子；诡计
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
instance,"n. 实例；情况；建议
vt. 举...为例"
log off,"v. 退出
 注销；登出；退出数据库"
obviously,"adv. 明显地
显然地"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
online,"adj. 联机的；在线的
adv. 在线地"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
weapon,n. 武器，兵器
widely,adv. 广泛地
assignment,n. 分配；任务；作业；功课
bureau,n. 局，处；衣柜；办公桌
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
close down,"v. 关闭；关门；倒闭；歇业
 停业；查封；封闭"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
editorial,"n. 社论
adj. 编辑的；社论的"
element,n. 元素；要素；原理；成分；自然环境
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
established,adj. 确定的；已制定的，已建立的
estate,n. 房地产；财产；身份
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
feedback,n. 反馈；成果，资料；回复
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
guideline,"n. 指导方针
参考"
historical,adj. 历史的；史学的；基于史实的
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
integrity,n. 完整；正直；诚实；廉正
journalism,n. 新闻业，新闻工作；报章杂志
moreover,adv. 而且；此外
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
poverty,n. 贫困；困难；缺少；低劣
reaction,n. 反应，感应；反动，复古；反作用
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
revenue,n. 税收，国家的收入；收益
source,n. 来源；水源；原始资料
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
bloodshed,n. 流血；杀戮
childish,adj. 幼稚的，孩子气的
clause,n. 条款； 子句
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
commander,n. 指挥官；司令官
conceal,vt. 隐藏；隐瞒
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
considerable,adj. 相当大的；重要的，值得考虑的
cruelty,n. 残酷；残忍；残酷的行为
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
emigrate,"vi. 移居；移居外国
vt. 移民"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
fate,"n. 命运
vt. 注定"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
humanity,n. 人类；人道；仁慈；人文学科
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
immediate,adj. 立即的；直接的；最接近的
insane,adj. 疯狂的；精神病的；极愚蠢的
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
moody,adj. 喜怒无常的；易怒的；郁郁寡欢的
primarily,adv. 首先；主要地，根本上
publication,n. 出版；出版物；发表
recognition,n. 识别；承认，认出；重视；赞誉；公认
refugee,n. 难民，避难者；流亡者，逃亡者
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
specify,vt. 指定；详细说明；列举；把…列入说明书
survivor,n. 幸存者；生还者；残存物
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
composed,"v. 组成；作曲（compose的过去分词）；著作
adj. 镇静的；沉着的"
count down,"na. (9,8,7,… 0 地)倒数；(火箭发射时)倒数秒数
 倒计时；倒数计时；倒计数"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
fight back,"na. 抵抗
 反击；还击；回击"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
inner self, 内在自我；个人内在自我；内在的自己
keep up with,"na. 不落后
 跟上；赶上；紧跟"
illustration,n. 说明；插图；例证；图解
interpretation,n. 解释；翻译；演出
lead up to,"na. 渐渐诱入；设法引出
 导致；引起；把…一直带领到"
miss out,"na. 错过(机会等)；遗漏
 漏掉；错过机会；错失"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
priority,n. 优先；优先权； 优先次序；优先考虑的事
pull away,"un. 绷起脸；开走；抽回；挖走
 脱身；离开；拉离"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
shut out,"na. 不让进来；遮得看不见；不让得分
 退关；排除；把…排斥在外"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strategy,n. 战略，策略
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
attribute,"n. 属性；特质
vt. 归属；把…归于"
capable,adj. 能干的，能胜任的；有才华的
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
indication,n. 指示，指出；迹象；象征
investigate,v. 调查；研究
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
repeatedly,adv. 反复地；再三地；屡次地
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
additional,adj. 附加的，额外的
aggravate,vt. 加重；使恶化；激怒
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
compensation,n. 补偿；报酬；赔偿金
enforced,"v. 执行（enforce的过去分词）
adj. 实施的；强制执行的"
excessive,adj. 过多的，极度的；过分的
extensive,adj. 广泛的；大量的；广阔的
fulfil,vt. 履行；完成；实践；满足
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
interaction,"n. 相互作用； 交互作用
n. 互动"
lay one's hands on, 把…弄到手；获得；拥有
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
let it go,"v. 算了吧
 放手；让这些不快逝去；让它去"
manual,"adj. 手工的；体力的
n. 手册，指南"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
pastime,n. 娱乐，消遣
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
removal,n. 免职；移动；排除；搬迁
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
tire out,"na. 使疲倦到极度
 筋疲力尽；使筋疲力尽；使……十分疲劳"
to death,"na. 到极点
 判某人死刑；打死；至死"
trifling,"adj. 微不足道的；轻浮的
v. 浪费，闲聊（trifle的现在分词）"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
dedicate,vt. 致力；献身；题献
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
employer,n. 雇主，老板
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
flexibility,n. 灵活性；弹性；适应性
installation,n. 安装，装置；就职
location,n. 位置（形容词locational）；地点；外景拍摄场地
numerous,adj. 许多的，很多的
option,n.  选项；选择权；买卖的特权
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
personality,n. 个性；品格；名人
shortage,n. 缺乏，缺少；不足
amazingly,adv. 令人惊讶地；惊奇地
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
dense,adj. 稠密的；浓厚的；愚钝的
depressing,adj. 压抑的；使人沮丧的
dreadful,adj. 可怕的；糟透的，令人不快的
electron,n. 电子
equation,n. 方程式，等式；相等； 反应式
exert,vt. 运用，发挥；施以影响
explosion,n. 爆炸；爆发；激增
fraction,n. 分数；部分；小部分；稍微
hence,adv. 因此；今后
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
interference,n. 干扰，冲突；干涉
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
namely,adv. 也就是；即是；换句话说
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
particle,n. 颗粒； 质点；极小量；小品词
proposal,n. 提议，建议；求婚
relativity,n. 相对论；相关性；相对性
resolution,n.  分辨率；决议；解决；决心
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
