abase,vt. 使…谦卑；降低…的品格；降低…的地位
angular,adj.  有角的；生硬的，笨拙的；瘦削的
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
animosity,n. 憎恶，仇恨，敌意
animus,n. 敌意；意图；基本态度；女性的男性意向
annals,n. 年报；编年史；年鉴
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
annotate,"vt. 注释；作注解
vi. 注释；给…作注释或评注"
annuity,n. 年金，养老金；年金保险；年金享受权
annul,vt. 取消；废除；宣告无效
anoint,vt. 给…涂油；用油擦；抹油使神圣化
anomalous,adj. 异常的；不规则的；不恰当的
anomaly,n. 异常；不规则；反常事物
anonymity,n. 匿名；匿名者；无名之辈
anonymous,adj. 匿名的，无名的；无个性特征的
antagonism,n. 对抗，敌对；对立；敌意
antecede,vt. 在...之前；胜过；居前
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
antediluvian,"n. 大洪水以前的人；年迈的人；不合时宜的人
adj. 大洪水前的；远古的；陈旧的；旧式的"
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
anthology,n. （诗、文、曲、画等的）选集
anthropocentric,adj. 以人类为中心的；以人类观点解释宇宙万物的
anthropoid,"n. 类人猿
adj. 类人猿的；类人的；（猿等）似人类的"
anthropologist,n. 人类学家；人类学者
anthropomorphic,adj. 拟人的，赋予人性的
anticlimax,n. 突降法；虎头蛇尾；令人扫兴的结尾
antidote,n.  解毒剂；解药；矫正方法
antipathy,n. 反感；厌恶；憎恶；不相容
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
antiseptic,"n. 防腐剂，抗菌剂
adj. 防腐的，抗菌的；非常整洁的"
antithesis,n. 对立面；对照；对仗
apathy,n. 冷漠，无兴趣，漠不关心；无感情
aperture,n. 孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
apex,n. 顶点；尖端
aphasia,n. 失语症（形容词aphasic）
aphorism,n. 格言；警句
apiary,n. 蜂房；养蜂场
aplomb,n. 沉着；垂直；泰然自若
apocalyptic,adj. 启示录的；天启的
apocryphal,adj. 伪的；可疑的
apogee,"n. 最高点，极点；远地点
vt. 位于远地点；位于最高点"
apolitical,adj. 不关心政治的；无政治意义的
apologist,n. 辩护者；护教论者；辨惑学专家（等于apologete）
apotheosis,n. 神化；崇拜，颂扬；尊奉为神
appall,vt. 使胆寒；使惊骇
apparatus,n. 装置，设备；仪器；器官
apparition,n. 幽灵；幻影；鬼怪；离奇出现的东西
appease,vt. 使平息；使满足；使和缓；对…让步
appellation,n. 称呼；名称；名目
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
application,n. 应用；申请；应用程序；敷用
apposite,adj. 适当的；贴切的
appraise,vt. 评价，鉴定；估价
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
apprenticeship,n. 学徒期；学徒身分
apprise,vt. 通知；报告
approbation,n. 认可；赞许；批准
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
apropos,"adj. 恰好的；适当的
adv. 恰好地；适当地；恰当地
prep. 关于"
aptitude,n. 天资；自然倾向；适宜
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
aquiline,adj. 鹰的；似鹰的，像鹰的；钩状的
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
arbiter,n.  仲裁者；裁决人
arbitrary,adj.  任意的；武断的；专制的
arbitrator,n. 公断人，仲裁人
arboretum,n. 植物园；（供科研等的）树木园
arcade,"n. 拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道
vt. 使有拱廊"
archaeology,"n. 考古学
考古学的"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
archetype,n. 原型
archipelago,n. 群岛，列岛；多岛的海区
ardent,adj. 热情的；热心的；激烈的；燃烧般的
arduous,adj. 努力的；费力的；险峻的
aria,n. 咏叹调，独唱曲
arid,adj. 干旱的；不毛的， 荒芜的
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
armada,n. （西班牙的）无敌舰队
aromatic,"n. 芳香植物；芳香剂
adj. 芳香的，芬芳的；芳香族的"
arousal,n. 觉醒；激励
arraign,vt. 传讯，控告；责难，指责
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
arrears,n.  拖欠；待完成的事；应付欠款
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
arrogance,n. 自大；傲慢态度
arroyo,n. 小河；河谷；干涸沟壑
arsenal,n. 兵工厂；军械库
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
artifact,n. 人工制品；手工艺品
artifice,n. 诡计；欺骗；巧妙的办法
artisan,n. 工匠，技工
artless,adj. 天真的；朴实的；无虚饰的
ascendancy,n. 优势；支配地位（等于ascendency，ascendence）
ascertain,vt. 确定；查明；探知
ascetic,"n. 苦行者；禁欲者
adj. 苦行的；禁欲主义的"
aseptic,"n.  防腐剂
adj. 无菌的；防腐性的"
ashen,adj. 灰色的；苍白的
asinine,adj. 驴的；愚蠢的，固执的；驴子似的
askance,adv. 怀疑地；斜视地
askew,"adj. 歪斜的
adv. 歪斜地，斜地"
asperity,n. （表面的）粗糙；（气候等的）严酷；艰苦的条件；（性格）粗暴
aspirant,"n. 有抱负的人；野心家
adj. 上进的；有野心的"
assail,vt. 攻击；质问；着手解决
assay,"n. 化验；试验
vt. 分析；化验；尝试
vi. 鉴定；经检验证明内含成分"
asymmetric,adj. 不对称的；非对称的
assert,vt. 维护，坚持；断言；主张；声称
assessment,n. 评定；估价
assiduous,adj. 刻苦的，勤勉的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
assuage,vt. 平息；缓和；减轻
assumption,n. 假定；设想；担任；采取
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
astigmatism,n.  散光； 像散性； 像散现象
attentive,adj. 留意的，注意的
attenuate,"vt. 使减弱；使纤细
adj. 减弱的；稀薄的；细小的
vi. 变纤细；变弱"
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
atypical,adj. 非典型的；不合规则的
audacious,adj. 无畏的；鲁莽的
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
augury,n. 占卜；预言；预兆
august,"n. 八月（简写为Aug）
adj. 威严的；令人敬畏的"
auroral,adj. 极光的；曙光的；玫瑰红的
auspicious,adj. 吉兆的，吉利的；幸运的
austere,adj. 严峻的；简朴的；苦行的；无装饰的
authenticate,vt. 鉴定；证明…是真实的
authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
authoritative,adj. 有权威的；命令式的；当局的
autocratic,adj. 专制的；独裁的，专横的
automaton,n. 自动机；机器人；自动机器
autonomous,adj. 自治的；自主的；自发的
autopsy,n. 验尸； 尸体解剖； 尸体剖检
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
avarice,n. 贪婪，贪财
avenge,"vt. 替…报仇
vi. 报复，报仇"
averse,adj. 反对的；不愿意的
aversion,n. 厌恶；讨厌的人
avert,vt. 避免，防止；转移
aviary,n. 鸟类饲养场；大型鸟舍
avid,adj. 渴望的，贪婪的；热心的
avocation,n. 副业；业余爱好；嗜好
avow,vt. 承认；公开宣称；坦率承认
avuncular,adj. 伯父的；叔伯的；慈祥的
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
axiom,n.  公理；格言；自明之理
babble,"vt. 含糊不清地说；泄露
vi. 喋喋不休；呀呀学语；作潺潺声
n. 含糊不清的话；胡言乱语；潺潺声"
bacchanalian,"n. 发酒疯的人
adj. 酒神节的；狂饮作乐的"
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
badinage,"n. 开玩笑；嘲弄，揶揄
vt. 打趣"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
baleful,adj. 恶意的；有害的
balk,"n. 障碍；错误
vi. 犹豫；突然止步不前
vt. 阻止；推诿；错过"
ballast,"n. 压舱物， 压载物；道渣，碎石
vt. 给…装压舱物；给…铺道渣"
balm,n. 香油；镇痛软膏；香峰草，香树膏
balmy,adj. 芳香的；温和的；止痛的
banal,adj. 陈腐的；平庸的；老一套的
bane,n. 毒药；祸害；灭亡的原因
bantering,"adj. 开玩笑的；嘲弄的
v. 善意地取笑（banter的ing形式）"
barb,"n. 箭头鱼钩等的倒钩；伤人的话
vt. 装倒钩于"
bard,n. 吟游诗人
barrage,"n. 弹幕；阻塞；齐射式攻击； 拦河坝
vt. 以密集炮火进攻
vi. 以密集火力阻击"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
barterer,n. 交易商
bask,"vt. 使…晒太阳；使暖和而舒适
vi. 晒太阳；取暖；愉快或舒适"
bastion,n. 堡垒；棱堡
bate,"n. 柔皮剂
vt. 使软化；减少；缓和
vi. 减弱；衰落"
bauble,n. 小玩意；美观而无价值的饰物
bawdy,adj. 猥亵的；下流的；卖淫的
beatific,adj. 幸福的；祝福的；快乐的
beatitude,n. 祝福；至福
bedizen,vt. 俗丽地穿着或装饰；过分地打扮
bedraggle,"vt. 拖脏；弄湿
vi. 弄湿；弄脏"
beeline,n. 直线
befuddle,vt. 使迷惑；使昏沉
beget,vt. 产生；招致；引起；当…的父亲
begrudge,vt. 羡慕，嫉妒；吝惜，舍不得给
beguile,vt. 欺骗；使着迷；轻松地消磨
behemoth,"n. 巨兽；河马
adj. 巨大的；高大的"
belabor,vt. 痛打；抨击；过度说明；反复讨论
belated,adj. 迟来的；误期的
beleaguer,vt. 围攻；围
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
belittle,vt. 轻视；贬低；使相形见小
bellicose,adj. 好战的；好斗的
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
bemused,"adj. 困惑的；发呆的
v. 使发呆（bemuse的过去式和过去分词）"
benediction,n. 祝福；赐福；恩赐；祈求上帝赐福的仪式
benefactor,n. 恩人；捐助者；施主
beneficial,adj. 有益的，有利的；可享利益的
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
benevolent,adj. 仁慈的；慈善的；亲切的
benign,adj. 良性的；和蔼的，亲切的；吉利的
bequeath,vt. 遗赠；把…遗赠给；把…传下去
berate,vt. 严责；申斥
bereft,"adj. 丧失的；被剥夺的；失去亲人的
v. 失去…的（bereave的过去式）"
berserk,"adj. 狂怒的
adv. 狂暴地，狂怒地"
beseech,vt. 恳求，哀求；乞求，急切地要求得到
beset,vt. 困扰；镶嵌；围绕
besiege,vt. 围困；包围；烦扰
besmirch,vt. 弄污；损害；诽谤
bestial,"n. 牛
adj. 兽性的，卑劣的；残忍的；野蛮的"
bestow,vt. 使用；授予；放置；留宿
betoken,vt. 预示；表示
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bevy,n. 一群
biased,adj. 有偏见的；结果偏倚的，有偏的
bicameral,adj. 两院制的；有两个议院的
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
biennial,"n.  二年生植物
adj. 两年一次的"
bigotry,n. 偏执；顽固；盲从
bilious,adj. 胆汁的；坏脾气的
bilk,"n. 诈骗；骗子；赖帐
vt. 欺骗，诈骗；使受挫折；赖帐"
billowing,"adj. 如波浪般翻滚的；汹涌的
v. 像巨浪般汹涌；翻腾（billow的ing形式）"
bivouac,"n. 露营；露营地
vt. 使…露宿；为…安排露营
vi. 露宿"
bizarre,adj. 奇异的（指态度，容貌，款式等）
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
blandishment,n. 奉承；谄媚；哄诱
blare,"n. 嘟嘟声；号声；巨响
vt. 嘟嘟地发出；高声发出
vi. 发嘟嘟声；发出响而刺耳的声音"
blasphemy,n. 亵渎神明；轻视上帝或神祗
blatant,adj. 喧嚣的；公然的；炫耀的；俗丽的
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
blithe,adj. 愉快的；快乐无忧的
bloated,"adj. 发胀的，浮肿的；傲慢的
v. 肿胀，得意（bloat的过去时形式）"
bludgeon,"n. 棍棒；攻击
vt. 恫吓；用棍棒打；猛烈攻击
vi. 恫吓；用棍棒打；猛烈攻击"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
blurt,vt. 未加思索地冲口说出；突然说出
bluster,"n. 怒号；吓唬
vi. 咆哮；恫吓
vt. 咆哮；狂吹；夸口；威吓；气势汹汹地说"
bode,"vt. 预示；为…的兆头
v. 停留；继续；遭到（bide的过去式）
vi. 预示"
bogus,"n. 伪币
adj. 假的；伪造的"
bohemian,"n. 波希米亚人；波希米亚语；放浪者
adj. 波希米亚的；放荡不羁的；波希米亚语的"
boisterous,adj. 喧闹的；狂暴的；猛烈的
bolster,"n. 支持；长枕
vt. 支持；支撑"
bombardment,n. 轰炸；炮击
bombastic,adj. 夸大的；言过其实的
booming,"adj. 兴旺的，繁荣的；大受欢迎的
v. 兴旺（boom的ing形式）；发出隆隆声"
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
boorish,adj. 粗野的；粗鲁的；粗鄙的；笨拙的；乡土气的
boundless,adj. 无限的；无边无际的
bountiful,adj. 丰富的；慷慨的；宽大的
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
bovine,"n. 牛科动物
adj. 牛的；似牛的；迟钝的"
bowdlerize,vt. 删改；删除不妥的文句
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
braggart,"n. 吹嘘；好自夸者；大言者
adj. 吹牛的；自夸的"
brandish,"n. 挥舞
vt. 挥舞；炫耀"
bravado,n. 虚张声势；冒险
brawn,n. 发达的肌肉；膂力；腌制好的野猪肉
brazen,"adj. 厚颜无耻的；无所顾忌的；黄铜制的
vt. 使变得无耻；厚脸皮地做"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
breadth,n. 宽度，幅度；宽宏
brevity,n. 简洁，简短；短暂，短促
brindled,adj. 有斑的，有斑纹的
bristling,"adj. 竖立的；发怒的
v. 毛发竖立；发怒；被布满（bristle的ing形式）
n. 毛发竖立；发怒"
brittle,adj. 易碎的，脆弱的；易生气的
brochure,n. 手册，小册子
brooch,n. （女用的）胸针，领针
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
brunt,n. 冲击；主要冲力
brusque,adj. 唐突的；直率的；无礼的
buccaneer,"n. 海盗
vi. 做海盗"
bucolic,"n. 田园诗；农夫
adj. 牧歌的；牧羊的；乡下风味的"
buffoonery,n. 滑稽；打诨
bullion,n. 金银；纯金；金银块
bulwark,"n. 壁垒；保障；防波堤
vt. 保护；筑垒保卫"
bumptious,adj. 傲慢的；瞎自夸的
bungalow,n. 平房；小屋
bungle,"n. 粗劣；失败；笨拙
vi. 把工作搞糟
vt. 笨手笨脚地做；把…搞糟"
buoyant,adj. 轻快的；有浮力的；上涨的
bureaucracy,n. 官僚主义；官僚机构；官僚政治
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
burlesque,"n. 作戏；滑稽戏
adj. 滑稽的；可笑的"
burly,adj. 结实的；率直的；粗鲁的
burnish,"n. 光泽；抛光；闪闪发光
vt. 擦亮；使…光亮；将…打磨光亮
vi. 磨光发亮"
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
buttress,"n. 扶壁；拱壁；支撑物
vt. 支持；以扶壁支撑"
buxom,adj. （妇女）丰满的；健美的
cabal,"n. 阴谋（尤指政治上的）；阴谋集团
vi. 策划阴谋"
cache,"n. 电脑高速缓冲存储器；贮存物；隐藏处
vt. 隐藏；窖藏
vi. 躲藏"
cacophonous,adj. 粗腔横调的；发音不和谐的
cajole,vt. 以甜言蜜语哄骗；勾引
calamity,n. 灾难；不幸事件
calculated,"v. 计算；估计；打算（calculate的过去式和过去分词）
adj. 计算出的；适合的；有计划的"
caldron,n. 大锅；大汽锅
caliber,n.  口径；才干；水准（等于calibre）；器量
calligraphy,n. 书法；笔迹
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
callow,adj. 年轻而无经验的；羽毛未丰的
calorific,adj. 发热的，生热的
calumny,n. 诽谤；中伤；诬蔑
camaraderie,n. 友情；同志之爱
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
candor,n. 坦白；直率
canny,adj. 精明的，谨慎的；节约的
cant,"n. 斜面；伪善之言；黑话；角落
vi. 倾斜；讲黑话
vt. 把…棱角去掉；使…倾斜；甩掉
adj. 行话的；哀诉声的；假仁假义的"
cantankerous,adj. 脾气坏的；爱吵架的；难相处的
canter,"n. 慢跑；流浪汉
vt. 使慢跑
vi. 慢跑"
canto,n. 篇；曲调；长诗的篇章
canvass,"n. 讨论；细查；劝诱
vt. 细究；彻底检查；向…拉票或拉生意
vi. 游说；拉选票"
capacious,adj. 宽敞的；广阔的；容积大的
capacity,n. 能力；容量；资格，地位；生产力
capitulate,vi. 认输，屈服；屈从，停止反抗；有条件投降；让步
caprice,n. 任性，反复无常；随想曲，怪想
capricious,adj. 反复无常的；任性的
captivate,vt. 迷住，迷惑
carat,n. 克拉（等于karat）
