gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
ambassador,n. 大使；代表；使节
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
typical,adj. 典型的；特有的；象征性的
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
simplify,vt. 简化；使单纯；使简易
unrest,n. 不安；动荡的局面；不安的状态
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
edit,"vt. 编辑；校订
n. 编辑工作"
crucial,adj. 重要的；决定性的；定局的；决断的
excellent,adj. 卓越的；极好的；杰出的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
upload,vt. 上传
instinct,"n. 本能，直觉；天性
adj. 充满着的"
slender,adj. 细长的；苗条的；微薄的
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
electron,n. 电子
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
brutal,adj. 残忍的；野蛮的，不讲理的
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
alley,n. 小巷；小路；小径
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
avert,vt. 避免，防止；转移
dioxide,n. 二氧化物
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
pact,n. 协定；公约；条约；契约
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
humid,adj. 潮湿的；湿润的；多湿气的
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
episode,n. 插曲；一段情节；插话；有趣的事件
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
become,"vt. 适合；相称
vi. 成为；变得；变成"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
freezing,adj. 冰冻的；严寒的；冷冻用的
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
survival,n. 幸存，残存；幸存者，残存物
oral,"n. 口试
adj. 口头的，口述的"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
postage,n. 邮资，邮费
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
assess,vt. 评定；估价；对…征税
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
equality,n. 平等；相等； 等式
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
grocer,n. 杂货店；食品商
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
significance,n. 意义；重要性；意思
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
composition,n. 作文，作曲，作品； 构成；合成物；成分
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
controversial,adj. 有争议的；有争论的
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
manual,"adj. 手工的；体力的
n. 手册，指南"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
gym,n. 健身房；体育；体育馆
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
award,"n. 奖品；判决
vt. 授予；判定"
comprehend,vt. 理解；包含；由…组成
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
rhythm,n. 节奏；韵律
assure,vt. 保证；担保；使确信；弄清楚
undermine,vt. 破坏，渐渐破坏；挖掘地基
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
deputy,"n. 代理人，代表
adj. 副的；代理的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
council,n. 委员会；会议；理事会；地方议会；顾问班子
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
comprise,vt. 包含；由…组成
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
inevitable,adj. 必然的，不可避免的
liberate,vt. 解放；放出；释放
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
confront,vt. 面对；遭遇；比较
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
category,n. 种类，分类； 范畴
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
optional,"adj. 可选择的，随意的
n. 选修科目"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
enthusiastic,adj. 热情的；热心的；狂热的
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
architect,"n. 建筑师
缔造者"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
afford,vt. 给予，提供；买得起
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
deliberately,adv. 故意地；谨慎地；慎重地
liberty,n. 自由；许可；冒失
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
classify,vt. 分类；分等
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
capable,adj. 能干的，能胜任的；有才华的
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
choose,"vt. 选择，决定
vi. 选择，挑选"
literary,adj. 文学的；书面的；精通文学的
disgusting,"adj. 令人厌恶的
令人极不能接受的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
injure,vt. 伤害，损害
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
discovery,n. 发现，发觉；被发现的事物
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
conscience,n. 道德心，良心
framework,n. 框架，骨架；结构，构架
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
concept,n. 观念，概念
competition,n. 竞争；比赛，竞赛
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
online,"adj. 联机的；在线的
adv. 在线地"
investigate,v. 调查；研究
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
deprive,vt. 使丧失，剥夺
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
workforce,n. 劳动力；工人总数，职工总数
insight,n. 洞察力；洞悉
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
adversary,n. 对手；敌手
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
kidnap,vt. 绑架；诱拐；拐骗
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
resent,vt. 怨恨；愤恨；厌恶
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
estate,n. 房地产；财产；身份
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
brewery,n. 啤酒厂
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
construction,n. 建设；建筑物；解释；造句
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
bravery,n. 勇敢；勇气
confuse,vt. 使混乱；使困惑
unfortunate,adj. 不幸的；令人遗憾的；不成功的
sympathy,n. 同情；慰问；赞同
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
deficient,adj. 不足的；有缺陷的；不充分的
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
economy,n. 经济；节约；理财
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
premier,"n. 总理，首相
adj. 第一的；最初的"
pregnant,adj. 怀孕的；富有意义的
activity,n. 活动；行动；活跃
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
basis,n. 基础；底部；主要成分；基本原则或原理
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
valid,adj. 有效的；有根据的；合法的；正当的
foggy,adj. 有雾的；模糊的，朦胧的
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
addition,n. 添加； 加法；增加物
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
grateful,adj. 感谢的；令人愉快的，宜人的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
disclose,vt. 公开；揭露
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
satire,n. 讽刺；讽刺文学，讽刺作品
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
community,n. 社区； 群落；共同体；团体
hence,adv. 因此；今后
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
massage,"vt. 按摩；揉
n. 按摩；揉"
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
alter,"vt. 改变，更改
vi. 改变；修改"
enthusiasm,n. 热心，热忱，热情
gloom,n. 昏暗；阴暗
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
spine,n. 脊柱，脊椎；刺；书脊
optimism,n. 乐观；乐观主义
meantime,"n. 其时，其间
adv. 同时；其间"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
rid,vt. 使摆脱；使去掉
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
balcony,n. 阳台；包厢；戏院楼厅
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
violent,adj. 暴力的；猛烈的
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
congratulate,vt. 祝贺；恭喜；庆贺
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
sickness,n. 疾病；呕吐；弊病
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
circumstance,n. 环境，情况；事件；境遇
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
edition,"n. 版本
版次
集"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
achievement,n. 成就；完成；达到；成绩
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
grocery,"n. 食品杂货店
食品杂货"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
division,n.  除法；部门；分配；分割；师（军队）；赛区
affection,n. 喜爱，感情；影响；感染
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
modify,"vt. 修改，修饰；更改
vi. 修改"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
generate,vt. 使形成；发生；生殖；产生物理反应
involve,vt. 包含；牵涉；使陷于；潜心于
payroll,n. 工资单；在册职工人数；工资名单
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
considerable,adj. 相当大的；重要的，值得考虑的
foundation,n. 基础；地基；基金会；根据；创立
herb,n. 香草，药草
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
