colourful,adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
stair,n. 楼梯，阶梯；梯级
money,n. 钱；货币；财富
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
stranger,n. 陌生人；外地人；局外人
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
hour,n. 小时；钟头；课时；…点钟
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
direction,n. 方向；指导；趋势；用法说明
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
lost,"adj. 失去的；丧失的；迷惑的
v. 遗失（lose的过去分词）；失败"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
Excuse me.,找不到解释
hospital,n. 医院
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
train station,"n. 火车站
 最近的车站；火车站图片；距离火车站"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
restaurant,n. 餐馆； 饭店
police station,"n. 警察局；派出所
 警局；公安局；警察分局"
short cut,"n. 捷径；近路；（做某事的）快捷办法
 快捷方式；金黄色的回忆；缩短球路"
were,v. 是，在（are的过去式）
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
out of ...,找不到解释
took,v. 拿；取；接受（take的过去式）
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
take the first right,找不到解释
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
suddenly,adv. 突然地；忽然
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
on time,"na. 按时；及时
 准时；正点；准时地"
did,v. 做（do的过去式）
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
does,v. 做；工作；有用（do的第三人称单数形式）
how long,"conj. 多长时间
 多久；多长时间了；问时间"
