spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
chord,n. 弦；和弦；香水的基调
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
spontaneous,adj. 自发的；自然的；无意识的
spouse,"n. 配偶
vt. 和…结婚"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
receipt,"n. 收到；收据；收入
vt. 收到"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
poverty,n. 贫困；困难；缺少；低劣
scandal,n. 丑闻；流言蜚语；诽谤；公愤
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
repression,n. 抑制， 压抑；镇压
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
cognitive,adj. 认知的，认识的
notion,n. 概念；见解；打算
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
shipment,n. 装货；装载的货物
comparable,adj. 可比较的；比得上的
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
interaction,"n. 相互作用； 交互作用
n. 互动"
faculty,n. 科，系；能力；全体教员
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
biography,n. 传记；档案；个人简介
mourn,v. 哀悼；忧伤；服丧
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
insect,n. 昆虫；卑鄙的人
proficiency,n. 精通，熟练
sentiment,n. 感情，情绪；情操；观点；多愁善感
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
literacy,n. 读写能力；精通文学
rectify,vt. 改正；精馏；整流
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
destiny,n. 命运，定数，天命
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
gigantic,adj. 巨大的，庞大的
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
orientation,n. 方向；定向；适应；情况介绍；向东方
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
cancer, 巨蟹座
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
imaginative,adj. 富于想象的；有创造力的
establish,"vi. 植物定植
vt. 建立；创办；安置"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
enthusiastic,adj. 热情的；热心的；狂热的
priority,n. 优先；优先权； 优先次序；优先考虑的事
nutrition,n. 营养，营养学；营养品
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
deviate,"vi. 脱离；越轨
vt. 使偏离"
pamphlet,n. 小册子
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
rivalry,n. 竞争；对抗；竞赛
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
nourish,vt. 滋养；怀有；使健壮
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
accumulate,"vt. 积攒
vi. 累积；积聚"
armor,"n.  装甲；盔甲
vt. 为…装甲"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
enlighten,vt. 启发，启蒙；教导，开导；照耀
idiom,n. 成语，习语；土话
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
booth,n. 货摊；公用电话亭
appendix,n. 附录；阑尾；附加物
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
complaint,n. 抱怨；诉苦；疾病；委屈
stability,n. 稳定性；坚定，恒心
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
propaganda,n. 宣传；传道总会
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
innumerable,adj. 无数的，数不清的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
psychiatrist,n. 精神病学家，精神病医生
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
reaction,n. 反应，感应；反动，复古；反作用
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
hurricane,n. 飓风，暴风
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
circus,n. 马戏；马戏团
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
staircase,n. 楼梯
embody,vt. 体现，使具体化；具体表达
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
detach,vt. 分离；派遣；使超然
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
hierarchy,n. 层级；等级制度
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
essence,n. 本质，实质；精华；香精
ego,n. 自我；自负；自我意识
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
pumpkin,n. 南瓜
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
morality,n. 道德；品行，美德
pastry,n. 油酥点心；面粉糕饼
endow,vt. 赋予；捐赠；天生具有
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
idiot,n. 笨蛋，傻瓜；白痴
acceptance,n. 接纳；赞同；容忍
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
furniture,n. 家具；设备；储藏物
grim,adj. 冷酷的；糟糕的；残忍的
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
standpoint,n. 立场；观点
expose,vt. 揭露，揭发；使曝光；显示
prone,adj. 俯卧的；有…倾向的，易于…的
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
inclusive,adj. 包括的，包含的
statement,n. 声明；陈述，叙述；报表，清单
conversion,n. 转换；变换； 兑换；改变信仰
statesman,n. 政治家；国务活动家
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
appease,vt. 使平息；使满足；使和缓；对…让步
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
status,n. 地位；状态；情形；重要身份
abnormal,adj. 反常的，不规则的；变态的
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
contribution,n. 贡献；捐献；投稿
option,n.  选项；选择权；买卖的特权
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
independence,n. 独立性，自立性；自主
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
lieutenant,n. 中尉；副官；助理人员
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
prospective,"n. 预期；展望
adj. 未来的；预期的"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
endurance,n. 忍耐力；忍耐；持久；耐久
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
preclude,vt. 排除；妨碍；阻止
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
sticky,adj. 粘的；粘性的
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
patron,n. 赞助人；保护人；主顾
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
dividend,n. 红利；股息； 被除数；奖金
emigrate,"vi. 移居；移居外国
vt. 移民"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
community,n. 社区； 群落；共同体；团体
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
competitive,adj. 竞争的；比赛的；求胜心切的
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
corpse,n. 尸体
fiction,n. 小说；虚构，编造；谎言
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
compete,vi. 竞争；比赛；对抗
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
drawback,n. 缺点，不利条件；退税
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
conservation,n. 保存，保持；保护
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
efficient,adj. 有效率的；有能力的；生效的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
segment,"n. 段；部分
vt. 分割
vi. 分割"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
entrepreneur,n. 企业家；承包人；主办者
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
concise,adj. 简明的，简洁的
strategy,n. 战略，策略
financial,adj. 金融的；财政的，财务的
denounce,vt. 谴责；告发；公然抨击；通告废除
Catholic,找不到解释
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
property,n. 性质，性能；财产；所有权
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
alleviate,vt. 减轻，缓和
physiological,adj. 生理学的，生理的
facet,"n. 面；方面；小平面
vt. 在…上琢面"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
apparatus,n. 装置，设备；仪器；器官
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
psychological,adj. 心理的；心理学的；精神上的
deduce,vt. 推论，推断；演绎出
critic,n. 批评家，评论家；爱挑剔的人
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
avoid,vt. 避免；避开，躲避；消除
disposition,n. 处置； 性情； 部署；倾向
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
deadline,n. 截止期限，最后期限
condemn,vt. 谴责；判刑，定罪；声讨
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
string,n. 线，弦，细绳；一串，一行
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
clan,n. 宗族；部落；集团
expedition,n. 远征；探险队；迅速
polish,找不到解释
locality,n. 所在；位置；地点
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
discreet,adj. 谨慎的；小心的
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
legal,adj. 法律的；合法的；法定的；依照法律的
counterpart,n. 副本；配对物；极相似的人或物
ascertain,vt. 确定；查明；探知
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
invaluable,adj. 无价的；非常贵重的
audience,n. 观众；听众；读者；接见；正式会见；拜会
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
chronic,adj. 慢性的；长期的；习惯性的
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
strive,vi. 努力；奋斗；抗争
profound,adj. 深厚的；意义深远的；渊博的
cathedral,n. 大教堂
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
authoritative,adj. 有权威的；命令式的；当局的
likelihood,n. 可能性，可能
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
practicable,adj. 可用的；行得通的；可实行的
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
stubborn,adj. 顽固的；顽强的；难处理的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
axis,n. 轴；轴线；轴心国
lane,n. 小巷； 航线；车道；罚球区
mercury,n. 水星
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
analyze,vt. 对…进行分析，分解（等于analyse）
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
feasible,adj. 可行的；可能的；可实行的
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
solicitor,n. 律师；法务官；募捐者；掮客
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
commentary,n. 评论；注释；评注；说明
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
subjective,adj. 主观的；个人的；自觉的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
elite,n. 精英；精华；中坚分子
intricate,adj. 复杂的；错综的，缠结的
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
liability,n. 责任；债务；倾向；可能性；不利因素
bureaucracy,n. 官僚主义；官僚机构；官僚政治
poetry,n. 诗；诗意，诗情；诗歌艺术
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
reassure,vt. 使…安心，使消除疑虑
abundance,n. 充裕，丰富
prosperous,adj. 繁荣的；兴旺的
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
differentiate,"vt. 区分，区别
vi. 区分，区别"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
junk,n. 垃圾，废物；舢板
consecutive,adj. 连贯的；连续不断的
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
