resemble,vt. 类似，像
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
co-operation,n. 合作
co-ordinate,"n. 坐标
v. 使……协调
adj.  同等的；并列的"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
fragile,adj. 脆的；易碎的
retain,vt. 保持；雇；记住
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
delivery,n.  交付；分娩；递送
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
induce,vt. 诱导；引起；引诱；感应
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
accumulate,"vt. 积攒
vi. 累积；积聚"
addictive,adj. 使人上瘾的
adversity,n. 逆境；不幸；灾难；灾祸
aggression,n. 侵略；进攻；侵犯；侵害
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
allergic,adj. 对…过敏的；对…极讨厌的
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
application,n. 应用；申请；应用程序；敷用
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
association,n. 协会，联盟，社团；联合；联想
attitude,n. 态度；看法；意见；姿势
authority,n. 权威；权力；当局
be consistent with,"v. 与…一致
 符合；与----相符；和…一致"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
blight,"n. 枯萎病；荒芜
vi. 枯萎
vt. 破坏；使…枯萎"
boundary,n. 边界；范围；分界线
bungle,"n. 粗劣；失败；笨拙
vi. 把工作搞糟
vt. 笨手笨脚地做；把…搞糟"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
calamity,n. 灾难；不幸事件
capacity,n. 能力；容量；资格，地位；生产力
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
cater,vt. 投合，迎合；满足需要；提供饮食及服务
certify,v. 证明；保证
civic,adj. 市的；公民的，市民的
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commitment,n. 承诺，保证；委托；承担义务；献身
communal,adj. 公共的；公社的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
conceal,vt. 隐藏；隐瞒
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concur,vi. 同意；一致；互助
confer,"vt. 授予；给予
vi. 协商"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confuse,vt. 使混乱；使困惑
conservative,找不到解释
considerable,adj. 相当大的；重要的，值得考虑的
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
controversial,adj. 有争议的；有争论的
correlation,n.  相关，关联；相互关系
courtship,n. 求爱；求婚；求爱期
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
credibility,n. 可信性；确实性
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
criticism,n. 批评；考证；苛求
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
deadline,n. 截止期限，最后期限
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
democratic,adj. 民主的；民主政治的；大众的
demographic,adj. 人口统计学的；人口学的
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
detain,vt. 拘留；留住；耽搁
devastate,vt. 毁灭；毁坏
disclose,vt. 公开；揭露
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
distract,vt. 转移；分心
distribute,vt. 分配；散布；分开；把…分类
documentation,"n. 文件, 证明文件, 史实, 文件编制"
domain,n. 领域；域名；产业；地产
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
drought,n. 干旱；缺乏
durable,"n. 耐用品
adj. 耐用的，持久的"
eco-friendly,adj. 对生态环境友好的，不妨害生态环境的；不损坏生态环境的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elderly,adj. 上了年纪的；过了中年的；稍老的
eliminate,vt. 消除；排除
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
encyclopaedia,n. 百科全书
entrepreneur,n. 企业家；承包人；主办者
equator,n. 赤道
erratically,adv. 不定地；不规律地
established,adj. 确定的；已制定的，已建立的
estate,n. 房地产；财产；身份
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
eventually,adv. 最后，终于
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
explicit,adj. 明确的；清楚的；直率的；详述的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
famine,n. 饥荒；饥饿，奇缺
finite,"n. 有限之物
adj. 有限的；限定的"
fitness,n. 健康；适当；适合性
foe,n. 敌人；反对者；危害物
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
gene,n.  基因，遗传因子
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
graphic,adj. 形象的；图表的；绘画似的
habitat,n.  栖息地，产地
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
hardship,n. 困苦；苦难；艰难险阻
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
hypothesis,n. 假设
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
in accordance with,"na. 照；与…一致
 按照；根据；依照"
inaccurate,adj. 错误的
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
inappropriate,adj. 不适当的；不相称的
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
infest,vt. 骚扰；寄生于；大批出没；大批滋生
installment,n. 安装；分期付款；部分；就职
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intense,adj. 强烈的；紧张的；非常的；热情的
interaction,"n. 相互作用； 交互作用
n. 互动"
interference,n. 干扰，冲突；干涉
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
introverted,"adj. 内向的
v. 使...内向（introvert的过去分词形式）；使内翻"
involve,vt. 包含；牵涉；使陷于；潜心于
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
likelihood,n. 可能性，可能
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
linguistic,adj. 语言的；语言学的
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
look-in,n. 迅速一瞥；顺道看望；成功的机会
lopsided,adj. 不平衡的，倾向一方的
mainly,adv. 主要地，大体上
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
mammal,n.  哺乳动物
manage to do, 设法做某事；设法做成某事；设法做成了某事
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
mercury,n. 水星
meteorological,adj. 气象的；气象学的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
moisture,n. 水分；湿度；潮湿；降雨量
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
motif,n. 主题；动机；主旨；图形；意念
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
nocturnal,adj. 夜的；夜曲的；夜间发生的
norm,n. 标准，规范
notoriety,n. 恶名；声名狼藉；丑名
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
obligation,n. 义务；职责；债务
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obtain,"vi. 获得；流行
vt. 获得"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
odour,n. 气味；声誉
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
organ,n.  器官；机构；风琴；管风琴；嗓音
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
pessimistic,adj. 悲观的，厌世的；悲观主义的
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
plagiarise,vt. 剽窃，抄袭
plenty of,"na. 很多的
 许多；大量的；充足的"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
poverty,n. 贫困；困难；缺少；低劣
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
prohibit,vt. 阻止，禁止
prolong,vt. 延长；拖延
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
recreation,n. 娱乐；消遣；休养
reduction,n. 减少；下降；缩小；还原反应
refer to,"v. 查阅；提到
 参考；涉及；谈到"
rehearsal,n. 排演；预演；练习；训练；叙述
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
reluctant,adj. 不情愿的；勉强的；顽抗的
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
responsible,adj. 负责的，可靠的；有责任的
revision,n.  修正；复习；修订本
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
scenic,"n. 风景胜地；风景照片
adj. 风景优美的；舞台的；戏剧的"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
skepticism,n. 怀疑论；怀疑的态度
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
solely,adv. 单独地，唯一地
solicitor,n. 律师；法务官；募捐者；掮客
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
succumb,vi. 屈服；死；被压垮
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
substance,n. 物质；实质；资产；主旨
sufficiency,n. 足量，充足；自满
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
suppress,vt. 抑制；镇压；废止
supremacy,n. 霸权；至高无上；主权；最高地位
suspicious,adj. 可疑的；怀疑的；多疑的
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
symptom,n.  症状；征兆
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
transcend,vt. 胜过，超越
transit,"n. 运输；经过
vt. 运送
vi. 经过"
tremendous,adj. 极大的，巨大的；惊人的；极好的
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
tropical,adj. 热带的；热情的；酷热的
unbiased,adj. 公正的；无偏见的
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
violent,adj. 暴力的；猛烈的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
visual,adj. 视觉的，视力的；栩栩如生的
well-being,n. 幸福；康乐
