guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
treatment,n. 治疗，疗法；处理；对待
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
healthcare,n. 医疗保健；健康护理，健康服务；卫生保健
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
convenience,n. 便利；厕所；便利的事物
resident,"n. 居民；住院医生
adj. 居住的；定居的"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
emergency room,"n. （医院）急诊室
 急救室；急症室；急诊抢救室"
insurance,n. 保险；保险费；保险契约；赔偿金
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
 远离；与……保持距离；离…远点"
urgent,adj. 紧急的；急迫的
define,vt. 定义；使明确；规定
triple figures,找不到解释
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
dwell,vi. 居住；存在于；细想某事
maintain,vt. 维持；继续；维修；主张；供养
emotional,adj. 情绪的；易激动的；感动人的
aspect,n. 方面；方向；形势；外貌
surgery,n. 外科；外科手术；手术室；诊疗室
reduction,n. 减少；下降；缩小；还原反应
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
pint,n. 品脱；一品脱的量；一品脱牛奶或啤酒
socially,adv. 在社会上；在社交方面；善于交际地
recovery,n. 恢复，复原；痊愈；重获
incredibly,adv. 难以置信地；非常地
likewise,adv. 同样地；也
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
by definition,"adj. 根据定义
 按照定义；定义上；定义上的"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
opportunity,n. 时机，机会
cultivate,vt. 培养；陶冶；耕作
sustained,"v. 维持（sustain的过去式和过去分词）；承受
adj. 持续的；持久的；持久不变的"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
establish,"vi. 植物定植
vt. 建立；创办；安置"
retain,vt. 保持；雇；记住
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
relationship,n. 关系；关联
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
tempting,"v. 引诱（tempt的ing形式）
adj. 吸引人的；诱惑人的"
opportunity,n. 时机，机会
painful,adj. 痛苦的；疼痛的；令人不快的
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
execute,vt. 实行；执行；处死
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
strategy,n. 战略，策略
timeline,n. 时间轴，时间线；大事年表
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
category,n. 种类，分类； 范畴
a multitude of,"na. 许多
 大量；众多的；大批的"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
option,n.  选项；选择权；买卖的特权
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
solution,n. 解决方案；溶液；溶解；解答
commit to doing sth.,找不到解释
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
enhance,vt. 提高；加强；增加
misconception,n. 误解；错觉；错误想法
rise above,"na. 凌驾…之上；超越…；摆脱
 克服；不受……的影响；超然"
define,vt. 定义；使明确；规定
establish,"vi. 植物定植
vt. 建立；创办；安置"
supremacy,n. 霸权；至高无上；主权；最高地位
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
elite,n. 精英；精华；中坚分子
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
dynastic,adj. 王朝的；朝代的
recognise,vt. 认出；承认，认可；识别
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
personality,n. 个性；品格；名人
strike a truth,找不到解释
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
bulletproof,adj. 防弹的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
turn the tide,"un. 扭转形势
 运转潮汐；改变形势；力挽狂澜"
perspective,"n. 观点；远景；透视图
adj. 透视的"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
seen in that light,找不到解释
inevitably,adv. 不可避免地；必然地
distinct,adj. 明显的；独特的；清楚的；有区别的
in form,"na. 形式上
 在形式上；正佳；情况良好"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
destiny,n. 命运，定数，天命
longevity,n. 长寿，长命；寿命
fertility rate,"un. 生育率；受胎率；出生率；受精率
 人口出生率；生育率下降；平均受精率"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
shrinking,"v. 萎缩（shrink的ing形式）；收缩；退缩
adj. 畏缩的；犹豫不决的"
financial,adj. 金融的；财政的，财务的
consequently,adv. 因此；结果；所以
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
outperform,vt. 胜过；做得比……好
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
resource,n. 资源，财力；办法；智谋
contraction,n. 收缩，紧缩；缩写式；害病
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
immigration,n. 外来移民；移居
halve,vt. 二等分；把……减半
be just the ticket, 正是所需的；正合适
cliché,找不到解释
refute,vt. 反驳，驳斥；驳倒
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
stimulus,n. 刺激；激励；刺激物
congressman,n. 国会议员；众议院议员
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
occupation,n. 职业；占有；消遣；占有期
facility,n. 设施；设备；容易；灵巧
vulnerability,n. 易损性；弱点
victim,n. 受害人；牺牲品；牺牲者
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
democrat,n. 民主党人；民主主义者；民主政体论者
imbalance,n. 不平衡；不安定
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
considerably,adv. 相当地；非常地
prosperous,adj. 繁荣的；兴旺的
recession,n. 衰退；不景气；后退；凹处
thoroughly,adv. 彻底地，完全地
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
 搞糟；陷入困境；把…弄糟"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
critic,n. 批评家，评论家；爱挑剔的人
humane,adj. 仁慈的，人道的；高尚的
campus,n. （大学）校园；大学，大学生活；校园内的草地
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
digital,"n. 数字；键
adj. 数字的；手指的"
flexible,adj. 灵活的；柔韧的；易弯曲的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
concept,n. 观念，概念
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
electronic,"adj. 电子的
n. 电子电路；电子器件"
definition,n. 定义； 清晰度；解说
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
primarily,adv. 首先；主要地，根本上
make room for,"na. 让地位给…
 给……腾出地方；腾出空间；给……腾地方"
in place of,"na. 代替
 取代；替代；取代，交换"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
pole,找不到解释
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
inspiration,n. 灵感；鼓舞；吸气；妙计
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
perspective,"n. 观点；远景；透视图
adj. 透视的"
mourn,v. 哀悼；忧伤；服丧
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
strike a balance,"na. 结账；衡量得失
 冲帐；取得平衡；冲账"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
hedge one's bets, 为防止损失两面下注；两头都下注；留一条退路
available,adj. 可获得的；可购得的；可找到的；有空的
architect,"n. 建筑师
缔造者"
inevitable,adj. 必然的，不可避免的
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
resource,n. 资源，财力；办法；智谋
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
considerable,adj. 相当大的；重要的，值得考虑的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
inevitably,adv. 不可避免地；必然地
elite,n. 精英；精华；中坚分子
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
foundation,n. 基础；地基；基金会；根据；创立
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
generate,vt. 使形成；发生；生殖；产生物理反应
humanity,n. 人类；人道；仁慈；人文学科
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
underfund,vt. 对…提供资金不足
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
faculty,n. 科，系；能力；全体教员
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
undoubtedly,adv. 确实地，毋庸置疑的
absence,n. 没有；缺乏；缺席；不注意
scientific,adj. 科学的，系统的
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
equally,adv. 同样地；相等地，平等地；公平地
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
complicated,adj. 难懂的，复杂的
define,vt. 定义；使明确；规定
achievement,n. 成就；完成；达到；成绩
remarkable,adj. 卓越的；非凡的；值得注意的
organized,"adj. 有组织的；安排有秩序的；做事有条理的
v. 组织（organize的过去分词）"
vital,adj. 至关重要的；生死攸关的；有活力的
deduce,vt. 推论，推断；演绎出
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
achievement,n. 成就；完成；达到；成绩
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
volunteering,"n. 志愿活动
v. 志愿（volunteer的ing形式）"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
formalize,"vt. 使形式化；使正式；拘泥礼仪
vi. 拘泥于形式"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
qualification,n. 资格；条件；限制；赋予资格
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
applicant,n. 申请人，申请者；请求者
employability, 可雇性; 可用性; 适于雇用; 受雇就业能力
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
sign up,"na. 同“sign”
 注册；报名；签约"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
crucially,adv. 关键地；至关重要地
exceptional,"n. 超常的学生
adj. 异常的，例外的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
workshop,n. 车间；研讨会；工场；讲习班
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
accomplishment,n. 成就；完成；技艺，技能
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
legislation,n. 立法；法律
certification,n. 证明，保证；检定
curriculum,"n. 课程
总课程"
curricula,n. 课程（curriculum的复数形式）
involve,vt. 包含；牵涉；使陷于；潜心于
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
verify,vt. 核实；查证
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
alleviation,n. 缓和；镇痛物
motivation,n. 动机；积极性；推动
efficient,adj. 有效率的；有能力的；生效的
cite,vt. 引用；传讯；想起；表彰
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
