relationship,n. 关系；关联
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
highly,adv. 高度地；非常；非常赞许地
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
economy,n. 经济；节约；理财
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
investment,n. 投资；投入；封锁
resource,n. 资源，财力；办法；智谋
variety,n. 多样；种类；杂耍；变化，多样化
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
performance,n. 性能；绩效；表演；执行；表现
therefore,adv. 因此；所以
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
indicate,vt. 表明；指出；预示；象征
crucial,adj. 重要的；决定性的；定局的；决断的
solution,n. 解决方案；溶液；溶解；解答
scientific,adj. 科学的，系统的
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
phenomenon,n. 现象；奇迹；杰出的人才
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
eventually,adv. 最后，终于
ensure,vt. 保证，确保；使安全
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
workforce,n. 劳动力；工人总数，职工总数
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
responsibility,n. 责任，职责；义务
device,n. 装置；策略；图案
assignment,n. 分配；任务；作业；功课
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
majority,n. 多数；成年
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
partly,adv. 部分地；在一定程度上
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
online,"adj. 联机的；在线的
adv. 在线地"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
enrich,vt. 使充实；使肥沃；使富足
agency,n. 代理，中介；代理处，经销处
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
global,adj. 全球的；总体的；球形的
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
cultural,adj. 文化的；教养的
improvement,n. 改进，改善；提高
additional,adj. 附加的，额外的
digital,"n. 数字；键
adj. 数字的；手指的"
source,n. 来源；水源；原始资料
award,"n. 奖品；判决
vt. 授予；判定"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
priority,n. 优先；优先权； 优先次序；优先考虑的事
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
enable,vt. 使能够，使成为可能；授予权利或方法
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
remarkable,adj. 卓越的；非凡的；值得注意的
expectation,n. 期待；预期；指望
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
typical,adj. 典型的；特有的；象征性的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
occur,vi. 发生；出现；存在
option,n.  选项；选择权；买卖的特权
cope,"n. 长袍
vi. 处理；对付；竞争"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
necessarily,adv. 必要地；必定地，必然地
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
prosperity,n. 繁荣，成功
circumstance,n. 环境，情况；事件；境遇
attribute,"n. 属性；特质
vt. 归属；把…归于"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
possibility,n. 可能性；可能发生的事物
insurance,n. 保险；保险费；保险契约；赔偿金
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
establish,"vi. 植物定植
vt. 建立；创办；安置"
platform,n. 平台；月台，站台；坛；讲台
treatment,n. 治疗，疗法；处理；对待
council,n. 委员会；会议；理事会；地方议会；顾问班子
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
obtain,"vi. 获得；流行
vt. 获得"
exception,n. 例外；异议
popularity,n. 普及，流行；名气；受大众欢迎
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
costly,adj. 昂贵的；代价高的
competitive,adj. 竞争的；比赛的；求胜心切的
mechanic,"n. 技工，机修工
adj. 手工的"
revolution,n. 革命；旋转；运行；循环
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
largely,adv. 主要地；大部分；大量地
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
response,n. 响应；反应；回答
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
rely,vi. 依靠；信赖
technical,adj. 工艺的，科技的；技术上的；专门的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
economist,n. 经济学者；节俭的人
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
string,n. 线，弦，细绳；一串，一行
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
behavior,n. 行为，举止；态度；反应
behaviour,n. 行为；习性；运行状况（=behavior）
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
vital,adj. 至关重要的；生死攸关的；有活力的
attitude,n. 态度；看法；意见；姿势
primarily,adv. 首先；主要地，根本上
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
beneficial,adj. 有益的，有利的；可享利益的
cultivate,vt. 培养；陶冶；耕作
capacity,n. 能力；容量；资格，地位；生产力
extent,n. 程度；范围；长度
critic,n. 批评家，评论家；爱挑剔的人
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
personality,n. 个性；品格；名人
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
citizen,n. 公民；市民；老百姓
strategy,n. 战略，策略
strategic,adj. 战略上的，战略的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
talent,n. 才能；天才；天资
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
revenue,n. 税收，国家的收入；收益
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
consumption,n. 消费；消耗；肺痨
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
immediate,adj. 立即的；直接的；最接近的
insist,"vi. 坚持，强调
vt. 坚持，强调"
participation,n. 参与；分享；参股
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
reputation,n. 名声，名誉；声望
prosperous,adj. 繁荣的；兴旺的
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
rarely,adv. 很少地；难得；罕有地
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
historical,adj. 历史的；史学的；基于史实的
reservation,n. 预约，预订；保留
employer,n. 雇主，老板
concept,n. 观念，概念
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
energetic,adj. 精力充沛的；积极的；有力的
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
derive,"vt. 源于；得自；获得
vi. 起源"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
creation,n. 创造，创作；创作物，产物
creative,adj. 创造性的
intention,n. 意图；目的；意向；愈合
confident,adj. 自信的；确信的
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
dozen,"n. 十二个，一打
adj. 一打的"
survival,n. 幸存，残存；幸存者，残存物
generate,vt. 使形成；发生；生殖；产生物理反应
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
scene,n. 场面；情景；景象；事件
justice,n. 司法，法律制裁；正义；法官，审判员
exert,vt. 运用，发挥；施以影响
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
perspective,"n. 观点；远景；透视图
adj. 透视的"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
compete,vi. 竞争；比赛；对抗
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
entire,adj. 全部的，整个的；全体的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
campus,n. （大学）校园；大学，大学生活；校园内的草地
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
transportation,n. 运输；运输系统；运输工具；流放
recession,n. 衰退；不景气；后退；凹处
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
transaction,n. 交易；事务；办理；会报，学报
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
requirement,n. 要求；必要条件；必需品
committee,n. 委员会
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
optimistic,adj. 乐观的；乐观主义的
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
poverty,n. 贫困；困难；缺少；低劣
literature,n. 文学；文献；文艺；著作
definitely,adv. 清楚地，当然；明确地，肯定地
emotional,adj. 情绪的；易激动的；感动人的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
income,n. 收入，收益；所得
presence,n. 存在；出席；参加；风度；仪态
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
efficient,adj. 有效率的；有能力的；生效的
facility,n. 设施；设备；容易；灵巧
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
similarly,adv. 同样地；类似于
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
virtually,adv. 事实上，几乎；实质上
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
location,n. 位置（形容词locational）；地点；外景拍摄场地
criticism,n. 批评；考证；苛求
specifically,adv. 特别地；明确地
optional,"adj. 可选择的，随意的
n. 选修科目"
contribution,n. 贡献；捐献；投稿
discourage,vt. 阻止；使气馁
appliance,n. 器具；器械；装置
exposure,n. 暴露；曝光；揭露；陈列
procedure,n. 程序，手续；步骤
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
moreover,adv. 而且；此外
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
distribute,vt. 分配；散布；分开；把…分类
execute,vt. 实行；执行；处死
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
interpretation,n. 解释；翻译；演出
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
fund,"n. 基金；资金；存款
vt. 投资；资助"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
division,n.  除法；部门；分配；分割；师（军队）；赛区
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
arise,vi. 出现；上升；起立
technology,n. 技术；工艺；术语
eager,adj. 渴望的；热切的；热心的
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
depict,vt. 描述；描画
remind,vt. 提醒；使想起
violence,n. 暴力；侵犯；激烈；歪曲
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
route,"n. 路线；航线；通道
vt. 按某路线发送"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
precious,adj. 宝贵的；珍贵的；矫揉造作的
regulate,vt. 调节，规定；控制；校准；有系统的管理
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
spouse,"n. 配偶
vt. 和…结婚"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
aspect,n. 方面；方向；形势；外貌
legal,adj. 法律的；合法的；法定的；依照法律的
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
massive,adj. 大量的；巨大的，厚重的；魁伟的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interpret,"vi. 解释；翻译
vt. 说明；口译"
observation,n. 观察；监视；观察报告
motivate,vt. 刺激；使有动机；激发…的积极性
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
extension,n. 延长；延期；扩大；伸展；电话分机
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
analysis,n. 分析；分解；验定
