accuse of,"un. 控告
 指责；指控；因某事控告某人"
adjust to,"v. 适应
 调整；调节；调整以适应"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
agree on,"na. 对…意见一致
 同意；对……取得一致意见；商定"
agree to,"na. 承认(提议；条件)
 同意；同意某事；赞成"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
aim at,"v. 目的在于
 瞄准；针对；旨在"
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
argue for,"na. 为…作争辩
 赞成；支持；主张"
arm with,"v. 以…武装着
 用…武装；向…提供"
arrive in,"v. 到达；达到
 抵达；可以说到达；到达大地点"
associate with,"v. 与…联系
 结交；联合；交往"
attach importance to,"na. 重视；把重点放在
 十分重视；认为重要；着重于"
importance,n. 价值；重要；重大；傲慢
attach to,"v. 连接在…上；归于
 附属于；贴上；附上"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attempt to,"un. 企图
 试图；尝试；尝试做"
attribute to,"na. 认为(成功)是(努力)的结果
 归因于；把…归因于；归咎于"
attribute,"n. 属性；特质
vt. 归属；把…归于"
avail oneself of,"na. 利用时机
 趁；乘势；使自己充分利用"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
agreement on,"un. 的协议
 一致意见；对…一致"
agreement,n. 协议；同意，一致
alien to,"adj. 与…相反
 与……相反；不相容的；不同"
alien from,"adj. 与…不同
 相异的；与…大相径庭；与什么不同的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
all in all,"na. 全部；完全；第一
 总的说来；总而言之；总的来说"
all the same,"na. 依然；“all/just the same”的变体
 仍然；还是；尽管如此"
a majority of, 大部分；大多数；大多数的
a matter of,"na. 大约；…左右；…的问题
 几的事；是个…问题，事关；关于……的问题"
analogous to,"un. 类似于
 与……类似；类推为；与……相似"
analogous,adj. 类似的； 同功的；可比拟的
and so forth,"na. 等等；云云；“and so on/forth”的变体
 如此等等；诸如此类；诸如此类，如此等等"
and so on,"na. “And so forth”的变体
 等等；诸如此类；如此等等"
and yet,"na. 但
 然而；可是；但是"
a part of,"un. 一部分
 一部份；的一部分；一小部分"
a period of, 阵子
a piece of cake,"na. 轻而易举的事
 一块蛋糕；小菜一碟；小事一桩"
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
as often as,"adv. 每次；每当
 和…一样经常；和什么什么一样频繁；时常"
as often as not,"na. “more often than not”的变体；往往
 常常；屡次；多半"
as opposed to,"adv. 相反于
 和…相反；而不是；与…相对"
a sort of,"na. 一种；可以说是…的东西
 某种；可以说是...的东西；某种的"
a spell of,找不到解释
as regards,"na. 至于；提到
 关于；至于……关于；就…来说"
as far as ... be concerned,找不到解释
so far as ... be concerned,找不到解释
as long as,"conj. 只要
 长达；如果；既然"
so long as,"na. 只要；“as/so long as”的变体
 如果；表示只要；只要…就"
as yet,"na. 至今还
 到目前为止；迄今；到那时为止"
at a glance,"na. 一看就；初看
 一瞥；一眼；一眼就"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
at all events,"na. 无论怎样；总之
 无论如何；不管怎样；不管怎样，无论如何"
at all times,"na. 不论什么时候；老是；时时
 总是；随时；一直"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
 不知所措；困惑；茫然"
at an end,"adv. 完毕；结束
 终结；结束了；在尽头"
at any price,"na. 不惜任何代价
 无论如何；不惜一切；无论花多少代价"
at any rate,"na. 无论如何；至少；总而言之
 不管怎样；反正；总之"
at a profit,"na. 赚钱
 获利；出售某物而获利；赢利"
at a stretch,"na. 一口气
 不休息地；一口气地；连续不断地"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
at fault,"adv. 困惑；不知所措
 有错；有毛病；有责任"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
at first glance,"adv. 初看起来
 乍一看；乍看之下；乍看起来"
at its best, 处在最好状态；处于全盛时期；在最佳的状况下
at least,"na. 至少
 最低限度；起码；最少"
at leisure,"na. 在闲暇中；从容不迫地；失业
 有空；有空，闲暇时；从容地"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
a train of,"un. 瞄准；(一)串；连续不绝；一列
 一系列；一连串的；一系列的"
at random,"na. 碰运气地；无目标地
 随便地；随机地；随意地"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
at sb.'s disposal,找不到解释
disposal,n. 处理；支配；清理；安排
at sea,"na. 在海上；不知所措
 海上巡航；海上巡游；茫然"
at short notice,"na. 在短时间内；临时；一收到通知就…
 只给很少时间准备；提前很短时间通知；一得到通知"
at best,"na. 充其量也不过
 至多；最多；最好也只是"
at the best,"na. 充其量也不过
 至多；最多"
at the bottom,"na. 实际上；本质上
 在底端；在底部；下面"
at the cost of,"na. 以…为牺牲
 以…为代价；以…代价；以之为代价"
at the end of the day, 在一天的末了; 最终，到头来; 归根结底
at the expense of,"na. 以…为代价；由…出钱；牺牲…
 以…为牺牲；在损害…情况下；在损害……的情况下"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
at the height of, 在……顶点；在的高峰；在…最鼎盛时期
height,n. 高地；高度；身高；顶点
at the instant of,找不到解释
at the latest,"na. “at latest”的变体
 最迟；至迟；最晚"
at the longest,"na. 至多
 最久；之多；最长"
at the mercy of,"na. 完全受…支配
 在…支配下；完全受...支配；任由…摆布"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
at the moment,"na. “for the moment”的变体
 此刻；现在；目前"
at the outset,"na. 在开头时
 在开始时；从一开始；开始的时候"
at the outside,"na. 至多
 充其量；最多；最大限度"
at the rate of,"na. 按…的比例；以…的速度
 以……速度或比率；以…的速率；按…之速度"
at the risk of,"na. 冒着…的危险
 冒险；冒……的风险；冒着…风险"
at the top, 在顶端；在顶部；在顶部这个范围之内
at the very least,"na. 一点
 至少；起码；最低限度"
at worst,"adv. 无论怎样坏
 在最坏的情况下；最差的；就最不利的一方面看"
at the worst,"un. 无论怎样坏；在最坏的情况下
 在最坏情况下；最糟；坏达"
at will,"na. 任意；随意
 随心所欲；任意地；随意地"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
a flash in the pan,"na. 昙花一现(的人或物)
 昙花一现的人；虎头蛇尾；只是昙花一现"
agreed account,找不到解释
akin to,"adj. 与…类似
 相似的；有亲密关系的；类似于"
appropriate to,"adj. 适合
 恰当的；适合的；适于"
a stab in the back,"na. 伤人的暗箭
 诽谤；背后一刀；例四背后的一刀"
at a moment's notice,"na. 一经通知；随时；马上
 即刻；立即；提前很短时间通知"
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
blame on, 把责任推给；责怪；归罪于
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
be applicable to,"v. 适用于；能应用
 应用于；适应于；适当的"
applicable,adj. 可适用的；可应用的；合适的
be biased against,"na. 对…抱有偏见
 对……有偏见"
biased,adj. 有偏见的；结果偏倚的，有偏的
be busy with,"v. 忙于
 忙于某事；忙于做某事；忙于干某事"
because of,"na. 因
 因为；由于；由于，因为"
be cautious about,找不到解释
cautious,adj. 谨慎的；十分小心的
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
be confronted with,"na. 碰到(困难)
 面临；面对；面临着"
confront,vt. 面对；遭遇；比较
be conscious of,"na. 意识到
 察觉；知道；觉察"
conscious,adj. 意识到的；故意的；神志清醒的
be considered as,"v. 被认为是
 被看作；被看做；被认为是一个独立的学科"
be dependent on,"na. 依靠
 依赖；依赖于；取决于"
be deprived of,"na. 失却
 被剥夺；剥夺某人的；丧失"
deprive,vt. 使丧失，剥夺
be dominant over,找不到解释
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
be eager to,"v. 渴望
 热切想做；渴望要做；渴望做"
beef up, <口>加强，补充（人数、兵力）等; 使更大（更好、更有意思等）
be entitled to, 有权；有资格；有权做
entitle,vt. 称做…；定名为…；给…称号；使…有权利
be exposed to, 暴露于；面临；暴露在
be generous to,找不到解释
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
be likely to, 可能；很可能；很有可能
be obliged to,"na. 感谢；不得已而…
 不得不；被迫做；有义务"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
 沉迷于；痴迷于；对…着迷"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
be puzzled by,找不到解释
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
be regarded as, 被认为是；被当做是；视为
be resistant to, 抵抗的；抗拒；有抵抗力的
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
be second to, 次于；仅次于；次於
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
be susceptible to,"na. 对…敏感
 易受影响的；容易受到；易患"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
be unlikely to, 不可能；不太可能
be unprepared for,找不到解释
be vulnerable to, 易于患上；易受；对…无能为力
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
be worth doing,值得做……
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
by all means,"na. 必定；千方百计；不惜一切；好的
 务必；一定；无论如何"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
in contrast,"adv. 相反
 相比之下；对比；成对比"
by means of,"na. 以
 用；依靠；借助于"
by nature,"na. 生就；从本性上说
 生来；天生的；生性"
by way of,"na. 当做；作出…的样子；经由；以便
 通过…方式；取道；经过"
back up,"na. 支持；堵塞；抢救后方；把(文件等备份)
 倒退；后退；援助"
bear in mind,"na. 记住；铭记不忘；注意
 牢记在心；记在心里；考虑到"
keep in mind,"na. 记在心里；记住；注意
 牢记；紧记；牢记在心"
bear out,"na. 证明
 证实；支持；证实是正确的"
begin with,"na. 从…开始
 以…开始；开始于；以…为起点"
benefit by,"v. 得益于
 受益；从……得到好处；从…中获得好处"
bet on, 打赌；为某事打赌；就…打赌
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
bid for,"na. 投标求包(工程)；出价竞买(某物)；争取得到(拥护等)
 申办；许诺获支持；为……而竞标或争夺"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
boast of,"na. 夸耀
 自夸；吹嘘；吹牛"
boast about,"na. 夸耀
 自夸；吹嘘；吹牛"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
bring into effect,"na. 使生效；使起作用；实行
 实现；实施；贯彻"
carry into effect,"na. 使生效；使起作用；实行
 实现；施行；实施"
put into effect,"na. 实行
 生效；实施；使生效"
bring forth,"na. 提出；生
 产生；使产生；发表"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
bring together,"na. 集合
 使团结；使…团结起来；撮合"
build on,"na. 依赖；把…建筑于
 以……为基础；建立于；把…建立于"
build upon,"na. “build on”的变体；同“build on ”
 建立于；以……为基础；建立在…基础之上"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
burn out,"na. 烧起来；烧光；烧尽；烧断
 烧掉；烧坏；熄灭"
burn up,"na. 烧完；旺起来；使恼怒；发怒
 烧起来；烧尽；烧光"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
burst out,"na. 冒出；现出；突然发作；突然发生
 突然……起来；迸发；爆发"
burst upon,"na. 突然出现；袭击
 突然来到；突然来到突然出现袭击"
burst on,"na. 突然出现；袭击
 突然来到；发音播放；爆发出"
buy into,"na. (出钱)做股东
 买进；买入股票；相信"
buy off,"na. (用贿赂)收买；用钱疏通；同“buy”
 买通；收买拉拢；行贿"
buy out,"na. 出钱使某人出让地位；买下…的全部产权
 收购全部；买进全部产权或股权；买断"
buy up,"na. 囤积；整批收购；购进(其他公司)
 尽可能买进；全部买进；全部买下"
back and forth,"na. 来回地
 反复地；往返；前后"
bad debt,"n. 坏账；呆账；倒账
 坏帐；呆帐；不良贷款"
badly off,"adj. 穷困的；拮据的；境况不佳的
 贫苦；贫困；穷的"
be able to,"v. 能够
 会；有能力做某事；强调有能力"
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
be aware of,"na. 知道
 意识到；觉察；了解"
be beneficial to,"v. 有益于
 对…有益；有利于；对…有利"
beneficial,adj. 有益的，有利的；可享利益的
be bothered with,找不到解释
be bound to,"v. 一定要；决心
 必定；注定；一定会"
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
 与...有密切联系；与…有密切关系；相关"
be central to, 对…极为重要的；是…的核心；对…来说是重要的
be characterized by,"na. 有…的(显著)特点
 以…为特征；的特点在于；典型代表了"
be crucial to, 对……至关重要；决定性的；重要的
crucial,adj. 重要的；决定性的；定局的；决断的
be different from,"na. 和…不同
 和……不同；不同于；与……不同"
be disappointed at, 对…失望；对……感到失望；后应接指东西的词
be distracted by, 被…分心；对······心烦意乱
be enrolled in, 入学；进入
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
be equal to,"na. 等于；胜任；赶得上；忍耐得住
 与……相等；相当；能胜任"
be equipped for, 准备好；为…做好准备；为…装备
equip,vt. 装备，配备
be equivalent to,"na. 等于；相当于
 等价于；等效；与…相当"
be essential to,"v. 对…必不可少
 对…不可缺少；必不可少的；非常重要的"
be faced with,"v. 面临
 面对；面临着；遇到"
be familiar with,"na. 精通；同…相好
 熟悉；对…熟悉；对…而熟悉"
be familiar to,"v. 熟悉
 为…所熟悉；对……熟悉；为…熟悉"
be fascinated with,找不到解释
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
be forced to,"v. 被迫
 被迫做某事；不得不；迫不得已"
behind someone's back, 在某人背后；背着某人；背著某人
behind the scenes,"na. 知道内幕；秘密地
 幕后花絮；在幕后；在后台"
scene,n. 场面；情景；景象；事件
be ignorant of,"na. 不了解
 不知道；对…不知道；对…无知"
ignorant,adj. 无知的；愚昧的
be independent of,"na. 独立于…之外的；与…无关的
 与……无关；脱离……而独立；独立于……之外"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
be indicative of, 表明；暗示；表示
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
be irrelevant to, 不切题；与…不相干；与…不相关
seem irrelevant to,找不到解释
irrelevant,adj. 不相干的；不切题的
be jealous of,"v. 妒忌
 嫉妒；妒嫉；忌妒"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
be liable for, 对…应负责任的；对…负责；有责任
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be made of,"na. …制的
 由……制成；用…制成；材料制成"
be marked by, 特点是；以…为特点；以…为明显特征
be of ... importance,找不到解释
be open to,"na. 易受；易接受；对…开着门
 对……开放；易于接受；向---开放"
be opposed to,"v. 反对；与…相对
 她不反对必要的改变；强烈地反对；反对老师的观点"
be popular with,"na. 受…欢迎
 受…的欢迎；受…欢迎的；受到……的欢迎"
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
be relevant to,"v. 有关
 与…有关；和……相关；与……相关"
be sensitive to,"na. 对…敏感
 对…敏感的；对……感到敏感；易感受"
be soft on,"爱上
钟情于
对......温柔"
be stuck in, 陷入；陷进；陷于
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
be the talk of,找不到解释
be to blame,"na. 该负责
 该受责备；应该负责；应受责备"
be tolerant of,"na. 对…能容忍
 对…容忍；对……的容忍；对……宽容"
tolerant,adj. 宽容的；容忍的；有耐药力的
be typical of,"v. 代表；象征
 是…的特点；典型的；有代表性的"
be unaware of, 不知道；没有意识到；没意识到
be unfamiliar with, 不熟悉；对…不了解或不熟悉
be up to sb.,找不到解释
be urged to,找不到解释
be worthwhile to,找不到解释
be worthy of, 值得；配得上；对得起
beyond dispute,"na. 无争论余地；的确；无疑
 无可争议；不容争议的；不容争议的，无可争议"
beyond one's ability,找不到解释
body of, 胆囊体
bottom line,"n. 底线；底价；要旨；基本论点
 最低限度；绝对底线；账本底线"
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
but then,"na. 但是；但是另一方面
 不过；但另一方面；然而"
by analogy,"na. 照此类推
 用类推的方法；用类比的方法；用类推法"
by and large,"na. 总的说来
 大体上；总的来说；基本上"
by common consent,"na. “with one consent”的变体
 经一致同意；公认；大家都同意"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
 用手工；手动；手工的"
by heart, 牢记；凭记忆；熟记
by mistake,"na. 因错误
 错误地；错误的；错拿某物"
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
by reason of,"na. 凭…的理由
 由于；因为；原因"
by rights,"na. 按理说
 正当地；照理说；按道理"
by the end of,"prep. 在…尽头
 到……为止；到……末为止；到……底为止"
bargain for, 为购买（某物）讨价还价; 料到，考虑到（某情况）; 预料
bargain on, 依靠; 信赖; 料到; 考虑到（某情况）
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
bear a similarity to,找不到解释
beat about the bush,"na. 旁敲侧击；拨打草丛搜索猎物；旁敲侧击的刺探人意
 拐弯抹角；绕圈子；转弯抹角"
beat around the bush,"na. 转弯抹角
 绕圈子；拐弯抹角；旁敲侧击"
beat sb. to the punch, 先发制人；捷足先登；抢得先机
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
bed down,"v. 使…安睡；下陷；卧睡
 铺床睡；安排过夜；准备住处"
bite one's nails, （紧张时习惯性地）咬指甲，焦躁不安
blow up,"v. 炸掉；爆炸；充气；放大
 炸毁；发脾气；爆发"
bombard with,以…轰击；以(问题、要求、指责等)质问(或困扰)
bombard,"n. 射石炮
vt. 轰炸；炮击"
boot up,"un. 启动；自举；引导；使系统开始工作
 开机；开机后；起动"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
build in,"na. 加入；埋入；围以(房屋,围墙等)
 固定；插入；内建"
build into,"v. 建入
 使固定于；使成为…的一部分；使成为组成部分"
bundle up,"na. 同“bundle”
 捆扎；赢得比赛；把…捆扎起来"
be appropriate for,"na. 适于
 适合；适合于；适用于"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
be charged with,"装满, 承担, 被控告
 负...责任, 受...指控"
be correlated with,"v. 与…相关连
 和……有关系；相关词组；与---有关"
be diligent in,找不到解释
diligent,adj. 勤勉的；用功的，费尽心血的
be indispensable to, 对…必不可少；至关重要的；对……必不可少的
be indispensable for,找不到解释
be injurious to,找不到解释
injurious,adj. 有害的；诽谤的
be on the wrong planet,找不到解释
beside the point,"na. 达到目的；说服别人
 离题；不切正题；无关紧要"
between jobs, 失业；待业中；工作之间
be validated by,找不到解释
validate,vt. 证实，验证；确认；使生效
beyond one's comprehension, 不可理解
comprehension,n. 理解；包含
beyond the capability of,找不到解释
beyond the dreams of,找不到解释
book value,"na. 账面价值；买卖净值；股本净值；单股价值
 帐面价值；帐面值；账面值"
by a large margin,找不到解释
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
by courtesy of,"na. 由于…好意
 由于…的作用；蒙…的好意，蒙…提供；由于..好意"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
by the book,"na. “by book”的变体
 照章办事；按常规；按规则"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
cast doubt on,"un. 令人对…置信不疑；令人不疑
 质疑；使人对…产生怀疑；对……产生怀疑"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
check on,"na. 检查
 请检查；查对；核实"
cling to,"v. 依附；坚持
 墨守；紧紧抓住；附着"
cling,vi. 坚持，墨守；紧贴；附着
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
comply with,"v. 遵守
 遵从；依从；服从"
comply,vi. 遵守；顺从，遵从；答应
conform to,"na. 遵照；顺应；遵守
 符合；遵从；适合，符合"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
cope with,"v. 对付；应付
 处理；应对；解决"
cannot but, 不得不；禁不住；不能不
concern for,"un. 关心
 担心；关注某人或物；后面一般加人"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
call off,"na. 命令停止；丢手；取消(婚约)；点(名)
 放弃；叫走，叫开；转移开"
call up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
cast about for,"na. 寻觅；搜集；物色；想(方法等)
 搜索；寻找"
cast around for,"cast around (for)
＝ cast about (for)
以上来源于：《21世纪大英汉词典》"
cast aside,"na. 抛弃
 废除；消除；唾弃"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
check up on,"na. “check on”的变体
 检查；核对；校对"
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
 向…欢呼；为…加油；鼓励"
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
clean out,"na. 扫除干净；(把钱)花完
 清除；打扫干净；清扫"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
