opera,n. 歌剧；歌剧院；歌剧团
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
flexible,adj. 灵活的；柔韧的；易弯曲的
end up doing,"结果是(做)..., 以(做)...而告终, 结果变成..., 最后发展为..."
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
attempt to,"un. 企图
 试图；尝试；尝试做"
at the heart of ...,找不到解释
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
be based on ...,找不到解释
dinosaur,n. 恐龙；过时、落伍的人或事物
exist,vi. 存在；生存；生活；继续存在
data,n. 数据（datum的复数）；资料
ignore,vt. 驳回诉讼；忽视；不理睬
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
simplified,"adj. 简化了的
vt. 简化（simplify的过去式）；精简"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
memorise,vt. （英）记忆；存储（等于memorize）
strategy,n. 战略，策略
effectively,adv. 有效地，生效地；有力地；实际上
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
novel,"adj. 新奇的；异常的
n. 小说"
sufficient,adj. 足够的；充分的
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
normally,adv. 正常地；通常地，一般地
context,n. 环境；上下文；来龙去脉
chunk,n. 大块；矮胖的人或物
acquire,vt. 获得；取得；学到；捕获
be honoured to do sth.,找不到解释
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
soccer,n. 英式足球，足球
subway,"n. 地铁；地道
vi. 乘地铁"
in one way or another,"na. 以某种方式；想方设法；无论如何；(好歹)设法
 用这样或那样的方式；以这样或那样的方式；以一种或另一种方式"
worldwide,"adj. 全世界的
adv. 在世界各地"
arrangement,n. 布置；整理；准备
childhood,n. 童年时期；幼年时代
emotional,adj. 情绪的；易激动的；感动人的
excitement,n. 兴奋；刺激；令人兴奋的事物
as a result,"adv. 结果
 因此；结果是；作为结果"
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
digit,n. 数字；手指或足趾；一指宽
pi,abbr. 产品改进（Product Improve）
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
timely,"adj. 及时的；适时的
adv. 及时地；早"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
periodically,adv. 定期地；周期性地；偶尔；间歇
take it easy,"na. “take things easy”的变体
 别紧张；别着急；放轻松"
memorisation,n. 背诵；熟记
technique,n. 技巧，技术；手法
reflection,n. 反射；沉思；映象
reflective,adj. 反射的；反映的；沉思的
journal,n. 日报，杂志；日记；分类账
moreover,adv. 而且；此外
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
seafood,n. 海鲜；海味；海产食品
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
fiction,n. 小说；虚构，编造；谎言
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
expose,vt. 揭露，揭发；使曝光；显示
outcome,n. 结果，结局；成果
