alter,"vt. 改变，更改
vi. 改变；修改"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
resemble,vt. 类似，像
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
make a living, 谋生；度日；维持生计
retain,vt. 保持；雇；记住
youthful,adj. 年轻的；早期的
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
youngster,n. 年轻人；少年
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
hiding,n. 隐匿；躲藏处；殴打
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
hostess,n. 女主人，女老板；女服务员；舞女；女房东
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
disaster,n. 灾难，灾祸；不幸
detective,"n. 侦探
adj. 侦探的"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
criticism,n. 批评；考证；苛求
obviously,"adv. 明显地
显然地"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
frankly,adv. 真诚地，坦白地
investment,n. 投资；投入；封锁
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
liar,n. 说谎的人
remarkable,adj. 卓越的；非凡的；值得注意的
amaze,vt. 使吃惊
amuse,vt. 娱乐；消遣；使发笑；使愉快
elderly,adj. 上了年纪的；过了中年的；稍老的
nursing,"n. 护理；看护；养育
v. 看护；养育（nurse的ing形式）"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
unkind,adj. 无情的；不仁慈的，不厚道的
assert,vt. 维护，坚持；断言；主张；声称
mistress,n. 情妇；女主人；主妇；女教师；女能人
messenger,n. 报信者，送信者；先驱
assure,vt. 保证；担保；使确信；弄清楚
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
achievement,n. 成就；完成；达到；成绩
constantly,adv. 不断地；时常地
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
reputation,n. 名声，名誉；声望
honesty,n. 诚实，正直
exam,n. 考试；测验
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
departure,n. 离开；出发；违背
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
administration,n. 管理；行政；实施；行政机构
congress,n. 国会；代表大会；会议；社交
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
convince,vt. 说服；使确信，使信服
regularly,adv. 定期地；有规律地；整齐地；匀称地
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
complicated,adj. 难懂的，复杂的
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
deceive,v. 欺骗；行骗
jewelry,n. 珠宝；珠宝类
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
timely,"adj. 及时的；适时的
adv. 及时地；早"
enterprise,n. 企业；事业；进取心；事业心
apparently,adv. 显然地；似乎，表面上
discourage,vt. 阻止；使气馁
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
honeymoon,"n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期
vi. 度蜜月"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
ask ... out on a date,找不到解释
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
poster,n. 海报，广告；招贴
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
instruct,vt. 指导；通知；命令；教授
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
behavior,n. 行为，举止；态度；反应
childish,adj. 幼稚的，孩子气的
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
bodyguard,n. 保镖
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
cooperation,n. 合作，协作； 协力
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
via,prep. 渠道，通过；经由
Southeast Asia,"n. 东南亚
 东南亚地区；东南亚国；东南亚平台"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
secretly,adv. 秘密地；背地里
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
opposition,n. 反对；反对派；在野党；敌对
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
existing,"adj. 目前的；现存的
v. 存在（exist的现在分词）"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
occasionally,adv. 偶尔；间或
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
slipper,"n. 拖鞋
vt. 用拖鞋打"
affection,n. 喜爱，感情；影响；感染
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
meanwhile,"adv. 同时，其间
n. 其间，其时"
enthusiastic,adj. 热情的；热心的；狂热的
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
mayor,n. 市长
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
railroad crossing,"n. （公路与铁路交汇的）道口
 平交道；铁路交叉口；铁路公路交叉道口"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
briefly,adv. 短暂地；简略地；暂时地
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
in an attempt to do, 竭尽全力做某事；尝试做某事；企图做
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
tractor,n. 拖拉机；牵引机
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
sword,n. 刀，剑；武力，战争
puppy,n. 小狗，幼犬
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
meadow,n. 草地；牧场
kneel,vi. 跪下，跪
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
inn,"n. 客栈；旅馆
vi. 住旅馆"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
recommendation,n. 推荐；建议；推荐信
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
correctly,adv. 正确地；得体地
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
uncomfortable,adj. 不舒服的；不安的
pursuit,n. 追赶，追求；职业，工作
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
cheerleader,n. 拉拉队队员
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
sidewalk,n. 人行道
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
translation,n. 翻译；译文；转化；调任
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
bitterly,adv. 苦涩地，悲痛地；残酷地；怨恨地
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
scarcely,adv. 几乎不，简直不；简直没有
spoonful,n. 一匙；一匙的量
ginger,"n. 姜；姜黄色；精力；有姜味
vt. 用姜给…调味；使某人有活力
adj. 姜黄色的"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
a spoonful of ...,找不到解释
athletic,adj. 运动的，运动员的；体格健壮的
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
awfully,adv. 可怕地；十分；非常；很
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
competitor,n. 竞争者，对手
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
accomplish,vt. 完成；实现；达到
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
council,n. 委员会；会议；理事会；地方议会；顾问班子
acquire,vt. 获得；取得；学到；捕获
regarding,prep. 关于，至于
physician,n.  医师；内科医师
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
increasingly,adv. 越来越多地；渐增地
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
analyze,vt. 对…进行分析，分解（等于analyse）
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
electrical,adj. 有关电的；电气科学的
invention,n. 发明；发明物；虚构；发明才能
await,vt. 等候，等待；期待
attraction,n. 吸引，吸引力；引力；吸引人的事物
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
poisonous,adj. 有毒的；恶毒的；讨厌的
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
manual,"adj. 手工的；体力的
n. 手册，指南"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
maintenance,n. 维护，维修；保持；生活费用
illustration,n. 说明；插图；例证；图解
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
poverty,n. 贫困；困难；缺少；低劣
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
compete,vi. 竞争；比赛；对抗
determination,n. 决心；果断；测定
the Olympics, 奥运会；奥林匹克运动会；奥运风采
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
task,"n. 工作，作业；任务
vt. 分派任务"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
construct,"n. 构想，概念
vt. 建造，构造；创立"
scenery,n. 风景；景色；舞台布景
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
destination,n. 目的地，终点
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
bonus,n. 奖金；红利；额外津贴
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
quantity,n. 量，数量；大量；总量
distribute,vt. 分配；散布；分开；把…分类
large quantities of ...,找不到解释
emphasize,vt. 强调，着重
profitable,adj. 有利可图的；赚钱的；有益的
enable,vt. 使能够，使成为可能；授予权利或方法
enclose,vt. 围绕；装入；放入封套
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
shortage,n. 缺乏，缺少；不足
actively,adv. 积极地；活跃地
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
proudly,adv. 傲慢地，自负地；得意洋洋地
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
expose,vt. 揭露，揭发；使曝光；显示
stormy,adj. 暴风雨的；猛烈的；暴躁的
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
parliament,n. 议会，国会
legislation,n. 立法；法律
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
imitate,vt. 模仿，仿效；仿造，仿制
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
indicate,vt. 表明；指出；预示；象征
efficient,adj. 有效率的；有能力的；生效的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
treatment,n. 治疗，疗法；处理；对待
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
injure,vt. 伤害，损害
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
wildlife,"n. 野生动植物
adj. 野生动植物的"
settlement,n. 解决，处理； 结算；沉降；殖民
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
negotiation,n. 谈判；转让；顺利的通过
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
nowadays,"adv. 现今；时下
n. 当今"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
be afraid to do,"na. 怕
 害怕做某事；不敢；胆怯去做某事"
investigate,v. 调查；研究
explosion,n. 爆炸；爆发；激增
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
absolutely,adv. 绝对地；完全地
personally,adv. 亲自地；当面；个别地；就自己而言
involve,vt. 包含；牵涉；使陷于；潜心于
scandal,n. 丑闻；流言蜚语；诽谤；公愤
kidnap,vt. 绑架；诱拐；拐骗
willingly,adv. 欣然地；愿意地，乐意地
run away from,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
 逃避；逃离；回避"
sensation,n. 感觉；轰动；感动
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
tomb,"n. 坟墓；死亡
vt. 埋葬"
skillful,adj. 熟练的；巧妙的
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
luckily,adv. 幸好，侥幸；幸运地
obtain,"vi. 获得；流行
vt. 获得"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
scholarship,n. 奖学金；学识，学问
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
confident,adj. 自信的；确信的
eventually,adv. 最后，终于
overcome,"vt. 克服；胜过
vi. 克服；得胜"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
preparation,n. 预备；准备
advertisement,n. 广告，宣传
association,n. 协会，联盟，社团；联合；联想
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
historical,adj. 历史的；史学的；基于史实的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
construction,n. 建设；建筑物；解释；造句
amusement,n. 消遣，娱乐；乐趣
prolong,vt. 延长；拖延
occupation,n. 职业；占有；消遣；占有期
region,n. 地区；范围；部位
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
developing,"n.  显影
v. 发展（develop的ing形式）
adj. 发展中的"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
such as ...,找不到解释
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
artistic,adj. 艺术的；风雅的；有美感的
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
passing,"n. 经过；及格；流逝；去世
v. 通过；及格；许可；传送（pass的ing形式）
adj. 经过的；目前的；及格的；短暂的
adv. 非常"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
athlete,n. 运动员，体育家；身强力壮的人
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
temptation,n. 引诱；诱惑物
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
worrying,"v. 担心（worry的ing形式）
adj. 令人担心的；烦恼的"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
at some future date,找不到解释
restrain,vt. 抑制，控制；约束；制止
hockey,n. 曲棍球；冰球
investigation,n. 调查；调查研究
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
editor,n. 编者，编辑；社论撰写人；编辑装置
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
emphasis,n. 重点；强调；加强语气
reception,n. 接待；接收；招待会；感受；反应
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
tribe,n. 部落；族；宗族；一伙
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
interpreter,n. 解释者；口译者；注释器
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
definition,n. 定义； 清晰度；解说
relatively,adv. 相当地；相对地，比较地
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
ache,"n. 疼痛
vi. 疼痛；渴望"
source,n. 来源；水源；原始资料
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
definitely,adv. 清楚地，当然；明确地，肯定地
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
decade,n. 十年，十年期；十
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
judgement,n. 意见；判断力； 审判；评价
