beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
mascot,n. 吉祥物；福神（等于mascotte）
necklace,n. 项链
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
Puma Ranch,找不到解释
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
soft toy,"n. （动物造型的）软体玩具
 软的玩具；布类玩具；车缝及充棉玩具"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
athlete,n. 运动员，体育家；身强力壮的人
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
cyclist,n. 骑自行车的人
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
kilometre,n.  公里； 千米
opera house,"n. 歌剧院
 悉尼歌剧院；雪梨歌剧院；国家歌剧院"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
Yours,找不到解释
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
email,"n. 电子信函
vt. 给…发电子邮件"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
gone,"v. 去（go的过去分词）
adj. 离去的；死去的；用光的"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
postcard,n. 明信片
sticker,"n. 尖刀；难题；张贴物；坚持不懈的人
vt. 给…贴上标签价
adj. 汽车价目标签的；汽车标签价的"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
thief,n. 小偷，贼
also,"conj. 并且；另外
adv. 也；而且；同样"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
chewing gum,"n. 口香糖
 香口胶；嚼口香糖；橡皮糖"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
happen,vi. 发生；碰巧；偶然遇到
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
shall,aux. 应；会；将；必须
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
alright,"adj. 没问题的
adv. 好吧（等于all right）"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
DVD,找不到解释
fast asleep,"adj. 熟睡
 睡得很熟；酣睡；熟睡的"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
Hurry up!,找不到解释
just a minute,"na. “wait/just a minute”的变体
 等一下；等一会儿；等一等"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
path,n. 道路；小路；轨道
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
prince,n. 王子，国君；亲王；贵族
quickly,adv. 迅速地；很快地
right now,"na. 目前；方才
 现在；马上；立刻"
sleep,"n. 睡眠
vi. 睡，睡觉"
sometimes,adv. 有时，间或
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
across,"prep. 穿过；横穿
adv. 横过；在对面"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
appear,vi. 出现；显得；似乎；出庭；登场
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
flipper,"n. 鳍状肢；鳍；烤饼；胖听罐头
adj. 无礼的
vi. 靠鳍足（或鸭甲板）行动"
golden,adj. 金色的，黄金般的；珍贵的；金制的
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
lollipop,n. 棒棒糖
lolly,n. 棒棒糖；钱
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
Nintendo,n. 任天堂（日本电子游戏公司及其开发的电脑游戏名称）
no problem,"n. 没问题
 没有问题；没关系；不客气"
note pad,"n. 便条簿；记事本
 便条本；记事本软件；便签本"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
princess,n. 公主；王妃；女巨头
recorder,n. 录音机；记录器；记录员；八孔直笛
several,"adj. 几个的；各自的
pron. 几个；数个"
snorkel,"n. 通气管；潜艇换气装置
vi. 用水下通气管潜航"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
so that,"conj. 因此；以便
 为了；以致；以便于"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
such,adj. 这样的，如此的
suddenly,adv. 突然地；忽然
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
uh huh,"int. 嗯；啊
v. 求爱；求爱
 嗯哼；嗯嗯；恩哼"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
