hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
who,pron. 谁；什么人
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandpa,n. 爷爷；外公
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandma,n. 奶奶；外婆
cousin,n. 堂兄弟姊妹；表兄弟姊妹
aunt,n. 阿姨；姑妈；伯母；舅妈
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
yes,"n. 是（表示肯定）
adv. 是, 是的"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
cat,n. 猫，猫科动物
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
hen,n. 母鸡；女人；雌禽
schoolbag,n. 书包
pencil-box,n. 铅笔盒
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
ruler,n. 尺；统治者； 划线板，划线的人
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
leg,n. 腿；支柱
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
feet,n. 脚（foot的复数形式）；尺；韵脚
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
all right,"adj. 可接受（的）；满意（的）；安全健康（的）；平安无恙（的）
int. 是不是；（表示同意）好；没什么；（引起注意）哎
 好吧；好的；行"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
tiger,n. 老虎；凶暴的人
panda,n. 熊猫；猫熊
elephant,n. 象；大号图画纸
happy,adj. 幸福的；高兴的；巧妙的
birthday,n. 生日，诞辰；诞生的日子
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
notebook,n. 笔记本，笔记簿；手册
