foolish,adj. 愚蠢的；傻的
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
symbolic,adj. 象征的；符号的；使用符号的
prosperity,n. 繁荣，成功
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
vase,n. 瓶；花瓶
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
putonghua,n. 普通话
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
energetic,adj. 精力充沛的；积极的；有力的
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
manner,n. 方式；习惯；种类；规矩；风俗
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
typical,adj. 典型的；特有的；象征性的
recognise,vt. 认出；承认，认可；识别
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
carving,"n. 雕刻；雕刻品；雕刻术
v. 雕刻（carve的ing形式）"
hardworking,"adj. 努力工作的；不辞辛劳的，苦干的
v. 努力工作（hardwork的ing形式）"
eyesight,n. 视力；目力
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
award,"n. 奖品；判决
vt. 授予；判定"
council,n. 委员会；会议；理事会；地方议会；顾问班子
couple ... with,找不到解释
honour ... with,找不到解释
on display,"un. 公开展出
 展览；陈列；正在展览中"
rich in,"adj. 富于
 富有；富含；盛产"
fill ... with,"v. 充满
 使充满；装满；用……填充"
International Peace Prize,找不到解释
World Peace Council, 世界和平理事会；世界和平会议；世界和平委员会
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
attendance,n. 出席；到场；出席人数；考勤
literature,n. 文学；文献；文艺；著作
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
respectful,adj. 恭敬的；有礼貌的
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
literary,adj. 文学的；书面的；精通文学的
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
audience,n. 观众；听众；读者；接见；正式会见；拜会
dozen,"n. 十二个，一打
adj. 一打的"
grateful,adj. 感谢的；令人愉快的，宜人的
occupy,vt. 占据，占领；居住；使忙碌
studio,n. 工作室； 演播室；画室；电影制片厂
ultimately,adv. 最后；根本；基本上
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
grateful for, 感激；因……感谢；都表示感谢
be grateful for,"v. 感激
 对…心存感激；感谢；对……感激"
Swedish Academy,瑞典学院 （学院名）
Nobel Prize for Literature,找不到解释
William Shakespeare, 莎士比亚；威廉·莎士比亚；大文豪莎士比亚
Hamlet,找不到解释
Carnegie Hall,"na. 卡内基音乐堂
 卡内基音乐厅；纽约卡内基音乐厅；卡耐基音乐厅"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
beverage,n. 饮料
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
fat-free,adj. 不含脂肪的
soda,n. 苏打；碳酸水
source,n. 来源；水源；原始资料
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
calorie,n. 卡路里（热量单位）
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
basis,n. 基础；底部；主要成分；基本原则或原理
fitness,n. 健康；适当；适合性
app,找不到解释
download,vt.  下载
smartphone,n. 智能手机
device,n. 装置；策略；图案
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
infection,n. 感染；传染；影响；传染病
moody,adj. 喜怒无常的；易怒的；郁郁寡欢的
irritable,adj. 过敏的；急躁的；易怒的
motivate,vt. 刺激；使有动机；激发…的积极性
on a regular basis, 定期地；经常；经常地
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
 与…保持联系；跟踪；保持对……的联系"
sign up,"na. 同“sign”
 注册；报名；签约"
fight off, 在战斗中击败（某人）; 竭力摆脱; 辟
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
beneficial,adj. 有益的，有利的；可享利益的
workout,n. 锻炼；练习；试验
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
sanitiser,vt.  = sanitize
alcohol,n. 酒精，乙醇
option,n.  选项；选择权；买卖的特权
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
toothbrush,n. 牙刷
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
manual,"adj. 手工的；体力的
n. 手册，指南"
confirm,vt. 确认；确定；证实；批准；使巩固
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
plaque,n. 匾；血小板；饰板
symptom,n.  症状；征兆
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
DDS," 数据词典系统, 数据电话数字业务, 数字数据服务, 数字数据系统
 氨苯砜"
Doctor of Dental Surgery, 口腔外科医生；牙医博士；牙外科博士
clinic,n. 临床；诊所
oral,"n. 口试
adj. 口头的，口述的"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
circulation,n. 流通，传播；循环；发行量
look into,"na. 窥视；调查；过问
 研究；检查；了解"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
blood pressure,"n. 血压
 量血压；血压检查；无创血压"
at least,"na. 至少
 最低限度；起码；最少"
University of Georgia,找不到解释
Cochrane,   科克伦住所名称，来源于威尔士语，含义是“红”(red);   科克伦
Ricardo Vidal Gonzalez,找不到解释
Mayo Clinic, 梅奥诊所；梅约医学中心；梅约诊所
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
polished,"v. 擦亮（polish的过去式和过去分词）
adj. 擦亮的；优美的；圆滑的"
puppy,n. 小狗，幼犬
movement,n. 运动；活动；运转；乐章
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
flexible,adj. 灵活的；柔韧的；易弯曲的
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
adult,"n. 成年人
adj. 成年的；成熟的"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
hesitation,n. 犹豫
enthusiastic,adj. 热情的；热心的；狂热的
response,n. 响应；反应；回答
evoke,vt. 引起，唤起；博得
emotional,adj. 情绪的；易激动的；感动人的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
enthusiasm,n. 热心，热忱，热情
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
mutual,adj. 共同的；相互的，彼此的
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
constantly,adv. 不断地；时常地
patience,n. 耐性，耐心；忍耐，容忍
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
terrier,n. 一种活泼的小狗；地籍册；国防自卫队
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
miserably,adv. 贫困地；可悲地；糟糕地；非常不幸地
eventually,adv. 最后，终于
interactive,adj. 交互式的；相互作用的
to start with,"na. 首先
 第一；作为开始；一开始"
shower ... with, 大量给予
die down,"na. 殉国
 平息；变弱；渐渐消失"
delight in,"un. 趣味盎然；津津乐道
 喜欢；以…为乐；乐于"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
surgeon,n. 外科医生
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
operation,n. 操作；经营； 手术； 运算
attractive,adj. 吸引人的；有魅力的；引人注目的
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
instruct,vt. 指导；通知；命令；教授
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
chest,n. 胸，胸部；衣柜；箱子；金库
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
technique,n. 技巧，技术；手法
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
network,n. 网络；广播网；网状物
currently,adv. 当前；一般地
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
millisecond,n. 毫秒
telesurgery, 远距外科
neurosurgeon,n. 神经外科医生
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
Parkinson's disease,"na. 震颤(性)麻痹症
 帕金森氏症；帕金森病；巴金森氏症"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
definition,n. 定义； 清晰度；解说
respondent,"n.  被告；应答者
adj. 回答的；应答的"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
element,n. 元素；要素；原理；成分；自然环境
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
fulfil,vt. 履行；完成；实践；满足
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
predictor,n.  预报器；预言者
outcome,n. 结果，结局；成果
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
psychologist,n. 心理学家，心理学者
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
salesperson,n. 售货员
grit,"n. 粗砂，砂砾砂砾，粗砂石；勇气；决心
vt. 研磨；在…上铺砂砾，覆以砂砾；咬紧牙关
vi. 摩擦作声"
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
stamina,n. 毅力；精力；活力；持久力
talented,adj. 有才能的；多才的
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
creative,adj. 创造性的
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
based,"v. 立基于，以…为基础（base的过去式和过去分词）
adj. 有根基的"
nationality,n. 国籍，国家；民族；部落
convey,vt. 传达；运输；让与
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
cannonball,n. 炮弹
forever,adv. 永远；不断地；常常
exist,vi. 存在；生存；生活；继续存在
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
Vincent van Gogh, 梵谷；梵高；凡高
Bob Dylan, 鲍勃迪伦；巴布狄伦；鲍伯狄伦
longevity,n. 长寿，长命；寿命
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
disability,n. 残疾；无能；无资格；不利条件
expectancy,n. 期望，期待
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
centenarian,"n. 百岁或逾百岁以上的人
adj. 百岁或逾百岁以上的"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
cardiovascular,adj.  心血管的
healthcare,n. 医疗保健；健康护理，健康服务；卫生保健
interpersonal,adj. 人际的；人与人之间的
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
tofu,n. 豆腐
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
bounty,"n. 慷慨；丰富；奖励金；赠款
vt. 发给…奖金等；为…而发给赏金
vi. 以赏金等形式发放"
in common,"un. 和…有相通之处；公有
 共同；共有的；共同的"
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
Hunza,找不到解释
Caucasus Mountains, 高加索山脉；高加索山区；大高加索山脉
Okinawa,找不到解释
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
intelligent,adj. 智能的；聪明的；理解力强的
gradually,adv. 逐步地；渐渐地
face-to-face,"adj. 面对面的；当面的
adv. 面对面地"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
automation,n. 自动化；自动操作
inequality,n. 不平等；不同；不平均
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
limit,"n. 限制；限度；界线
vt. 限制；限定"
statement,n. 声明；陈述，叙述；报表，清单
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
VR,找不到解释
virtual reality,"n. （计算机创造的）虚拟现实
 虚拟实境；虚拟现实技术；虚拟真实"
Thailand,n. 泰国（东南亚国家名）
South Korea,找不到解释
New York City, 纽约市；纽约城；美国纽约市
