dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
intention,n. 意图；目的；意向；愈合
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
expose,vt. 揭露，揭发；使曝光；显示
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
sufficient,adj. 足够的；充分的
adequate,adj. 充足的；适当的；胜任的
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
agency,n. 代理，中介；代理处，经销处
oppose,"vt. 反对；对抗，抗争
vi. 反对"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
passage,n. 一段（文章）；走廊；通路
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
optimistic,adj. 乐观的；乐观主义的
attitude,n. 态度；看法；意见；姿势
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
topic,n. 主题（等于theme）；题目；一般规则；总论
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
system,n. 制度，体制；系统；方法
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
product,n. 产品；结果； 乘积；作品
commerce,n. 贸易；商业；商务
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
business,n. 商业； 生意； 交易；事情
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
event,n. 事件，大事；项目；结果
matter,"n. 物质；事件
vi. 有关系；要紧"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
create,vt. 创造，创作；造成
generation,n. 一代；产生；一代人；生殖
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
available,adj. 可获得的；可购得的；可找到的；有空的
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
error,n. 误差；错误；过失
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
arise,vi. 出现；上升；起立
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
occur,vi. 发生；出现；存在
happen,vi. 发生；碰巧；偶然遇到
introduce,vt. 介绍；引进；提出；采用
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
congratulate,vt. 祝贺；恭喜；庆贺
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebrity,n. 名人；名声
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
invite,"n. 邀请
vt. 邀请，招待；招致"
consequence,n. 结果；重要性；推论
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
outcome,n. 结果，结局；成果
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
conscious,adj. 意识到的；故意的；神志清醒的
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
imply,vt. 意味；暗示；隐含
infer,"vi. 推断；作出推论
vt. 推断；推论"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
confer,"vt. 授予；给予
vi. 协商"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
furniture,n. 家具；设备；储藏物
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
different,adj. 不同的；个别的，与众不同的
difficult,adj. 困难的；不随和的；执拗的
similar,"n. 类似物
adj. 相似的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
manner,n. 方式；习惯；种类；规矩；风俗
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
prove,"vi. 证明是
vt. 证明；检验；显示"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
concept,n. 观念，概念
context,n. 环境；上下文；来龙去脉
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
speech,n. 演讲；讲话； 语音；演说
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
enable,vt. 使能够，使成为可能；授予权利或方法
able,adj. 能； 有能力的；能干的
disable,vt. 使失去能力；使残废；使无资格
capable,adj. 能干的，能胜任的；有才华的
encourage,vt. 鼓励，怂恿；激励；支持
courage,n. 勇气；胆量
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
cultivate,vt. 培养；陶冶；耕作
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
nutrition,n. 营养，营养学；营养品
enclose,vt. 围绕；装入；放入封套
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
imitate,vt. 模仿，仿效；仿造，仿制
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
ensure,vt. 保证，确保；使安全
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
assure,vt. 保证；担保；使确信；弄清楚
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
endanger,vt. 危及；使遭到危险
danger,n. 危险；危险物，威胁
threat,n. 威胁，恐吓；凶兆
entitle,vt. 称做…；定名为…；给…称号；使…有权利
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
emphasize,vt. 强调，着重
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
occupy,vt. 占据，占领；居住；使忙碌
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
enrich,vt. 使充实；使肥沃；使富足
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
wealth,n. 财富；大量；富有
health,n. 健康；卫生；保健；兴旺
enforce,vt. 实施，执行；强迫，强制
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
compete,vi. 竞争；比赛；对抗
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
award,"n. 奖品；判决
vt. 授予；判定"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
medal,n. 勋章，奖章；纪念章
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
entire,adj. 全部的，整个的；全体的
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
confirm,vt. 确认；确定；证实；批准；使巩固
enterprise,n. 企业；事业；进取心；事业心
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
cooperate,vi. 合作，配合；协力
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
surgery,n. 外科；外科手术；手术室；诊疗室
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comprehend,vt. 理解；包含；由…组成
include,vt. 包含，包括
eliminate,vt. 消除；排除
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
