abandon,"n. 放任；狂热
vt. 遗弃；放弃"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
distribute,vt. 分配；散布；分开；把…分类
distribution,n. 分布；分配
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
allotment,n. 分配；分配物；养家费；命运
quota,n. 配额；定额；限额
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
deduct,vt. 扣除，减去；演绎
subtract,vt. 减去；扣掉
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
dividend,n. 红利；股息； 被除数；奖金
division,n.  除法；部门；分配；分割；师（军队）；赛区
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
edit,"vt. 编辑；校订
n. 编辑工作"
compile,vt. 编译；编制；编辑； 汇编
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
rectify,vt. 改正；精馏；整流
modify,"vt. 修改，修饰；更改
vi. 修改"
modification,n. 修改，修正；改变
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revision,n.  修正；复习；修订本
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
adapt,"vi. 适应
vt. 使适应；改编"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
affection,n. 喜爱，感情；影响；感染
affectionate,"adj. 深情的；
adj. 充满爱的；"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
disgusting,"adj. 令人厌恶的
令人极不能接受的"
hatred,n. 憎恨；怨恨；敌意
resent,vt. 怨恨；愤恨；厌恶
resentment,n. 愤恨，怨恨
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
inner,"n. 内部
adj. 内部的；内心的；精神的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
electoral,adj. 选举的；选举人的
candidate,n. 候选人，候补者；应试者
density,n. 密度
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
famine,n. 饥荒；饥饿，奇缺
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
nil,n. 无，零
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presumably,adv. 大概；推测起来；可假定
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
hypothesis,n. 假设
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
considering,"conj. 考虑到
prep. 考虑到；就...而论
v. 考虑到（consider的ing形式）"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
confer,"vt. 授予；给予
vi. 协商"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consultancy,n. 咨询公司；顾问工作
consultant,n. 顾问；咨询者；会诊医生
consultation,n. 咨询；磋商； 会诊；讨论会
consultative,adj. 咨询的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
negotiation,n. 谈判；转让；顺利的通过
negotiable,adj. 可通过谈判解决的；可协商的
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
refine,vt. 精炼，提纯；改善；使…文雅
sieve,"vt. 筛；滤
n.  筛子；滤网；不能保守秘密的人
vi. 筛；滤"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
pact,n. 协定；公约；条约；契约
treaty,n. 条约，协议；谈判
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conception,n. 怀孕；概念；设想；开始
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
strategy,n. 战略，策略
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
configuration,n. 配置；结构；外形
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
origin,n. 起源；原点；出身；开端
originate,"vt. 引起；创作
vi. 发源；发生；起航"
source,n. 来源；水源；原始资料
derive,"vt. 源于；得自；获得
vi. 起源"
obese,adj. 肥胖的，过胖的
obesity,n. 肥大，肥胖
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
prone,adj. 俯卧的；有…倾向的，易于…的
tendency,n. 倾向，趋势；癖好
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extension,n. 延长；延期；扩大；伸展；电话分机
extensive,adj. 广泛的；大量的；广阔的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expanding,"v. 扩大，扩展（expand的现在分词形式）；使膨胀，详述
adj. 扩大的；扩展的"
expansion,n. 膨胀；阐述；扩张物
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
prolong,vt. 延长；拖延
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
entrust,vt. 委托，信托
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
propel,vt. 推进；驱使；激励；驱策
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
onward,"adj. 向前的；前进的
adv. 向前；在前面"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
abundance,n. 充裕，丰富
abundant,adj. 丰富的；充裕的；盛产
sufficient,adj. 足够的；充分的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
adequate,adj. 充足的；适当的；胜任的
ample,adj. 丰富的；足够的；宽敞的
spacious,adj. 宽敞的，广阔的；无边无际的
innumerable,adj. 无数的，数不清的
numerous,adj. 许多的，很多的
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
shortage,n. 缺乏，缺少；不足
deficient,adj. 不足的；有缺陷的；不充分的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcity,n. 不足；缺乏
scarcely,adv. 几乎不，简直不；简直没有
well-off,adj. 富裕的；顺利的，走运的；繁荣昌盛的
enrich,vt. 使充实；使肥沃；使富足
alter,"vt. 改变，更改
vi. 改变；修改"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
variation,n. 变化； 变异，变种
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversion,n. 转换；变换； 兑换；改变信仰
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
reformation,n. 革新；改善
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
discrepancy,n. 不符；矛盾；相差
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
consensus,n. 一致；舆论；合意
unanimous,adj. 全体一致的；意见一致的；无异议的
symphony,n. 交响乐；谐声，和声
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
diversion,n. 转移；消遣；分散注意力
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
brutal,adj. 残忍的；野蛮的，不讲理的
brutality,n. 无情；残忍；暴行（需用复数形式）
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
frantic,adj. 狂乱的，疯狂的
hysterical,adj. 歇斯底里的；异常兴奋的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
subsequent,adj. 后来的，随后的
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
continuous,adj. 连续的，持续的；继续的；连绵不断的
continuity,n. 连续性；一连串；分镜头剧本
consecutive,adj. 连贯的；连续不断的
successive,adj. 连续的；继承的；依次的；接替的
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
interval,n. 间隔；间距；幕间休息
intermittent,adj. 间歇的；断断续续的；间歇性
