flashcard,n. 教学用的抽认卡
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
earring,"n. 耳环，耳饰
v. 抽穗；听见（ear的ing形式）"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
at present,"na. 目前
 现在；当今；眼下"
opportunity,n. 时机，机会
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
member,n. 成员；会员；议员
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
old people's home, 养老院；敬老院；老人院
sleepy,adj. 欲睡的；困乏的；不活跃的
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
newsletter,n. 时事通讯
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
in the way,"na. 在路上；妨碍
 挡道；挡路；妨碍人的"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
taught,v. 教授（teach的过去分词）
importance,n. 价值；重要；重大；傲慢
care about,"v. 在意
 关心；在乎；担心"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
Kathy,找不到解释
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
what if,"v. 应如何
 如果；如果…将会怎样；如果…将会怎么样"
pimple,n. 疙瘩； 丘疹；面疱
energetic,adj. 精力充沛的；积极的；有力的
confident,adj. 自信的；确信的
permission,n. 允许，许可
herself,pron. 她自己（she的反身代词）；她亲自
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
not ... in the slightest,找不到解释
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
fairly,adv. 相当地；公平地；简直
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plenty of,"na. 很多的
 许多；大量的；充足的"
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
listener,"n. 听众
倾听者"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
let ... down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
first-aid,adj. 急救的；急救用的
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
shelf,n. 架子；搁板；搁板状物；暗礁
come out,"na. 出来
 出现；出柜；现身"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
helpful,adj. 有帮助的；有益的
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
Spotty,找不到解释
belong,vi. 属于，应归入；居住；适宜；应被放置
belong to,"v. 属于；附属
 归于；归属；属於"
author,"n. 作者；作家；创始人
vt. 创作出版"
picnic,"n. 野餐
vi. 去野餐"
hair band, 发带；一个发带；发箍
possibly,adv. 可能地；也许；大概
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
symphony,n. 交响乐；谐声，和声
optometrist,n. 验光师；视力测定者
appointment,n. 任命；约定；任命的职位
crucial,adj. 重要的；决定性的；定局的；决断的
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
worried,adj. 担心的
owner,n.  所有者；物主
Oxford University, 牛津大学；英国牛津大学；毕业于牛津大学
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
creature,n. 动物，生物；人；创造物
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
unhappy,adj. 不快乐的；不幸福的；不适当的
extremely,adv. 非常，极其；极端地
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
footstep,n. 脚步；脚步声；足迹
garbage,n. 垃圾；废物
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
director,n. 主任，主管；导演；人事助理
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
ant,n. 蚂蚁
ocean,n. 海洋；大量；广阔
dishonest,adj. 不诚实的；欺诈的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
use up,"na. 用完；耗尽
 用光；用尽；消耗"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
Hemingway,"海明威(①姓氏 ②Ernest, 1899-1961, 美国小说家, 曾获1954年诺贝尔文学奖)"
Mark Twain,"na. 马克吐温
 美国作家马克吐温；马克吐温号；马克温"
Fred,找不到解释
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
turn off,"v. 关掉
 关上；关闭；解雇"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
Vietnam,n. 越南（东南亚国家）
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
remind,vt. 提醒；使想起
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
string,n. 线，弦，细绳；一串，一行
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
Yellow River,"na. 黄河
 黄河面包；黄河唱片；黄河镇"
fisherman,n. 渔夫；渔人
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
entertainment,n. 娱乐；消遣；款待
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
photography,n. 摄影；摄影术
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
photographer,n. 摄影师；照相师
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
on display,"un. 公开展出
 展览；陈列；正在展览中"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
energy,n.  能量；精力；活力；精神
okay,"adv. 可以；对；很好地
adj. 可以；对；不错
n. 同意，批准
int. 好；行"
pro,"n. 赞成者；赞成的意见
prep. 赞成
adv. 赞成地"
con,"n. 反对票；反对论
vt. 精读；默记
adv. 反面地
adj. 欺诈的
prep. 以…"
honest,adj. 诚实的，实在的；可靠的；坦率的
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suit sb.,找不到解释
suit sb. fine,找不到解释
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
to be honest, 老实说；说实话；说实在的
be bad for,"na. 对…有害
 对……有害；对什么有害；有害于"
actually,adv. 实际上；事实上
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
mainly,adv. 主要地，大体上
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
 远离；与……保持距离；离…远点"
be in agreement, 意见一致；意见一致的；同意
itself,pron. 它自己；它本身
laboratory,n. 实验室，研究室
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
cancer, 巨蟹座
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
biscuit,n. 小点心，饼干
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
exclamation,n. 感叹；惊叫；惊叹词
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
contraction,n. 收缩，紧缩；缩写式；害病
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
Carmen,找不到解释
Dan Dervish,找不到解释
tiring,"adj. 累人的；麻烦的；无聊的；引起疲劳的
v. 厌倦；使劳累（tire的ing形式）；感到疲倦"
educational,adj. 教育的；有教育意义的
peaceful,adj. 和平的，爱好和平的；平静的
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
thrilling,adj. 毛骨悚然的；令人兴奋的；颤动的
take it easy,"na. “take things easy”的变体
 别紧张；别着急；放轻松"
Florida,n. 佛罗里达（美国东南部的州）
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
Amazon,找不到解释
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
Niagara Falls,找不到解释
touristy,adj. 适宜游览的；游览者喜欢的；旅游者常去的
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
including,prep. 包含，包括
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
Eiffel Tower,"na. (巴黎)艾斐尔铁塔
 艾菲尔铁塔；埃菲尔铁塔；巴黎艾菲尔铁塔"
cathedral,n. 大教堂
Notre Dame Cathedral,找不到解释
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
convenient,adj. 方便的；适当的；近便的；实用的
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
Ace Travel,找不到解释
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
Confucius,n. 孔子（中国哲学家，教育家）
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行"
Pacific,找不到解释
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
thousands of,"adj. 几千；成千上万
 成千上万的；数以千计的；数千"
as soon as possible,"na. 尽快
 尽可能快；越快越好；尽快地"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
programming,n. 设计，规划；编制程序， 程序编制
translator,n. 译者；翻译器
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
quite a few,"na. 很多；许多；相当多
 不少；还不少；有相当数目的"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
dream of,"v. 梦想
 梦见；梦到；向往"
sportspeople, 运动员；爱好运动的人；爱运动的人
conclusion,n. 结论；结局；推论
hold on to,"na. 赖着不走
 坚持；紧紧抓住；抓住不放"
attitude,n. 态度；看法；意见；姿势
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
give out,"na. 发表；放出；分发
 发出；用完；用尽"
clean-up,n. 清除；净化；打扫卫生
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
advertisement,n. 广告，宣传
put off,"na. 延期；辩解
 推迟；拖延；推延"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
establish,"vi. 植物定植
vt. 建立；创办；安置"
think up,"na. 想出；发明
 想起；设计出；是想出，编造"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
commitment,n. 承诺，保证；委托；承担义务；献身
elementary,adj. 基本的；初级的； 元素的
veterinarian,n.  兽医
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
fix up,"na. 修理；解决；组织；安顿住处
 安排；修补；商妥"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
similar,"n. 类似物
adj. 相似的"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
call-in,"n. 电话交谈节目
adj. 邀请听众打电话进来的"
strategy,n. 战略，策略
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
website,n. 网站（全球资讯网的主机站）
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
organization,n. 组织；机构；体制；团体
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
deaf,adj. 聋的
unable,adj. 不会的，不能的； 无能力的；不能胜任的
cannot,v. 不能；无法
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
help out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
help sb. out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
specially,adv. 特别地；专门地
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
at once,"na. 立刻；同时
 马上；立即；即刻"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
donation,n. 捐款，捐赠物；捐赠
part of speech,"n. 词类；词性
 词性词类；句子成分；词类变化"
