cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
malice,n. 恶意；怨恨；预谋
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
solution,n. 解决方案；溶液；溶解；解答
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cathedral,n. 大教堂
convey,vt. 传达；运输；让与
device,n. 装置；策略；图案
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
rod,n. 棒；惩罚；枝条；权力
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
diagram,"n. 图表；图解
vt. 用图解法表示"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
prank,"n. 恶作剧，开玩笑；戏谑
vt. 装饰；打扮
vi. 炫耀自己；胡闹"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vigorous,adj. 有力的；精力充沛的
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
infection,n. 感染；传染；影响；传染病
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
injure,vt. 伤害，损害
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
series,n. 系列，连续； 串联；级数；丛书
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
nation,n. 国家；民族；国民
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
jagged,"adj. 锯齿状的；参差不齐的
v. 使成缺口；使成锯齿状（jag的过去式）"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
responsible,adj. 负责的，可靠的；有责任的
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
version,n. 版本；译文；倒转术
division,n.  除法；部门；分配；分割；师（军队）；赛区
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
outcome,n. 结果，结局；成果
pastime,n. 娱乐，消遣
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
talent,n. 才能；天才；天资
theory,n. 理论；原理；学说；推测
tournament,n. 锦标赛，联赛；比赛
