I,"n. 碘元素；英语字母I
pron. 我"
panda,n. 熊猫；猫熊
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
cat,n. 猫，猫科动物
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
how many,"na. 多少
 多少个；有多少；多少数量"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
oh,int. 哦；哎呀（表示惊讶或恐惧等）
ten,num. 十个，十
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
happy,adj. 幸福的；高兴的；巧妙的
birthday,n. 生日，诞辰；诞生的日子
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
here's, =here is
here is, 这是；是简单的倒装句；在这里
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
how old,"conj. 多少岁
 多大；几岁；多大年纪"
yes,"n. 是（表示肯定）
adv. 是, 是的"
you're,你是/你们是（等于you are）
you are,找不到解释
teacher,n. 教师；导师
pupil,n. 学生； 瞳孔；未成年人
school,"n. 学校；学院；学派；鱼群
vt. 教育"
classroom,n. 教室
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
schoolbag,n. 书包
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
or,conj. 或，或者；还是
don't,"n. 禁忌（等于do not）
aux. 表示否定（等于do not）"
do not,找不到解释
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
isn't,不是（等于is not）
is not,找不到解释
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
where's, 在哪里；威力现在在哪里；是哪里
where is,找不到解释
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
she,"n. 女人；雌性动物
pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）"
she's,abbr. 她是（she is）；她有（she has）
she is,找不到解释
grandpa,n. 爷爷；外公
grandma,n. 奶奶；外婆
that's,那是（等于That is）
that is,"na. 即；用于纠正之前说过的内容
 也就是说；那是；那就是说"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
he,"n. 男孩，男人；它（雄性动物）
pron. 他"
he's,abbr. 他是（he is）；他有（he has）
he is, 他是；他比我大两岁；通常为形容词
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
driver,n. 驾驶员；驱动程序；起子；传动器
farmer,n. 农夫，农民
his,pron. 他的
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
leg,n. 腿；支柱
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
