adolescence,n. 青春期
makeover,n. 化妆美容；大转变
makeup,n. 化妆品；组成；补充；补考
obsess,vt. 迷住，缠住；使…着迷；使…困扰
pageant,n. 盛会；游行；虚饰；露天表演
quotient,n.  商；系数；份额
reap,"vt. 收获，获得；收割
vi. 收割，收获"
runway,n. 跑道；河床；滑道
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
self-appraisal, 自我评估
self-perception,n. 自我知觉
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
subliminal,"n. 潜意识；阈下意识
adj.  阈下的；潜在意识的；微小得难以察觉的"
subsequently,adv. 随后，其后；后来
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
be fixated on,迷恋
compare with,"na. 和…比较
 与…相比；与…相比较；与…比较"
debate with,"与…辩论，与…争论；debate with oneself独自考虑,细想,心中盘算"
doll sb. up,找不到解释
fix oneself up,找不到解释
get in the way,"na. 妨碍
 挡道；碍事；挡路"
get in the way of, 妨碍；碍事，妨碍；阻碍
in a favorable light,找不到解释
in contrast,"adv. 相反
 相比之下；对比；成对比"
let go of,"v. 释放
 放开；松开；放弃"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
sign up,"na. 同“sign”
 注册；报名；签约"
zero in on, （使）瞄准…，（使）对准…，对…集中火力
blocker,n. 雏形锻模
clink,"n. 叮当声； 劈楔；牢房
vt. 发出叮当声
vi. 发叮当声"
completion,n. 完成，结束；实现
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
extinguish,vt. 熄灭；压制；偿清
fret,"n. 烦躁；焦急；磨损
vi. 烦恼；焦急；磨损
vt. 使烦恼；焦急；使磨损"
hitch,"n. 故障；钩；猛拉；急推；蹒跚
vt. 搭便车；钩住；套住；猛拉；使结婚
vi. 被钩住；急动；蹒跚；搭便车旅行；结婚"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
imagery,n. 像；意象；比喻；形象化
incision,n. 切口；雕刻，切割；切开
inspirational,adj. 鼓舞人心的；带有灵感的，给予灵感的
kickoff,n. 开始；开球
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
precisely,adv. 精确地；恰恰
pro,"n. 赞成者；赞成的意见
prep. 赞成
adv. 赞成地"
rehearsal,n. 排演；预演；练习；训练；叙述
rehearse,"vt. 排练；预演
vi. 排练；演习"
rookie,"n. 新手
新人"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
steadily,adv. 稳定地；稳固地；有规则地
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
suture,"n. 缝合；缝合处；缝合用的线
vt. 缝合"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
trajectory,n.  轨道，轨线； 弹道
unheralded,adj. 未事先宣布的；没料到的；未被承认的
visualization,n. 形象化；清楚地呈现在心
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
fake out,"un. 以欺骗手法制胜人
 杀出赌城；机率敌害怕；一人时间差"
push up,"v. 提高；强使(物价等)上升
n. 俯卧撑
 向上推；伏地挺身；掌上压"
put to use,"na. 用
 利用；使用；运用"
swear by,"na. “swear before”的变体
 发誓；极其信赖；对…发誓"
turn into reality,找不到解释
affection,n. 喜爱，感情；影响；感染
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
altruism,n. 利他；利他主义
anti-vivisectionist,n. 反对活体解剖者
breeding,"n. 繁殖；饲养；教养；再生
v. 生产；培育；使…繁殖（breed的ing形式）"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
captivity,n. 囚禁；被关
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
chimpanzee,n.  黑猩猩
compassion,n. 同情；怜悯
condor,n. 秃鹫，秃鹰
conservationist,n. 自然资源保护论者
ecosystem,n. 生态系统
evolutionary,adj. 进化的；发展的；渐进的
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
explosively,adv. 爆发地，引起爆炸地
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
free-range,adj. （家禽）自由放养的；在农场自由放养的（鸡）
humility,n. 谦卑，谦逊
impede,vt. 阻碍；妨碍；阻止
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
instinctive,adj. 本能的；直觉的；天生的
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
interconnectedness,n. 互联性
methane,n.  甲烷； 沼气
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
primatologist,n. 灵长类动物学家 (primatology的变形)
rabid,adj. 激烈的；狂暴的；偏激的；患狂犬病的
resentment,n. 愤恨，怨恨
sentient,"n. 有知觉的人
adj. 有感情的；有感觉力的；意识到的"
sold-out,adj. 卖光的；满座的
stuffed,已经喂饱了的；塞满了的
thought-provoking,adj. 发人深省的；引起思考的
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
unforeseen,adj. 未预见到的，无法预料的
vegetarian,"n. 素食者；食草动物
adj. 素食的"
as a last resort,"un. 撒(谎)；万不得已
 作为最后手段；作为最后的手段；在万不得已的时候"
as is the case, 确有其事；果真
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
be capable of,"v. 能够承担
 有能力；有能力干；有能力做"
be in favor of,有利于； 支持
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
come up to sb.,找不到解释
do one's bit,"na. 见 bit 条
 尽自己的一份力量；尽力；尽一份力"
fit together,"v. 组合
 组装在一起；装配；结合"
hang in there, 再等等; 坚持一下; hang in there or to hang on in there;  you are encouraging them to keep trying to do something and not to give up even though it might be difficult.
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
on the road,"na. 在旅行中；(剧团等)在巡回演出中
 在路上；在旅途中；浪荡世代"
bottom line,"n. 底线；底价；要旨；基本论点
 最低限度；绝对底线；账本底线"
think twice,"na. 重新考虑；踌躇；“think twice/again”的变体
 三思；再三考虑；仔细考虑"
to some extent,"na. 在某种程度上
 在一定程度上；从某种程度上讲；从某种程度来讲"
worse off,"adj. “badly off”的比较级；“bad off”的比较级
 境况更差；恶化；境况差"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
affinity,n. 密切关系；吸引力；姻亲关系；类同
balcony,n. 阳台；包厢；戏院楼厅
befriend,vt. 帮助；待人如友；扶助
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
buff,"n. 浅黄色；软皮；爱好者； 健康的身体
vt. 有软皮摩擦；缓冲；擦亮，抛光某物"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
caretaker,"n. 看管者；看门人；守护者
adj. 临时代理的"
circus,n. 马戏；马戏团
companionship,n. 友谊；陪伴；交谊
coyote,n. 一种产于北美大草原的小狼；引外国人从墨西哥偷渡进入美国的不法分子
currently,adv. 当前；一般地
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
devotion,n. 献身，奉献；忠诚；热爱
dignity,n. 尊严；高贵
disparity,n. 不同；不一致；不等
donation,n. 捐款，捐赠物；捐赠
exceedingly,adv. 非常；极其；极度地；极端
fluffy,adj. 蓬松的；松软的；毛茸茸的；无内容的
gait,"n. 步法，步态
vt. 训练步法"
habitat,n.  栖息地，产地
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
immobile,adj. 固定的；稳定的；不变的
infirmity,n. 虚弱；疾病；衰弱；缺点
kindred,"adj. 同类的；血缘的；同族的
n. 家族；相似；亲属关系"
lifespan,n. 寿命；预期生命期限；预期使用期限
lumberingly,"lumberingly
adv.
lumbering2的变形
lumbering2

adj.
笨重的
笨拙移动的；动作迟缓的
笨拙的；表达不流畅的
隆隆行进的"
outright,"adv. 全部地；立刻地；率直地；一直向前；痛快地
adj. 完全的，彻底的；直率的；总共的"
passionately,adv. 热情地；强烈地；激昂地
playful,adj. 开玩笑的；幽默的；爱嬉戏的
proceeds,n. 收入，收益；实收款项
recovery,n. 恢复，复原；痊愈；重获
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
retriever,n. （训练成能寻回猎物的）猎犬；取回的人
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
therapeutic,"n. 治疗剂；治疗学家
adj. 治疗的；治疗学的；有益于健康的"
unresolved,adj. 未解决的；无决断力的；不果断的
venue,n. 审判地；犯罪地点；发生地点；集合地点
vigil,n. 守夜；监视；不眠；警戒
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
at the request of,"un. 应…的要求；根据…的请求；应…之请
 应……的要求；应…的邀请；应…请求"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
come into sb.'s possession,找不到解释
hold ... in high regard,找不到解释
have ... in common,"un. 没有共同之处；有某些共同之处
 共同点；与…有共通之处；有共同点"
in the case of,"na. 论到
 至于；就…来说；就…而言"
load up, （使）载满， （使）负重， （给…）装货; 加负荷
make an appearance,"na. 出面
 出现；露面；出席"
pay tribute to, 表示敬意；称赞；致敬
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
Anatolian,"n. 安那托利亚人；安那托利亚语
adj. 安那托利亚语族的；安那托利亚的"
angular,adj.  有角的；生硬的，笨拙的；瘦削的
arguably,"adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
可能，大概"
artifact,n. 人工制品；手工艺品
bale,"n. 包；捆；灾祸；不幸
v. 将 ... 打包"
cantilever,n. 悬臂
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
distinguishing,"v. 区别；表现突出（distinguish的ing形式）
adj. 有区别的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
Etruscan,"n. 伊特鲁里亚人；伊特鲁里亚语（等于Etrurian）
adj. 伊特鲁里亚的"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
foliage,n. 植物；叶子（总称）
furnishing,"n. 供给；装备；服饰；家俱
v. 供给；装备；陈设（furnish的ing形式）"
geometric,adj. 几何学的； 几何学图形的
governing,"v. 统治（govern的ing形式）；支配
adj. 有统治、控制或治理权力的"
habitation,n. 居住；住所
ideology,n. 意识形态；思想意识；观念学
idiosyncratic,adj. 特质的；特殊的；异质的
imposed,"v. 欺骗（impose的过去分词）；把…强加于
adj. 强加的；施加的；应用的"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
lightweight,"n. 轻量级选手；无足轻重的人
adj. 重量轻的；平均重量以下的"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
mechanistic,adj. 机械论的；机械学的
mercurial,"adj. 水银的；水星的；墨丘利神的；雄辩机智的；活泼善变的
n. 汞剂；水银剂"
Minoan,"adj. 克里特文明的（古希腊）
n. 克里特语；克里特岛人"
multi-faceted,adj. 多方面的；多才多艺的
non-linearity, 非线性
organic,adj.  有机的；组织的；器官的；根本的
organism,n. 有机体；生物体；微生物
perverse,adj. 堕落的，不正当的；倔强的；违反常情的
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
prevalent,adj. 流行的；普遍的，广传的
recognizable,adj. 可辨认的；可认识的；可承认的
rectangle,n. 矩形；长方形
rectilinear,adj. 直线运动的；形成直线的；用直线围着的
rigidly,adv. 严格地；坚硬地；严厉地；牢牢地
swooping,"vi. 猛扑；突然袭击；突然下降；飞扑
n. 猛扑；俯冲；突然袭击
vt. 攫取；抓去"
symbiotic,adj.  共生的；共栖的
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
tensile,adj.  拉力的；可伸长的；可拉长的
tepee,n. （北美印第安人的）圆锥形帐篷
truss,"n. 束；构架；捆
vt. 捆绑；用构架支撑"
unified,"adj. 统一的；一致标准的
v. 统一；使一致（unify的过去分词）"
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
vernacular,"n. 本地话，方言；动植物的俗名
adj. 本国的；地方的；用本地语写成的"
wavy,adj. 多浪的；波动起伏的
be integrated with,找不到解释
be rooted in, 扎根于；植根于；根源在于
be sympathetic to,vt.对...表示同情
beyond the capabilities of,找不到解释
far from,"na. 远离；决不
 远非；完全不；远远不是"
free up,"un. 释放
 空出来；腾出；以往的战役概念"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
 与…协调；与……协调一致；和谐"
in opposition to,"na. 反对着
 与…相反；对立；保守派反对提出的改革建议"
in the round,"na. 雕刻成立体(的)
 全面地；栩栩如生的；立体的"
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
pin down,"na. 强迫(人)承认条约；用…束缚住；阻止；牵制
 确定；压制；使受约束"
stretch back to,找不到解释
think out,"na. 想透；想出
 彻底地想一想；彻底思考；仔细考虑"
antithesis,n. 对立面；对照；对仗
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
consultancy,n. 咨询公司；顾问工作
defining,"v. 规定（define的ing形式）；给…下定义；表明特征
adj. 最典型的；起决定性作用的"
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
diminishing,"v. 减少；递减；衰减；削弱…的权势（diminish的现在分词）
adj. 逐渐缩小的；衰减的"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
encapsulate,"vt. 压缩；将…装入胶囊；将…封进内部；概述
vi. 形成胶囊"
homage,n. 敬意；尊敬；效忠
instil,vt. 逐渐灌输；使渗透；滴注
intricately,adv. 杂乱地
manifesto,"n. 宣言；声明；告示
vi. 发表宣言"
occupant,n. 居住者；占有者
preservation,n. 保存，保留
raze,vt. 夷为平地；破坏；消除；拆毁
reinvigorate,vt. 使再振作；使复兴
relevance,n. 关联；适当；中肯
renovation,n. 革新；修理；恢复活力
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
rootedness,n. 根深蒂固，牢不可破
unencumbered,adj. 没有阻碍的；没有负担的；不受妨碍的
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
engage with sb.,找不到解释
engage with sth.,找不到解释
off one's radar,找不到解释
pay homage to,"na. 对…表敬意；对…表示敬意；服从
 向……表示敬意；致敬；向…致敬"
strive to do sth.,找不到解释
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
brand-new,adj. 崭新的；最近获得的
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
correspond,vi. 符合，一致；相应；通信
customization,n. 定制； 用户化；客制化服务
cutting-edge,"n. (刀片的)刃口；尖端；前沿
adj. 先进的，尖端的"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
dividend,n. 红利；股息； 被除数；奖金
entrant,n. 进入者；新会员；参加竞赛者；新工作者
exaggeration,n. 夸张；夸大之词；夸张的手法
fabrication,n. 制造，建造；装配；伪造物
gigantic,adj. 巨大的，庞大的
juggernaut,n. 世界主宰；强大的破坏力
labor-intensive,adj. 劳动密集型的
largely,adv. 主要地；大部分；大量地
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
microscopic,adj. 微观的；用显微镜可见的
niftily, 俏皮地
orthotic,adj. 整直的；矫正的
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
powdered,"adj. 变成粉末的；涂粉的
v. 使成粉末（powder的过去分词）；撒粉；搽粉"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
productivity,n. 生产力；生产率；生产能力
retool,"vt. 重组；重新装备
vi. 更换工具；重新装备；更换机械设备"
scanner,n.  扫描仪；扫描器；光电子扫描装置
subsequent,adj. 后来的，随后的
substrate,n. 基质；基片；底层（等于substratum）；酶作用物
subtractive,adj. 减去的；负的；有负号的
transistor,n. 晶体管（收音机）
typeset,"adj. 已排字的
vt. 排版"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
undergo,vt. 经历，经受；忍受
watershed,"n. （美）流域；分水岭；集水区；转折点
adj. 标志转折点的"
a sinking ship, 即将沉没的船（用于各种短语中，指正在走向失败的组织或努力，常用在指责某人此时离开的语境中）
be poised to do sth.,找不到解释
best of both worlds, 孟汉娜--两全其美；两个世界一样美好；两个世界最好的东西
cut down on,"un. 削减；节省；减轻
 减少；继续，保持；振作"
every bit as good,找不到解释
every bit as bad,找不到解释
every bit as good as sb.,找不到解释
every bit as bad as sb.,找不到解释
every bit as good as sth.,找不到解释
every bit as bad as sth.,找不到解释
get in on the ground floor,"na. 在有利条件下参加某种事业；站在同等地位获得同等权利；取得有利地位
 早期入股；取得优先地位；一开始就参加"
make a fortune,"na. 发财
 赚大钱；发大财；发财致富"
make one's fortune,发财；发迹，在社会上获得地位
pay dividends, 产生好的结果；获利
rear end,"v. 追尾
 后部；后端；臀部"
slide along,找不到解释
turning point,"n. 转折点；转捩点；转机
 转向点；转点；转折关头"
whittle down,v. 削减; 逐渐减少，逐渐缩减（…的大小或数目）
abdomen,n. 腹部；下腹；腹腔
anesthetic,"n. 麻醉剂，麻药
adj. 麻醉的；感觉缺失的"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
avid,adj. 渴望的，贪婪的；热心的
biodegradable,adj. 生物所能分解的，能进行生物降解的
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
buckwheat,"n. 荞麦；荞麦粉；荞麦片
adj. 蓼科植物的"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
cavity,n. 腔；洞，凹处
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
coating,"n. 涂层；包衣；衣料
v. 给…穿上外衣；盖上（coat的ing形式）"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
container,n. 集装箱；容器
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
desired,"v. 渴望，要求（desire的过去分词形式）
adj. 渴望的；想得到的"
economical,adj. 经济的；节约的；合算的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
enforcement,n. 执行，实施；强制
fabric,n. 织物；布；组织；构造；建筑物
fungus,n. 真菌，霉菌；菌类
gelatinous,adj. 凝胶状的，胶状的
helmet,n. 钢盔，头盔
hiker,n. 徒步旅行者
husk,"n. 皮；外壳；无价值之物
vt. 削皮；以粗哑的嗓音说
vi. 嗓音变得嘶哑"
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
infection,n. 感染；传染；影响；传染病
inoculation,n.  接种；接木；接插芽
insulation,n. 绝缘；隔离，孤立
lattice,"n.  晶格；格子；格架
vt. 使成格子状"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mycelium,n. 菌丝；菌丝体
nanoparticle,n. 纳米颗粒；毫微粒
nicotine,n.  尼古丁； 烟碱
odds,n. 几率；胜算；不平等；差别
oxygenate,vt. 氧化，充氧；以氧处理；使…与氧化合
paraffin,"n. 石蜡； 链烷烃；硬石蜡
vt. 用石蜡处理；涂石蜡于…"
petroleum,n. 石油
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
prefab,"n. 预制件；组合式预制房
adj. 预制的；组合式的
vt. 预先制造；预先构想"
projectile,"adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的
n. 射弹；抛射体；自动推进武器"
protective,adj. 防护的；关切保护的；保护贸易的
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
repel,vt. 击退；抵制；使厌恶；使不愉快
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理"
scalp,"n. 头皮；战利品
vt. 剥头皮
vi. 剥头皮"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
skull,n. 头盖骨，脑壳
solidify,"vt. 团结；凝固
vi. 团结；凝固"
syringe,"n. 注射器；洗涤器
vt. 注射，冲洗"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
two-by-four,"n. 宽四寸厚二尺的木材
adj. 不大的，小的；长宽为二寸与四寸的"
underway,"n.  水底通道
adj. 进行中的；起步的；航行中的"
voilà,找不到解释
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
fasten on,"na. 握住；盯住不放；一口咬定；牢牢注意
 集中于；抓住；强加于"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
inject ... into,找不到解释
recover ... from,找不到解释
slide over,"na. 略过
 回避"
to and fro,"na. 前前后后
 来来回回；来回地；往复地"
watch for,"v. 期待；等待
 监视；注意；守候"
adopter,n. 养父母； 接受管
affluence,n. 富裕；丰富；流入；汇聚
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
analyst,n. 分析者；精神分析医师；分解者
demographic,adj. 人口统计学的；人口学的
detached,"v. 分离
adj. 分离的，分开的；超然的"
diode,n.  二极管
emit,vt. 发出，放射；发行；发表
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
miser,n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
motto,n. 座右铭，格言；箴言
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
offering,"n. 提供；祭品；奉献物；牲礼
v. 提供（offer的ing形式）"
outpace,vt. 赶过；超过…速度
outright,"adv. 全部地；立刻地；率直地；一直向前；痛快地
adj. 完全的，彻底的；直率的；总共的"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
polysilicon,n.  多晶硅
presumably,adv. 大概；推测起来；可假定
