unofficial,adj. 非官方的；非正式的
forest,"n. 森林
vt. 植树于，使成为森林"
decentralize,"n. 分散
vt. 使分散；使分权；疏散
vi. 分散集权；疏散"
centralize,"vt. 使集中；使成为…的中心；使集权
vi. 集中；实行中央集权"
antiwar,adj. 反对战争的
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
anti-social,adj. 反社会的
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
anticancer,adj. 抗癌的
cancer, 巨蟹座
counterargument,n. 抗辩；辩论；用来反驳的论点
argument,n. 论证；论据；争吵；内容提要
counterclockwise,"adj. 反时针方向的
adv. 反时针方向"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
counterattack,"n. 反击；反攻
vi. 反击；反攻
vt. 反击；反攻"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
asocial,adj. 自私的；不合群的；缺乏社交性的
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
atypical,adj. 非典型的；不合规则的
typical,adj. 典型的；特有的；象征性的
asexual,adj.  无性的；无性生殖的
sexual,adj. 性的；性别的；有性的
forehead,n. 额，前额
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
forewarn,vt. 预先警告
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
presuppose,vt. 假定；预料；以…为先决条件
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
antedate,"n. 比实际提前的日期
vt. 先于；前于"
anteroom,n. 前厅；接待室；候见室
antenatal,adj. 产前的；出生前的
natal,adj. 出生的；诞生的；分娩的；出生地的
chairman,n. 主席，会长；董事长
ex-husband,前夫
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
posthumous,adj. 死后的；遗腹的；作者死后出版的
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
substandard,adj. 不合规格的；标准以下的
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
subtropical,adj.  亚热带的
tropical,adj. 热带的；热情的；酷热的
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
underdeveloped,adj. 不发达的
developed,adj. 发达的（国家或地区）；成熟的
existence,n. 存在，实在；生存，生活；存在物，实在物
editor,n. 编者，编辑；社论撰写人；编辑装置
co-worker,n. 同事；合作者
extramarital,adj. 私通的，婚外的，通奸的
martial,adj. 军事的；战争的；尚武的
extracurricular,adj. 课外的；业余的；婚外的
curricular,adj. 课程的
extraterrestrial,"n. 天外来客
adj. 地球外的"
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
autobiography,n. 自传；自传文学
biography,n. 传记；档案；个人简介
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
automaker,n. 汽车制造商
malpractice,n. 玩忽职守；不法行为；治疗不当
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
maltreat,vt. 虐待；滥用；粗暴对待
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
microscope,n. 显微镜
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
microorganism,n.  微生物；微小动植物
organism,n. 有机体；生物体；微生物
microeconomics,n. 微观经济学
economics,n. 经济学；国家的经济状况
macromolecule,n.  高分子； 大分子
molecule,n.  分子；微小颗粒，微粒
macroeconomics,"n. 宏观经济学
 宏观经济学的"
economics,n. 经济学；国家的经济状况
biotic,adj. 生物的；有关生命的
teleconference,电话会议； 远程会议
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
telecommunication,n. 电讯； 远程通信；无线电通讯
communication,n. 通讯， 通信；交流；信函
telecast,"n. 电视广播
vt. 以电视广播"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
telesale,"n. 电话销售,电话售货"
sale,n. 销售；出售；拍卖；销售额；廉价出售
self-taught,adj. 自学的；自修的
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
taught,v. 教授（teach的过去分词）
taught,v. 教授（teach的过去分词）
self-centered,adj. 自我中心的；利己主义的
centered,"adj. 居中的；有圆心的
v. 集中；居中（center的过去式和过去分词形式）"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
semiconductor,n.  半导体
conductor,n. 导体；售票员；领导者；管理人
semiskilled,adj. 半熟练的
skilled,adj. 熟练的；有技能的；需要技能的
hemisphere,n. 半球
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
demigod,n. 受崇拜的人，英雄人物；半神半人；小神
god,找不到解释
bilateral,adj. 双边的；有两边的
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
bilingual,"n. 通两种语言的人
adj. 双语的"
lingual,"adj. 语言的；舌的，舌音的
n. 舌音，舌音字"
dioxide,n. 二氧化物
oxide,n.  氧化物
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
trio,n. 三重唱；三件一套；三个一组
duo,n. 二重奏；二重唱；二人组
trilogy,n. 三部曲；三部剧
multi-purpose,adj. 多用途的，多功能的
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
multiform,adj. 多样的；多种形式的
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
multiracial,adj. 多民族的
racial,adj. 种族的；人种的
neocolonialism,n. 新殖民主义
colonialism,n. 殖民主义；殖民政策
Nazism,n. 纳粹主义
Neolithic,找不到解释
lithic,adj. 石的；膀胱结石的；锂的
ministate,n. （面积狭小、人口极少的）超小国家
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
minicomputer,n.  小型计算机；微型电脑
minify,vt. 使变小；贬低
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
outrun,vt. 超过；跑得比…快；从…逃脱
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outpace,vt. 赶过；超过…速度
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
output,"n. 输出，输出量；产量；出产
vt. 输出"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
overachiever,n. 成绩超过预料的学生
achiever,n. 获得成功的人
oversell,"vt. 销售过多
vi. 卖空；过分吹嘘
n. 过分的推销；过多的销售"
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
underpass,n. 地下通道； 下穿交叉道
overhang,"vi. 悬垂；逼近
vt. 悬于…之上；（危险、邪恶等）逼近
n. （船首或船尾）突出部分；悬垂部分"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
pseudoscience,n. 伪科学；假科学
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
pseudonym,n. 笔名；假名
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
quasi-official,adj. 半官方的
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
departmental,adj. 部门的；各县的；分科的
intracardiac,adj. 心脏内的
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
intraday,adj. 当天的；一天内的
interstate,"n. （美）州际公路
adj. 州际的；州与州之间的"
interstellar,adj.  星际的
stellar,adj. 星的；星球的；主要的；一流的
interdependent,adj. 相互依赖的；互助的
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
interconnect,"vi. 互相联系
vt. 使互相连接"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
sonic,adj. 音速的；声音的；音波的
superpower,n. 超级大国；超级强权
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
superabundant,adj. 过多的；大量的
abundant,adj. 丰富的；充裕的；盛产
superstructure,n. 上层建筑；上部构造
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
ultranationalism,n. 极端民族主义，狭隘民族主义
nationalism,n. 民族主义；国家主义；民族特性
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
ultrasound,n. 超声；超音波
infrared,"n. 红外线
adj. 红外线的"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
infrastructure,n. 基础设施；公共建设；下部构造
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
infrasonic,adj. 次声的，使用次声的，次声所产生的
sonic,adj. 音速的；声音的；音波的
retell,vt. 复述；再讲；重述
replay,"n. 重赛；重播；重演
vt. 重放；重演；重新比赛"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
redouble,"n. 再加倍
vt. 再加倍；把…再折叠；循著…折回
vi. 加倍；回响；急速折回"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
transcontinental,adj. 横贯大陆的；大陆那边的
continental,"n. 欧洲人
adj. 大陆的；大陆性的"
cultural,adj. 文化的；教养的
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
transgene,n.  转基因；输异基因
cross-country,"n. 越野赛跑
adj. 越野的，横过田野的；横越全国的"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
cross-cultural,adj. 跨文化的；交叉文化的
cultural,adj. 文化的；教养的
cross-breed,杂种
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
proslavery,"n. （美）支持奴隶制度
adj. （美）支持奴隶制度的"
slavery,n. 奴役；奴隶制度；奴隶身份
democracy,n. 民主，民主主义；民主政治
pro-American,找不到解释
bioterrorism,n. 生物恐怖主义
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
biosphere,n. 生物圈
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
biocide,n. 杀虫剂； 抗微生物剂
unicellular,adj.  单细胞的
cellular,"n. 移动电话；单元
adj. 细胞的；多孔的；由细胞组成的"
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
monorail,n. 单轨；单轨铁路
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
monologue,n. 独白
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
polyfunctional,adj. 多官能的；多重的
functional,adj. 功能的
polygamy,n. 一夫多妻，一妻多夫，多配偶
monogamy,n. 一夫一妻制； 单配偶， 单配性
polymath,"n. 博学的人
adj. 博学的"
midlife,n. 中年
midway,"n. 中途；娱乐场
adj. 中途的
adv. 中途"
midpoint,n. 中点；正中央
hypercritical,adj. 吹毛求疵的，苛评的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
hyperactive,adj. 极度活跃的；活动过度的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
hypersonic,adj. 极超音速的； 特超声速的
sonic,adj. 音速的；声音的；音波的
megabyte,n.  兆字节
byte,n. 字节；8位元组
megawatt,n. 兆瓦特，百万瓦特
watt,n. 瓦特
megacity,n. 大城市（人口超过1000万的）
irrigation,n. 灌溉； 冲洗；冲洗法
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
education,n. 教育；培养；教育学
educate,"vt. 教育；培养；训练
vi. 教育；训练"
examination,n. 考试；检查；查问
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
merriment,n. 欢喜；嬉戏
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
movement,n. 运动；活动；运转；乐章
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
pavement,"n. 人行道
路面"
pave,vt. 铺设；安排；作铺设之用
kindness,n. 仁慈；好意；友好的行为
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
coolness,n. 冷；凉爽；冷静
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
certainty,n. 必然；确实；确实的事情
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
probability,n. 可能性；机率； 或然率
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
stupidity,n. 愚蠢；糊涂事
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
gangster,n. 歹徒，流氓；恶棍
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
mountaineer,"n. 登山家，登山运动员；山地人
vi. 登山"
jailer,n. 狱卒，看守监狱的人
jailor,n. 监狱看守，狱卒(jailer)
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
old-timer,n. 老前辈；旧式的人；老人；老资格的人
old-time,adj. 从前的；旧式的；资深的
hostess,n. 女主人，女老板；女服务员；舞女；女房东
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
sculptress,n. 女雕刻家
sculptor,n. 雕刻家
manhood,n. 成年；男子；男子气概
falsehood,n. 说谎；假话；不真实；错误的信仰
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
sainthood,n. 圣徒；圣徒地位
saint,找不到解释
neighborhood,n. 附近；街坊；接近；街区
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
citizenship,n.  公民身份，公民资格；国籍；公民权
citizen,n. 公民；市民；老百姓
governorship,n. 州长或总督等的职位；州长或总督等的任期
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
sportsmanship,n. 运动员精神，运动道德
sportsman,n. 运动员；运动家；冒险家
leadership,n. 领导能力；领导阶层
leader,n. 领导者；首领；指挥者
idealism,n. 唯心主义，理想主义；理念论
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
capitalism,n. 资本主义
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
heroism,n. 英勇，英雄气概；英雄行为；勇敢的事迹
hero,n. 英雄；男主角，男主人公
colloquialism,n. 白话，口语；口语体；方言用语
colloquial,adj. 白话的；通俗的；口语体的
racism,n. 种族主义，种族歧视；人种偏见
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
sexism,n. （针对女性的）性别歧视；男性至上主义
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
fascist,"n. 法西斯主义者；法西斯党员
adj. 法西斯主义的，法西斯党的"
fascism,n. 法西斯主义；极端国家主义
botanist,n. 植物学家
botany,n. 植物学；地区植物总称
violinist,n. 小提琴演奏者，小提琴家
violin,n. 小提琴；小提琴手
breakage,n. 破坏；破损；裂口；破损量
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
tillage,n. 耕作，耕种
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
marriage,n. 结婚；婚姻生活；密切结合，合并
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
orphanage,n. 孤儿院；孤儿身份
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
dosage,n. 剂量，用量
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
arrival,n. 到来；到达；到达者
arrive,vi. 到达；成功；达成；出生
refusal,n. 拒绝；优先取舍权；推却；取舍权
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
bury,vt. 埋葬；隐藏
starlet,n. 小星星；小明星；初涉影坛的演员
leaflet,n. 小叶；传单
booklet,n. 小册子
pamphlet,n. 小册子
genocide,n. 种族灭绝；灭绝整个种族的大屠杀
homicide,n. 过失杀人；杀人犯
insecticide,n. 杀虫剂
monomania,n. 偏执狂；对一事的狂热
egomania,n. 自大狂；极端利己；利己癖；自尊癖
enslave,vt. 束缚；征服；使某人成为奴隶
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
embolden,vt. 使有胆量，使大胆
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
encase,vt. 包住；围绕；包装
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
becloud,vt. 使遮暗，蒙蔽
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
befool,vt. 愚弄
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
befriend,vt. 帮助；待人如友；扶助
friend,n. 朋友；助手；赞助者
legalize,vt. 使合法化；公认；法律上认为…正当
legal,adj. 法律的；合法的；法定的；依照法律的
victimize,vt. 使受害；使牺牲；欺骗
victim,n. 受害人；牺牲品；牺牲者
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
height,n. 高地；高度；身高；顶点
quicken,"vt. 加快；鼓舞；使复活
vi. 加快；变活跃；进入胎动期"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
beautify,"vt. 使美化，使变美
vi. 美化"
beauty,n. 美；美丽；美人；美好的东西
simplify,vt. 简化；使单纯；使简易
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
uglify,vt. 弄成难看，丑化
ugly,adj. 丑陋的；邪恶的；令人厌恶的
maturate,v. 成熟
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
validate,vt. 证实，验证；确认；使生效
valid,adj. 有效的；有根据的；合法的；正当的
bearable,adj. 可忍受的；支持得住的
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
serviceable,adj. 有用的，可供使用的；耐用的
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
convincible,adj. 可使信服的；可说服的
convince,vt. 说服；使确信，使信服
divisible,adj. 可分的；可分割的
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
diseased,"adj. 不健全的；患病的；病态的
v. 使生病；传染（disease的过去分词）"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
talented,adj. 有才能的；多才的
talent,n. 才能；天才；天资
pointed,"v. 指出；瞄准（point的过去式）
adj. 尖的；突出的；锐利的；率直的"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
spineless,adj. 没有骨气的；无脊椎的；懦弱的
spine,n. 脊柱，脊椎；刺；书脊
speechless,adj. 说不出话的；哑的；非言语所能表达的
speech,n. 演讲；讲话； 语音；演说
directional,"adj. 方向的
定向型的"
tonal,adj. 色调的；音调的
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
magical,adj. 魔术的；有魔力的
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
monetary,adj. 货币的；财政的
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
revolution,n. 革命；旋转；运行；循环
contributory,"n. 捐助者；贡献人
adj. 捐助的；贡献的；有助于…的"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
explanatory,adj. 解释的；说明的
explanation,n. 说明，解释；辩解
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
supportive,adj. 支持的；支援的；赞助的
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
conductive,adj. 传导的；传导性的；有传导力的
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
sorrowful,adj. 悲伤的，伤心的
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
careful,adj. 仔细的，小心的
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
forgetful,adj. 健忘的；不注意的；疏忽的；使遗忘的
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
chilly,adj. 寒冷的；怕冷的
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
beastly,"adj. 野蛮的；残忍的；可恶的
adv. 极，非常"
beast,n. 野兽；畜生，人面兽心的人
ghostly,adj. 幽灵的；可怕的；影子似的
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
childlike,adj. 天真烂漫的；孩子似的
statesmanlike,adj. 与政治家相称的；有政治家风度的
statesman,n. 政治家；国务活动家
foolish,adj. 愚蠢的；傻的
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
selfish,adj. 自私的；利己主义的
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
bothersome,adj. 麻烦的；令人讨厌的
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
quarrelsome,adj. 喜欢吵架的；好争论的
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
lonesome,"adj. 寂寞的；人迹稀少的
n. 自己"
lone,adj. 单身的；独自的；寂寞的；人迹稀少的
envious,adj. 羡慕的；嫉妒的
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
thunderous,adj. 像打雷的，隆轰隆响的；多雷的，强有力的
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
mountainous,adj. 多山的；巨大的；山一般的
