purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
depress,vt. 压抑；使沮丧；使萧条
avoid,vt. 避免；避开，躲避；消除
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
contempt,n. 轻视，蔑视；耻辱
underestimate,"n. 低估
vt. 低估；看轻"
ignore,vt. 驳回诉讼；忽视；不理睬
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
condemn,vt. 谴责；判刑，定罪；声讨
cater,vt. 投合，迎合；满足需要；提供饮食及服务
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
scrutiny,n. 详细审查；监视；细看；选票复查
tolerance,n. 公差；宽容；容忍；公差
controversial,adj. 有争议的；有争论的
ambiguous,adj. 模糊不清的；引起歧义的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
pessimistic,adj. 悲观的，厌世的；悲观主义的
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
criticism,n. 批评；考证；苛求
suspicious,adj. 可疑的；怀疑的；多疑的
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
overstate,vt. 夸张；夸大的叙述
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
confuse,vt. 使混乱；使困惑
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
perplex,vt. 使困惑，使为难；使复杂化
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicate,vt. 使复杂化；使恶化；使卷入
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
dilemma,n. 困境；进退两难；两刀论法
threat,n. 威胁，恐吓；凶兆
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
obstacle,n. 障碍，干扰；妨害物
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
opportunity,n. 时机，机会
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
compete,vi. 竞争；比赛；对抗
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
convention,n. 大会； 惯例； 约定； 协定；习俗
complaint,n. 抱怨；诉苦；疾病；委屈
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
strategy,n. 战略，策略
solution,n. 解决方案；溶液；溶解；解答
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
property,n. 性质，性能；财产；所有权
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
rather than,"na. 而不
 而不是；宁愿；与其"
counterpart,n. 副本；配对物；极相似的人或物
differentiate,"vt. 区分，区别
vi. 区分，区别"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
trait,n. 特性，特点；品质；少许
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
conversely,adv. 相反地
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
imitate,vt. 模仿，仿效；仿造，仿制
resemble,vt. 类似，像
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
similar,"n. 类似物
adj. 相似的"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
psychological,adj. 心理的；心理学的；精神上的
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
well-being,n. 幸福；康乐
mortality,n. 死亡数，死亡率；必死性，必死的命运
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
regulate,vt. 调节，规定；控制；校准；有系统的管理
administration,n. 管理；行政；实施；行政机构
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficient,adj. 有效率的；有能力的；生效的
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
affordable,adj. 负担得起的
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
manage to do, 设法做某事；设法做成某事；设法做成了某事
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
interaction,"n. 相互作用； 交互作用
n. 互动"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
maintain,vt. 维持；继续；维修；主张；供养
retain,vt. 保持；雇；记住
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prosperity,n. 繁荣，成功
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
thrive,vi. 繁荣，兴旺；茁壮成长
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
justice,n. 司法，法律制裁；正义；法官，审判员
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
obligation,n. 义务；职责；债务
status,n. 地位；状态；情形；重要身份
legal,adj. 法律的；合法的；法定的；依照法律的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legacy,n. 遗赠，遗产
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
guidance,n. 指导，引导；领导
overrule,vt. 否决；统治；对…施加影响
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
verify,vt. 核实；查证
valid,adj. 有效的；有根据的；合法的；正当的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
celebrity,n. 名人；名声
authority,n. 权威；权力；当局
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
comply,vi. 遵守；顺从，遵从；答应
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
deprive,vt. 使丧失，剥夺
exclude,vt. 排除；排斥；拒绝接纳；逐出
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
municipal,adj. 市政的，市的；地方自治的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
ethnic,adj. 种族的；人种的
rational,"n. 有理数
adj. 合理的；理性的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
virtue,n. 美德；优点；贞操；功效
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
curriculum,"n. 课程
总课程"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
inquiry,n. 探究；调查；质询
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
acknowledge,vt. 承认；答谢；报偿；告知已收到
recognise,vt. 认出；承认，认可；识别
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
assumption,n. 假定；设想；担任；采取
hypothesis,n. 假设
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
intuitive,adj. 直觉的；凭直觉获知的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
analysis,n. 分析；分解；验定
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
detect,vt. 察觉；发现；探测
pursuit,n. 追赶，追求；职业，工作
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
acquire,vt. 获得；取得；学到；捕获
obtain,"vi. 获得；流行
vt. 获得"
interpret,"vi. 解释；翻译
vt. 说明；口译"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
typical,adj. 典型的；特有的；象征性的
theoretic,adj. 理论上的；空谈的
practical,adj. 实际的；实用性的
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
capable,adj. 能干的，能胜任的；有才华的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
diligence,n. 勤奋，勤勉；注意的程度
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
peer review,"n. 同行评估
 同行评审；同侪审查；同行评议"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
likelihood,n. 可能性，可能
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
application,n. 应用；申请；应用程序；敷用
utilisation,n. 使用（等于utilization）；利用
prominent,adj. 突出的，显著的；杰出的；卓越的
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tendency,n. 倾向，趋势；癖好
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
immediate,adj. 立即的；直接的；最接近的
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
excessive,adj. 过多的，极度的；过分的
sufficient,adj. 足够的；充分的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
imply,vt. 意味；暗示；隐含
infer,"vi. 推断；作出推论
vt. 推断；推论"
symbol,n. 象征；符号；标志
symptom,n.  症状；征兆
popularity,n. 普及，流行；名气；受大众欢迎
prevail,vi. 盛行，流行；战胜，获胜
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
