shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
laborious,adj. 勤劳的；艰苦的；费劲的
privatize,vt. 使私有化；使归私有
manual,"adj. 手工的；体力的
n. 手册，指南"
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
spatial,adj. 空间的；存在于空间的；受空间条件限制的
respective,adj. 分别的，各自的
minimal,adj. 最低的；最小限度的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
nausea,n. 恶心，晕船；极端的憎恶
opt,vi. 选择
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
mansion,n. 大厦；宅邸
optimistic,adj. 乐观的；乐观主义的
pandemic,"adj. （疾病等）（全国、全球i）流行的；普遍的
n. 流行性疾病"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
loathe,vt. 讨厌，厌恶
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
anecdote,n. 轶事；奇闻；秘史
herb,n. 香草，药草
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
priority,n. 优先；优先权； 优先次序；优先考虑的事
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
sake,n. 目的；利益；理由；日本米酒
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
satirical,adj. 讽刺性的；讥讽的；爱挖苦人的
cleanse,vt. 净化；使…纯净；使…清洁
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
substance,n. 物质；实质；资产；主旨
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
ubiquitous,adj. 普遍存在的；无所不在的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
beneficial,adj. 有益的，有利的；可享利益的
symbolism,n. 象征，象征主义；符号论；记号
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
valid,adj. 有效的；有根据的；合法的；正当的
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
credulous,adj. 轻信的；因轻信而产生的
decadent,"adj. 颓废的；衰微的
n. 颓废者"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
zoologist,n. 动物学家
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
tiresome,adj. 烦人的，无聊的；令人讨厌的
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
assure,vt. 保证；担保；使确信；弄清楚
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
atrocious,adj. 凶恶的，残暴的
beset,vt. 困扰；镶嵌；围绕
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
continuous,adj. 连续的，持续的；继续的；连绵不断的
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
loath,adj. 勉强的；不情愿的（等于loth）
decelerate,"vt. 使减速
vi. 减速，降低速度"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
dizziness,n. 头晕；头昏眼花
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
clearance,n. 清除；空隙
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
exclude,vt. 排除；排斥；拒绝接纳；逐出
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
benefactor,n. 恩人；捐助者；施主
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
flora,n. 植物区系；植物群
furthermore,adv. 此外；而且
grievance,n. 不满，不平；委屈；冤情
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
hence,adv. 因此；今后
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
heritage,n. 遗产；传统；继承物；继承权
immediate,adj. 立即的；直接的；最接近的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
imminent,adj. 即将来临的；迫近的
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
insincere,adj. 不诚实的；虚假的
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
manpower,n. 人力；人力资源；劳动力
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
refute,vt. 反驳，驳斥；驳倒
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
purely,adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
oppressive,adj. 压迫的；沉重的；压制性的；难以忍受的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
option,n.  选项；选择权；买卖的特权
plank,"n.  厚木板；支架；政纲条款
vt. 在…上铺板；撂下；立刻付款"
commencement,n. 开始，发端；毕业典礼
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
regretful,adj. 后悔的，遗憾的；惋惜的
steak,n. 牛排；肉排；鱼排
paralyze,vt. 使麻痹；使瘫痪
resounding,"adj. 响亮的；轰动的；彻底的
v. 回响（resound的ing形式）"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
facilitate,vt. 促进；帮助；使容易
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
ultimately,adv. 最后；根本；基本上
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
weaponry,n. 兵器，武器（总称）
subsistence,n. 生活；生存；存在
youth,n. 青年；青春；年轻；青少年时期
abdomen,n. 腹部；下腹；腹腔
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
wean,"n. （苏格兰）幼儿
vt. 使断奶；使断念；使放弃"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
subsidize,vt. 资助；给与奖助金；向…行贿
punctual,adj. 准时的，守时的；精确的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
startling,adj. 令人吃惊的
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
brink,n. （峭壁的）边缘
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
catastrophe,n. 大灾难；大祸；惨败
refugee,n. 难民，避难者；流亡者，逃亡者
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
confer,"vt. 授予；给予
vi. 协商"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
faculty,n. 科，系；能力；全体教员
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
decent,adj. 正派的；得体的；相当好的
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
enforce,vt. 实施，执行；强迫，强制
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
sovereignty,n. 主权；主权国家；君主；独立国
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
effort,n. 努力；成就
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
substitution,n. 代替； 置换；代替物
fund,"n. 基金；资金；存款
vt. 投资；资助"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
grief,n. 悲痛；忧伤；不幸
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
hemisphere,n. 半球
continual,adj. 持续不断的；频繁的
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
insight,n. 洞察力；洞悉
install,vt. 安装；任命；安顿
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
invaluable,adj. 无价的；非常贵重的
kindle,"vt. 点燃；激起；照亮
vi. 发亮；着火；激动起来"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
loft,"n. 阁楼；顶楼；鸽房
vt. 把…储放在阁楼内
vi. 将球高击"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manuscript,"n.  手稿；原稿
adj. 手写的"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
naked,adj. 裸体的；无装饰的；无证据的；直率的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
optional,"adj. 可选择的，随意的
n. 选修科目"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
denude,vt. 剥夺；使裸露
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
dynastic,adj. 王朝的；朝代的
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
enquiry,n.  询问， 询盘
regulate,vt. 调节，规定；控制；校准；有系统的管理
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
restoration,n. 恢复；复位；王政复辟；归还
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
ruthless,adj. 无情的，残忍的
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
beneath,"prep. 在…之下
adv. 在下方"
swipe,"n. 猛击；尖刻的话
vt. 猛击；偷窃；刷…卡
vi. 猛打；大口喝酒"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
sympathy,n. 同情；慰问；赞同
exuberant,adj. 繁茂的；生气勃勃的，充溢的
threatening,"v. 威胁；恐吓；迫近（threaten的ing形式）
adj. 危险的；胁迫的；凶兆的"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
turmoil,n. 混乱，骚动
unanimous,adj. 全体一致的；意见一致的；无异议的
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
youngster,n. 年轻人；少年
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
abduct,vt. 绑架；诱拐；使外展
concession,n. 让步；特许（权）；承认；退位
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
miraculous,adj. 不可思议的，奇迹的
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
breakup,n. 解体；分裂；崩溃；馏分组成；停止
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
adapt,"vi. 适应
vt. 使适应；改编"
cliff,n. 悬崖；绝壁
inevitable,adj. 必然的，不可避免的
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
depress,vt. 压抑；使沮丧；使萧条
context,n. 环境；上下文；来龙去脉
helmet,n. 钢盔，头盔
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
decisive,adj. 决定性的；果断的，坚定的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
dazzling,"adj. 耀眼的；眼花缭乱的
v. 使…眼花（dazzle的ing形式）"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
discrepancy,n. 不符；矛盾；相差
commitment,n. 承诺，保证；委托；承担义务；献身
diversion,n. 转移；消遣；分散注意力
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
fad,n. 时尚；一时的爱好；一时流行的狂热
ego,n. 自我；自负；自我意识
carefree,adj. 无忧无虑的；不负责的
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
exception,n. 例外；异议
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
flawless,adj. 完美的；无瑕疵的；无裂缝的
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
groggy,adj. 酒醉的，无力的；东歪西倒的
subsidy,n. 补贴；津贴；补助金
hierarchy,n. 层级；等级制度
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
indefinite,adj. 不确定的；无限的；模糊的
ankle,n. 踝关节，踝
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
invasion,n. 入侵，侵略；侵袭；侵犯
kidney,n.  肾脏；腰子；个性
languid,adj. 倦怠的；呆滞的；软弱无力的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
livestock,n. 牲畜；家畜
grid,n. 网格；格子，栅格；输电网
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
musty,adj. 发霉的；落伍的；冷淡的
neurotic,"adj. 神经过敏的；神经病的
n. 神经病患者；神经过敏者"
orator,n. 演说者；演讲者；雄辩家；原告
ownership,n. 所有权；物主身份
particle,n. 颗粒； 质点；极小量；小品词
pitfall,n. 陷阱，圈套；缺陷；诱惑
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
resonate,"vt. 共鸣；共振
vi. 共鸣；共振"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
restrict,vt. 限制；约束；限定
rusty,adj. 生锈的，腐蚀的；铁锈色的，锈色的；迟钝的
scarcely,adv. 几乎不，简直不；简直没有
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
stellar,adj. 星的；星球的；主要的；一流的
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
