more than,"na. …以上；比…更
 多于；超过；不止"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
pen friend,n. 笔友
Pleased to meet you!,找不到解释
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
world,n. 世界；领域；世俗；全人类；物质生活
often,adv. 常常，时常
difficult,adj. 困难的；不随和的；执拗的
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
chopsticks,n. 筷子
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
DVD,找不到解释
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
lucky,adj. 幸运的；侥幸的
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
its,pron. 它的
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
come out of,"na. 出自；(冲破…)出来
 从…出来；来自；大难不死"
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
long ago,"na. 从前；老早
 很久以前；早已；很久之前"
I'd love to,找不到解释
not really, 也不是；不完全是；不怎么好
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
camera,n. 照相机；摄影机
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
never,adv. 从未；决不
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
all around,"na. 四处；全面地；遍处；一一
 到处；周围；四周"
member state,"n. 会员国
 成员国；给成员国；主机成员状态"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
should,aux. 应该；就；可能；将要
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
stand in line, 站队；排队；站成一排
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
librarian,n. 图书馆员；图书管理员
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
No problem.,找不到解释
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
