agnostic,"n. 不可知论者
adj. 不可知论的"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
bellicose,adj. 好战的；好斗的
rebellion,n. 叛乱；反抗；谋反；不服从
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
beneficent,adj. 慈善的；善行的
beneficial,adj. 有益的，有利的；可享利益的
benevolent,adj. 仁慈的；慈善的；亲切的
benediction,n. 祝福；赐福；恩赐；祈求上帝赐福的仪式
benefactor,n. 恩人；捐助者；施主
bifurcate,"adj. 分叉的
vt. 分叉
vi. 分叉"
bilingual,"n. 通两种语言的人
adj. 双语的"
biped,"n. 两足动物
adj. 有两足的"
duality,n. 二元性； 二象性
duet,n. 二重奏；二重唱
full-bodied,adj. 浓郁的；醇厚的；魁梧的；躯体大的
antibody,n.  抗体
bodyguard,n. 保镖
busybody,n. 好事的人；爱管闲事的人
disembodied,adj. 空洞的；无实质的；无实体的
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
brevity,n. 简洁，简短；短暂，短促
abridge,vt. 删节；缩短；节略
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
debrief,vt. 盘问；听取报告
calcium,n.  钙
calcification,n. 钙化；石灰化
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
candor,n. 坦白；直率
candid,adj. 公正的；坦白的；率直的；偷拍的
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
incandescent,adj. 辉耀的；炽热的；发白热光的
capable,adj. 能干的，能胜任的；有才华的
incapacitate,vt. 使无能力；使不能；使不适于
captious,adj. 挑剔的；吹毛求疵的
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
captivate,vt. 迷住，迷惑
capitulate,vi. 认输，屈服；屈从，停止反抗；有条件投降；让步
recapitulation,n. 概括；重述要点；再现部
cataclysmic,adj. 大变动的；洪水的
catastrophe,n. 大灾难；大祸；惨败
catalyze,vt. 催化；刺激，促进
catalyst,n.  催化剂；刺激因素
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
cavern,"n. 洞穴；凹处
vt. 挖空；置…于洞穴中"
concave,"n. 凹面
adj. 凹的，凹面的
vt. 使成凹形"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
accede,vi. 加入；同意；就任
accessible,adj. 易接近的；可进入的；可理解的
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
excessive,adj. 过多的，极度的；过分的
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
recede,"vi. 后退；减弱
vt. 撤回"
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
centrifuge,"n. 离心机； 离心分离机
vt. 用离心机分离；使…受离心作用"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
egocentric,"adj.  自我中心的；利己主义的
n. 利己主义者"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circuitous,adj. 迂曲的；绕行的；迂回线路的
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
cyclical,adj. 周期的，循环的
cyclone,n. 旋风； 气旋；飓风
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
encyclopedia,n. 百科全书（亦是encyclopaedia）
circumference,n. 圆周；周长；胸围
circumlocution,n. 婉转曲折的说法，累赘的陈述；遁辞
circumspect,adj. 细心的，周到的；慎重的
circumvent,v. 包围；智取；绕行，规避
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
concise,adj. 简明的，简洁的
precis,"n. 摘要；大纲
vt. 概括…的大意；为…写摘要"
precise,adj. 精确的；明确的；严格的
incise,vt. 切；切割；雕刻
incisive,adj. 深刻的；敏锐的；锋利的
excise,"n. 消费税；货物税
vt. 切除；收税"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
incite,vt. 煽动；激励；刺激
solicitous,adj. 热切期望的；热心的；挂念的
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
resuscitate,"vt. 使复苏；使复兴
vi. 恢复；复兴"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
include,vt. 包含，包括
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusive,adj. 决定性的；最后的；确实的；确定性的
occlude,"vt. 使闭塞；封闭；挡住
vi. 咬合"
recluse,"n. 隐士；隐居者
adj. 隐居的"
seclusion,n. 隔离；隐退；隐蔽的地方
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contravene,vt. 抵触；违反；反驳；否认
counterargument,n. 抗辩；辩论；用来反驳的论点
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
countermand,"vt. 取消，撤消；下反对命令召回
n. 取消；反对命令"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
autocracy,n. 独裁政治；专制政治；独裁政府；独裁统治的国家
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
bureaucracy,n. 官僚主义；官僚机构；官僚政治
democracy,n. 民主，民主主义；民主政治
gerontocracy,n. 老人政治；老人政府
technocracy,n. 专家管理；专家政治论，技术统治论
creative,adj. 创造性的
creature,n. 动物，生物；人；创造物
accrete,"adj. 合生的；增积的
vt. 使依附；使连接；把…吸引过来
vi. 合生；增大生长；依附"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
credible,adj. 可靠的，可信的
credence,n. 信任；凭证；祭器台（等于credence table，credenza）
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
credulous,adj. 轻信的；因轻信而产生的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
recriminate,vi. 反责；反唇相讥
incriminate,vt. 控告；暗示...有罪
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
curative,"n. 药品；治疗法
adj. 有疗效的；治病的"
curator,n. 馆长；监护人；管理者
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
epicure,n. 老饕；美食家；享乐主义者
procure,"vt. 获得，取得；导致
vi. 取得"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
recurrent,adj. 复发的；周期性的，经常发生的
concur,vi. 同意；一致；互助
occurrence,n. 发生；出现；事件；发现
cursory,adj. 粗略的；草率的；匆忙的
precursory,adj. 前兆的（等于precursive）；先驱的
excursive,adj. 离题的；散漫的
discursive,adj. 散漫的；离题的；东拉西扯的；无层次的
incursion,n. 入侵；侵犯
decent,adj. 正派的；得体的；相当好的
indecency,n. 猥亵；下流；无礼
decorous,adj. 有礼貌的，高雅的；端正的
decorum,n. 礼仪；礼貌；端正；恪守礼仪
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
democracy,n. 民主，民主主义；民主政治
demagogue,n. 煽动者；煽动家；煽动政治家
demography,n. 人口统计学
endemic,"n. 地方病
adj. 地方性的；风土的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
pandemic,"adj. （疾病等）（全国、全球i）流行的；普遍的
n. 流行性疾病"
dent,"n. 凹痕；削弱；减少；齿
vt. 削弱；使产生凹痕
vi. 产生凹陷；凹进去；削减"
dentist,"n. 牙科医生
牙医诊所"
denture,n. 齿列，托牙；一副假牙
indent,"n. 缩进；订货单；凹痕；契约
vi. 切割成锯齿状
vt. 定货；缩排；印凹痕"
rodent,"n.  啮齿动物
adj. 啮齿类的；咬的，嚼的；侵蚀性的"
indict,vt. 控告，起诉； 揭发
verdict,n. 结论；裁定
valediction,n. 告别演说；告别词
vindicate,vt. 维护；证明…无辜；证明…正确
vindictive,adj. 怀恨的；有报仇心的；惩罚的
benediction,n. 祝福；赐福；恩赐；祈求上帝赐福的仪式
dictionary,n. 字典；词典
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
domineering,"adj. 跋扈的；专横的；盛气凌人的
v. 实行暴政；高耸；流行（domineer的ing形式）"
indomitable,adj. 不屈不挠的；不服输的；不气馁的
duct,"n. 输送管，导管
vt. 用导管输送；以导管封住"
aqueduct,n.  渡槽；导水管；沟渠
conductor,n. 导体；售票员；领导者；管理人
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
conducive,adj. 有益的；有助于…的
inducement,n. 诱因，刺激物
irreducible,adj.  不可约的；不能削减的；不能复归的
deduce,vt. 推论，推断；演绎出
deduct,vt. 扣除，减去；演绎
deductive,adj. 演绎的；推论的；推断的
educate,"vt. 教育；培养；训练
vi. 教育；训练"
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
durable,"n. 耐用品
adj. 耐用的，持久的"
duration,"n. 持续，持续的时间，期间
音长，音延"
indurate,"adj. 冷酷的；顽固的；硬化的
vt. 使硬化；使坚固；变坚固；使冷酷
vi. 硬化，坚硬；巩固起来"
obdurate,adj. 顽固的，执拗的；冷酷无情的
earplug,n. 耳栓
earring,"n. 耳环，耳饰
v. 抽穗；听见（ear的ing形式）"
earshot,n. 听力所及之范围
eavesdropper,n. 偷听者
earsplitting,adj. 震耳欲聋的
enable,vt. 使能够，使成为可能；授予权利或方法
ennoble,vt. 使…成为贵族；使…高贵；授予爵位
ensemble,"n. 全体；总效果；全套服装；全套家具；合奏组
adv. 同时"
enfranchise,vt. 给予选举权；给予自治权；解放，释放
engulf,vt. 吞没；吞食，狼吞虎咽
enhance,vt. 提高；加强；增加
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enrich,vt. 使充实；使肥沃；使富足
adequate,adj. 充足的；适当的；胜任的
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equate,"vt. 使相等；视为平等
vi. 等同"
equitable,adj. 公平的，公正的；平衡法的
equable,adj. 平静的；变动小的
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
equilibrium,n. 均衡；平静；保持平衡的能力
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
equanimity,n. 平静；镇定
aesthete,n. 唯美主义者；审美家
anesthetic,"n. 麻醉剂，麻药
adj. 麻醉的；感觉缺失的"
anesthesia,n. 麻醉；麻木（等于anaesthesia）
eulogy,n. 悼词；颂词；颂扬；赞词
eulogize,vt. 颂扬；称赞
euphoria,n. 精神欢快， 欣快；兴高采烈；欣快症；幸福愉快感
euphonious,adj. 悦耳的
exit,"n. 出口，通道；退场
vi. 退出；离去"
exigent,adj. 迫切的；紧急的；苛求的
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extort,vt. 敲诈；侵占；强求；牵强地引出
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extradition,n. 引渡；亡命者送还本国
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
extricate,vt. 使解脱；解救；使游离
exodus,n. 《出埃及记》（《圣经》第二卷）
facade,n. 正面；表面；外观
facetious,adj. 诙谐的；爱开玩笑的；滑稽的；(尤指在不合适的时候)开玩笑的
barefaced,adj. 公然的；厚颜无耻的；不戴面具的
deface,vt. 损伤外观，丑化
efface,vt. 抹去，抹掉；使自己不受人注意
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
factual,adj. 事实的；真实的
affected,"adj. 受到影响的；做作的；假装的
vt. 影响；假装；使…感动（affect的过去式和过去分词）"
affection,n. 喜爱，感情；影响；感染
affectionate,"adj. 深情的；
adj. 充满爱的；"
disaffect,vt. 使疏远；使不满意；使成为敌人
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
feckless,adj. 无效的；软弱的；没精神的；不负责任的；无气力的
infection,n. 感染；传染；影响；传染病
disinfect,vt. 将…消毒
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
failure,n. 失败；故障；失败者；破产
fallacy,n. 谬论，谬误
fallible,adj. 易犯错误的；不可靠的
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
faultless,adj. 完美的；无缺点的
faultfinder,n. 挑剔；吹毛求疵的人
defend,"vi. 保卫；防守
vt. 辩护；防护"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
fender,n. （汽车等的）挡泥板；防卫物；（暖炉的）炉围；（船只的）碰垫
fervent,adj. 热心的；强烈的；炽热的；热烈的
fervor,n. 热情；热烈；热心；炽热
fervid,adj. 热的；热心的
effervescent,adj. 冒泡的，沸腾的；兴奋的
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
officiate,"vt. 主持（仪式）；行使（职务）；担任裁判
vi. 执行职务；主持宗教仪式；当体育比赛裁判"
officious,adj. 多管闲事的；非官方的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
fidelity,n. 保真度；忠诚；精确；尽责
perfidy,n. 不诚实；背信弃义
affidavit,n. 宣誓书
confident,adj. 自信的；确信的
confidant,n. 知己；密友
confidential,adj. 机密的；表示信任的；获信任的
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
define,vt. 定义；使明确；规定
definite,adj. 一定的；确切的
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
definition,n. 定义； 清晰度；解说
finality,n. 定局；终结；结尾；最后的事物；最后的言行
finale,n. 结局；终曲；最后一场；最后乐章；尾声
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
infinity,n. 无穷；无限大；无限距
infinitesimal,"adj. 无穷小的；无限小的；极小的
n. 无限小；极微量；极小量"
affinity,n. 密切关系；吸引力；姻亲关系；类同
flex,"n. 屈曲；电线；松紧带
vt. 折曲；使收缩
adj. 弹性工作制的
vi. 弯曲；收缩"
flexible,adj. 灵活的；柔韧的；易弯曲的
deflect,"vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
fluent,adj. 流畅的，流利的；液态的；畅流的
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
confluence,n. （河流的）汇合、汇流点；（人或物的）聚集
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
influx,n. 流入；汇集；河流的汇集处
mellifluous,adj. 流畅的；如蜜般的
superfluous,adj. 多余的；不必要的；奢侈的
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
forebear,n. 祖先；祖宗
foreboding,"n. 预感；先兆；预兆
adj. 预感的；不祥之兆的"
foresee,vt. 预见；预知
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
deform,"adj. 畸形的；丑陋的
vi. 变形；变畸形
vt. 使变形；使成畸形"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
formality,n. 礼节；拘谨；仪式；正式手续
formation,n. 形成；构造；编队
formulate,vt. 规划；用公式表示；明确地表达
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conformist,n. 英国国教徒；遵奉者
performance,n. 性能；绩效；表演；执行；表现
effortless,adj. 容易的；不费力气的
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
fortitude,n. 刚毅；不屈不挠；勇气
forcibly,adv. 用力地；强制地；有说服力地
enforce,vt. 实施，执行；强迫，强制
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
fractious,adj. 易怒的；倔强的，难以对待的
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
refractory,"n. 倔强的人；耐火物质
adj. 难治的；难熔的；不听话的"
infraction,n. 违反
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
up-front,adj. 预先的；坦率的
affront,"n. 轻蔑；公开侮辱
vt. 冒犯，有意冒犯；面对；公开侮辱"
confront,vt. 面对；遭遇；比较
effrontery,n. 厚颜无耻
functional,adj. 功能的
functionary,"n. 官员，公务员
adj. 官员的，公务员的；职务上的"
dysfunctional,"机能失调的,功能障碍的"
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
perfunctory,adj. 敷衍的；马虎的；得过且过的
suffuse,vt. 充满；弥漫
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
effusive,adj. 流出的；感情横溢的
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
profuse,adj. 丰富的；很多的；慷慨的；浪费的
defuse,vt. 平息；去掉…的雷管；使除去危险性
generality,n. 概论；普遍性；大部分
generalization,n. 概括；普遍化；一般化
generic,adj. 类的；一般的；属的；非商标的
genial,adj. 亲切的，友好的；和蔼的；适宜的
congenial,adj. 意气相投的；性格相似的；适意的；一致的
generation,n. 一代；产生；一代人；生殖
generator,n. 发电机；发生器；生产者
engender,"vt. 使产生；造成
vi. 产生；引起"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
ignorant,adj. 无知的；愚昧的
agnostic,"n. 不可知论者
adj. 不可知论的"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
retrograde,"adj. 倒退的；退化的；次序颠倒的
vt. 使倒退
vi. 逆行；倒退；退步
adv. 倒退地；向后地"
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
low-grade,adj. 低级的；品质低劣的
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
grandeur,n. 壮丽；庄严；宏伟
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
grandiloquent,adj. 夸张的；夸大的；大言不惭的
aggrandize,vt. 增加；夸大；强化
gratify,vt. 使满足；使满意，使高兴
gratitude,n. 感谢（的心情）；感激
gratis,"adj. 免费的
adv. 免费地"
gratuity,n. 赏钱，小费；赠物； 退职金
gratuitous,adj. 无理由的，无端的；免费的
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
gregarious,adj. 社交的；群居的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
digress,vi. 离题；走向岔道
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
regressive,adj. 回归的；后退的；退化的
transgress,"vt. 违反；侵犯；犯罪
vi. 违反；违法；越界"
egress,"n. 外出；出口
vt. 使外出
vi. 外出"
habitable,adj. 可居住的；适于居住的
habituate,"vt. 使习惯于，使熟悉于
vi. 上瘾"
habitual,adj. 习惯的；惯常的；习以为常的
habitat,n.  栖息地，产地
cohabit,vi. 同居（尤指未婚而同居者）
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
handily,adv. 方便地；敏捷地；灵巧地
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
handcuff,"n. 手铐；思想上的桎梏
vt. 给…戴上手铐；限制"
handshake,n. 握手
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
offhand,"adj. 随便的；即时的；无准备的；即席的
adv. 随便地；即席地；即时地"
hapless,adj. 运气不好的，倒霉的
mishap,n. 灾祸；不幸事故；晦气
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
headstrong,adj. 任性的；顽固的；刚愎的
hot-headed,adj. 急躁的
figurehead,n. 破浪神；有名无实的领袖；装饰船头的人像
