bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
froth,"n. 泡沫，泡；口沫
vi. 吐白沫；起泡沫
vt. 使生泡沫"
woe,"n. 悲哀，悲痛；灾难
int. 唉（表示痛苦，悲伤或悔恨）"
harp,"n. 竖琴
vi. 弹奏竖琴；喋喋不休；不停地说"
conjure,"vt. 念咒召唤；用魔法驱赶；提出，想象；恳求
vi. 施魔法；变魔术"
infirm,adj. 衰弱的；意志薄弱的；不坚固的
fugitive,"n. 逃亡者；难捕捉之物
adj. 逃亡的；无常的；易变的"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
maniac,"n. 疯子，躁狂者
adj. 发狂的；狂热的；癫狂的"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
respondent,"n.  被告；应答者
adj. 回答的；应答的"
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
speculate,"vi. 推测；投机；思索
vt. 推断"
lucrative,adj. 有利可图的，赚钱的；合算的
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
airborne,adj.  空运的；空气传播的；风媒的
eager,adj. 渴望的；热切的；热心的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
chivalry,n. 骑士精神（复数chivalries）；骑士制度
generate,vt. 使形成；发生；生殖；产生物理反应
conscript,"n. 应征士兵
adj. 被征召的
vt. 征召"
disposal,n. 处理；支配；清理；安排
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
impious,adj. 不虔诚的；不孝的；不敬的
rinse,"n. 冲洗；漂洗； 染发剂；染发
vt. 漱；冲洗掉；漂净
vi. 冲洗掉；漂净"
entrust,vt. 委托，信托
hallucinate,"vt. 使产生幻觉
vi. 出现幻觉"
amicable,adj. 友好的；友善的
invidious,adj. 诽谤的；不公平的；引起反感的；易招嫉妒的
candid,adj. 公正的；坦白的；率直的；偷拍的
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
avenge,"vt. 替…报仇
vi. 报复，报仇"
vitalize,vt. 赋予…生命；激发；使有生气
facile,"adj. （言语或理论）轻率的，未经深思熟虑的
adj. 温和的；灵巧的；易做到的"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
despoil,vt. 掠夺，剥夺；夺取
maim,vt. 使残废
penalize,vt. 处罚；处刑；使不利
imperil,vt. 危及；使陷于危险
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
trundle,"n. 滚动；小脚轮
vt. 使滚动；运送
vi. 滚动；移动"
extrapolate,"vt. 外推；推断
vi. 外推；进行推断"
insuperable,adj. 不能克服的；无敌的
electrocute,vt. （美）以电椅处死；使触电致死
interminable,adj. 冗长的；无止尽的
rely,vi. 依靠；信赖
mastermind,"vt. 策划
n. 优秀策划者；才子"
thereto,adv. 另外；到那
cyclic,adj. 环的；循环的；周期的
cyclical,adj. 周期的，循环的
notoriety,n. 恶名；声名狼藉；丑名
abound,vi. 富于；充满
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
credibility,n. 可信性；确实性
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
impede,vt. 阻碍；妨碍；阻止
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
existence,n. 存在，实在；生存，生活；存在物，实在物
horrid,adj. 可怕的；恐怖的；极讨厌的
usurp,"vt. 篡夺；夺取；侵占
vi. 篡夺；篡权"
veer,"n. 转向；方向的转变
vt. 使转向；使顺风；使船尾向上风
vi. 转向；改变观点；风向顺时针转；调转船尾向上风"
redolent,adj. 芬芳的；有…香味的；令人想起…的
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
obscenity,n. 猥亵，淫秽；猥亵的言语（或行为）
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
filial,adj. 孝顺的；子女的，当做子女的
exonerate,vt. 使免罪
straggle,"n. 散乱
vi. 迷路；落伍，掉队；四散，蔓延"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
lethal,"adj. 致命的，致死的
n. 致死因子"
intoxicate,"vt. 使陶醉；使喝醉；使中毒
vi. 醉"
lukewarm,adj. 冷淡的；微温的；不够热心的
antagonize,"vt. 使…敌对；使…对抗；对…起反作用
vi. 引起反抗"
ominous,adj. 预兆的；不吉利的
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
conversant,adj. 熟悉的；精通的；亲近的
wilt,"n. 枯萎；憔悴；衰弱
vi. 枯萎；畏缩；衰弱
vt. 使枯萎；使畏缩；使衰弱"
pathologic,adj. 病理学的；病态的
pathological,adj. 病理学的；病态的；由疾病引起的（等于pathologic）
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
juxtapose,vt. 并列；并置
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
heretofore,adv. 直到此时，迄今为止；在这以前
relapse,"n. 复发，再发；故态复萌；回复原状
vi. 故态复萌；旧病复发；再度堕落；再陷邪道"
threat,n. 威胁，恐吓；凶兆
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
relent,"v. 再借给（relend的过去分词）
vt. 使变温和；减轻
vi. 变温和，变宽厚；减弱；缓和"
amalgamate,"vt. 合并；使（金属）汞齐化；混合
vi. 合并；汞齐化；调制汞合金"
disjointed,adj. 脱节的；杂乱的；脱臼的
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
crooked,adj. 弯曲的；歪的；不正当的
dexterity,n. 灵巧；敏捷；机敏
entitle,vt. 称做…；定名为…；给…称号；使…有权利
imbue,vt. 灌输；使感染；使渗透
overt,adj. 明显的；公然的；蓄意的
dither,"n. 发抖；递色； 高频脉动
vi. 踌躇；发抖；犹豫"
transpire,"vt. 使蒸发；使排出
vi. 发生；蒸发；泄露"
introspection,n. 内省；反省
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
downstream,"adj. 下游的；顺流的
adv. 下游地；顺流而下"
excise,"n. 消费税；货物税
vt. 切除；收税"
pornography,n. 色情文学；色情描写
resemble,vt. 类似，像
pamper,vt. 纵容；使…过量；给…吃得过多
brevity,n. 简洁，简短；短暂，短促
incapacitate,vt. 使无能力；使不能；使不适于
configuration,n. 配置；结构；外形
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
glum,adj. 阴沉的；忧郁的
irritant,"n.  刺激物， 刺激剂
adj. 刺激的；刺激性的"
animosity,n. 憎恶，仇恨，敌意
perpetrate,vt. 犯（罪）；做（恶）
falsity,n. 虚伪；错误；谎言；不真实
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
faraway,adj. 遥远的；恍惚的
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
monumental,adj. 不朽的；纪念碑的；非常的
immaterial,adj. 非物质的；无形的；不重要的；非实质的
enliven,vt. 使活泼；使生动；使有生气，使活跃
flimsy,"n. 薄纸；复写纸；打字纸
adj. 脆弱的；浅薄的；易损坏的；不周密的"
phenomenal,adj. 现象的；显著的；异常的；能知觉的；惊人的，非凡的
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
falsify,"vt. 伪造；篡改；歪曲；证明...虚假
vi. 撒谎"
galvanize,vt. 镀锌；通电；刺激
remunerate,vt. 酬劳；给与报酬；赔偿
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
congenital,adj. 先天的，天生的；天赋的
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
nautical,adj. 航海的，海上的；船员的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
beguile,vt. 欺骗；使着迷；轻松地消磨
stuffy,adj. 闷热的；古板的；不通气的
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
impetuous,adj. 冲动的；鲁莽的；猛烈的
squall,"n. 暴风；麻烦；高声哭喊；尖叫
vt. 尖声叫着；大声哭喊；起风暴
vi. 嚎啕；尖叫"
reimburse,vt. 偿还；赔偿
embody,vt. 体现，使具体化；具体表达
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
demoralize,vt. 使道德败坏；使堕落；使士气低落
addictive,adj. 使人上瘾的
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
oncoming,"adj. 即将到来的；接近的；新兴的
n. 来临，接近"
prowess,n. 英勇；超凡技术；勇猛
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
uncharitable,adj. 严厉的；无情的；不宽恕的；无慈悲心的
vindicate,vt. 维护；证明…无辜；证明…正确
compulsion,n. 强制；强迫；强制力
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
devoid,adj. 缺乏的；全无的
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
purge,"n. 净化；泻药
vt. 净化；清洗；通便
vi. 净化；通便"
redemption,n. 赎回；拯救；偿还；实践
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
instigate,vt. 唆使；煽动；教唆；怂恿
inglorious,adj. 可耻的；不名誉的；不体面的
horseplay,n. 动手脚和大声欢笑的玩闹；恶作剧
boggle,"n. 犹豫，退缩；惊奇
vt. 搞糟，弄坏；使……惊奇；使……困惑
vi. 犹豫，退缩；惊恐"
vengeful,adj. 复仇的，报复的；复仇心重的
humdrum,"n. 单调；乏味
adj. 单调的；无聊的
vi. 单调乏味地进行"
manifestation,n. 表现；显示；示威运动
depress,vt. 压抑；使沮丧；使萧条
pacify,vt. 使平静；安慰；平定
exude,"vt. 散发；流出；使渗出
vi. 流出；渗出；发散"
verbatim,"adj. 逐字的
adv. 逐字地"
waver,"n. 动摇；踌躇；挥动者
vi. 摇曳；踌躇；摆动"
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
cuddle,"n. 搂抱，拥抱
vt. 拥抱；亲热地搂住；抚爱地拥抱
vi. 拥抱；偎依；舒服地贴著身睡"
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
snigger,"n. 窃笑；偷偷的笑
vi. 吃吃窃笑；暗笑"
impassioned,"adj. 充满激情的；感激的
v. 使充满激情（impassion的过去式和过去分词）"
hale,"adj. 矍铄的（尤指老人）；强壮的
vt. 迫使；猛拉
adv. 完全地
vi. 不断流出"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
sophisticate,"n. 久经世故的人；精通者
vt. 弄复杂；使变得世故；曲解
vi. 诡辩"
vanquish,vt. 征服；击败；克服；抑制（感情等）
incisive,adj. 深刻的；敏锐的；锋利的
outlandish,adj. 古怪的；奇异的；异国风格的；偏僻的
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
fabricate,vt. 制造；伪造；装配
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
