technology,n. 技术；工艺；术语
circulation,n. 流通，传播；循环；发行量
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
commerce,n. 贸易；商业；商务
comparison,n. 比较；对照；比喻；比较关系
confront,vt. 面对；遭遇；比较
confusion,n. 混淆，混乱；困惑
constitute,vt. 组成，构成；建立；任命
context,n. 环境；上下文；来龙去脉
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
controversy,n. 争论；论战；辩论
convenience,n. 便利；厕所；便利的事物
core,找不到解释
devote,vt. 致力于；奉献
disadvantage,n. 缺点；不利条件；损失
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
endorse,vt. 背书；认可；签署；赞同；在背面签名
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
freshman,n. 新手，生手；大学一年级学生
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
imagination,n.  想象力；空想；幻想物
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
infection,n. 感染；传染；影响；传染病
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intention,n. 意图；目的；意向；愈合
interpersonal,adj. 人际的；人与人之间的
intimacy,n. 性行为；亲密；亲昵行为；隐私
intolerant,adj. 无法忍受的；偏狭的
irrigation,n. 灌溉； 冲洗；冲洗法
merely,adv. 仅仅，只不过；只是
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
non-profit,adj. 非营利的
observation,n. 观察；监视；观察报告
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
parliament,n. 议会，国会
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
producer,n. 制作人，制片人；生产者；发生器
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
prosperity,n. 繁荣，成功
publicity,n. 宣传，宣扬；公开；广告；注意
qualification,n. 资格；条件；限制；赋予资格
recognition,n. 识别；承认，认出；重视；赞誉；公认
residence,n. 住宅，住处；居住
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
rigorous,adj. 严格的，严厉的；严密的；严酷的
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
underestimate,"n. 低估
vt. 低估；看轻"
urbanization,n. 都市化；文雅化
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
wildlife,"n. 野生动植物
adj. 野生动植物的"
accessible,adj. 易接近的；可进入的；可理解的
acre,n. 土地，地产；英亩
addiction,n. 上瘾，沉溺；癖嗜
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
alter,"vt. 改变，更改
vi. 改变；修改"
analyst,n. 分析者；精神分析医师；分解者
anxious,adj. 焦虑的；担忧的；渴望的；急切的
assumption,n. 假定；设想；担任；采取
badly,adv. 非常，很；严重地，厉害地；恶劣地
behavioral,adj. 行为的
biological,adj. 生物的；生物学的
candidate,n. 候选人，候补者；应试者
celebrity,n. 名人；名声
chaos,n. 混沌，混乱
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
cling,vi. 坚持，墨守；紧贴；附着
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
considerable,adj. 相当大的；重要的，值得考虑的
consideration,n. 考虑；原因；关心；报酬
constantly,adv. 不断地；时常地
construct,"n. 构想，概念
vt. 建造，构造；创立"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convey,vt. 传达；运输；让与
definitely,adv. 清楚地，当然；明确地，肯定地
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
depth,n.  深度；深奥
developmental,adj. 发展的；启发的
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
diverse,adj. 不同的；多种多样的；变化多的
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
ecological,adj. 生态的，生态学的
efficiently,adv. 有效地；效率高地（efficient的副词形式）
embed,vt. 栽种；使嵌入，使插入；使深留脑中
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
enterprise,n. 企业；事业；进取心；事业心
entrepreneur,n. 企业家；承包人；主办者
essentially,adv. 本质上；本来
exceed,"vt. 超过；胜过
vi. 超过其他"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
expansion,n. 膨胀；阐述；扩张物
expertise,n. 专门知识；专门技术；专家的意见
extracurricular,adj. 课外的；业余的；婚外的
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fiscal,adj. 会计的，财政的；国库的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
formerly,adv. 以前；原来
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
guilty,adj. 有罪的；内疚的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
incidence,n. 发生率；影响； 入射；影响范围
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
infect,vt. 感染，传染
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
jury,"n.  陪审团；评判委员会
adj. 应急的"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
liability,n. 责任；债务；倾向；可能性；不利因素
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
organic,adj.  有机的；组织的；器官的；根本的
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
prevail,vi. 盛行，流行；战胜，获胜
prolong,vt. 延长；拖延
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
publicly,adv. 公然地；以公众名义
pupil,n. 学生； 瞳孔；未成年人
pursuit,n. 追赶，追求；职业，工作
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
republican,"n. 共和党人
adj. 共和党的
共和的"
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
segregation,n. 隔离，分离；种族隔离
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
smoky,adj. 冒烟的；烟熏味的；熏着的；呛人的；烟状的
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
stressful,adj. 紧张的；有压力的
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
talented,adj. 有才能的；多才的
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
theft,n. 盗窃；偷；赃物
