abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
discover,"vi. 发现
vt. 发现；发觉"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
discuss,vt. 讨论；论述，辩论
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
domain,n. 领域；域名；产业；地产
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
edit,"vt. 编辑；校订
n. 编辑工作"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
elements,"n. 原理, 基础"
emphasize,vt. 强调，着重
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
establish,"vi. 植物定植
vt. 建立；创办；安置"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
event,n. 事件，大事；项目；结果
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
explain,v. 说明；解释
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
expository,adj. 说明的；解释的；评注的（等于expositive）
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
fact,n. 事实；实际；真相
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
figurative,adj. 比喻的；修饰丰富的；形容多的
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
footer,"n. 页脚
懒散地工作
懒散工作的人
的缩写
以英尺标注高度的人或物"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
formulate,vt. 规划；用公式表示；明确地表达
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
frequently,adv. 频繁地，经常地；时常，屡次
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
graphic,adj. 形象的；图表的；绘画似的
header,n. 头球；页眉；数据头；收割台
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hypothesize,"vt. 假设，假定
vi. 假设，假定"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imitate,vt. 模仿，仿效；仿造，仿制
imply,vt. 意味；暗示；隐含
inclined,"v. 使…倾向（incline的过去分词）
adj. 趋向于…的"
include,vt. 包含，包括
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
indicate,vt. 表明；指出；预示；象征
indirect,adj. 间接的；迂回的；非直截了当的
infer,"vi. 推断；作出推论
vt. 推断；推论"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
instructions,n. 指令；说明（instruction的复数形式）
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
intention,n. 意图；目的；意向；愈合
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
intermittent,adj. 间歇的；断断续续的；间歇性
interpret,"vi. 解释；翻译
vt. 说明；口译"
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
invariably,adv. 总是；不变地；一定地
investigate,v. 调查；研究
involve,vt. 包含；牵涉；使陷于；潜心于
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
irrelevant,adj. 不相干的；不切题的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
italics,n.  斜体字，斜体
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
literal,adj. 文字的；逐字的；无夸张的
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
logical,adj. 合逻辑的，合理的；逻辑学的
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
metaphor,n. 暗喻，隐喻；比喻说法
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
modify,"vt. 修改，修饰；更改
vi. 修改"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
motivation,n. 动机；积极性；推动
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
narrator,n. 叙述者；解说员
never,adv. 从未；决不
notation,n. 符号；乐谱；注释；记号法
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
occur,vi. 发生；出现；存在
opinion,n. 意见；主张
oppose,"vt. 反对；对抗，抗争
vi. 反对"
optional,"adj. 可选择的，随意的
n. 选修科目"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
origins,n. 起源（origin的复数）
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
paraphrase,"n. 释义；解释；意译
vt. 释义"
participation,n. 参与；分享；参股
passage,n. 一段（文章）；走廊；通路
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
perspective,"n. 观点；远景；透视图
adj. 透视的"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
plagiarism,n. 剽窃；剽窃物
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
portray,vt. 描绘；扮演
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
preclude,vt. 排除；妨碍；阻止
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prefix,"n. 前缀
vt. 加前缀；将某事物加在前面"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
probably,adv. 大概；或许；很可能
procedure,n. 程序，手续；步骤
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
proofread,"vt. 校对，校勘
vi. 做校对工作"
property,n. 性质，性能；财产；所有权
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
prove,"vi. 证明是
vt. 证明；检验；显示"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
quotation,n.  报价单；引用语；引证
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
rarely,adv. 很少地；难得；罕有地
reaction,n. 反应，感应；反动，复古；反作用
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relationship,n. 关系；关联
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
rephrase,vt. 改述；重新措辞
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
request,"n. 请求；需要
vt. 要求，请求"
require,vt. 需要；要求；命令
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
responsible,adj. 负责的，可靠的；有责任的
restate,vt. 重申；重新叙述；重讲
results,"n. 结果；成绩（result的复数）
v. 结果发生；终归（result的三单形式）"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
series,n. 系列，连续； 串联；级数；丛书
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
significance,n. 意义；重要性；意思
simile,n. 明喻；直喻
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
solve,"vt. 解决；解答；溶解
vi. 作解答"
source,n. 来源；水源；原始资料
spatial,adj. 空间的；存在于空间的；受空间条件限制的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
speculate,"vi. 推测；投机；思索
vt. 推断"
stance,n. 立场；姿态；位置；准备击球姿势
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
statement,n. 声明；陈述，叙述；报表，清单
strategy,n. 战略，策略
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subjective,adj. 主观的；个人的；自觉的
subsequent,adj. 后来的，随后的
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
succinct,adj. 简洁的；简明的；紧身的
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
synonym,n. 同义词；同义字
synthesize,"vt. 合成；综合
vi. 合成；综合"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
technique,n. 技巧，技术；手法
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
thesis,n. 论文；论点
timeline,n. 时间轴，时间线；大事年表
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
topic,n. 主题（等于theme）；题目；一般规则；总论
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
trait,n. 特性，特点；品质；少许
transition,n. 过渡；转变； 转换；变调
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
typically,adv. 代表性地；作为特色地
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
utilize,vt. 利用
valid,adj. 有效的；有根据的；合法的；正当的
variation,n. 变化； 变异，变种
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
verify,vt. 核实；查证
viewpoint,n. 观点，看法；视角
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
