ability,n. 能力，能耐；才能
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
aloud,adv. 大声地；出声地
already,adv. 已经，早已；先前
also,"conj. 并且；另外
adv. 也；而且；同样"
although,conj. 尽管；虽然；但是；然而
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
always,adv. 永远，一直；总是；常常
ambassador,n. 大使；代表；使节
ambulance,n.  救护车；战时流动医院
among,prep. 在…中间；在…之中
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
animal,"n. 动物
动物的"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
ant,n. 蚂蚁
anxious,adj. 焦虑的；担忧的；渴望的；急切的
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
anybody,"n. 重要人物
pron. 任何人"
anyhow,adv. 总之；无论如何；不管怎样
anyone,pron. 任何人；任何一个
anything,pron. 任何事
anyway,adv. 无论如何，不管怎样；总之
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
apartment,n. 公寓；房间
appear,vi. 出现；显得；似乎；出庭；登场
appearance,n. 外貌，外观；出现，露面
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
April,n. 四月
area,n. 区域，地区；面积；范围
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
argument,n. 论证；论据；争吵；内容提要
army,n. 陆军，军队
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
artwork,n. 艺术品；插图；美术品
arrival,n. 到来；到达；到达者
arrive,vi. 到达；成功；达成；出生
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
artillery,n. 火炮；大炮；炮队；炮术
artist,n. 艺术家；美术家（尤指画家）；大师
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
Asia,n. 亚洲
Asian,"n. 亚洲人
adj. 亚洲的；亚洲人的"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
aspirin,n. 阿司匹林（解热镇痛药）
astronaut,n. 宇航员，航天员；太空旅行者
astronomer,n. 天文学家
astronomy,n. 天文学
athlete,n. 运动员，体育家；身强力壮的人
athletic,adj. 运动的，运动员的；体格健壮的
atlas,n. 地图集；寰椎
Atlantic,"n. 大西洋
adj. 大西洋的"
atom,n. 原子
atop,"prep. 在…的顶上
adv. 在顶上"
audience,n. 观众；听众；读者；接见；正式会见；拜会
August,找不到解释
aunt,n. 阿姨；姑妈；伯母；舅妈
author,"n. 作者；作家；创始人
vt. 创作出版"
automobile,"n. 汽车
vt. 驾驶汽车
"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
avoid,vt. 避免；避开，躲避；消除
away,adv. 离去，离开；在远处
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
bacon,n. 咸肉；腌肉；熏猪肉
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
badly,adv. 非常，很；严重地，厉害地；恶劣地
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
bakery,n. 面包店
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
banana,n. 香蕉；喜剧演员；大鹰钩鼻
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
basic,"n. 基础；要素
adj. 基本的；基础的"
basketball,n. 篮球；篮球运动
bathroom,n. 浴室；厕所；盥洗室
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
beauty,n. 美；美丽；美人；美好的东西
because,conj. 因为
become,"vt. 适合；相称
vi. 成为；变得；变成"
bee,n. 蜜蜂，蜂；勤劳的人
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
beer,"n. 啤酒
vi. 喝啤酒"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
begin,"vi. 开始；首先
vt. 开始"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
behavior,n. 行为，举止；态度；反应
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
beside,prep. 在旁边；与…相比；和…无关
besides,"prep. 除…之外
adv. 此外；而且"
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
between,"prep. 在…之间
adv. 在中间"
beverage,n. 饮料
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
billionaire,n. 亿万富翁
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
biologist,n. 生物学家
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
birth,n. 出生；血统，出身；起源
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
blackboard,n. 黑板
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
blog,n. 博客；部落格；网络日志
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
bloodshed,n. 流血；杀戮
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
bookcase,n.  书柜，书架
booklet,n. 小册子
bookmark,n. 书签（等于bookmarker）；标记
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
born,"v. 出世（bear的过去分词）
adj. 天生的"
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
boy,n. 男孩；男人
boyhood,n. 童年，少年时代；男孩们
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
bridegroom,n. 新郎
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
briefcase,n. 公文包
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
brochure,n. 手册，小册子
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
brunch,n. 早午餐
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
Buddhism,n. 佛教
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
burglar,n. 夜贼，窃贼
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
bury,vt. 埋葬；隐藏
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
calorie,n. 卡路里（热量单位）
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
camera,n. 照相机；摄影机
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
cancer, 巨蟹座
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canteen,n. 食堂，小卖部；水壶
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
car,n. 汽车；车厢
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
careful,adj. 仔细的，小心的
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
casino,n. 俱乐部，赌场；娱乐场
cathedral,n. 大教堂
Catholic,找不到解释
cavity,n. 腔；洞，凹处
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cemetery,n. 墓地；公墓
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
century,n. 世纪，百年；（板球）一百分
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champagne,n. 香槟酒；香槟酒色
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
chef,n. 厨师，大师傅
chemical,"n. 化学制品，化学药品
adj. 化学的"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chemistry,n. 化学；化学过程
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
chiefly,adv. 主要地；首先
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
childlike,adj. 天真烂漫的；孩子似的
chimney,n. 烟囱
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
choose,"vt. 选择，决定
vi. 选择，挑选"
chopstick,n. 筷子
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
Christmas,n. 圣诞节；圣诞节期间
cinema,n. 电影；电影院；电影业，电影制作术
city,"n. 城市，都市
adj. 城市的；都会的"
civic,adj. 市的；公民的，市民的
classmate,n. 同班同学
classroom,n. 教室
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
clever,"adj. 聪明的；机灵的；熟练的
"
climate,n. 气候；风气；思潮；风土
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
cloth,"n. 布；织物；桌布
adj. 布制的"
clothe,vt. 给…穿衣；覆盖；赋予
clothes,n. 衣服
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
cloudy,adj. 多云的；阴天的；愁容满面的
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
coastal,adj. 沿海的；海岸的
coat,"n. 外套
vt. 覆盖…的表面"
coca-cola,找不到解释
cocaine,n.  可卡因
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
cocoa,n. 可可粉；可可豆；可可饮料；深褐色
coffee,n. 咖啡；咖啡豆；咖啡色
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
colleague,n. 同事，同僚
college,n. 大学；学院；学会
colonel,n. 陆军上校
color,"n. 颜色；肤色；颜料；脸色
vt. 粉饰；给...涂颜色；歪曲
vi. 变色；获得颜色"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
commodity,n. 商品，货物；日用品
communism,n. 共产主义
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
computer,n. 计算机；电脑；电子计算机
comrade,n. 同志；伙伴
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
condom,n. 避孕套；阴茎套
cone,"n. 圆锥体，圆锥形； 球果
vt. 使成锥形"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
Confucianism,n. 孔子学说；儒家思想
congratulation,n. 祝贺；贺辞
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
cornerstone,n. 基础；柱石；地基
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
corpse,n. 尸体
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
countryside,n. 农村，乡下；乡下的全体居民
courage,n. 勇气；胆量
cousin,n. 堂兄弟姊妹；表兄弟姊妹
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
cowboy,n. 牛仔；牧童；莽撞的人
coworker,n. 同事；合作者
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
crazy,adj. 疯狂的；狂热的，着迷的
create,vt. 创造，创作；造成
creation,n. 创造，创作；创作物，产物
creative,adj. 创造性的
creator,找不到解释
creek,n. 小溪；小湾
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
crocodile,n. 鳄鱼
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
crossroad,n. 十字路口；交叉路；岔道；重大的抉择关头
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
cucumber,n. 黄瓜；胡瓜
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
customer,n. 顾客；家伙
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
cyberspace,n. 网络空间；赛博空间
cyclist,n. 骑自行车的人
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
danger,n. 危险；危险物，威胁
dangerous,"adj. 危险的
危险地"
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
darling,n. 心爱的人；亲爱的
data,n. 数据（datum的复数）；资料
database,n. 数据库，资料库
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
daylight,n. 白天；日光；黎明；公开
daytime,n. 日间，白天
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
deaf,adj. 聋的
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
death,n. 死；死亡；死神；毁灭
decade,n. 十年，十年期；十
December,n. 十二月
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decision,n. 决定，决心；决议
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
deer,n. 鹿
degree,n. 程度，等级；度；学位；阶层
delta,n. （河流的）三角洲；德耳塔（希腊字母的第四个字）
dentist,"n. 牙科医生
牙医诊所"
department,n. 部；部门；系；科；局
depend,vi. 依赖，依靠；取决于；相信，信赖
dependence,n. 依赖；依靠；信任；信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
depth,n.  深度；深奥
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
destroy,vt. 破坏；消灭；毁坏
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
dialog,n. 对话；会话
