abandon,"n. 放任；狂热
vt. 遗弃；放弃"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
ailment,n. 小病；不安
assessment,n. 评定；估价
atmosphere,n. 气氛；大气；空气
authority,n. 权威；权力；当局
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakthrough,n. 突破；突破性进展
calamity,n. 灾难；不幸事件
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
captivity,n. 囚禁；被关
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
catastrophe,n. 大灾难；大祸；惨败
celebrity,n. 名人；名声
censorship,n. 审查制度；审查机构
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
circulation,n. 流通，传播；循环；发行量
cohesion,n. 凝聚；结合； 内聚力
communication,n. 通讯， 通信；交流；信函
compensation,n. 补偿；报酬；赔偿金
computer,n. 计算机；电脑；电子计算机
conservation,n. 保存，保持；保护
consumption,n. 消费；消耗；肺痨
contempt,n. 轻视，蔑视；耻辱
corruption,n. 贪污，腐败；堕落
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
coverage,n. 覆盖，覆盖范围；新闻报道
creativity,n. 创造力；创造性
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
critic,n. 批评家，评论家；爱挑剔的人
cultivation,n. 培养；耕作；耕种；教化；文雅
curiosity,n. 好奇，好奇心；珍品，古董，古玩
deception,n. 欺骗，欺诈；骗术
delinquency,n. 行为不良，违法犯罪；失职，怠工
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
destiny,n. 命运，定数，天命
destruction,n. 破坏，毁灭；摧毁
deterioration,n. 恶化；退化；堕落
dignity,n. 尊严；高贵
dilemma,n. 困境；进退两难；两刀论法
disaster,n. 灾难，灾祸；不幸
discrimination,n. 歧视；区别，辨别；识别力
disposal,n. 处理；支配；清理；安排
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
distinction,n. 区别；差别；特性；荣誉、勋章
distribution,n. 分布；分配
diversity,n. 多样性；差异
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
ecology,n. 生态学；社会生态学
elimination,n. 消除；淘汰；除去
elite,n. 精英；精华；中坚分子
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
enforcement,n. 执行，实施；强制
entertainment,n. 娱乐；消遣；款待
enthusiasm,n. 热心，热忱，热情
environment,n. 环境，外界
equality,n. 平等；相等； 等式
evaluation,n. 评价； 评估；估价；求值
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
extinction,n. 灭绝；消失；消灭；废止
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
flexibility,n. 灵活性；弹性；适应性
freedom,n. 自由，自主；直率
genius,n. 天才，天赋；精神
gratitude,n. 感谢（的心情）；感激
greed,n. 贪婪，贪心
guidance,n. 指导，引导；领导
harmony,n. 协调；和睦；融洽；调和
heritage,n. 遗产；传统；继承物；继承权
horizon,n.  地平线；视野；眼界；范围
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
hygiene,n. 卫生；卫生学；保健法
ignorance,n. 无知，愚昧；不知，不懂
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
indifference,n. 漠不关心；冷淡；不重视；中立
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
infrastructure,n. 基础设施；公共建设；下部构造
infringement,n. 侵犯；违反
innovation,n. 创新，革新；新方法
insight,n. 洞察力；洞悉
inspiration,n. 灵感；鼓舞；吸气；妙计
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intake,n. 摄取量；通风口；引入口；引入的量
integrity,n. 完整；正直；诚实；廉正
interaction,"n. 相互作用； 交互作用
n. 互动"
interference,n. 干扰，冲突；干涉
intervention,n. 介入；调停；妨碍
jeopardy,n. 危险；（被告处于被判罪或受处罚的）危险境地
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
liberty,n. 自由；许可；冒失
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
monopoly,n. 垄断；垄断者；专卖权
motivation,n. 动机；积极性；推动
nutrition,n. 营养，营养学；营养品
obesity,n. 肥大，肥胖
obligation,n. 义务；职责；债务
obstacle,n. 障碍，干扰；妨害物
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
participation,n. 参与；分享；参股
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
penalty,n. 罚款，罚金；处罚
peril,"n. 危险；冒险
vt. 危及；置…于险境"
perspective,"n. 观点；远景；透视图
adj. 透视的"
pollution,"n. 污染
污染物"
popularisation,n. <主英>=popularization
population,n. 人口； 种群， 群体；全体居民
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
poverty,n. 贫困；困难；缺少；低劣
preference,n. 偏爱，倾向；优先权
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preservation,n. 保存，保留
priority,n. 优先；优先权； 优先次序；优先考虑的事
privilege,"n. 特权；优待
vt. 给与…特权；特免"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
property,n. 性质，性能；财产；所有权
proponent,n. 支持者；建议者；提出认证遗嘱者
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
pursuit,n. 追赶，追求；职业，工作
replacement,n. 更换；复位；代替者；补充兵员
reputation,n. 名声，名誉；声望
reservation,n. 预约，预订；保留
resource,n. 资源，财力；办法；智谋
restriction,n. 限制；约束；束缚
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
safety,n. 安全；保险；安全设备；保险装置；安打
sanitation,n.  环境卫生；卫生设备；下水道设施
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
shortage,n. 缺乏，缺少；不足
source,n. 来源；水源；原始资料
species,"n.  物种；种类
adj. 物种上的"
stability,n. 稳定性；坚定，恒心
statistics,n. 统计；统计学； 统计资料
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
stimulation,n. 刺激；激励，鼓舞
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
strategy,n. 战略，策略
strength,n. 力量；力气；兵力；长处
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
subsistence,n. 生活；生存；存在
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
superiority,n. 优越，优势；优越性
superstition,n. 迷信
supervision,n. 监督，管理
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
surveillance,n. 监督；监视
survival,n. 幸存，残存；幸存者，残存物
symbol,n. 象征；符号；标志
symptom,n.  症状；征兆
talent,n. 才能；天才；天资
temptation,n. 引诱；诱惑物
tendency,n. 倾向，趋势；癖好
theory,n. 理论；原理；学说；推测
therapy,n. 治疗，疗法
threat,n. 威胁，恐吓；凶兆
tolerance,n. 公差；宽容；容忍；公差
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
trait,n. 特性，特点；品质；少许
tragedy,n. 悲剧；灾难；惨案
transformation,n.  转化；转换；改革；变形
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
urbanisation,n. 城市化（等于urbanization）
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
variety,n. 多样；种类；杂耍；变化，多样化
vegetation,n. 植被；植物，草木；呆板单调的生活
victim,n. 受害人；牺牲品；牺牲者
vigour,n. 活力；气势
violation,n. 违反；妨碍，侵害；违背；强奸
violence,n. 暴力；侵犯；激烈；歪曲
virtue,n. 美德；优点；贞操；功效
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
vitality,n. 活力，生气；生命力，生动性
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
weakness,n. 弱点；软弱；嗜好
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
wisdom,n. 智慧，才智；明智；学识；至理名言
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
yearning,"n. 渴望；怀念；同情
v. 渴望；向往；想念（yearn的ing形式）
adj. 向往的；渴望的；怀念的"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
abnormal,adj. 反常的，不规则的；变态的
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absorbing,"v. 吸收（absorb的ing形式）
adj. 吸引人的；极有趣的"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundant,adj. 丰富的；充裕的；盛产
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
accessible,adj. 易接近的；可进入的；可理解的
accountable,adj. 有责任的；有解释义务的；可解释的
adaptable,adj. 适合的；能适应的；可修改的
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
adoring,"adj. 崇拜的；敬慕的
v. 崇拜；钟爱（adore的ing形式）"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advantaged,"v. 有利于（advantage的过去式）
adj. 得天独厚的；有利的；占有利位置的"
advantageous,adj. 有利的；有益的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advisable,adj. 明智的，可取的，适当的
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
aggravating,"v. 使恶化；激怒（aggravate的ing形式）
adj. 加重的；令人恼怒的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agile,adj. 敏捷的；机敏的；活泼的
alarming,"adj. 令人担忧的；使人惊恐的
v. 使惊恐（alarm的ing形式）"
all-round,adj. 多才多艺的；全面的；多方面的；综合性的
alluring,adj. 诱惑的，诱人的；迷人的，吸引人的
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
antisocial,"n. 违背社会公德的人；反社会者
adj. 反社会的；扰乱社会的；不爱交际的"
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
appetising,adj. 促进食欲的，开胃的
arrogant,adj. 自大的，傲慢的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artistic,adj. 艺术的；风雅的；有美感的
aspirant,"n. 有抱负的人；野心家
adj. 上进的；有野心的"
