a bunch of,"det. 一束
 一群；一堆；一串"
be in high spirits, 情绪很高，兴高采烈; 抖擞; 精神振奋; 斗志旺盛
be in majority,vi.占多数
be in the majority, 居多；占多数；占大多数
be in poor health,找不到解释
be in question,"vi.成为问题,正在讨论中"
be in one's charge,找不到解释
be under one's charge,找不到解释
be in the charge of sb.,找不到解释
be under the charge of sb.,找不到解释
be introduced into,找不到解释
be joined to,找不到解释
be keen on,"na. 喜爱
 渴望；喜欢；热衷于"
be kind of sb.,找不到解释
be kind to sb.,找不到解释
be known for,"un. 公认；闻名；以…著称
 因…而出名；因为…而出名；以……著称"
be known to sb.,找不到解释
be lacking in,"v. 缺乏
 在……不足；在某方面缺乏；在……缺乏"
be likely to do,找不到解释
be longing for,找不到解释
be longing to do,找不到解释
be lost, 迷路；丢失；迷失
be lost in sight,找不到解释
be lost in thought,"na. 在呆呆地默想
 沉思；陷入沉思；想得出神"
be made from,"na. 由…制成的
 由……制成；用…制成；由…制造"
be made into, 被制成；被做成；把……制成
be made of,"na. …制的
 由……制成；用…制成；材料制成"
be made up of, 由…构成；组成；由…组成
be marked with, 标明；被标上…记号；标着
be married to sb.,找不到解释
be measured in,找不到解释
be missing, 迷路，丢失；不见了；失踪
be mixed with,找不到解释
be named after, 以……命名；以…来命名；以…的名字命名
be of the same kind,找不到解释
be of this kind,找不到解释
be off,"na. 去
 离开；滚蛋；走吧"
be on a visit from someplace,找不到解释
be on a visit to someplace,找不到解释
be on business,找不到解释
be on diet,找不到解释
be on duty,"v. 当班
 值班；上班；旧时指值班守夜"
be on fire, 着火；着火了；失火
be on holiday, 在度假；在假期中；渡假
be on vacation,"na. 在度假
 在度假期；度假中；正在度假中"
be on sale, 甩卖；正被出售；销行
be on show, 展出；展览；在展出
be on strike,在罢工
be on the march,"na. 进行中
 正在游行；在进行中；参加游行示威"
be out of fashion,"na. (人或物)不合时尚
 过时；不再流行；不流行"
be out of order, 失灵；发生故障；秩序混乱
be out of question,"ph. 无疑
 不成问题"
be out of reach,"vi.够不到,无法达到"
be out of the question, 是不可能的；不可能的事；毫无疑问
be out of work, 失业；砸饭碗；工作的人已经失业
be pleased to do sth.,找不到解释
be pleased at doing sth.,找不到解释
be pleased with,"na. 喜欢
 对……感到满意；对……满意；对……感到高兴"
be popular among ...,找不到解释
be popular with ...,找不到解释
be prepared for,"na. 准备着
 对……做好准备；为……做好准备；准备好做"
be present at,"v. 出席
 形出席的；表示出席会议或仪式；在场"
be present at the meeting,找不到解释
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
be ready for,"v. 预备好
 为……准备好；为……作好准备；为……做准备"
be ready to do, 准备做某事；准备好做某事；为做某事做好了准备
be recognised as,找不到解释
be reduced by, 降低了；较少了；被减少了
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
be rich in,"v. 富于
 富含；富有；盛产"
be said to do,找不到解释
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
be senior to,较…年长
be set in, 以……为背景；设置背景；故事发生在
be short of, 缺少；缺乏；短缺
be strict in sth.,找不到解释
be strict with sb.,找不到解释
be successful in doing sth.,找不到解释
be suitable for,"v. 合适
 适合于；对……合适；对…适合"
be supplied to sb.,找不到解释
be supplied with ...,找不到解释
be supposed to do,"na. …(在职务上)要；不许
 应该；应该做某事；被期望做某事"
be sure to do,"na. 必定
 肯定做某事；一定会做某事；一定要做某事"
be certain to do,找不到解释
be tired from sth.,找不到解释
be tired from doing,找不到解释
be thought of,找不到解释
be thought as,找不到解释
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
be tired out,"na. 筋疲力尽
 疲倦极了；累得要死；累得慌"
be to blame,"na. 该负责
 该受责备；应该负责；应受责备"
be to do, 将要做；打算做；准备做
be to the taste,找不到解释
be trapped by,找不到解释
be trapped by the fire,找不到解释
be treated as, 把……当作……对待；当做……来看；被当作
be under construction, 施工；在建设中；正在建设中
be unwilling to do,找不到解释
be up to,"un. 面对；在干；居心
 胜任；该由…负责；应由"
be used for,"v. 用于
 用来做；被用于；被用来"
be used to do,找不到解释
be used to doing,找不到解释
be used to sth.,找不到解释
be value for money,找不到解释
be good value for money,找不到解释
be willing to do,"na. 乐意进行
 愿意做某事；乐意做某事；心甘情愿做"
be worried about, 担心；为…而担心；为……担心
be worth doing,值得做……
be worth sth.,找不到解释
be worthy of, 值得；配得上；对得起
be known as,"na. 通称
 被称为；被称作；被认为是"
become known as, 作为……而出名；叫作；成为人们熟知的
be widely accepted,找不到解释
become widely accepted,找不到解释
beat sb. black and blue,找不到解释
beat sb. on the head,找不到解释
beat sb. to death,找不到解释
beat sth. flat,找不到解释
become a success,找不到解释
become separated,找不到解释
before long,"na. 不久；不(需很)久
 不久以后；很快；不久之后"
begin with,"na. 从…开始
 以…开始；开始于；以…为起点"
believe in,"v. 相信
 信任；信仰；信奉"
belong to,"v. 属于；附属
 归于；归属；属於"
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
beyond question,"na. 毫无疑问；一定
 无可争辩；毋庸置疑；难以置疑"
beyond reach, 够不到；够不着；可望而不可及
beyond that, 除了那个以外；除此之外；装饰性创造性表示之外
beyond the sea,"na. 由海路；经海路；乘船
 飞跃海洋；飞越海洋；在海外"
black out,"na. 用墨涂掉；使停刊；封锁(新闻)；使舞台转暗
 停电；灯火管制；大停电"
black tea,"na. 红茶
 黑茶；指的是红茶而非黑茶；英国红茶"
blood bank,"n. 血库
 输血科；血液银行；血库检验"
blow away,"na. 吹走；用枪杀死某人；震惊；主要用于美式英语
 刮走；吹散；吹跑"
both ... not ...,找不到解释
both of ...,找不到解释
break away from,"v. 脱离；离开；断绝与…的关系
 摆脱；从…脱离；脱离等"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
 打断；强行进入；插话"
break into pieces,"na. 打碎
 成为碎片；打成碎片；摔成碎片"
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
break one's promise,"un. 许配；违背…诺言
 食言；违背诺言；违约"
break one's words,找不到解释
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
break the record,"na. 打破记录
 打破纪录；冲破记录；直译为打破记录"
break the rules, 犯规
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring down,"na. 降低；击落；削减；使落下
 打倒；使下降；使倒下"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
bring on,"na. “bring forward”的变体
 引起；导致；造成"
bring ... to one's notice,找不到解释
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
burn ... to the ground,找不到解释
burn up,"na. 烧完；旺起来；使恼怒；发怒
 烧起来；烧尽；烧光"
burst in,"na. 闯进；打扰；打断(别人谈话)
 闯入；突然冲入；破门而入"
burst into flames,"na. 烧起来
 突然着火；燃烧起来；突然起火"
burst into tears,"na. 突然哭起来
 放声大哭；突然大哭；突然大哭起来"
burst into laughter,"na. 放声大笑
 突然大笑；突然笑起来；哈哈大笑起来"
burst out,"na. 冒出；现出；突然发作；突然发生
 突然……起来；迸发；爆发"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
by degrees,"na. 渐次
 逐渐地；渐渐地；逐步地"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
 到目前为止；非常；最多"
by means of,"na. 以
 用；依靠；借助于"
by oneself,"na. 单独；独自；独力
 自行；独自地；单独地"
by the end of,"prep. 在…尽头
 到……为止；到……末为止；到……底为止"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
by this means, 通过这种方式；用这种方法；用这种方式
call at,"na. 访问(某家)；(车船)停靠(某地)
 拜访；拜访某地；拜访地点"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
call in,"na. 招；叫进；引入；调入
 召来；来访；收回"
call on sb.,找不到解释
call on sb. to do sth.,找不到解释
call one's attention to,找不到解释
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
can't help doing, 禁不住做某事；情不自禁做某事；忍不住做某事
can't resist doing,找不到解释
carry about,"un. 随身携带
 随声携带"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
carry out one's promise,找不到解释
carry with, 随身携带
catch a cold,"n. 感冒
 伤风；患感冒；着凉"
catch fire,"na. 着火
 失火；著火；发火"
catch one's attention,找不到解释
catch sight of,"na. 看出
 发现；看见；看到"
change ... for ...,找不到解释
change into,"na. 变成；改穿
 把……变成；变为；转换成"
clear away,"na. 扫除；砍去；(雾等)消散
 收拾；把…清除掉；去掉"
clear out,"na. 清空；腾空；清理；匆忙离开
 清除；清仓甩卖；扫出"
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
come away,"na. 脱掉
 离开；脱落；脱离"
come back,"na. 回来；想起来；复原；归
 恢复；回来吧；回想起来"
come down,"na. 败落；退步；(飞机的)下降
 下来；病倒；降落"
come into being,"na. 发生
 形成；产生；开始存在"
come into effect,"na. 开始实施
 生效；开始生效；开始实行"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
come out,"na. 出来
 出现；出柜；现身"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
 到来；再来；回心转意"
come to an end,"na. 完结
 结束；终止；告终，结束"
come to oneself,"na. 苏醒；醒悟；复原
 恢复知觉；苏醒过来；清醒过来"
come to one's notice,找不到解释
come to power, 上台；掌权；执政
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
come up to,"na. 到达；不亚于；不负(期待)
 达到；符合；达到，符合"
come upon,"na. 碰到；忽然想到；突袭；要求
 碰见；遇见；发现"
compare ... to ...,找不到解释
compare ... with ...,找不到解释
"compared with ..., ...",找不到解释
"compared to ..., ...",找不到解释
congratulations on sth.,找不到解释
connect ... to ...,找不到解释
connect ... with ...,找不到解释
consider sth.,找不到解释
consider doing, 考虑做某事；考虑去做；考虑要做某事
consider ... to be,找不到解释
consider ... as,找不到解释
consist of,"v. 由…合成
 由……组成；由…构成；包括"
content oneself with,"对…感到满意,甘愿"
contribute ... to ...,找不到解释
convert ... into ...,找不到解释
could have done, 本可以做某事而没做；本来能够；本来能做成的
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
count upon,"na. 指望；依赖
 依靠；仰赖；料想"
cover the events,找不到解释
cover ... with ...,找不到解释
cross out,"na. 取消
 删去；划掉；删除"
crowd out,"na. 推开
 挤出；驱逐；挤出效应"
cry out,"na. 大叫；喊着要求
 大声呼喊；喊叫；吆喝"
cut away,"na. 切开；乱砍；逃走
 砍掉；切掉；切除"
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
cut ... in half,"na. 切成两半
 切半；减半"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
cut one's hair short,找不到解释
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
daily goods,找不到解释
dance to the music, 随着音乐跳舞；伴随着音乐跳舞；伴着音乐跳舞
dare to do, 敢于做某事；敢做某事；敢做敢当
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
date from,"v. 回溯到
 始于；追溯；追溯到"
day after day,"na. 天天；一天又一天
 日复一日；日复一日地；一天一天的"
day and night, 夜以继日地， 日夜; 不舍昼夜; 日日夜夜; 白天黑夜
day by day,"na. “day after day”的变体
 逐日；每一天；只往好处想"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
deep into the night, 深夜；直到深夜；一直做到深夜
delay doing,找不到解释
delay sth.,找不到解释
demand to do,找不到解释
depend on,"v. 依靠
 依赖；取决于；视……而定"
depend upon,"v. 依靠
 依赖；取决于；靠……决定"
determine sb. to do sth.,找不到解释
develop a habit, 养成习惯；养成一种习惯；养成一个习惯
develop an interest in sth.,找不到解释
die away,vt. 减弱，消失；渐熄；风，声音渐弱，渐息；（树木等）渐渐凋零，枯萎（根未死）；假死
die from ...,找不到解释
die of ...,找不到解释
die out,"na. 死绝
 灭绝；消失；逐渐消失"
dig out,"na. 挖出；查出(事实)；慌慌忙忙走开
 掘出；挖掉；挖掘"
direct sb. to do,找不到解释
direct that sb. should do,找不到解释
discourage sb. from doing sth.,找不到解释
dislike doing sth.,找不到解释
dive off, 从……跳水；从高处跳入水中；从顶楼跳楼
divide ... by ...,找不到解释
divide ... into,找不到解释
do a good deed,"na. 行善
 做好事；做一件好事；做件好事"
do away with,"na. 废除；干掉
 去掉；除去；消灭"
do damage to,"na. 损害
 对…造成损坏；对…造成损害；对…产生损害"
do good to ...,找不到解释
do harm to ...,找不到解释
do research on ...,找不到解释
do research in ...,找不到解释
do research about ...,找不到解释
do research into ...,找不到解释
do sb. a favour, 帮忙；帮个忙；帮助某人
do sb. good,"v. 有益
 做好事；有好处；行善"
do sb. harm,"un. 闯荡；受伤；加害；不利
 有害处；伤害；为害"
do so ... as to do,找不到解释
do such ... as to do,找不到解释
do up,"v. 修缮；收拾
 系；打扮；包扎"
do with,"na. 对付；忍耐；与…相处
 处理；处置；需要"
draw a deep breath,找不到解释
draw one's attention,找不到解释
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
 起草；草拟；停住"
dream of doing sth.,找不到解释
drop in at ...,找不到解释
drop in on sb.,找不到解释
earn one's living, 谋生；营生；挣钱维持生计
eat one's words,"na. 食言；收回自己说过的话；为自己说过的话道歉
 收回前言；承认说错话；承认错误"
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
 吃光；吞灭；吃掉"
encourage sb. to do sth.,找不到解释
end ... with ...,找不到解释
end up with,"na. 以…而告终
 以…而结束；以…结束；以……告终"
enter for,"na. 参加(赛跑)
 报名参加；报名参赛；报名参加比赛"
escape from,"v. 逃脱
 从…逃脱；从……逃跑；逃离"
except for,"na. 只有
 除了；除…之外；除了……之外"
expect sb. to do,找不到解释
explain sth. to sb.,找不到解释
explain to sb. sth.,找不到解释
face to face,"na. 面对面
 面对面地；结构长度；面对面的"
face-to-face,"adj. 面对面的；当面的
adv. 面对面地"
fail to do, 未能做某事；做某事失败；没能做成某事
fall asleep,"na. 入睡
 睡着；睡着了；睡觉"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
fall in love with sb.,找不到解释
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
fall to pieces,"na. “fall in pieces”的变体
 瓦解；崩溃；破碎"
far and near,"na. 四面八方；到处
 远近；远与近；遐迩"
far and wide,"na. 遍；到处
 广泛地；四面八方；普遍"
far more interesting,找不到解释
fast asleep,"adj. 熟睡
 睡得很熟；酣睡；熟睡的"
feed on sth.,找不到解释
feel alone, 感到孤单；感到寂寞；感到孤独
feel like doing, 想要做某事；觉得想做；想干某事
feel like sth.,找不到解释
feel lonely, 感到孤独；感到寂寞；感到孤单
feel one's way,"na. 摸索着走；行动谨慎
 试探；摸索着前进；摸索而行"
feel terrible, 感觉不舒服；感觉难受；感到难受
fight against,"v. 反对
 对抗；与…作斗争；为反对……而斗争"
fight for sth.,找不到解释
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
find sth. to do,找不到解释
find sth. hard to do,找不到解释
finish off,"na. 同“finish”；完成；用完；吃完
 结束；吃光；喝完"
fire at,"na. 对…开枪
 向…开火；射击；朝……开火"
fire escape,"n. 太平梯（在建筑物外部，用以逃离火场）
 安全出口；防火梯；走火通道"
fire out,"v. 解雇
 开除；发射；放火烧除"
fire up,"na. 发动(机器)；生火；突然发怒
 生气；发火；勃然大怒"
first aid,"n. 急救
 急救方法；急救员；急救知识"
first of all,"na. 第一
 首先；首要；是首先的意思"
fix a time for sth.,找不到解释
fix a date for sth.,找不到解释
fix a time to do sth.,找不到解释
fix a date to do sth.,找不到解释
fix ... to ...,找不到解释
